block,reserve DAI,reserve USDC,price,volume for slippage 5%
10810138,1,1,0.9341127656062109,1.086029052734375
10859793,2.196003517560266,2.17901,0.994238486562427,2.12347412109375
10868622,17028.377552449416,56765.080715,1.0240954384863497,54358
10869196,52555.72482493065,141552.531371,1.0190145588897406,135108
10870008,73937.15443597556,204190.151907,1.0182162373099766,196728
10872633,89827.0607018885,186584.05464,1.0109077636818913,180712
10873753,48820.25715833541,115546.883572,1.0186517146003469,107668
10874520,80049.7249249407,183588.270145,1.0132584010370533,177528
10874879,302124.5441581125,705607.960747,1.0133602084266962,683872
10875232,455702.91561205796,1074147.481686,1.014052356129524,1037344
10875575,641534.3062787994,1434894.545868,1.0133204434637364,1380544
10875895,649516.772241662,1514791.54963,1.0143565959927214,1456832
10876132,1147268.4706891645,2446611.844912,1.0131791676218216,2334400
10876207,1664943.2243919808,3410967.273725,1.0107040608287094,3300992
10876293,2292594.6066888454,5383199.683416,1.01308200172582,5232896
10876404,2398370.717627278,5688583.648744,1.013967546027225,5503232
10876507,2893702.1454185178,7237832.061538,1.0150737956543352,7008000
10876584,2883012.075901525,7189308.078278,1.0157084298556334,6926592
10876759,3303371.1703849463,8602567.719328,1.0171770925507344,8265472
10877242,6983966.972731394,18531664.988545,1.0175511827417463,17816064
10877389,8831703.477888444,23084408.667681,1.0168049364644471,22248448
10877747,10005242.99124023,24984678.878594,1.0157994312356577,24062976
10878129,10156155.127967807,25819958.997861,1.0170026344694056,24734720
10878951,10734998.5458656,28648150.380353,1.017381028562061,27597824
10879418,13477709.832998604,36249345.900405,1.0179739313501375,34831360
10879861,12746089.510143358,35174931.326204,1.0191735514170346,33678336
10880052,13417194.024361337,33776338.109117,1.0162097206824343,32480256
10880247,15724990.35624923,33386862.20613,1.0116180369016123,32267264
10880617,15981598.247658193,33334439.497144,1.011329088985736,32189440
10881145,16703032.531400792,38062390.323342,1.012998162773757,36838400
10881723,16110795.170311753,38174858.953846,1.0141854294247656,36865024
10882135,15342113.359638976,36531171.909616,1.0149810628195817,35099648
10882434,15285929.50968083,37090612.312158,1.0153859758305417,35650560
10882712,15119100.683571666,37147946.772205,1.0159152640441167,35646464
10882963,14739622.79975754,37200993.813181,1.0168170130465268,35638272
10883250,15007281.853895428,37569256.955803,1.0163989593623637,36045824
10883484,15411973.418400247,37399175.743147,1.015541485994705,35906560
10883761,15405642.214638183,38183545.460911,1.0162490138156497,36609024
10884216,15289565.446520071,38472711.040332,1.0166639870064227,36875264
10884410,15187144.965697635,39550638.42335,1.0177411593826355,37854208
10884571,15186900.5092739,39617309.381489,1.0178821910101044,37893120
10885008,14720705.046071766,39918234.707165,1.0193718013650388,38054912
10885359,14414091.992066165,40871047.64001,1.0216900390466033,38671360
10885653,14488239.611637514,41268672.526365,1.0217282275321153,39070720
10886041,13706900.642558295,39089721.48292,1.021698644008364,37022720
10886264,14002218.430518255,38974761.310499,1.0207295197742516,36989952
10886555,14532750.984364849,38998129.605945,1.01922732364243,37143552
10886673,16980370.984377887,46227979.776299,1.02056777930017,43743232
10886935,17570496.050312527,46546197.649554,1.0191124667322369,44263424
10887402,18324695.694829103,47784692.913075,1.017631472536812,45778944
10888182,19053939.637610536,47372830.811571,1.0159150147270772,45553664
10888686,19335690.959996514,47487532.012284,1.0153774425363584,45742080
10889068,19176835.597750816,47856913.838313,1.015848201251552,46069760
10889220,23330589.530193742,61226207.879598,1.0178002428585942,58652672
10889362,23665608.80704839,61550740.218828,1.017626160779095,58943488
10889568,24481015.543649875,63068875.455756,1.0168335866428373,60626944
10889695,24709422.77788517,63186409.896003,1.0167836684380689,60684288
10889928,25408130.323142014,64028939.608444,1.01625112816473,61564928
10890090,26906690.314603675,67041801.413743,1.0160727140312915,64419840
10890228,24322714.315861747,60491580.690393,1.0162740883842154,58021888
10890365,24912437.361245025,59933955.071223,1.015417153087016,57501696
10890465,25626028.65258486,61829757.621158,1.0151487944063873,59471872
10890566,26696219.493112344,67094050.058238,1.0161184704204502,64542720
10890679,31607628.51972193,84653269.030907,1.0181549058581225,81184768
10890940,33674319.321961984,84391503.173988,1.0157994034812547,81328128
10891115,35319464.18232332,83478034.873614,1.01417803658394,80582656
10891406,41566315.155610554,78393125.346286,1.0090151718720202,75876352
10891519,41764508.849626094,79487019.354819,1.009070703224776,77031424
10891849,42987323.648285955,82472647.119911,1.009513404000158,79693824
10892022,42939231.81837971,84266229.119404,1.0100635151533037,81356800
10892266,42580809.23286696,83990345.423148,1.0100671291336103,81168384
10892397,43035077.437978655,84065668.978595,1.009824774600063,81278976
10892624,44030021.53987566,84123782.519749,1.0092479569993615,81442816
10893087,41997790.284464374,86201194.24826,1.0106958811110611,83464192
10893326,43062460.25911397,86016436.014679,1.010192948979296,83234816
10893570,42444872.49161236,84729861.439577,1.0104343002486584,81790976
10893684,45820561.620197356,83715157.301981,1.0084240174198729,81004544
10894013,45268868.02862458,86223888.845165,1.0090507931610349,83595264
10894433,46081415.0204548,85743814.620474,1.0086045937818024,83120128
10894533,49209860.28211709,83810048.789111,1.0069806562751535,81246208
10894693,44643501.85505127,83109468.72747,1.0086716934666498,80521216
10894803,44781831.92505127,83595801.764355,1.0086524654474651,81053696
10895111,45229796.83743286,83736829.388701,1.0084515538722216,81225728
10895313,47508404.536054686,90073045.288306,1.0087423247533627,87519232
10895479,47513440.29160045,90012710.387706,1.008745743607448,87445504
10895722,47544991.11705706,90069161.986443,1.0087382148459447,87511040
10895943,47006023.76065503,90673504.804122,1.009072242274897,88109056
10896083,50630642.24716273,90431770.497983,1.0079946465723082,87502848
10896290,51431344.65964744,90700609.623521,1.0076826427710106,87846912
10896707,51287582.079990715,92916825.292464,1.0081820462166498,89993216
10896959,51999860.79851628,93679085.054493,1.0084611633177265,90329088
10897281,52000379.598516285,94867600.971306,1.0086511484729128,91533312
10897726,51952768.8235192,95576942.6907,1.0087443000255052,92295168
10898174,51869324.789289765,95604585.087458,1.0087874937817338,92311552
10898318,51662324.42101813,95565766.422864,1.008948007192452,92180480
10898753,51613463.69514883,96326926.228394,1.0090442623755915,92999680
10899049,50749434.80352177,97158367.324775,1.0095454772503831,93810688
10899302,50475896.51139496,98120392.459608,1.0097686438097648,94826496
10899573,54538963.48783868,98989479.660418,1.0082708335770914,95817728
10899871,54353767.29015913,99395741.762725,1.0084167642803223,96202752
10900131,55629624.20973823,100499800.363127,1.0080620148035189,97415168
10900459,55176335.26495854,101726569.319787,1.008409790282757,98635776
10900678,54421205.984815724,101813299.111998,1.008718038160789,98693120
10901057,54221354.300423294,102331192.905941,1.008896035798018,99184640
10901268,54181095.86871849,102367624.959841,1.0089225560908572,99217408
10901481,54253608.0075694,102442312.460536,1.0089013160339717,99299328
10901798,56258845.57289095,102590872.149777,1.008105265710745,99586048
10902025,53967688.40488436,105312863.195057,1.0093058223028908,102322176
10902335,52487640.14248329,105006771.030042,1.0099795127827493,101847040
10902617,52553114.286209166,105304703.956836,1.0099898262468572,102158336
10902948,53373467.70201951,103898179.051926,1.0094508087412744,100757504
10903326,53474013.13824629,103727785.47725,1.0093473174102288,100626432
10903641,51776797.62130241,101956053.952793,1.0098697973993744,98693120
10904124,48438255.45468479,102814707.175022,1.0117724331986009,99225600
10904317,45335413.478756405,89635125.985888,1.009982256121032,86740992
10904711,46340982.856620766,91126328.96829,1.0097523151402368,88281088
10905189,46378257.131449,91033502.889473,1.00971556744965,88190976
10905517,46471334.99416824,91036655.33509,1.0098191208060634,88076288
10905694,48192046.57203731,91256726.535195,1.0089955327589637,88420352
10906367,46939552.32553811,92117111.385749,1.009704191697313,89247744
10906710,47264023.28953361,91951681.394807,1.009513180087404,89108480
10906897,46958097.921365805,92255941.572545,1.0095801101351576,89509888
10907041,45174699.23541186,91290867.115117,1.0104678144846504,88313856
10907396,44678754.37795645,86334442.404352,1.0096007110241219,83472384
10907888,44644587.75378987,86543492.999788,1.0096532129825928,83685376
10908244,44748802.718818955,87040373.093142,1.0097047969072463,84185088
10908312,44750112.71128653,87077508.591565,1.0097111879008414,84217856
10908728,45275432.12887061,87504517.798977,1.0094922821363985,84701184
10908915,45849851.29645566,87382286.981549,1.0092208016025388,84578304
10909267,46043512.32475042,87226921.052992,1.0090973731979287,84430848
10909584,45149031.206931785,86053385.460311,1.0091947173148026,83316736
10909978,45213265.81590084,86244598.411531,1.0091960673799685,83513344
10910159,45037077.520556994,88854844.725672,1.010078845652596,85864448
10910420,45299282.12892168,89013880.181635,1.009983510033033,86028288
10910678,45578960.55207256,90071546.505055,1.009938541459726,87191552
10910876,45649964.85256096,90501564.986457,1.009964745286654,87633920
10911017,45892602.59400638,90550223.760167,1.009835722424709,87715840
10911259,46064233.839758016,90548258.19556,1.0097420104540316,87724032
10911717,46114803.6933927,90620985.364445,1.0098276702419295,87715840
10912030,46685370.97582302,90542589.58886,1.0094971402254111,87699456
10912454,46637160.092747964,90826775.827471,1.009517041074122,88027136
10912807,46764017.623552494,90907008.377332,1.009158189944763,88387584
10912929,45645508.291285425,91292361.755734,1.0099723569184167,88543232
10913276,45562566.11981454,90926588.14136,1.0100220376450844,88117248
10913419,45377259.63868068,90913526.645287,1.0101242448407022,88084480
10913703,46562895.281030975,89590654.716031,1.009343613896376,86773760
10913965,45511062.86951654,91256422.57261,1.0100098217635802,88526848
10914177,45519645.82869568,91088221.238043,1.0099859800462825,88346624
10914441,45452047.89298854,90497679.885673,1.0100168967171965,87666688
10914597,45378735.47221499,90452162.012192,1.010052766520828,87609344
10914880,45428539.72423132,90102563.493558,1.0099471846111658,87273472
10915177,45285520.53237592,90163730.747922,1.0100385820181987,87322624
10915576,45236878.47458895,90187068.321577,1.0100689022292242,87339008
10916028,45413415.314230405,89599183.849925,1.009909839420967,86724608
10916189,45466064.49792782,89893796.041082,1.0099372584574757,87027712
10916417,45584361.48022682,90495164.430908,1.0099413244117847,87674880
10916569,46715838.426320225,92611064.087417,1.0101732582089151,89501696
10916660,49820000.22911906,98518959.92514,1.0101636021785176,95170560
10916830,50455565.754846595,99101528.812334,1.0099646035473346,95784960
10917056,51503057.83001677,99364346.183815,1.0096162521911236,96030720
10917323,51367094.840294674,100045950.910703,1.0097122157876581,96776192
10917574,51181453.35217894,99632672.879842,1.0097297575454667,96350208
10917666,50469137.194197565,102329607.312872,1.0103369759601835,99168256
10917952,50585170.31825932,101968054.82584,1.010239062553467,98799616
10918224,50522518.311981305,102213571.944936,1.0103019777393156,99053568
10918410,50287212.35668845,102323638.728213,1.0104198341548334,99160064
10918548,50310926.52801755,102460676.756379,1.010439452248111,99291136
10918943,50134784.28761988,102137527.959675,1.0103988733866647,99020800
10919312,50239337.49959433,102057329.933483,1.0103350105440265,98947072
10919674,50196013.402506426,102009858.777612,1.0103529998095508,98889728
10919928,50270198.01607022,101362302.623173,1.010211300092446,98242560
10920266,50154790.8892451,101091937.101362,1.0101260954936901,98054144
10920375,50002585.9501007,101492132.916897,1.0102386323636585,98471936
10920484,50247248.946771026,101607175.201152,1.0101402233010057,98603008
10920639,50007757.126252435,102191957.458621,1.0103163381681752,99201024
10920834,50215095.64729621,101964729.08144,1.0101836378248177,98988032
10921036,50221200.36961678,101996155.842223,1.0101831664387226,99020800
10921191,50133128.37350217,101057018.586739,1.0100790649954374,98062336
10921271,45330344.28368639,105899563.695769,1.0133504467487648,102658048
10921320,48597061.34043431,102594296.579793,1.0110344349047806,99553280
10921513,49903045.887967184,100961598.749311,1.0101733581255181,97955840
10921703,49857865.5144265,100925597.295442,1.0101895191615542,97914880
10921874,49900466.962703146,101052062.365706,1.0101694863068345,98062336
10922048,50168031.23255479,101150268.580214,1.0101011811943805,98136064
10922121,50178522.22861847,101515902.544035,1.0101369275444945,98521088
10922250,50154947.81927387,101687266.427117,1.0101713016149547,98701312
10922399,50316932.892877154,101706048.905252,1.0101877010208544,98643968
10922590,50370073.780985944,103020142.465515,1.0103650844496295,99979264
10922698,51071071.90478605,102524722.064624,1.009987570951239,99495936
10922861,50847161.40405881,102439393.294252,1.0100958114410161,99381248
10922924,51557454.51946078,102589916.736201,1.0097923567706282,99577856
10923081,53253420.537470505,106877205.394839,1.0106193965219348,103100416
10923207,53716337.39375922,106441128.456498,1.0103207360142992,102707200
10923394,51210765.91724963,106481670.375739,1.011657832018853,102461440
10923440,52135274.455876835,107124593.577436,1.0111990231930115,103264256
10923546,53323386.361846104,107562080.102118,1.0106149655233554,103870464
10923950,53384837.76986177,107966986.911189,1.0106273729781883,104304640
10924126,53424547.27503227,108086839.252071,1.010625774488033,104427520
10924328,53248984.75966515,108737076.914248,1.0107259867101124,105148416
10924444,54184230.39897509,109662065.093276,1.0106397319457376,105943040
10924668,54233361.35255216,109978602.1324,1.010643679672091,106287104
10924898,54318490.14176075,110070290.084715,1.0106067206589555,106393600
10924979,54319964.54861771,110173026.56953,1.0106150380162744,106508288
10925113,54263775.795468,110784427.942456,1.010694203989587,107155456
10925259,54268876.795468,110884447.326265,1.0106786123560991,107286528
10925375,54506170.81408258,110331115.119582,1.0104716532052067,106762240
10925469,54836171.639586635,110682000.530522,1.0103301647529386,107180032
10925555,54936746.34962422,111050325.072066,1.0103307690671453,107565056
10925740,54921893.59932106,111089491.526125,1.0103511482572816,107597824
10925851,54909813.7087107,111256628.427031,1.0103746995119802,107769856
10926035,55034813.7087107,111483245.687042,1.010351546527434,108007424
10926176,55611700.11481306,111033229.479118,1.0100597967953588,107573248
10926295,55646894.69502767,111047429.378316,1.0100448735435512,107589632
10926383,55322096.66168565,111160223.159289,1.010091672993487,107794432
10926503,55183635.01465437,111182380.026617,1.0101467026520097,107810816
10926614,55583635.01465437,109840276.704521,1.009820912395538,106442752
10926648,56570041.10172801,109714798.478841,1.0093115700877793,106467328
10926683,56286073.44845957,108636757.708307,1.009230659944433,105402368
10926807,56206835.74433453,108884133.265144,1.0093096855117085,105639936
10926946,55930278.790936664,108875166.218888,1.0094287770204144,105607168
10927127,56055923.54091145,109302038.459768,1.0093859079574787,106098688
10927288,56364796.71215523,109734623.888713,1.0092253610127668,106655744
10927478,56287794.53732957,109840302.832696,1.009272615058797,106754048
10927631,54590591.2535245,109736976.291288,1.010012831098195,106500096
10927811,53897461.905186,110588125.739349,1.01039706925142,107352064
10928046,53928986.585103825,110676257.767206,1.0104028838224859,107442176
10928190,53830062.27490227,110524443.130814,1.0104345835912218,107270144
10928249,53834054.00516188,110574509.595565,1.0104416252224035,107319296
10928352,54020815.4844476,110773697.564123,1.010381670832525,107540480
10928565,54049555.14167076,110855899.852321,1.0103752886950528,107630592
10928745,54361431.61022413,110796392.513125,1.0102268274899728,107589632
10928978,54509294.42404409,111079537.308425,1.0101976397672072,107892736
10929142,54766803.840729006,110997273.591396,1.0100734683683,107827200
10929312,54709548.21179779,111290986.081211,1.0100812750605193,108171264
10929500,55159133.70450576,111493203.072488,1.009934828865186,108392448
10929595,55524095.73163083,109761020.358352,1.0099485951877847,106246144
10929749,55525913.111630835,110052178.746748,1.0099640181467664,106565632
10929918,55553931.980250336,110047049.332426,1.0098847443216419,106631168
10930192,55629324.559003815,112166133.952635,1.0100313428879846,108900352
10930347,57491939.70971763,114884761.616974,1.009862080501272,111529984
10930535,57467906.11667988,115076234.117501,1.0098830422016636,111734784
10930840,57318130.12228742,115545556.407317,1.0100031502872115,112201728
10931268,57185784.95329808,115479301.515878,1.0100523951257632,112128000
10931487,57267093.743543394,115465116.385493,1.0100160995256415,112119808
10931584,57287452.59222392,115450606.435298,1.0098810987336098,112234496
10931687,57147231.93779601,115590098.436195,1.0099531922153855,112365568
10931854,57130406.145645216,116981490.356643,1.010078095915938,113840128
10931971,57221072.20926275,117175472.561607,1.0100548493016999,114061312
10932144,57380525.44123406,116736025.263858,1.0099516640363388,113602560
10932351,56805308.8174234,116681591.366702,1.0101965646616518,113496064
10932497,56572108.52296615,113266838.395518,1.0097396735428967,110120960
10932689,56297070.47311933,113502105.743104,1.0098815139288813,110342144
10932853,55216436.93091238,114113199.271618,1.0104302376703793,110891008
10932944,55516340.006898545,113787321.765623,1.0102635700195453,110571520
10933069,54902033.83869502,114429130.014325,1.0106109546812072,111185920
10933222,55263765.92383085,114024654.524708,1.010409190006009,110792704
10933370,55362295.3125115,114288191.480389,1.010392287159701,111071232
10933542,55661292.4777465,114132345.926606,1.010244675441255,110931968
10933657,55653818.561940685,114263662.245856,1.0102681142880885,111063040
10933923,54700036.194115035,112314040.899263,1.010268536049568,109170688
10934096,54705515.334115036,112623587.4259,1.0103036279395594,109490176
10934207,54634049.71885192,112630697.798767,1.0103386944604762,109490176
10934357,55643701.89375452,112629047.556305,1.009902504597371,109555712
10934591,55254701.42365232,114497283.347148,1.010240749755801,111497216
10934896,55236728.9883312,114739242.114049,1.0102829658884478,111742976
10935031,54943674.97577493,115076484.474683,1.0104470934947067,112070656
10935409,55040403.98258776,115160897.778492,1.0104110921127392,112168960
10935839,54981733.36474655,114862036.247844,1.01040665282989,111849472
10936068,55895825.615869425,117031296.193927,1.010453226829422,113963008
10936222,58007107.523122884,120641415.059811,1.0104083756952467,117387264
10936379,57907454.830081366,120739143.497034,1.0104321850879254,117510144
10936538,57900085.644161,118771130.094041,1.0102644944765236,115429376
10936677,57590910.11020265,119154950.591987,1.0104477519167967,115789824
10936939,57417535.659160964,119128440.168893,1.0105417255298592,115732480
10937203,57494792.45089621,119109146.740226,1.0105159377958874,115707904
10937373,60276267.578584574,119257323.766922,1.0093645208997397,116101120
10937503,61952907.55742713,119423288.99094,1.0087517200271197,116396032
10937721,60329349.60327372,119871173.786554,1.009396202317179,116756480
10937877,61275863.1207685,121162559.3875,1.009567051328712,117714944
10937992,62684175.76076417,123177970.134418,1.0095331773105745,119574528
10938177,63098234.547264755,123473264.417981,1.008965867848407,120426496
10938348,62907573.27203294,123532790.867115,1.0091863665804444,120303616
10938821,62817285.35852088,123901056.064767,1.0092482197529278,120688640
10939033,62135826.90089258,123908053.202967,1.0094967428911292,120655872
10939256,62073222.492193155,124152103.090251,1.0095635601936872,120877056
10939433,62074884.817209475,124477922.663232,1.0096051588122994,121204736
10939528,60819907.69184642,123565270.886383,1.0099264352977393,120246272
10939655,59372831.685190104,125083055.892771,1.0106551327192634,121720832
10939901,60009648.6394955,122800361.711241,1.0102063594421973,119353344
10940319,60086362.06087566,122880651.942041,1.010185872881523,119443456
10940745,60626702.712874375,123925045.965094,1.0100434700073833,120598528
10941138,60664901.48585682,124005221.170161,1.010183989300115,120524800
10941325,60776151.29453379,124014809.219901,1.01014190951774,120541184
10941628,60695981.81230253,124115500.226754,1.0102035179732507,120623104
10941838,60619784.19827981,124204826.345233,1.010242342729377,120705024
10942180,59040217.211688355,120298442.423641,1.010107149065328,116936704
