block,reserve DAI,reserve USDC,price,volume for slippage 5%
9906913,1,1.000001,0.9223266190566739,1.088897705078125
9910968,609.0980250077054,975.48873,1.0079705777908383,915.84375
9911108,609.2500514352419,975.167002,1.0079591406599908,915.53125
9920346,544.7744757915889,1137.404243,1.0136324768442189,1075.34375
9921563,4462.512694701115,7381.538918,1.0124108677503108,6543.25
9921731,7349.7026416330455,12434.674141,1.0108382826650553,11405.5
9921931,27234.753486764595,121873.657155,1.0712024967139093,55770
9922039,54414.89419752138,118829.306894,1.0205318069188987,106252
9922124,114285.52201518581,167166.109697,1.0059183877823712,157532
9922209,84232.66325453509,193786.589528,1.0165187305095726,182648
9922331,101863.26711269662,200074.992543,1.013010227047005,187448
9922574,106397.58785953051,204418.800718,1.0129276050693075,190488
9922627,127594.62829359894,230893.242494,1.0119397212425822,213688
9922872,132345.21230308618,243368.776027,1.012443371493006,225016
9923145,141199.63062809853,264322.846302,1.0128352210493674,244632
9923340,153014.8140730373,278749.434849,1.0119427226232893,258536
9923408,154915.60592813796,298814.590665,1.012950821736274,278696
9923474,170351.4191105325,316432.24437,1.0124846429159602,293368
9923554,177030.99423734474,340156.431619,1.0133471806041503,315480
9923616,178397.63045184498,363171.441399,1.0149486875615419,336720
9923755,184316.35353497398,353796.323806,1.0136240110773589,326992
9924022,181410.16246655385,349290.51727,1.014177700044162,321104
9924154,188721.35885870346,364819.420317,1.0139141616712943,336816
9924254,221082.8294528365,429046.461658,1.0137023457624978,397552
9924364,213571.3042877539,405994.224632,1.0140304798566386,372304
9924527,217794.0187620987,424590.439239,1.0143630150973841,391056
9924680,239805.15339519054,497189.751768,1.016989891635127,453680
9924775,249115.37171719022,483424.61014,1.0150548585639687,441040
9924870,248294.90884906938,473986.135904,1.0149679220196914,430416
9924935,255216.64354261587,528991.704153,1.0165333830485568,485008
9924980,261490.30704960148,523215.766037,1.0157144352787961,478608
9925041,288394.37587175355,599070.1678,1.016583572750468,549328
9925087,282047.2044842142,581595.887289,1.0168433782826864,530640
9925349,298461.90624112356,625146.026684,1.0175369232411953,569008
9925510,299425.51395414973,626511.307196,1.0181733342298267,566192
9925705,310980.82919824,668726.978742,1.0189258213076404,604976
9925827,363551.0966145482,732364.746128,1.0169768898678744,662048
9925981,365273.80081958807,781437.111052,1.0182255060570875,710944
9926067,370557.74644796446,784150.461993,1.0179997787920763,712608
9926149,383182.2838179556,754175.603864,1.0159412536117074,684320
9926233,423850.3867791108,740752.287682,1.0123064674075328,673760
9926266,455384.87215820793,823163.447922,1.0123341474639818,757728
9926398,448761.81986929174,831547.003621,1.013029100323835,765216
9926562,456907.4557253866,930125.302101,1.0148321632854016,863456
9926759,483272.8348434832,903076.525867,1.012696704657297,836704
9926921,474461.05801545427,992138.310181,1.0153043637465093,923488
9927036,521577.32993851183,950442.177838,1.0118788216072745,882272
9927113,522762.6706472206,995969.446773,1.0127405124909037,927776
9927315,500056.38998614525,1074740.923037,1.0159197972720013,1001696
9927480,503959.24356907146,1092127.109715,1.0160331036235257,1018976
9927545,527444.3440691599,1172427.197347,1.0176750268472479,1084448
9927600,532626.4758128517,1177536.755459,1.0174901961522689,1089504
9927751,536237.3917172056,1187687.95373,1.0174519425284878,1099808
9927856,583212.5100258648,1232128.677376,1.0158246085528884,1144160
9927942,616130.7755260492,1384033.556917,1.0185284214413126,1273632
9927994,705675.6788983978,1601876.294387,1.0191190201780396,1470272
9928020,912012.2504596099,2049529.618813,1.0186627133660595,1883968
9928059,923084.2478932868,2047401.600499,1.0181305495116326,1884480
9928089,926274.3845797029,2060191.57415,1.0181229541761323,1897920
9928119,991566.3805795017,2298477.289965,1.0197515992680475,2109632
9928152,1033944.5345275936,2630153.783785,1.0217141973545427,2431296
9928174,1066085.8113530125,2598147.543715,1.020079186405191,2409024
9928210,1132520.034148604,2584610.412984,1.01765345685189,2407616
9928372,1153871.5657322747,2580093.981129,1.0169088313163046,2407104
9928484,1138998.3180672238,2610570.506491,1.0175755997589757,2436032
9928720,1148671.4869951915,2589673.212303,1.0174123119717917,2410048
9928963,1154497.4996355367,2575314.998903,1.0170462969186258,2398144
9929127,1155690.8409902295,2626052.133317,1.0175565247196154,2445632
9929409,1205943.6390624833,2575598.845796,1.0157766749054948,2399808
9929628,1174255.9049053665,2602653.21214,1.0169705750346965,2421312
9929790,1203379.2024602932,2610108.561302,1.0163409298262258,2428864
9929886,1225795.5519088074,2612276.691302,1.0156521533340757,2435520
9930059,1251599.4970117027,2694674.421045,1.0157678622812685,2516288
9930203,1245375.0464628332,2732855.023488,1.0162308290947886,2553280
9930246,1261927.784303569,2717207.248886,1.0156518084693311,2540224
9930523,1291575.2402919515,2751072.756158,1.0151307036024817,2577536
9930703,1272987.6597783957,2778872.350533,1.015809285124308,2602880
9930763,1241381.8481597942,2800753.414396,1.016874613373289,2619520
9930977,1245614.7353076835,2784796.901964,1.0166656013862072,2603648
9931137,1215014.5290330555,2613334.774962,1.0168136540364856,2415296
9931226,1206630.2003965518,2593494.845192,1.0169712161944344,2392768
9931403,1204515.3131947545,2613625.888405,1.0172814412243811,2410560
9931592,1205476.1492427802,2614652.061399,1.0172635505186476,2411584
9931783,1223316.9813414467,2546197.151711,1.0162958196897074,2343232
9932318,1243602.8732139347,2552648.95308,1.0156816350674178,2354368
9932526,1230402.8355141385,2577556.670233,1.0162552877120774,2377536
9932762,1221520.4927554573,2586711.717915,1.016594806193975,2385216
9933548,1226213.8703783103,2584767.521352,1.0164531655827729,2383680
9933695,1257904.7455303401,2665972.830714,1.0158950945141478,2476096
9933812,1260641.2399384046,2714784.679683,1.0160698179295773,2527936
9934058,1250281.2961270777,2720865.912119,1.0164016763938502,2532672
9934233,1261292.270108409,2718732.555468,1.0160719269556218,2532160
9934359,1218539.1947527253,2685842.415869,1.0172439933350585,2488768
9934588,1236544.1149231053,2708967.278171,1.017677163547637,2495680
9934738,1337629.2483519902,2694340.746317,1.014440066460119,2503872
9934932,1338670.9887645752,2784284.758685,1.0150827151674133,2593408
9935265,1337882.7611820162,2777042.655066,1.0149410519287758,2589056
9935479,1351895.3407764162,2801583.630173,1.0146199844765136,2619008
9935715,1394416.0286694523,2834271.652593,1.013794480136873,2657920
9936014,1415129.0490930013,2839812.849775,1.013225549413276,2669696
9936268,1430520.466435822,2853103.938084,1.0129718999293618,2685056
9936411,1450222.3856985075,2861376.515467,1.0126195646757263,2695040
9936654,1433426.7460254938,2882633.967778,1.0129793185636904,2718336
9936774,1438520.6022663629,2877026.494195,1.0128436153015064,2712960
9936937,1462298.9021790256,2870756.658401,1.0123628262813518,2707584
9937123,1485476.4493301737,2860867.913062,1.0118608160412546,2699392
9937448,1469428.8855068984,2886121.896359,1.0123240621727077,2723712
9937724,1468413.6257295674,2876938.280346,1.0122664149829206,2714752
9938048,1473713.821340502,2859175.042196,1.0120714046481083,2696832
