block,reserve USDC,reserve DAI,price,volume for slippage 5%
9906913,1.000001,1,0.9223260980043602,1.088897705078125
9910968,975.48873,609.0980250077054,0.992039901086625,516.859375
9911108,975.167002,609.2500514352419,0.9920511880947289,517.046875
9920346,1137.404243,544.7744757915889,0.9864810280695091,436.078125
9921563,7381.538918,4462.512694701115,0.9877308689701241,3455.875
9921731,12434.674141,7349.7026416330455,0.9892725928179942,5932.25
9921931,121873.657155,27234.753486764595,0.9335256708049553,13296.5
9922039,118829.306894,54414.89419752138,0.9798802731621024,39323
9922124,167166.109697,114285.52201518581,0.9941161801092531,99716
9922209,193786.589528,84232.66325453509,0.9837492020253926,65290
9922331,200074.992543,101863.26711269662,0.9871564870367621,81588
9922574,204418.800718,106397.58785953051,0.9872370165294457,84972
9922627,230893.242494,127594.62829359894,0.9882008476930718,102468
9922872,243368.776027,132345.21230308618,0.9877092622097042,105644
9923145,264322.846302,141199.63062809853,0.9873271499524334,112324
9923340,278749.434849,153014.8140730373,0.9881979697283125,123076
9923408,298814.590665,154915.60592813796,0.987214505283458,123772
9923474,316432.24437,170351.4191105325,0.9876690699661127,136188
9923554,340156.431619,177030.99423734474,0.9868283918105365,140292
9923616,363171.441399,178397.63045184498,0.9852712463581299,139028
9923755,353796.323806,184316.35353497398,0.9865588837889021,145292
9924022,349290.51727,181410.16246655385,0.9860202614509661,141660
9924154,364819.420317,188721.35885870346,0.9862765638380135,148204
9924254,429046.461658,221082.8294528365,0.9864826851051316,174440
9924364,405994.224632,213571.3042877539,0.9861634496605669,166744
9924527,424590.439239,217794.0187620987,0.9858401639208458,169976
9924680,497189.751768,239805.15339519054,0.9832937456192427,181256
9924775,483424.61014,249115.37171719022,0.9851682483408877,191848
9924870,473986.135904,248294.90884906938,0.9852526294976546,190776
9924935,528991.704153,255216.64354261587,0.983735343521454,194344
9924980,523215.766037,261490.30704960148,0.9845285143213992,200424
9925041,599070.1678,288394.37587175355,0.983686796151723,219512
9925087,581595.887289,282047.2044842142,0.9834354549799091,213448
9925349,625146.026684,298461.90624112356,0.982765158482892,224056
9925510,626511.307196,299425.51395414973,0.9821508741172081,222456
9925705,668726.978742,310980.82919824,0.9814255493567458,229576
9925827,732364.746128,363551.0966145482,0.9833063802423184,273176
9925981,781437.111052,365273.80081958807,0.9821005829865035,272344
9926067,784150.461993,370557.74644796446,0.9823183523880598,276680
9926149,754175.603864,383182.2838179556,0.9843087604862519,291496
9926233,740752.287682,423850.3867791108,0.987843041020861,334800
9926266,823163.447922,455384.87215820793,0.9878160415687678,362768
9926398,831547.003621,448761.81986929174,0.9871383819289156,354832
9926562,930125.302101,456907.4557253866,0.9853845222466446,356784
9926759,903076.525867,483272.8348434832,0.9874623981872745,385328
9926921,992138.310181,474461.05801545427,0.9849262398920571,369360
9927036,950442.177838,521577.32993851183,0.9882605544866377,420080
9927113,995969.446773,522762.6706472206,0.9874196914892341,418224
9927315,1074740.923037,500056.38998614525,0.9843295852485557,387184
9927480,1092127.109715,503959.24356907146,0.9842198150801564,390032
9927545,1172427.197347,527444.3440691599,0.9826318661680131,399408
9927600,1177536.755459,532626.4758128517,0.9828103661001301,404112
9927751,1187687.95373,536237.3917172056,0.9828473181729495,407216
9927856,1232128.677376,583212.5100258648,0.9844218343009272,450928
9927942,1384033.556917,616130.7755260492,0.9818085579386113,461264
9927994,1601876.294387,705675.6788983978,0.9812395896322853,524528
9928020,2049529.618813,912012.2504596099,0.9816791494654478,681440
9928059,2047401.600499,923084.2478932868,0.982192262216912,693792
9928089,2060191.57415,926274.3845797029,0.9821995898116639,696608
9928119,2298477.289965,991566.3805795017,0.9806309197649917,732640
9928152,2630153.783785,1033944.5345275936,0.9787472383926422,753120
9928174,2598147.543715,1066085.8113530125,0.9803160052773747,789920
9928210,2584610.412984,1132520.034148604,0.9826527415279774,861472
9928372,2580093.981129,1153871.5657322747,0.9833722850273647,885152
9928484,2610570.506491,1138998.3180672238,0.9827279271100983,868000
9928720,2589673.212303,1148671.4869951915,0.982885648509338,875360
9928963,2575314.998903,1154497.4996355367,0.9832393705065303,883360
9929127,2626052.133317,1155690.8409902295,0.982746349625404,879840
9929409,2575598.845796,1205943.6390624833,0.9844683271723431,934944
9929628,2602653.21214,1174255.9049053665,0.9833125814505077,898592
9929790,2610108.561302,1203379.2024602932,0.983921766523543,926880
9929886,2612276.691302,1225795.5519088074,0.984589026306179,951904
9930059,2694674.421045,1251599.4970117027,0.9844768697917163,971808
9930203,2732855.023488,1245375.0464628332,0.9840283686002624,962784
9930246,2717207.248886,1261927.784303569,0.984589361911552,981728
9930523,2751072.756158,1291575.2402919515,0.985094790297842,1011616
9930703,2778872.350533,1272987.6597783957,0.984436725488363,989984
9930763,2800753.414396,1241381.8481597942,0.9834053786152356,954080
