block,reserve USDT,reserve DAI,price,volume for slippage 5%
10810138,1,1,0.9341127656062109,1.086029052734375
10859793,2.179015,2.196003517560266,0.994477917472521,2.14166259765625
10868622,49441.265665,17028.377552449416,0.977962176379763,12451.5
10869196,158130.335166,52555.72482493065,0.9801841607849787,39745
10870008,200876.478006,73937.15443597556,0.9822766169866499,57114
10872633,202548.106721,89827.0607018885,0.9884200555353978,75150
10873753,169880.080669,48820.25715833541,0.9774040527490571,35923
10874520,195213.668481,80049.7249249407,0.9863121877262714,65154
10874879,717908.060388,302124.5441581125,0.9866466785556803,246600
10875232,1145249.218716,455702.91561205796,0.9855083533726048,367216
10875575,1650626.77305,641534.3062787994,0.9854653278903558,517776
10875895,1714123.674002,649516.772241662,0.9846110693604461,518448
10876132,3154139.12454,1147268.4706891645,0.9844158767171501,916256
10876207,3763723.892599,1664943.2243919808,0.9884627604356672,1394368
10876293,5206257.407887,2292594.6066888454,0.9874124640092505,1886016
10876404,5902123.432322,2398370.717627278,0.985861549442065,1939520
10876507,7171975.0361,2893702.1454185178,0.9852408689229409,2318528
10876584,7636983.774169,2883012.075901525,0.9839275520944446,2277824
10876759,9175196.52856,3303371.1703849463,0.982455975561884,2563712
10877242,19344213.083301,6983966.972731394,0.982313359644053,5407488
10877389,23626902.378026,8831703.477888444,0.9832376532726347,6911232
10877747,26651348.510628,10005242.99124023,0.9837966295393842,7893248
10878129,28964894.015583,10156155.127967807,0.9821046462720529,7859456
10878951,29020076.458915,10734998.5458656,0.9827846927613376,8351488
10879418,37691828.357916,13477709.832998604,0.98194348650163,10387968
10879861,37299748.934002,12746089.510143358,0.9805781218275095,9670912
10880052,36502873.258548,13417194.024361337,0.9832636434894291,10520064
10880247,37074240.268175,15724990.35624923,0.9874984029168608,13010432
10880617,37707766.693734,15981598.247658193,0.9876012627469486,13246976
10881145,40084540.109863,16703032.531400792,0.9866624256539163,13651456
10881723,40626889.504358,16110795.170311753,0.9853965712564202,12963328
10882135,41326744.029224,15342113.359638976,0.9839999235792393,12153344
10882434,41303004.371402,15285929.50968083,0.9837637770033797,12068352
10882712,41826662.720715,15119100.683571666,0.9831313421431221,11848192
10882963,41930490.840557,14739622.79975754,0.9822369501863784,11426304
10883250,41864170.131481,15007281.853895428,0.9827646207824161,11704832
10883484,42195893.270275,15411973.418400247,0.9834769221152344,12129792
10883761,43164609.833643,15405642.214638183,0.9827628708007059,12020224
10884216,43191872.720644,15289565.446520071,0.9824280460446846,11878912
10884410,44042838.804381,15187144.965697635,0.9814597801174829,11659776
10884571,44376493.377384,15186900.5092739,0.9812607338978461,11634176
10885008,44888162.913503,14720705.046071766,0.9797671200513834,11080192
10885359,47401291.17318,14414091.992066165,0.9771770166190351,10536448
10885653,47447736.983864,14488239.611637514,0.977235560677941,10594816
10886041,44739919.124808,13706900.642558295,0.9773138204058386,10031872
10886264,44719453.942584,14002218.430518255,0.9782286695901734,10357248
10886555,44591313.458589,14532750.984364849,0.9797298189956061,10937856
10886673,55393291.457809,16980370.984377887,0.977910783406718,12525056
10886935,54528383.908044,17570496.050312527,0.9795812359374424,13208064
10887402,52599686.798563,18324695.694829103,0.9816874678056509,14103040
10888182,51664489.736075,19053939.637610536,0.9834587321528969,14978560
10888686,51109385.742736,19335690.959996514,0.9841183173971827,15318528
10889068,51360229.308828,19176835.597750816,0.9836875025198931,15110656
10889220,67119217.454405,23330589.530193742,0.9815657175344719,17927680
10889362,68191689.183962,23665608.80704839,0.9816254375152557,18203136
10889568,67380750.590173,24481015.543649875,0.9827729871434752,19073536
10889695,68604484.624652,24709422.77788517,0.9826562041430427,19233280
10889928,69241181.148867,25408130.323142014,0.9832168032183118,19910144
10890090,73659858.299139,26906690.314603675,0.9832287343324887,21097472
10890228,67904239.460646,24322714.315861747,0.9828109675436982,18985472
10890365,68472774.889629,24912437.361245025,0.9834700699838294,19611136
10890465,68482438.585236,25626028.65258486,0.984051155642928,20301312
10890566,72278244.698595,26696219.493112344,0.983385338215949,20960256
10890679,90278721.835912,31607628.51972193,0.9815067606440954,24251392
10890940,89119465.787366,33674319.321961984,0.9838984635151632,26590208
10891115,89430988.5293,35319464.18232332,0.9853376937082832,28404736
10891406,88373087.418691,41566315.155610554,0.9899265348799453,35499008
10891519,87655818.137229,41764508.849626094,0.9900833561509682,35716096
10891849,94888093.774749,42987323.648285955,0.9892338557655586,36404224
10892022,97569129.180189,42939231.81837971,0.988625332428985,36084736
10892266,95746939.569371,42580809.23286696,0.9887747872223963,35836928
10892397,95506633.82985,43035077.437978655,0.9890483916028667,36344832
10892624,94215891.274228,44030021.53987566,0.9897588850492655,37514240
10893087,94449634.914676,41997790.284464374,0.9885392206657214,35200000
10893326,95876642.55492,43062460.25911397,0.9888695847996686,36264960
10893570,97800229.940452,42444872.49161236,0.9882881544626217,35511296
10893684,95332162.268149,45820561.620197356,0.9904154782379258,39392256
10894013,94515920.58288,45268868.02862458,0.9901605829197749,38745088
10894433,94504993.493887,46081415.0204548,0.9905499218934223,39648256
10894533,93295354.202514,49209860.28211709,0.9920653371584719,43194368
10894693,92516847.039443,44643501.85505127,0.9903882842616106,38341632
10894803,91856377.154513,44781831.92505127,0.9905317095355103,38515712
10895111,91428648.218772,45229796.83743286,0.9907911182954713,39025664
10895313,95108366.284891,47508404.536054686,0.9908213147890836,40962048
10895479,95374330.221919,47513440.29160045,0.9907851835236969,40952832
10895722,95316153.965176,47544991.11705706,0.9908043201490162,40990720
10895943,95393431.791603,47006023.76065503,0.9905304671272261,40373248
10896083,103326418.704516,50630642.24716273,0.9908096690256852,43755520
10896290,102306553.847026,51431344.65964744,0.9912431668515779,44681216
10896707,104417800.192793,51287582.079990715,0.990783078223862,44288000
10896959,112603978.497234,51999860.79851628,0.9898505540163786,44439552
10897281,112745340.727644,52000379.598516285,0.9897732640467308,44382208
10897726,112129346.203543,51952768.8235192,0.9898075616458425,44349440
10898174,112226386.650839,51869324.789289765,0.9897589265259001,44251136
10898318,113673146.534699,51662324.42101813,0.989468967642809,43923456
10898753,112961582.806738,51613463.69514883,0.9895132034237071,43890688
10899049,113080279.182228,50749434.80352177,0.989088949861339,42911744
10899302,112322979.425413,50475896.51139496,0.9890299258250034,42629120
10899573,112299037.996542,54538963.48783868,0.9906041506650326,46995456
10899871,112687899.921688,54353767.29015913,0.9904654335370093,46753792
10900131,111581649.424304,55629624.20973823,0.9910177151421771,48166912
10900459,111899850.082307,55176335.26495854,0.9907616524823251,47601664
10900678,112286753.059239,54421205.984815724,0.9904316035212509,46753792
10901057,112838924.563031,54221354.300423294,0.9902569901524099,46475264
10901268,112952958.933991,54181095.86871849,0.9902244701205194,46422016
10901481,112869418.072977,54253608.0075694,0.9902595692232949,46503936
10901798,110951867.178466,56258845.57289095,0.9912242119667636,48801792
10902025,110685509.864383,53967688.40488436,0.9903095810051703,46217216
10902335,112858159.984707,52487640.14248329,0.9894321042151463,44476416
10902617,112752853.973383,52553114.286209166,0.9894580670683941,44537856
10902948,112807631.168808,53373467.70201951,0.9898565519900092,45488128
10903326,112101460.519479,53474013.13824629,0.9900031647703461,45656064
10903641,113603620.448491,51776797.62130241,0.9891927192638563,43784192
10904124,116384688.175142,48438255.45468479,0.9871560499559985,39922688
10904317,100195774.91432,45335413.478756405,0.9890503163136275,38269952
10904711,100224172.982074,46340982.856620766,0.9894347043359428,39296000
10905189,100169942.559107,46378257.131449,0.9894664285887953,39343104
10905517,102395656.64927,46471334.99416824,0.9891515550223117,39287808
10905694,101139983.341864,48192046.57203731,0.9901097447807242,41232384
10906367,101252895.086507,46939552.32553811,0.9894880843819666,39830528
10906710,101028082.805669,47264023.28953361,0.9896810437190812,40205312
10906897,99085025.54288,46958097.921365805,0.9898328164821377,39994368
10907041,101872436.985877,45174699.23541186,0.9885865559218447,37905408
10907396,98311010.401452,44678754.37795645,0.9892480444394046,37833728
10907888,98295423.566365,44644587.75378987,0.9892210955389281,37788672
10908244,98522802.092376,44748802.718818955,0.989203211982001,37864448
10908312,98530419.846982,44750112.71128653,0.9892002772535294,37862400
10908728,97965360.646162,45275432.12887061,0.9895204766801521,38454272
10908915,98266659.88458,45849851.29645566,0.9897462458887861,39062528
10909267,98143884.652282,46043512.32475042,0.9898634819238309,39287808
10909584,96347195.301431,45149031.206931785,0.9898146214977257,38493184
10909978,96322268.894796,45213265.81590084,0.9898371945535445,38556672
10910159,101387526.527158,45037077.520556994,0.9887539692276764,37895168
10910420,101505868.676865,45299282.12892168,0.9888545834369732,38165504
10910678,100208512.73001,45578960.55207256,0.9891394772374519,38515712
10910876,100021333.530296,45649964.85256096,0.9891777942199333,38587392
10911017,99727473.895236,45892602.59400638,0.9893389896539302,38867968
10911259,99556369.418225,46064233.839758016,0.9894479920500906,39066624
10911717,101022114.768422,46114803.6933927,0.9892297570464842,39015424
10912030,100278370.573396,46685370.97582302,0.9896199270173587,39691264
10912454,99501884.502267,46637160.092747964,0.9897052298262679,39681024
10912807,94418185.806976,46764017.623552494,0.9905674030165544,40166400
10912929,98105554.37093,45645508.291285425,0.9894404108328285,38681600
10913276,99167701.306608,45562566.11981454,0.9892492020722337,38534144
10913419,99362402.048101,45377259.63868068,0.9891279580139449,38319104
10913703,99485599.929457,46562895.281030975,0.9897465112814205,39654400
10913965,97783465.855762,45511062.86951654,0.9894312358548042,38558720
10914177,97917074.112123,45519645.82869568,0.9894239452642456,38566912
