block,reserve USDT,reserve DAI,price,volume for slippage 5%
9906913,1,1,0.9223261190581478,1.088897705078125
9910968,954.075628,609.0980250077054,0.9923357799601155,517.390625
9911108,953.859617,609.2500514352419,0.9923457084369709,517.578125
9920346,953.739617,544.7744757915889,0.9888676117250088,440.359375
9921563,3181.142783,4462.512694701115,1.0124810444464785,3496.625
9921731,6674.592783,7349.7026416330455,1.002648694005908,6071.25
9921931,77666.988078,27234.753486764595,0.9444136692274648,13787.5
9922039,79505.999772,54414.89419752138,0.9882863751590245,40250
9922124,92752.757926,114285.52201518581,1.0043177138313102,101668
9922209,114720.947185,84232.66325453509,0.9923604197173902,67194
9922331,158616.310038,101863.26711269662,0.9906382447325968,82620
9922574,177243.336688,106397.58785953051,0.9893610631519624,85644
9922627,201814.71858,127594.62829359894,0.990300763269568,103212
9922872,208795.711843,132345.21230308618,0.9901352091571308,106524
9923145,233284.301702,141199.63062809853,0.9892608019669535,113100
9923340,234751.926316,153014.8140730373,0.9908898077129933,124196
9923408,242014.388669,154915.60592813796,0.9904449241028298,125188
9923474,247547.782285,170351.4191105325,0.9916704136835365,137964
9923554,254429.250465,177030.99423734474,0.991644691899989,142484
9923616,274429.250862,178397.63045184498,0.9898696855857548,141220
9923755,299245.163864,184316.35353497398,0.9892236164030445,146652
9924022,312200.108953,181410.16246655385,0.9878149344996656,142572
9924154,314187.709548,188721.35885870346,0.988646621334618,149460
9924254,341699.267182,221082.8294528365,0.9901560120629129,176632
9924364,365065.280403,213571.3042877539,0.9878852011451937,167752
9924527,365140.477206,217794.0187620987,0.9882681682004887,171432
9924680,397987.324799,239805.15339519054,0.9871735095536048,183640
9924775,404564.361407,249115.37171719022,0.9882420166762549,193800
9924870,425125.078686,248294.90884906938,0.987117337758841,191976
9924935,425125.078686,255216.64354261587,0.9874397332575106,196840
9924980,433306.099665,261490.30704960148,0.9877358952807814,202616
9925041,451379.183969,288394.37587175355,0.9886416256633588,223128
9925087,475460.22959,282047.2044842142,0.9869170530577731,216008
9925349,505745.681495,298461.90624112356,0.9864825591293164,226904
9925510,518067.999381,299425.51395414973,0.9855711243236618,225032
9925705,525176.439717,310980.82919824,0.9858389378663054,232968
9925827,607875.413064,363551.0966145482,0.9866763394635384,276200
9925981,613781.671448,365273.80081958807,0.9863919492922448,276328
9926067,620010.051293,370557.74644796446,0.9865122784174923,280600
9926149,636210.175287,383182.2838179556,0.9873137907844338,294392
9926233,684561.161361,423850.3867791108,0.9891776872286284,336272
9926266,732625.090887,455384.87215820793,0.9896804008926547,365072
9926398,736436.936222,448761.81986929174,0.9890857389574738,357232
9926562,739489.989075,456907.4557253866,0.9890224132597388,361456
9926759,796581.626667,483272.8348434832,0.9893919548506607,387984
9926921,843917.360123,474461.05801545427,0.987352690178532,372848
9927036,909656.732928,521577.32993851183,0.9889006901265199,421072
9927113,909704.59075,522762.6706472206,0.9887375749746975,420336
9927315,909814.146607,500056.38998614525,0.9868013503986016,390992
9927480,914872.98703,503959.24356907146,0.9868394485241019,394128
9927545,1037170.327305,527444.3440691599,0.984484074241195,402416
9927600,1044382.864418,532626.4758128517,0.9846203849651889,407088
9927751,1044487.931636,536237.3917172056,0.9847830546182363,410416
9927856,1069005.472004,583212.5100258648,0.9865582673561949,454736
