block,reserve USDT,reserve USDC,price,volume for slippage 5%
9906913,1,1.000001,0.9223266190566739,1.088897705078125
9910968,954.075628,975.48873,1.000284445974252,907.96875
9911108,953.859617,975.167002,1.0002830681894477,907.65625
9920346,953.739617,1137.404243,1.0024060422234735,1070.09375
9921563,3181.142783,7381.538918,1.0250528791270066,6428.75
9921731,6674.592783,12434.674141,1.0135191594456228,11394.5
9921931,77666.988078,121873.657155,1.0116628639798386,106428
9922039,79505.999772,118829.306894,1.00857847746895,107196
9922124,92752.757926,167166.109697,1.010261808388964,157780
9922209,114720.947185,193786.589528,1.0087533472514472,183032
9922331,158616.310038,200074.992543,1.0035269738695227,186840
9922574,177243.336688,204418.800718,1.0021514283934911,189560
9922627,201814.71858,230893.242494,1.0021249176601565,212648
9922872,208795.711843,243368.776027,1.0024560656415449,224056
9923145,233284.301702,264322.846302,1.0019584095981133,243448
9923340,234751.926316,278749.434849,1.0027239267522094,257464
9923408,242014.388669,298814.590665,1.003272199890138,277768
9923474,247547.782285,316432.24437,1.0040512435318187,292648
9923554,254429.250465,340156.431619,1.004880530075959,315064
9923616,274429.250862,363171.441399,1.0046671286374682,336496
9923755,299245.163864,353796.323806,1.0027009890334475,325872
9924022,312200.108953,349290.51727,1.0018200693962727,319800
9924154,314187.709548,364819.420317,1.0024029887005885,335600
9924254,341699.267182,429046.461658,1.0037236191483772,396624
9924364,365065.280403,405994.224632,1.0017458668171633,370800
9924527,365140.477206,424590.439239,1.0024628373929552,389808
9924680,397987.324799,497189.751768,1.0039456416520414,454160
9924775,404564.361407,483424.61014,1.0031200052125033,440464
9924870,425125.078686,473986.135904,1.0018925812569284,429296
9924935,425125.078686,528991.704153,1.0037656001984385,485072
9924980,433306.099665,523215.766037,1.0032577478317046,478192
9925041,451379.183969,599070.1678,1.0050369648745707,550064
9925087,475460.22959,581595.887289,1.003540207209077,530896
9925349,505745.681495,625146.026684,1.003782561198152,569904
9925510,518067.999381,626511.307196,1.0034823759154514,567600
9925705,525176.439717,668726.978742,1.0044968844292474,607504
9925827,607875.413064,732364.746128,1.0034271438081046,662816
9925981,613781.671448,781437.111052,1.0043695527891066,712928
9926067,620010.051293,784150.461993,1.004269390085356,714464
9926149,636210.175287,754175.603864,1.0030529091063176,684064
9926233,684561.161361,740752.287682,1.0013510476064804,670432
9926266,732625.090887,823163.447922,1.00188733446004,754080
9926398,736436.936222,831547.003621,1.0019727092310555,761824
9926562,739489.989075,930125.302101,1.003691829863547,861856
9926759,796581.626667,903076.525867,1.0019540378644414,832544
9926921,843917.360123,992138.310181,1.0024635690905765,920480
9927036,909656.732928,950442.177838,1.0006477240113054,875680
9927113,909704.59075,995969.446773,1.0013346588122172,922016
9927315,909814.146607,1074740.923037,1.0025110999475901,998880
9927480,914872.98703,1092127.109715,1.0026616192675066,1016352
9927545,1037170.327305,1172427.197347,1.0018849318974834,1082400
9927600,1044382.864418,1177536.755459,1.0018416625685655,1087136
9927751,1044487.931636,1187687.95373,1.0019695049923234,1097568
9927856,1069005.472004,1232128.677376,1.0021702280454947,1140512
9927942,1263625.977357,1384033.556917,1.0014165688170054,1271840
9927994,1490556.678016,1601876.294387,1.0011243089098536,1468736
9928020,1896763.467308,2049529.618813,1.0012051168688423,1881024
9928059,1889155.360099,2047401.600499,1.001246886717073,1880640
9928089,1882952.113907,2060191.57415,1.001393498861424,1894208
9928119,2056424.290056,2298477.289965,1.0017639025253262,2110912
9928152,2159196.926411,2630153.783785,1.003067888961704,2441280
9928174,2177128.750721,2598147.543715,1.00270195950375,2412608
9928210,2186147.200468,2584610.412984,1.0025095174985161,2404032
9928372,2182878.24488,2580093.981129,1.0024893165363895,2401856
9928484,2179418.998862,2610570.506491,1.0026911648974157,2432704
9928720,2271618.874611,2589673.212303,1.0019433577403458,2404160
9928963,2281095.056885,2575314.998903,1.0017865389255147,2390848
9929127,2281536.47789,2626052.133317,1.0020837083171255,2440384
9929409,2282507.496151,2575598.845796,1.001783696770317,2390208
9929628,2282507.496151,2602653.21214,1.0019567930403728,2414656
9929790,2361903.503493,2610108.561302,1.001468980143416,2419008
9929886,2364486.975722,2612276.691302,1.0014501844653658,2424128
9930059,2403683.469666,2694674.421045,1.0016555812456798,2505408
9930203,2400157.323973,2732855.023488,1.001883644650047,2543936
9930246,2400157.323973,2717207.248886,1.0017928322715368,2529344
9930523,2395650.056035,2751072.756158,1.0019865362126072,2566016
9930703,2395650.056035,2778872.350533,1.0021378213426624,2593408
9930763,2405381.304706,2800753.414396,1.0022080609484563,2612352
9930977,2425590.547795,2784796.901964,1.0019972869468787,2595200
9931137,2485590.547795,2613334.774962,1.000750837090133,2404544
9931226,2515590.547795,2593494.845192,1.0004572665824751,2381504
9931403,2522795.25429,2613625.888405,1.0005318550206015,2400192
9931592,2522296.207878,2614652.061399,1.0005407389602565,2401216
9931783,2525404.607335,2546197.151711,1.000124065490858,2329920
9932318,2525404.607335,2552648.95308,1.0001607119258356,2339776
9932526,2521344.337505,2577556.670233,1.0003309916319114,2364480
9932762,2523875.269269,2586711.717915,1.0003696721939261,2373056
9933548,2524200.94292,2584767.521352,1.0003563209377662,2371136
9933695,2526207.729843,2665972.830714,1.0007856231453067,2462656
9933812,2525920.939275,2714784.679683,1.001041650966053,2515264
9934058,2533137.767763,2720865.912119,1.0010334148249118,2520512
9934233,2529468.525471,2718732.555468,1.0010407103924386,2519488
9934359,2639468.525471,2685842.415869,1.0002515971063985,2475584
9934588,2643715.381797,2708967.278171,1.0003664053593206,2485312
9934738,2641740.200214,2694340.746317,1.000283471768052,2485568
9934932,2642303.195521,2784284.758685,1.0007504950075978,2577280
9935265,2653447.775521,2777042.655066,1.0006469594578185,2572160
9935479,2671271.105384,2801583.630173,1.000665090383194,2601088
9935715,2669599.915041,2834271.652593,1.0008240422072356,2638976
9936014,2640415.507083,2839812.849775,1.000992057035248,2650752
9936268,2640545.597083,2853103.938084,1.0010500326097524,2665600
9936411,2640809.545269,2861376.515467,1.0010831943744416,2675584
9936654,2611632.824491,2882633.967778,1.0013321549492709,2699904
9936774,2615100.722078,2877026.494195,1.0012864127034722,2694272
9936937,2621157.917941,2870756.658401,1.0012222442294925,2688384
9937123,2626466.790367,2860867.913062,1.001143247810829,2679424
9937448,2626466.790367,2886121.896359,1.0012637187170492,2704256
9937724,2623534.467285,2876938.280346,1.0012351699010573,2695296
9938048,2631649.800677,2859175.042196,1.0011101370852995,2676864
9938430,2631649.790692,2839123.821101,1.0010165892932656,2656128
9939348,2631691.509132,2835750.060081,1.0009989363570553,2653312
9939834,2622646.082775,2772839.947054,1.0007514020176782,2587264
9940130,2622646.082775,2800538.011457,1.000887623069066,2614656
9940354,2622646.082775,2807405.728062,1.0009177421837567,2622848
9940830,2659765.60398,2772019.360354,1.0005564739492323,2583936
9941180,2661627.26398,2833193.88958,1.0008460701824438,2644096
9941416,2683376.338131,2827236.434751,1.000705393890756,2636928
9941584,2683376.338131,2823504.149785,1.000686634996034,2633600
9942103,2678841.084146,2747153.382215,1.000339613962512,2556480
9942451,2676897.27203,2775284.895911,1.0004868177099588,2585216
9942579,2688684.229785,2772046.450645,1.0004141397455881,2579072
9942761,2688787.229785,2778105.182004,1.0004426055939983,2585728
9943093,2689073.097459,2778731.776662,1.0004449917821936,2585728
9943523,2686635.668002,2789646.516782,1.0005095254505518,2597760
9943768,2696016.846401,2790573.364348,1.000465248400354,2598784
9944162,2702938.805201,2799641.500047,1.000474592769571,2607232
9944758,2702938.805201,2842590.332544,1.0006782716261942,2651776
9945160,2720351.361146,2856797.430221,1.000660092354469,2664064
9945613,2720351.361146,2866731.51774,1.000705079956176,2675072
9946032,2715920.833155,2894112.668164,1.0008543834169419,2703488
9946650,2725920.833155,2906810.858386,1.0008629875812753,2715776
9946706,2725920.833155,2932351.569946,1.0009840959088934,2740608
9946888,2725920.833155,2964507.251075,1.0011363153847308,2771840
9947272,2726762.268017,2986184.16072,1.0012372485823025,2792064
9947501,2728276.298645,3013839.100484,1.001361408911763,2818432
9947979,2748375.206415,3026252.600883,1.0013139779338336,2830208
9948293,2748375.246415,3024453.936476,1.001303044465553,2828928
9948483,2802384.1052,2964158.88079,1.0007642428364345,2762880
9948846,2750977.020561,2935083.816177,1.0008803830929691,2738560
9949170,2750297.186455,2923348.195281,1.0008270510833053,2727552
9949738,2714629.021256,2921144.936382,1.0009973642598493,2727296
9950219,2712611.876109,2920675.481517,1.000999192168641,2729088
9950345,2710173.0972,2922438.084102,1.0010185832848237,2731392
9950455,2730173.0972,2894502.981291,1.0007881025842789,2701696
9950505,2728478.753205,2862946.03631,1.0006457461996832,2671232
9950667,2728478.467253,2872942.412025,1.0006894762250584,2683008
9950828,2728517.487304,2932772.996263,1.0009650532138306,2743680
9951108,2728517.487304,2934226.575375,1.0009719575316829,2744960
9951267,2733021.755242,2931152.372149,1.0009345224070023,2741888
9951900,2728489.999426,2972339.949059,1.001141608140398,2784640
9952868,2683229.961744,2982366.374289,1.0014139216329947,2797952
9953174,2719661.601744,2977390.402612,1.0012138275434723,2788736
9953495,2727063.363221,3606909.274029,1.0037992000364107,3425408
9953516,2736196.075373,3563240.717261,1.0035584986541528,3383168
9953534,2738213.261057,3646195.271652,1.0039092313003368,3462784
9953554,2739413.261057,3634251.05433,1.0038493113232205,3451264
9953587,2740623.754391,3622104.742541,1.0037891754946595,3439744
9953626,2741834.441124,3573854.887891,1.0035756988157036,3392896
9953681,2752771.556055,3544548.920968,1.0033949167458442,3363712
9953783,2764503.89662,3520760.690214,1.0032359400899005,3339392
9954318,2805130.309063,3316831.703044,1.0021858656620601,3136640
9955001,2812301.464994,3315520.868127,1.0021476295762544,3134592
9955134,2806952.386721,3342441.058781,1.0022862146813791,3161216
9955321,2868102.650108,3319503.920373,1.0019075196726095,3133568
9955593,2868102.963476,3330644.448323,1.0019534815732258,3144576
9955948,2870428.541451,3366210.677847,1.0020843341702446,3180160
9956356,2873553.482199,3310089.25005,1.001842903567025,3123840
9956850,2873553.482199,3297797.584995,1.0017925141888435,3111808
9956953,2873553.482199,3299128.728052,1.0017973474590995,3113344
9957181,2869516.361635,3301856.921442,1.0018265882678923,3116416
9957363,2910595.879801,3302856.921442,1.0016461478636063,3113600
9957569,2910595.881739,3303382.963426,1.0016479252262729,3114112
9957875,2911004.388235,3083421.767261,1.0007418374796992,2893184
9958114,2900619.020334,3068792.367264,1.0007291309100472,2878080
9958392,2895604.972595,3073209.389545,1.0007708813095297,2882688
9958687,2899558.654915,3072732.916753,1.0007520266856254,2881408
9958845,2905055.500264,3071222.78118,1.0007212148764835,2879360
9959115,2904862.58714,3098331.285147,1.000838554414724,2905984
9959398,2882500.435547,3098332.280563,1.0009390553901605,2908032
9959794,2888071.104223,3145239.391979,1.0011068506112735,2955904
9959993,2888109.443075,3137680.410154,1.0010743397327424,2948736
9960370,2888716.217715,3117949.823706,1.0009872390350245,2929280
9960901,2963725.195046,3133974.724111,1.000720874155803,2939776
9961278,2960364.585697,3138824.78288,1.0007557585746303,2944896
