,index,blocknum,p0vs1,p1vs0,AAVE-slippagemap_01,AAVE-slippagemap_2,AAVE-slippagemap_3,AAVE-slippagemap_4,AAVE-slippagemap_5,AAVE-slippagemap_6,AAVE-slippagemap_7,AAVE-slippagemap_8,AAVE-slippagemap_9,AAVE-slippagemap_10,AAVE-slippagemap_11,AAVE-slippagemap_12,AAVE-slippagemap_13,AAVE-slippagemap_14,AAVE-slippagemap_15,AAVE-slippagemap_16,AAVE-slippagemap_17,AAVE-slippagemap_18,AAVE-slippagemap_19,AAVE-slippagemap_20,USDC-slippagemap_01,USDC-slippagemap_2,USDC-slippagemap_3,USDC-slippagemap_4,USDC-slippagemap_5,USDC-slippagemap_6,USDC-slippagemap_7,USDC-slippagemap_8,USDC-slippagemap_9,USDC-slippagemap_10,USDC-slippagemap_11,USDC-slippagemap_12,USDC-slippagemap_13,USDC-slippagemap_14,USDC-slippagemap_15,USDC-slippagemap_16,USDC-slippagemap_17,USDC-slippagemap_18,USDC-slippagemap_19,USDC-slippagemap_20
0,0,12419881.0,540.2802815455657,0.0018508911654878948,0.0638319550503295,0.14023509173074,0.14023509173074,0.14023509173074,0.14023509173074,0.14023509173074,0.14023509173074,0.14023509173074,0.14023509173074,0.14023509173074,0.14023509173074,0.14023509173074,0.14023509173074,0.14023509173074,0.14023509173074,0.14023509173074,0.14023509173074,0.14023509173074,0.14023509173074,0.14023509173074,69.10719611281468,110.18043394862144,130.62482756148822,171.33008306341466,211.79185016866037,231.9318813822357,272.03114463278666,311.8905449548569,331.7307448042731,371.23303760541484,410.499037840766,430.0438705099021,468.95807989645385,507.6395147282862,526.8933772929404,610.3135490140721,693.2347217659269,734.5091178919289,816.6873854480947,898.3740853858493
1,1,12430004.0,540.2802815455657,0.0018508911654878948,0.0760796679898701,0.16714260453077892,0.18171471320496713,0.1889680474570258,0.20340960213207282,0.21776477123851276,0.224910122872191,0.23913668150390088,0.25327814044078156,0.2603171169339814,0.2743318802039905,0.28826281072232957,0.2951969956388324,0.30900311656136215,0.32272665297733144,0.3295576063341608,0.3431581912546504,0.35667742079977355,0.3634066797903946,0.37680478816391144,82.36709234157546,131.32122973801447,155.68837746355,204.20392616619645,248.55330261532404,268.69333382889937,308.7925970794504,348.6519974015206,368.4921972509368,407.9944900520785,447.2604902874297,466.8053229565658,505.7195323431176,544.4009671749499,563.6548297396041,647.0750014607357,729.9961742125905,771.2705703385925,853.4488378947583,935.135537832513
2,2,12446650.0,514.2402221975482,0.0019446164590677323,0.08861678056631579,0.18189155289707004,0.2746083807214928,0.32075860746478824,0.4126447683692811,0.5039812903964532,0.5494444645024334,0.5640165731766217,0.5785015154565526,0.5857114621037274,0.6000666312101672,0.6143359314398394,0.6214385414755554,0.6355800004124361,0.6496368690055767,0.656633740175645,0.6705646706939841,0.6844122701398849,0.6913049765330167,0.7050285129489859,67.17266152296409,107.27192477351508,127.23151818099804,166.97152494500148,206.4738177461432,226.13626606061123,265.2846506506305,304.19886003718227,323.5685876173829,362.1341574336688,445.5543291548005,487.07710282246103,569.7498980326573,651.928165588823,692.8327778250385,1761.6282486806283,3808.4264627693715,4827.22969855224,5883.035907352803,5962.785561522319
3,3,12451074.0,616.8842563140475,0.0016210496373746217,0.010756213038765682,0.02447974945473502,0.0381211952249043,0.04491128773205399,0.05843051727717713,0.07186887855182408,0.078557884641315,0.09187584925266479,0.1051141491624858,0.11170357407186356,0.12482326972482138,0.13786448695610637,0.14435581285669133,0.15728019147797417,0.17012725973554527,0.17652194721293094,0.18925391643208933,0.20190972629226359,0.2082092140230332,0.22075163834857017,14.601961470771561,23.020521195229325,27.210898133398473,35.554034420387794,43.847264343387295,47.97525778809874,56.194187208755984,64.36395313499821,68.43049175573472,76.52706327422207,105.51617263530433,130.40041478756544,179.94551128474956,229.19424185757597,253.70802432746865,302.51552697955054,351.03107568219696,375.1799130706038,415.5204833448999,455.6197465954509
4,4,12467176.0,444.2990288541677,0.002250736407367278,0.11627514855892887,0.29983645837033696,0.48229975207868,0.5731216972828731,0.7051582327734529,0.7877590740249683,0.828874022466331,0.9107348265801137,0.9921059608558758,1.0326088187228144,1.1132509345401436,1.193410670555701,1.2333105494262546,1.3127521210596484,1.3992829403626876,1.446130602848499,1.5394053751792534,1.632122203003676,1.6782724297469716,1.7701585906514643,1140.0198118347669,3186.81802592351,4205.621261706378,5261.427470506942,5341.177124676457,5380.872881098239,5459.908043415213,5517.272352992768,5535.242558777988,5571.021649414514,5571.021649414514,5571.021649414514,5571.021649414514,5571.021649414514,5571.021649414514,5571.021649414514,5571.021649414514,5571.021649414514,5571.021649414514,5571.021649414514
5,5,12467961.0,429.49045559112227,0.002328340448505814,4.51086965282899,9.222024438043997,9.40724517220131,9.499439646872643,9.683000956684051,9.865464250392394,9.956286195596586,10.088322731087167,10.170923572338681,10.212038520780045,10.293899324893827,10.37527045916959,10.415773317036528,10.496415432853858,10.576575168869415,10.616475047739968,10.695916619373362,10.782447438676401,10.829295101162213,10.922569873492968,2172.7855130912144,2252.5351672607294,2292.2309236825117,2371.2660859994853,2428.630395577041,2446.60060136226,2482.379691998787,2482.379691998787,2482.379691998787,2482.379691998787,2482.379691998787,2482.379691998787,2482.379691998787,2482.379691998787,2482.379691998787,2482.379691998787,2482.379691998787,2482.379691998787,2482.379691998787,2482.379691998787
6,6,12469837.0,436.2863239374197,0.0022920727630771176,3.022039650688261,3.2072603848455734,3.3913731783541716,3.483016169328314,3.6654794630366574,3.8468513102724504,3.8883379437314303,3.9709387849829456,4.053045528328925,4.093914537538091,4.175285671813853,4.256170066025003,4.296430645498121,4.376590381513679,4.456270624295146,4.495931832017626,4.5824626513206645,4.676017652824188,4.72258508613723,4.815301913961654,3801.0280314350766,4856.834240235639,4896.768877286316,4976.279650826937,5055.31481314391,5094.654928768213,5130.649328506685,5166.4284191432125,5166.4284191432125,5166.4284191432125,5166.4284191432125,5166.4284191432125,5166.4284191432125,5166.4284191432125,5166.4284191432125,5166.4284191432125,5166.4284191432125,5166.4284191432125,5166.4284191432125,5166.4284191432125
7,7,12470809.0,436.59181599957543,0.0022904689537308516,2.745085190335248,2.9303059244925604,3.1144187180011587,3.206061708975301,3.3885250026836444,3.5698968499194375,3.6113834833784173,3.6939843246299326,3.7760910679759117,3.8169600771850782,3.89833121146084,3.9792156056719903,4.019476185145108,4.099635921160665,4.179316163942134,4.218977371664613,4.305508190967652,4.399063192471175,4.445630625784218,4.53834745360864,3921.9134514415773,4977.71966024214,5017.654297292816,5097.165070833438,5176.200233150412,5215.540348774714,5251.534748513186,5287.313839149713,5287.313839149713,5287.313839149713,5287.313839149713,5287.313839149713,5287.313839149713,5287.313839149713,5287.313839149713,5287.313839149713,5287.313839149713,5287.313839149713,5287.313839149713,5287.313839149713
8,8,12472676.0,436.984905843708,0.002288408562005709,2.414135835712993,2.599356569870305,2.7834693633789036,2.875112354353046,3.057575648061389,3.2389474952971824,3.280434128756162,3.363034970007677,3.445141713353656,3.4860107225628227,3.5673818568385847,3.6482662510497352,3.6885268305228527,3.76868656653841,3.848366809319878,3.8880280170423576,3.9745588363453965,4.0681138378489194,4.114681271161962,4.207398098986385,4066.4784514494563,5122.284660250019,5162.219297300696,5241.730070841317,5320.76523315829,5360.105348782593,5396.0997485210655,5431.878839157592,5431.878839157592,5431.878839157592,5431.878839157592,5431.878839157592,5431.878839157592,5431.878839157592,5431.878839157592,5431.878839157592,5431.878839157592,5431.878839157592,5431.878839157592,5431.878839157592
9,9,12473555.0,483.23043183620877,0.0020694060930726947,0.050931480729925184,0.13181587494107533,0.21221644001877335,0.2522361904297504,0.3319164332112184,0.41112004811594505,0.45810846023673696,0.55166346174026,0.6446588424956836,0.6909477228777254,0.7831099408292113,0.8747208701177572,0.9203206325526858,0.9730807895449981,0.9876092495849129,0.9948408576127852,1.0092391547412105,1.023551325000078,1.030675273596072,1.044859218669672,73.31230825874064,112.1099564235611,131.42166367519283,192.44817372652648,275.61847162863927,317.0168707128335,399.4420317911327,481.37414663121683,522.156234332756,2575.1037615620558,4615.771067358419,5631.5226642839725,5711.511913209658,5791.022686750279,5830.599541284648,5909.397964691555,5945.392364430028,5963.308742651102,5981.171455066555,5981.171455066555
