,index,blocknum,p0vs1,p1vs0,BAT-slippagemap_01,BAT-slippagemap_2,BAT-slippagemap_3,BAT-slippagemap_4,BAT-slippagemap_5,BAT-slippagemap_6,BAT-slippagemap_7,BAT-slippagemap_8,BAT-slippagemap_9,BAT-slippagemap_10,BAT-slippagemap_11,BAT-slippagemap_12,BAT-slippagemap_13,BAT-slippagemap_14,BAT-slippagemap_15,BAT-slippagemap_16,BAT-slippagemap_17,BAT-slippagemap_18,BAT-slippagemap_19,BAT-slippagemap_20,DAI-slippagemap_01,DAI-slippagemap_2,DAI-slippagemap_3,DAI-slippagemap_4,DAI-slippagemap_5,DAI-slippagemap_6,DAI-slippagemap_7,DAI-slippagemap_8,DAI-slippagemap_9,DAI-slippagemap_10,DAI-slippagemap_11,DAI-slippagemap_12,DAI-slippagemap_13,DAI-slippagemap_14,DAI-slippagemap_15,DAI-slippagemap_16,DAI-slippagemap_17,DAI-slippagemap_18,DAI-slippagemap_19,DAI-slippagemap_20
0,0,13378304.0,0.7496224561765417,1.334004860394007,5933.536352113656,17459.017831163488,28915.55708033389,34618.10226502301,45972.00021907833,57257.982248816596,62875.63183549508,74060.50070325889,85178.46463547168,90712.48235716089,101730.83859940765,112683.28580431046,118134.91691142836,123662.83431863402,123847.23476941942,123939.02094494193,124121.76931941732,124303.42454154918,124393.8442650714,124573.87200682623,17174.485124850096,25738.552452067594,30001.356313861113,38488.69656029673,46925.26785211375,51124.61004355866,59485.59650541665,67796.56976056717,71933.39499644603,80169.90889452945,88357.15401143338,92432.39300914256,92571.06675284314,92708.91098555924,92777.5235877865,92914.13285076375,93049.92495348441,93117.51609825151,93252.09161559069,93385.86213672961
1,1,13384116.0,0.7605706167456869,1.314802304983564,9202.784932210385,20625.007753679503,31978.90570773482,37630.36083643586,48882.53732415157,60067.40619191538,65634.72620628195,76719.38784581739,87737.74408806415,93222.18161836584,104141.82240008486,109669.7398072905,109762.07832742094,109945.92643359843,110128.6748080738,110219.63865325166,110400.7497537279,110580.77749548272,110670.38713373843,110848.80197416402,14798.223981510686,23439.711882162635,27741.052234825132,36305.11956204263,44817.95874475111,49055.263670271765,57491.83496208878,65877.9407880256,70052.16361539169,78363.1368705422,86624.39614211445,90736.47600450448,98923.72112140841,103068.4009909219,103137.63386281817,103275.47809553427,103412.49778095147,103480.69996073878,103616.49206345945,103751.47189308896
2,2,13387261.0,0.7505224980397285,1.3324050945999297,10557.482171947884,22048.440793027483,33470.6636144966,39156.12759226727,50476.016697252955,61728.193184968666,67329.0158277316,78480.38206709905,89565.04370663447,95082.48513622655,106067.83747918294,116987.47826090195,122422.77973190075,122607.73418823803,122791.58229441552,122883.09353559685,123065.29451406875,123246.40561454499,123336.55449929157,123516.04299455554,13733.844664053975,22323.641416353348,26599.252343933964,35112.09152664245,43574.00923701167,47785.96774398012,56172.073569916945,64508.01595290082,68657.26965243353,76918.52892400579,85130.37146405227,89217.85390329975,93362.53377281323,93500.79213914394,93569.61087742561,93706.63056284281,93842.83063319059,93910.62484535079,94045.60467498029,94179.7770913746
3,3,13391893.0,0.7436496980456664,1.3447191636438902,7919.581256152983,19479.689481602774,30970.648102682375,36690.32573946237,48078.334901922164,59398.22400690785,65032.750907945076,76251.22313738648,87402.58937675394,92953.23329460017,104004.69244588145,114990.04478883783,120458.05446343894,131344.98704155564,131529.94149789293,131622.0034285479,131805.30084525174,131987.50182372364,132078.19320067766,132258.76180894647,15657.86042138498,24196.275210759115,28446.31053167408,36908.228242043304,45319.52894045667,49506.29257494858,57842.23495793245,66128.31389334404,70252.74792903742,78464.5904690839,86627.31190604056,86696.75277784487,86835.01114417559,86972.4424846845,87040.84956787444,87177.04963822222,87312.43499514951,87379.82368001193,87513.99609640623,87647.36592765895
4,4,13393274.0,0.7240579444152574,1.3811049346438578,10603.774525907162,22303.43264615333,33933.10656226234,39721.830317351494,51247.31179640133,62703.85104557173,68406.39623026086,79760.29418431617,91046.27621405444,96663.92580073292,107848.79466849673,118966.75860070952,124500.77632239873,135519.1325646455,146471.5797695483,151923.21087666618,157451.12828387186,157635.52873465727,157727.3149101798,157910.06328465516,13594.176982268382,22030.7482740854,26230.090465530317,34591.0769273883,42902.05018253882,47038.87541841768,55275.3893165011,63462.63443340503,67537.8734311142,67676.54717481478,67814.39140753089,67883.00400975817,68019.6132727354,68155.40537545606,68222.99652022315,68357.57203756235,68491.34255870126,68557.92745273259,68690.49949986924,68822.27853800388
5,5,13393872.0,0.7183607052352293,1.3920583248947993,6667.50845197794,18437.572153165278,30137.23027341145,35960.789074192275,47555.627944609616,59081.10942365944,64817.97103604985,76240.19385751897,87594.09181157428,93245.54694027532,104497.72342799103,115682.59229575485,121249.91231012142,132334.57394965686,143352.9301919036,148837.3677222053,159757.00850392433,165284.92591112998,165377.2644312604,165561.1125374379,16380.64572138129,24766.751547318116,28940.974374684192,37251.94762983471,45513.20690140696,49625.286763797,57812.531880700924,61957.2117502144,62026.44462211068,62164.28885482678,62301.308540243976,62369.51072003129,62505.302822751946,62640.282652381466,62707.46948485824,62841.24000599715,62974.210346734726,63040.396947165136,63172.17598529978,63303.16675358566
6,6,13395164.0,0.726015444427704,1.3773811668541978,7979.037325098648,19678.695445344816,31308.369361453828,37097.09311654298,48622.574595592814,60079.11384476322,65781.65902945233,77135.55698350765,88421.53901324591,94039.1885999244,105224.05746768822,116342.02139990102,121876.03912159022,132894.395363837,143846.84256873978,149298.47367585768,154826.39108306335,155010.79153384874,155102.57770937125,155285.32608384665,15497.342189098414,23933.91348091543,28133.25567236035,36494.24213421834,44805.21538936885,48942.04062524771,57178.554523331135,65365.79964023506,69441.03863794425,69579.71238164481,69717.55661436092,69786.1692165882,69922.77847956543,70058.57058228609,70126.16172705319,70260.73724439238,70394.50776553129,70461.09265956262,70593.66470669927,70725.44374483392
7,7,13396181.0,0.7375032558877249,1.3559262172969129,10152.100354322296,21746.93922473963,33272.42070378947,39009.282316179866,50431.50513764899,61785.403091704306,67436.85822040534,78689.03470812105,89873.90357588488,95441.22359025144,106525.88522978687,117544.24147203364,123028.67900233532,133948.31978405433,139476.23719125998,139568.5757113904,139752.4238175679,139935.1721920433,140026.13603722115,140207.24713769738,13980.08381089848,22492.922993606964,26730.22791912762,35166.799210944635,43552.905036881464,47727.12786424754,56038.10111939806,64299.3603909703,68411.44025336034,76598.68537026427,80743.36523977775,80812.59811167403,80950.44234439013,81087.46202980733,81155.66420959464,81291.45631231529,81426.43614194481,81493.62297442158,81627.3934955605,81760.36383629807
8,8,13396737.0,0.7374295129364313,1.3560618099186423,10259.262869765449,21854.101740182785,33379.58321923261,39116.44483162302,50538.66765309214,61892.56560714746,67544.02073584849,78796.1972235642,89981.06609132802,95548.38610569459,106633.04774523001,117651.40398747678,123135.84151777848,134055.4822994975,139583.39970670315,139675.73822683358,139859.58633301107,140042.33470748644,140133.2985526643,140314.40965314052,13901.05134810465,22413.890530813133,26651.19545633379,35087.7667481508,43473.87257408763,47648.095401453706,55959.06865660422,64220.32792817647,68332.4077905665,76519.65290747043,80664.33277698392,80733.56564888019,80871.4098815963,81008.42956701349,81076.6317468008,81212.42384952147,81347.40367915099,81414.59051162776,81548.36103276667,81681.33137350423
9,9,13397628.0,0.7236236616602385,1.3819338047980083,11238.068455138267,22937.726575384437,34567.40049149345,40356.1242465826,51881.605725632435,63338.14497480283,69040.69015949196,80394.58811354727,91680.57014328554,97298.21972996402,108483.08859772784,119601.05252994063,125135.07025162983,136153.4264938766,147105.8736987794,152557.5048058973,158085.42221310295,158269.82266388836,158361.60883941088,158544.35721388625,13135.020090087522,21571.59138190454,25770.93357334946,34131.92003520744,42442.89329035796,46579.71852623682,54816.232424320246,63003.47754122417,67078.71653893335,67217.39028263393,67355.23451535004,67423.8471175773,67560.45638055455,67696.2484832752,67763.83962804229,67898.41514538148,68032.1856665204,68098.77056055174,68231.34260768839,68363.12164582303
