,index,blocknum,p0vs1,p1vs0,BAT-slippagemap_01,BAT-slippagemap_2,BAT-slippagemap_3,BAT-slippagemap_4,BAT-slippagemap_5,BAT-slippagemap_6,BAT-slippagemap_7,BAT-slippagemap_8,BAT-slippagemap_9,BAT-slippagemap_10,BAT-slippagemap_11,BAT-slippagemap_12,BAT-slippagemap_13,BAT-slippagemap_14,BAT-slippagemap_15,BAT-slippagemap_16,BAT-slippagemap_17,BAT-slippagemap_18,BAT-slippagemap_19,BAT-slippagemap_20,USDC-slippagemap_01,USDC-slippagemap_2,USDC-slippagemap_3,USDC-slippagemap_4,USDC-slippagemap_5,USDC-slippagemap_6,USDC-slippagemap_7,USDC-slippagemap_8,USDC-slippagemap_9,USDC-slippagemap_10,USDC-slippagemap_11,USDC-slippagemap_12,USDC-slippagemap_13,USDC-slippagemap_14,USDC-slippagemap_15,USDC-slippagemap_16,USDC-slippagemap_17,USDC-slippagemap_18,USDC-slippagemap_19,USDC-slippagemap_20
0,0,15138641.0,0.3776268786361114,2.648116584316604,533.2994362448376,1151.5833923767304,1766.170319142017,2072.0832329447912,2681.163902727133,3286.5996011258326,3587.9585667537795,4187.971491486064,4784.394389750445,5081.267062342138,5672.347076026214,6259.891931783468,6552.344245452296,7134.624863711116,7713.4215531366135,8001.52091452468,8575.132745158066,9145.312645933232,9429.123132227098,9994.195663073606,384.6734702568411,617.0597733325377,732.7307728860746,963.0350534117407,1191.9615715680131,1305.9107119593418,1532.786299758972,1758.3046858612302,1870.557538678724,2094.0555644058063,2316.2169327835672,2426.7984914196345,2646.969440128274,2865.8230827818156,2974.758221063823,3191.6511934686196,3407.2471759078653,3514.560580681313,3728.2248099433377,3940.6104427604187
1,1,15139843.0,0.37144746445895127,2.6921707527512555,458.5051996393007,1082.3796864129426,1702.521261919192,2011.1997798137081,2625.7867065789947,3236.69593518438,3540.7802901641107,4146.21598856281,4748.032076890247,5047.587878923042,5644.010777187423,6236.867197637314,6531.963463463192,7119.508319220446,7703.53752530965,7994.241251148093,8573.037940573591,9148.373003103474,9434.749132595043,10004.92903337021,410.77805486888946,641.0823353945555,755.7173651167486,983.9579939421567,1210.833581741787,1323.7619896776248,1548.604820661539,1772.1028463886212,1883.3501933544953,2104.845773402449,2325.016722111089,2434.6073871625235,2652.8055030466376,2869.698475451434,2977.6583512236202,3192.6078626641274,3406.2720919261524,3512.624015430789,3724.3738184382382,3934.8567981200868
2,2,15141245.0,0.36580785326302495,2.7336755924727925,318.604934013573,948.1183440286635,1573.8670576057493,1885.336406114716,2505.4779816209657,3121.9117665290814,3428.743426280768,4039.652654886153,4646.908861796812,4949.172708264584,5550.98879659202,6149.203223277653,6446.967496889196,7039.8239173390875,7629.132686547439,7922.465038922219,8506.494245011423,9087.03072811114,9375.994660275364,9951.329722805247,459.72206171229953,687.9626905377075,801.5706998342232,1027.7666862731758,1252.6095172570897,1364.5265740471,1587.3548899500463,1808.850469998,1919.101003479226,2138.6120837580743,2356.8101996421888,2465.419608955524,2681.6630478191714,2896.6125592596786,3003.6049233097633,3216.6287120263396,3428.378515033789,3533.7781884923434,3743.6308337519517,3743.6308337519517
3,3,15142145.0,0.38119312810013795,2.6233421493823568,356.0574736696987,972.4912585778146,1585.2358321322754,1890.2321469348865,2497.4883538455447,3101.1111659412636,3401.5682886407535,3999.7827153263856,4594.419661529622,4890.403409387821,5479.712178596173,6065.49684463978,6357.073737060156,6937.610220159873,7514.673513712164,7801.90921485398,8373.802710163634,8942.275731414584,9225.23585040249,9788.615555653183,452.6700493206328,685.754182435388,801.7732736081622,1032.769343842087,1262.3835834095585,1376.6750718436376,1604.232221531482,1830.4282079704346,1943.0181861368546,2167.1880957443586,2390.016411647305,2500.9304330591917,2721.762525176485,2941.2736054553334,3050.53658305744,3268.081130652783,3484.32456951643,3591.96067618349,3806.266445007022,4019.2902337235982
4,4,15144192.0,0.38722478323789034,2.5824793331620337,467.92490302097366,1078.8341316263588,1686.0903385370173,1988.3541850047893,2590.170273332226,3188.384700017858,3486.1489736294016,4079.005394079293,4668.314163287645,4961.6465156624245,5545.675721751629,6126.212204851346,6415.17613701557,6990.511199545453,7562.404694855108,7847.06722981219,8413.837835093964,8977.217540344656,9257.642234859168,9815.973574451516,412.1566360155356,647.3482650541658,764.4159343375879,997.500067452343,1229.1901581786542,1344.515228859042,1574.1294684265135,1802.3700972519216,1915.9781065484372,2142.1740929873895,2367.0169239713036,2478.9339807613137,2701.7622966642602,2923.257876712214,3033.50841019344,3253.0194904722885,3471.2176063564025,3579.827015669738,3796.070454533385,4011.0199659738923
5,5,15145436.0,0.39524441066265464,2.5300800543224145,335.32653833207723,940.7622367307766,1542.578325058213,1842.1341270910084,2438.5570253553888,3031.4134458052804,3326.5097116311586,3914.0545673884117,4498.083773477616,4788.787499316059,5367.584188741557,5942.91925127144,6229.29538076301,6799.475281538177,7366.245886819951,7648.3582986785495,8210.050286585156,8768.381626177505,9046.294928036355,9599.624143167144,466.57504949506375,703.8924158494682,822.0183450373578,1057.2099740759882,1290.994564571243,1407.3617764741653,1639.0518672004766,1869.3561477261426,1983.9911774483357,2212.2318062737436,2439.107394073374,2552.0358020092117,2776.878632993126,3000.376658720208,3111.6240056860825,3333.1195857340363,3553.290534442676,3662.8811994941107,3881.0793153782247,4097.972287783021
6,6,15148428.0,0.3846391779179577,2.5998391672241374,507.22393630529706,1119.968509859758,1729.0491796421,2032.2210315730274,2635.843843668746,3235.8567684010313,3534.515393053868,4129.152339257104,4720.2323529411815,5014.444856323655,5600.229522367263,6182.510140626083,6472.342897887356,7049.406191439647,7623.018022073033,7908.535387891117,8477.008409142065,9042.080939988573,9323.348233380666,9883.357476423187,396.3414800823486,630.8285836777314,747.5455048895642,979.9318079652608,1210.9278781991854,1325.9070880444638,1554.8336062007363,1782.3907558885805,1895.6583343916952,2121.1767204939533,2345.3466301014573,2456.9275990385295,2679.08896741629,2899.9210595335835,3009.8414747609972,3228.695117414539,3446.2396650098813,3554.5232281013423,3770.1192105405885,3984.4249793641206
7,7,15150380.0,0.38974981554465493,2.5657484881745294,439.8650124671701,1048.9456822495122,1654.3813806482115,1955.7403462761583,2555.7532710084433,3152.1761692728237,3449.048841864517,4040.1288555485935,4627.673711305846,4920.126024974675,5502.406643233495,6081.203332658992,6369.302694047059,6942.914524680445,7513.094425455612,7796.904911749478,8361.977442595984,8923.66943050259,9203.253979030598,9759.914071953792,423.78300318210535,659.6811270966645,777.1005614086253,1010.8851519038801,1243.2714549795767,1358.9424545331137,1589.2467350587797,1818.1732532150522,1932.122393606381,2158.997981406011,2384.516367508269,2496.769220325763,2720.267246052845,2942.428614430606,3053.0101730666734,3273.1811217753134,3492.034764428855,3600.969902710862,3817.8628751156584,4033.4588575549046
8,8,15151067.0,0.38936028000579176,2.568315391557467,493.3352361124988,1102.415905894841,1707.8516042935403,2009.210569921487,2609.223494653772,3205.6463929181523,3502.5190655098454,4093.599079193922,4681.143934951176,4973.596248620003,5555.876866878823,6134.673556304321,6422.772917692388,6996.384748325774,7566.56464910094,7850.375135394806,8415.447666241313,8977.139654147919,9256.724202675927,9813.38429559912,402.95225129423443,638.8503752087936,756.2698095207543,990.0544000160091,1222.4407030917057,1338.1117026452428,1568.4159831709087,1797.3425013271813,1911.29164171851,2138.16722951814,2363.685615620398,2475.938468437892,2699.436494164974,2921.597862542735,3032.1794211788024,3252.3503698874424,3471.204012540984,3580.1391508229913,3797.0321232277875,4012.6281056670337
9,9,15153994.0,0.3884269824029642,2.5744864422486855,310.2900044654421,921.1992330708272,1528.4554399814856,1830.7192864492577,2432.535374776694,3030.7498014623266,3328.5140750738697,3921.3704955237617,4510.679264732113,4804.011617106893,5388.040823196097,5968.577306295814,6257.541238460039,6832.87630098992,7404.769796299576,7689.432331256658,8256.202936538431,8819.582641789124,9100.007336303637,9658.338675895986,473.2941940634473,708.4858231020776,825.5534923854997,1058.637625500255,1290.327716226566,1405.652786906954,1635.2670264744252,1863.5076552998332,1977.1156645963488,2203.3116510353016,2428.1544820192153,2540.071538809226,2762.899854712172,2984.3954347601257,3094.6459682413515,3314.1570485202,3532.3551644043146,3640.9645737176497,3857.208012581297,4072.157524021804
