,index,blocknum,p0vs1,p1vs0,BAT-slippagemap_01,BAT-slippagemap_2,BAT-slippagemap_3,BAT-slippagemap_4,BAT-slippagemap_5,BAT-slippagemap_6,BAT-slippagemap_7,BAT-slippagemap_8,BAT-slippagemap_9,BAT-slippagemap_10,BAT-slippagemap_11,WETH-slippagemap_01,WETH-slippagemap_2,WETH-slippagemap_3,WETH-slippagemap_4,WETH-slippagemap_5,WETH-slippagemap_6,WETH-slippagemap_7,WETH-slippagemap_8,WETH-slippagemap_9,WETH-slippagemap_10
0,0,12792953.0,0.00040985381074879683,2439.894356900122,0.0,16220.183737645852,32278.982035904075,48178.00047581202,63918.82894332022,79503.04144214747,94932.19608265896,110207.83569881329,125331.48771375058,140304.66431085402,155128.8627036811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,13697412.0,0.00042170208797226937,2371.3423018805606,9267.29721608216,25166.315655990107,40907.14412349831,56491.356622325555,71920.51126283706,87196.15087899136,102319.80289392866,117292.9794910321,132117.17788385917,146793.8805200697,161324.55467474033,16.215989265398445,16.215989265398445,16.215989265398445,16.215989265398445,16.215989265398445,16.215989265398445,16.215989265398445,16.215989265398445,16.215989265398445,16.215989265398445
2,2,13698120.0,0.00042178643260688467,2370.8681045509697,9095.137386796574,24994.155826704522,40734.98429421272,56319.19679303997,71748.35143355146,87023.99104970579,102147.64306464308,117120.81966174651,131945.0180545736,146621.7206907841,161152.39484545475,16.288599663828176,16.288599663828176,16.288599663828176,16.288599663828176,16.288599663828176,16.288599663828176,16.288599663828176,16.288599663828176,16.288599663828176,16.288599663828176
3,3,13698632.0,0.000432204079153512,2313.7218000314524,5544.35961560574,21285.188083113946,36869.40058194119,52298.55522245269,67574.194838607,82697.8468535443,97671.02345064774,112495.22184347482,127171.92447968533,141702.59863435596,156088.6974017681,17.944595093616446,24.593163989777114,24.593163989777114,24.593163989777114,24.593163989777114,24.593163989777114,24.593163989777114,24.593163989777114,24.593163989777114,24.593163989777114
4,4,13699137.0,0.00043842868613332484,2280.872651877307,9962.746369932212,25629.493774847884,41140.362125909356,56496.90242801458,71700.65019362653,86753.12561474051,101655.83383424509,116410.26515093006,131017.89461064721,145480.18300335074,159798.57635706695,16.26668848419887,23.017638333707875,29.701418441824767,29.736279313712586,29.770793331603375,29.80496394646423,29.83879457471984,29.872288599396246,29.905449369570018,29.938280200805824
5,5,13699719.0,0.0004176733183961788,2394.2156607941674,900.9816955835208,17044.828334240046,33028.0489110179,48852.24173199713,64518.989136912794,80029.85748797427,95386.3977900795,110590.14555569144,125642.62097680543,140545.32919631,155299.76051299498,13.093032085525198,13.127546103415986,13.161716718276843,13.195547346532454,13.229041371208858,13.262202141382629,13.295032972618436,13.327537147992134,13.35971791783005,13.391578499034564
6,6,13701063.0,0.00041588126839669246,2404.532437479584,4430.542356294003,20574.38899495053,36557.60957172838,52381.80239270761,68048.54979762329,83559.41814868475,98915.95845078997,114119.70621640193,129172.1816375159,144074.8898570205,158829.32117370545,11.621894980761887,11.656408998652676,11.690579613513531,11.724410241769142,11.757904266445546,11.791065036619317,11.823895867855127,11.856400043228824,11.888580813066739,11.920441394271252
7,7,13701563.0,0.000401256790191264,2492.1696640282094,14.380781086243141,238.35918651382516,16680.292818411577,32958.634673145454,49075.01228202359,65031.03726669615,80828.30514945184,96468.3953419441,111952.8717705724,127283.28274023296,142461.1611077187,0.2615178830182669,0.34884817553495695,0.43530956048031283,0.5209106831515676,0.6056601023384167,0.6895662929640068,0.7726376454119567,0.854882463785392,0.9363089743291038,1.0169253168112162
8,8,13702250.0,0.0004123202020709453,2425.2995486938,11568.06146175082,27903.887086827286,44077.176521092224,60089.547077321426,75942.59991207754,91637.92001439632,107177.07683337653,122561.62414144928,137793.10020839056,152873.028075909,167802.9157650918,8.904418215382451,9.016840469235545,9.128144158952548,9.238340412828196,9.347440250368045,9.45545458049432,9.562394202971168,9.66826981173715,9.773091994056054,9.87687122832008
9,9,13703805.0,0.00037823078502141594,2643.8884395498867,5.063680306361125,296.29377440707424,584.6262239313902,870.0898585734374,1152.7132246001033,17652.708319103716,33988.53394418018,50161.823378445115,66174.19393467432,82027.24676943042,97722.56687174922,0.32539474695982284,0.4323343694366715,0.5382099782026545,0.6430321605215571,0.7468113947855833,0.8495580611427128,0.9512824306218045,1.0519946781217258,1.1517048703186437,1.2504229794987298
10,10,13704957.0,0.0003850232267768013,2597.245907400028,36.882175034755676,325.2146245590717,610.6782592011189,893.3016252277848,17393.296719731396,33729.12234480786,49902.4117790728,65914.782335302,81767.83517005811,97463.1552723769,113002.3120913571,0.31638041683887597,0.42439474696515134,0.531334369442,0.637209978207983,0.7420321605268857,0.8458113947909118,0.9485580611480413,1.050282430627133,1.1509946781270544,1.2507048703239723
11,11,13707484.0,0.000380697168871143,2626.7597496593844,201.1072809323165,489.4397304566325,774.9033650986796,1057.5267311253456,17557.52182562896,33893.34745070542,50066.63688497036,66079.00744119956,81932.06027595566,97627.38037827447,113166.53719725466,0.25350227094883687,0.36151660107511224,0.4684562235519609,0.5743318323179439,0.6791540146368465,0.7829332489008728,0.8856799152580022,0.9874042847370939,1.0881165322370152,1.1878267244339331
12,12,13708414.0,0.0003787985285134189,2639.9257777596545,274.8077012383497,563.1401507626657,848.6037854047129,1131.2271514313788,17631.22224593499,33967.047871011455,50140.33730527639,66152.7078615056,82005.7606962617,97701.0807985805,113240.23761756069,0.22551351926074212,0.3335278493870175,0.44046747186386614,0.5463430806298492,0.6511652629487518,0.754944497212778,0.8576911635699075,0.9594155330489992,1.0601277805489204,1.1598379727458383
13,13,13709007.0,0.00037491712129711965,2667.256156614693,134.1797731295307,425.4098672302438,713.7423167545597,999.2059513966069,1281.8293174232729,17781.824411926886,34117.65003700335,50290.939471268284,66303.31002749749,82156.36286225359,97851.68296457239,0.2767708784363036,0.3837105009131523,0.48958610967913524,0.5944082919980379,0.6981875262620642,0.8009341926191935,0.9026585620982852,1.0033708095982066,1.1030810017951245,1.2017991109752106
14,14,13709520.0,0.00035903043301520473,2785.2792076755527,186.40988318794854,483.52291686619253,777.6797730948953,1068.9098671956085,1357.2423167199245,1642.7059513619715,1925.3293173886375,18425.32441189225,34761.15003696871,50934.43947123365,66946.81002746285,0.2534813654766603,0.35830354779556295,0.46208278205958914,0.5648294484167186,0.6665538178958103,0.7672660653957315,0.8669762575926495,0.9656943667727356,1.0634302624357483,1.160193717791419
15,15,13710470.0,0.00035903043301520473,2785.2792076755527,218.8536572830626,567.6778340644431,913.0313244458031,1254.9486633487445,1593.4640360994326,1928.6112900663134,2260.4239398613986,18809.11890100238,35193.15984522264,51414.18487177261,67473.81606693959,0.2975986194451853,0.42066461558528134,0.5425061434071614,0.6631353896753344,0.782564413043512,0.9008051593044362,1.0178694471924905,1.1337689846239225,1.2485153588390694,1.362120044029409
16,16,13713180.0,0.0003434389533548607,2911.725621778095,302.3654903049963,658.2360254693036,1010.5657677001643,1359.3899444815447,1704.743434862905,2046.6607737658462,2385.176146516534,2720.3234004834153,3052.1360502785005,19600.831011419483,35984.87195563974,0.2644817616382345,0.3851110079064074,0.504540031274585,0.6227807775355092,0.7398450654235635,0.8557446028549955,0.9704909770701423,1.084095662260482,1.196570019975667,1.2717364630940244
17,17,13714964.0,0.00032947861525320105,3035.09834540099,336.53554238097206,699.5947811521104,1059.0416962048694,1414.9122313691767,1767.2419736000375,2116.0661503814176,2461.419640762778,2803.3369796657194,3141.8523524164075,3476.999606383288,3808.8122561783734,0.24999164107852753,0.36823238733945174,0.485296675227506,0.6011962126589381,0.7159425868740849,0.8295472720644246,0.9420216297796095,1.017188072897967,1.0916066339369008,1.1652847562540667
18,18,13716185.0,0.00032574407309658536,3069.894689084621,179.7153882394762,546.4232433222752,909.4824820934135,1268.9293971461725,1624.7999323104798,1977.1296745413406,2325.9538513227208,2671.307341704081,3013.2246806070225,3351.7400533577106,3686.8873073245913,0.29946816385702235,0.4165324517450767,0.5324319891765087,0.6471783633916555,0.7607830485819952,0.8732574062971801,0.9484238494155377,1.0228424104544713,1.0965205327716374,1.1694655813769559
19,19,13716886.0,0.00031322255652216683,3192.6180895252023,168.42807450283493,542.5435456127063,912.9366956076117,1279.6445506904106,1642.703789461549,2002.150704514308,2358.0212396786155,2710.350981909476,3059.1751586908563,3404.5286490722165,3746.445987975158,0.2982095657440079,0.4129559399591547,0.5265606251494944,0.6390349828646793,0.7142014259830368,0.7886199870219706,0.8622981093391365,0.9352431579444551,1.007462426348422,1.078963138296503
20,20,13718250.0,0.0003386306824884832,2953.069676531777,197.65376700663364,557.1006820593926,912.9712172237,1265.3009594545606,1614.1251362359412,1959.4786266173012,2301.3959655202425,2639.9113382709306,2975.0585922378114,3306.8712420328966,19855.56620317388,0.2982330941284072,0.41766211749658483,0.5359028637575091,0.6529671516455633,0.7688666890769954,0.8836130632921422,0.9972177484824819,1.1096921061976668,1.1848585493160244,1.259277110354958
21,21,13719000.0,0.00033502682937166183,2984.8355783191637,30.77615241531843,393.8353911864568,753.2823062392157,1109.152841403523,1461.4825836343837,1810.3067604157643,2155.6602507971243,2497.577589700066,2836.092962450754,3171.2402164176347,3503.05286621272,0.35158012209753,0.4698208683584542,0.5868851562465085,0.7027846936779405,0.8175310678930873,0.9311357530834271,1.043610110798612,1.1187765539169694,1.1931951149559032,1.266873237273069
22,22,13720687.0,0.0003317597645579848,3014.229291283514,208.69120475650308,571.7504435276414,931.1973585804004,1287.0678937447078,1639.3976359755684,1988.2218127569488,2333.5753031383088,2675.4926420412503,3014.0080147919384,3349.155268758819,3680.9679185539044,0.2922619633234608,0.41050270958438506,0.5275669974724394,0.6434665349038714,0.7582129091190182,0.8718175943093579,0.9842919520245428,1.0594583951429004,1.133876956181834,1.207555078499
23,23,13724676.0,0.0003209587984494176,3115.664704725637,85.30341191560561,455.696561910511,822.40441699331,1185.4636557644483,1544.9105708172071,1900.7811059815147,2253.1108482123755,2601.9350249937556,2947.288515375116,3289.2058542780574,3627.721227028745,0.32729183303543635,0.4431913704668684,0.5579377446820152,0.6715424298723549,0.7840167875875398,0.8591832307058973,0.933601791744831,1.007279914061997,1.0802249626673155,1.1524442310712826
24,24,13729062.0,0.0003125967686944057,3199.0093953197547,206.18794077909163,580.303411888963,950.6965618838683,1317.4044169666672,1680.4636557378055,2039.9105707905646,2395.781105954872,2748.1108481857327,3096.935024967113,3442.288515348473,3784.2058542514146,0.2863934179677873,0.40113979218293405,0.5147444773732738,0.6272188350884587,0.7023852782068162,0.7768038392457499,0.8504819615629159,0.9234270101682345,0.9956462785722013,1.0671469905202824
25,25,13736954.0,0.0003096413078278896,3229.5432641559505,8.789424028950624,386.6646369382238,760.7801080480951,1131.1732580430005,1497.8811131257994,1860.9403518969377,2220.387266949697,2576.2578021140043,2928.587544344865,3277.411721126245,3622.7652115076053,0.3449878997505515,0.4585925849408913,0.5710669426560762,0.6462333857744337,0.7206519468133674,0.7943300691305333,0.8672751177358519,0.9394943861398188,1.0109950980879,1.0817844009134439
26,26,13739056.0,0.0002933062443847938,3409.405763240696,192.25137878267458,452.4752096175693,710.109897272486,965.1812084183839,1217.7146387041955,1467.735447640778,1715.2686284581378,1960.3389397495544,2202.970879547809,2443.188710465304,2681.016454218635,0.17325619976891213,0.2484226428872697,0.3228412039262034,0.39651932624336933,0.4694643748486879,0.5416836432526548,0.6131843552007359,0.6839736580262799,0.754058630382056,0.8234462803083525
27,27,13741539.0,0.00027097355296640523,3690.3970481723654,188.67739216432452,459.52061626083747,727.6690417228593,993.1494742628919,1255.988464554686,1516.2122953895807,1773.8469830444974,2028.9182941903955,2281.4517244762073,2531.4725334127893,2779.0057142301494,0.1695564199118925,0.24177568831585944,0.31327640026394044,0.38406570308948446,0.45415067544526055,0.5235383253715571,0.5922355899157739,0.6602493409268677,0.7275863777061278,0.7942534316627975
28,28,13742290.0,0.0002790022275068148,3584.2007747969483,63.303284411373625,331.4517098733955,596.9321424134281,859.7711327052223,1119.994963540117,1377.6296511950336,1632.7009623409315,1885.2343926267433,2135.2552015633255,2382.7883823806856,2627.858693672102,0.20555975064636317,0.27850479925168176,0.3507240676556487,0.4222247796037297,0.49301408242927375,0.5630990547850498,0.6324867047113464,0.7011839692555631,0.769197720266657,0.8365347570459171
29,29,13743940.0,0.000268411620752589,3725.6211083415037,46.748957239705625,320.3140616864497,591.1572857829626,859.3057112449845,1124.786143785017,1387.6251340768113,1647.848964911706,1905.4836525666226,2160.5549637125205,2413.0883939983323,2663.1092029349147,0.20627311374746135,0.2777738256955424,0.3485631285210864,0.4186481008768625,0.4880357508031591,0.5567330153473757,0.6247467663584696,0.6920838031377297,0.7587508570943995,0.8247545968637964
30,30,13745983.0,0.0002747936701335054,3639.094013752796,269.2815735758971,537.429999037919,802.9104315779515,1065.7494218697457,1325.9732527046403,1583.607940359557,1838.679251505455,2091.2126817912667,2341.233490727849,2588.7666715452087,2833.8369828366253,0.14852579674288094,0.2214708453481995,0.2936901137521664,0.36519082570024747,0.4359801285257915,0.5060651008815675,0.5754527508078642,0.6441500153520808,0.7121637663631747,0.7795008031424348
31,31,13748997.0,0.000278500500273216,3590.6578229445718,87.45300458147106,355.60143004349294,621.0818625835255,883.9208528753197,1144.1446837102144,1401.779371365131,1656.850682511029,1909.3841127968408,2159.404921733423,2406.938102550783,2652.0084138421994,0.19882789235094106,0.27177294095625965,0.34399220936022656,0.4154929213083076,0.4862822241338516,0.5563671964896277,0.6257548464159243,0.694452110960141,0.7624658619712349,0.8298028987504948
32,32,13750571.0,0.00030151383005473875,3316.597450334048,90.83976834507345,348.4744559999901,603.545767145888,856.0791974316998,1106.100006368282,1353.6331871856419,1598.7034984770585,1841.3354382753132,2081.5532691928083,2319.381012946139,2554.8424486036765,0.20488604146672237,0.2808078826264734,0.35597432574483096,0.4303928867837647,0.5040710091009306,0.5770160577062492,0.6492353261102162,0.7207360380582971,0.7915253408838412,0.8616103132396172
33,33,13752249.0,0.00030001009855116237,3333.221130986244,156.0394552033979,413.67414285831455,668.7454540042125,921.2788842900242,1171.2996932266065,1418.8328740439663,1663.903185335383,1906.5351251336376,2146.7529560511325,2384.580699804463,2620.042135462001,0.18527476287501835,0.2611966040347694,0.336363047153127,0.41078160819206067,0.48445973050922664,0.5574047791145452,0.6296240475185121,0.7011247594665931,0.7719140622921371,0.8419990346479133
34,34,13757864.0,0.0003106647607404976,3218.903868003598,218.7355734586846,471.26900374449633,721.2898126810786,968.8229934984384,1213.893304789855,1456.5252445881097,1696.7430755056048,1934.5708192589354,2170.032254916473,2403.150926348187,2633.950145132694,0.16852664847630022,0.24598213409801162,0.32266696288241326,0.3985888040421643,0.47375524716052186,0.5481738081994556,0.6218519305166216,0.69479697912194,0.767016247525907,0.8385169594739881
35,35,13762981.0,0.0003020872222127759,3310.30221230492,66.66857049845912,324.3032581533758,579.3745692992737,831.9079995850855,1081.9288085216676,1329.4619893390277,1574.532300630444,1817.1642404286988,2057.382071346194,2295.209815099525,2530.6712507570624,0.21218147486821587,0.2881033160279669,0.3632697591463245,0.43768832018525816,0.5113664425024241,0.5843114911077427,0.6565307595117096,0.7280314714597906,0.7988207742853347,0.8689057466411108
36,36,13765253.0,0.00030052052393651156,3327.559751663622,134.2954704948192,391.93015814973586,647.0014692956338,899.5348995814455,1149.5557085180278,1397.0888893353876,1642.1592006268042,1884.791140425059,2125.008971342554,2362.8367150958848,2598.2981507534223,0.19180417140660289,0.2677260125663539,0.3428924556847115,0.4173110167236452,0.49098913904081115,0.5639341876461297,0.6361534560500967,0.7076541679981777,0.7784434708237217,0.8485284431794978
37,37,13771576.0,0.0002781943334536224,3594.6095220041902,102.42407131091637,370.5724967729382,636.0529293129708,898.891919604765,1159.1157504396597,1416.7504380945763,1671.8217492404742,1924.355179526286,2174.3759884628685,2421.909169280228,2666.9794805716447,0.19466066564336992,0.26760571424868845,0.3398249826526554,0.4113256946007365,0.48211499742628044,0.5521999697820565,0.6215876197083531,0.6902848842525698,0.7582986352636637,0.8256356720429238
38,38,13776564.0,0.0002767792247016785,3612.9879367854724,171.19379141971496,439.3422168817368,704.8226494217694,967.6616397135635,1227.8854705484582,1485.5201582033749,1740.591469349273,1993.1248996350846,2243.145708571667,2490.6788893890266,2735.749200680443,0.17557757830461268,0.24852262690993124,0.3207418953138982,0.39224260726197924,0.4630319100875232,0.5331168824432994,0.6025045323695959,0.6712017969138127,0.7392155479249065,0.8065525847041665
39,39,13779272.0,0.00027556413203073916,3628.9193104727074,230.59379141651783,498.7422168785397,764.2226494185722,1027.0616397103665,1287.2854705452612,1544.9201582001779,1799.9914693460757,2052.5248996318874,2302.5457085684698,2550.07888938583,2795.149200677246,0.1591722430798553,0.23211729168517387,0.3043365600891408,0.37583727203722184,0.44662657486276586,0.516711547218542,0.5860991971448385,0.6547964616890553,0.7228102127001491,0.7901472494794092
40,40,13780734.0,0.00027355993828195293,3655.5060155384276,58.75056731467633,329.5937914111893,597.7422168732112,863.2226494132437,1126.0616397050378,1386.2854705399327,1643.9201581948494,1898.9914693407472,2151.524899626559,2401.5457085631415,2649.078889380501,0.20493382718565065,0.2771530955896176,0.3486538075376986,0.4194431103632426,0.4895280827190187,0.5589157326453152,0.627612997189532,0.6956267482006259,0.7629637849798859,0.8296308389365556
41,41,13781477.0,0.0002715974781814511,3681.9193119750244,157.75056730934782,428.59379140586077,696.7422168678826,962.2226494079152,1225.0616396997093,1485.2854705346042,1742.9201581895209,1997.9914693354187,2250.5248996212304,2500.5457085578128,2748.0788893751724,0.17794694807367614,0.2501662164776431,0.3216669284257241,0.3924562312512681,0.4625412036070442,0.5319288535333407,0.6006261180775575,0.6686398690886514,0.7359769058679114,0.8026439598245811
42,42,13785815.0,0.0002726859892403736,3667.221784242449,103.1853606941504,374.0285847906634,642.1770102526852,907.6574427927178,1170.4964330845119,1430.7202639194068,1688.3549515743234,1943.4262627202213,2195.959693006033,2445.9805019426153,2693.5136827599754,0.19279694807447542,0.26501621647844237,0.33651692842652337,0.4073062312520674,0.4773912036078435,0.54677885353414,0.6154761180783568,0.6834898690894506,0.7508269058687107,0.8174939598253804
43,43,13788528.0,0.0002799803971938736,3571.678624727237,15.745784970753993,283.8942104327758,549.3746429728084,812.2136332646027,1072.4374640994974,1330.072151754414,1585.143462900312,1837.6768931861236,2087.697702122706,2335.230882940066,2580.3011942314824,0.21885189947448538,0.29179694807980394,0.36401621648377086,0.4355169284318519,0.5063062312573959,0.576391203613172,0.6457788535394686,0.7144761180836853,0.7824898690947791,0.8498269058740392
44,44,13799095.0,0.0002799803971938736,3571.678624727237,15.780820012722202,284.52588713835246,550.5970249441469,814.0208431802359,1074.8236831182883,1333.0316189225491,1588.6704745959178,1841.7658025162311,2092.3429183978333,2340.426871081732,2586.0424742501305,0.21933885426887334,0.29244620871312005,0.3648261680641656,0.4364859721406169,0.5074327841789439,0.5776736985822194,0.6472157389839199,0.7160658578666709,0.7842309423695859,0.8517178069226888
45,45,13801859.0,0.0002673669061840298,3740.1786715955627,100.02595307927481,374.4971977076651,646.2375461972061,915.2741699674433,1181.633963520467,1445.343565474843,1706.429345679407,1964.9174065857922,2220.8336002128895,2474.2035066598464,2725.052469105566,0.19272508614015424,0.26446263263715736,0.33548641358391745,0.4058035310800965,0.4754210163789833,0.5443458295058257,0.6125848650714693,0.6801449448987894,0.7470328226937345,0.8132551891803983
46,46,13804025.0,0.00027397056555181817,3650.0271406377133,38.65174082552845,310.39208931506954,579.4287130853066,845.7885066383304,1109.4981085927063,1370.5838887972704,1629.0719497036555,1884.9881433307526,2138.3580497777098,2389.2070122234295,2637.5601066839527,0.21116871392123576,0.2836271969762171,0.35536474347322017,0.42638852441998026,0.4967056419161593,0.5663231272150462,0.6352479403418885,0.7034869759075321,0.7710470557348522,0.8379349335297973
47,47,13813428.0,0.0002886509191471375,3464.3922248875915,141.73739735208284,405.44699930645874,666.5327795110229,925.0208404174078,1180.937034044505,1434.306940491462,1685.155902937182,1933.5089973977051,2179.3910644751486,2422.8266833480666,2663.8401969948427,0.18739481696881627,0.2620598774600615,0.3359820466459787,0.4091687139318928,0.4816271969868741,0.5533647434838772,0.6243885244306373,0.6947056419268164,0.7643231272257032,0.8332479403525456
48,48,13816571.0,0.0002941580243892998,3399.5333021293422,154.04835680279155,415.13413700735566,673.6221979137407,929.5383915408379,1182.9082979877949,1433.7572604335146,1682.110354894038,1927.9924219714815,2171.4280408443997,2412.441554491176,2651.0570641964578,0.18523939716361107,0.2606548169727594,0.3353198774640046,0.4092420466499218,0.4824287139358359,0.5548871969908172,0.6266247434878204,0.6976485244345805,0.7679656419307594,0.8375831272296463
49,49,13819871.0,0.0002882182889533255,3469.59245241353,161.26559231343003,424.97519426780593,686.06097447237,944.5490353787551,1200.4652290058523,1453.8351354528093,1704.684097898529,1953.0371923590524,2198.919259436496,2442.354878309414,2683.36839195619,0.18176193021592557,0.2564269907071708,0.330349159893088,0.40353582717900216,0.4759943102339834,0.5477318567309866,0.6187556376777467,0.6890727551739256,0.7586902404728125,0.8276150535996549
50,50,13820981.0,0.0002882182889533255,3469.59245241353,98.99962904600092,260.8887983029547,421.1672248330325,579.850932717948,736.9557923008017,892.4975069953862,1046.4916347720919,1198.953569592212,1349.8985608983558,1499.3416976473443,1647.2979237946442,0.11158216336122424,0.1574184337354032,0.2027986492091293,0.24772734607793556,0.29220901659905457,0.3362481100596756,0.37984902868283626,0.4230161323894715,0.4657537376085065,0.5080661170425544
51,51,13823513.0,0.00029064939738837836,3440.5713859566567,30.5933758770059,192.48254513395963,352.76097166403747,511.444679548953,668.5495391318068,824.0912538263912,978.085381603097,1130.5473164232171,1281.4923077293608,1430.9354444783494,1578.891670625649,0.13138216336228994,0.17721843373646892,0.222598649210195,0.26752734607900125,0.31200901660012026,0.3560481100607413,0.399649028683902,0.4428161323905372,0.4855537376095722,0.5278661170436201
52,52,13841092.0,0.0002871539048273746,3482.453078954855,129.59337587167735,291.4825451286311,451.76097165870897,610.4446795436245,767.5495391264782,923.0912538210627,1077.0853815977684,1229.5473164178884,1380.4923077240323,1529.9354444730207,1677.8916706203206,0.10278034263018536,0.14861661300436432,0.1939968284780904,0.23892552534689668,0.28340719586801566,0.3274462893286367,0.3710472079517974,0.4142143116584326,0.4569519168774676,0.49926429631151553
53,53,13842178.0,0.0002868669087940416,3485.9370995556624,137.3645307561639,299.2537000131177,459.5321265431955,618.215834428111,775.3206940109648,930.8624087055492,1084.856536482255,1237.318471302375,1388.2634626085187,1537.7065993575072,1685.6628255048072,0.10054980899237369,0.14638607936655265,0.19176629484027874,0.236694991709085,0.281176662230204,0.325215755690825,0.36881667431398574,0.4119837780206209,0.45472138323965594,0.49703376267370386
54,54,13846212.0,0.0002820880385686044,3544.992567122969,112.44843053020297,275.96453074870396,437.8537000056577,598.1321265357356,756.8158344206511,913.9206940035048,1069.4624086980893,1223.456536474795,1375.918471294915,1526.863462601059,1676.3065993500472,0.1069560026357659,0.152336218109492,0.19726491497829826,0.24174658549941724,0.28578567896003826,0.329386597583199,0.37255370128983417,0.4152913065088692,0.4576036859429171,0.4994950721372242
55,55,13858059.0,0.0003127843736513901,3197.0906612954313,80.76393016792544,236.30564486250987,390.2997726392156,542.7617074593358,693.7066987654795,843.149835514468,991.1060616617679,1137.5901727890368,1282.6168150247665,1426.2004896328147,1568.355554802932,0.12062173312114476,0.16832852201031306,0.21556064389883675,0.26232282244839505,0.30861973227490824,0.3544560026490872,0.3998362181228133,0.4447649149916196,0.48924658551273853,0.5332856789733595
56,56,13859928.0,0.0003129095061691642,3195.812144676049,77.59974358464916,233.1414582792336,387.1355860559393,539.5975208760594,690.5425121822032,839.9856489311917,987.9418750784916,1134.4259862057606,1279.4526284414903,1423.0363030495384,1565.1913682196557,0.12161173312119804,0.16931852201036635,0.21655064389889003,0.26331282244844834,0.3096097322749615,0.3554460026491405,0.40082621812286656,0.44575491499167286,0.4902365855127918,0.5342756789734129
