,index,blocknum,p0vs1,p1vs0,DAI-slippagemap_01,DAI-slippagemap_2,DAI-slippagemap_3,DAI-slippagemap_4,DAI-slippagemap_5,DAI-slippagemap_6,DAI-slippagemap_7,DAI-slippagemap_8,DAI-slippagemap_9,DAI-slippagemap_10,DAI-slippagemap_11,DAI-slippagemap_12,DAI-slippagemap_13,DAI-slippagemap_14,DAI-slippagemap_15,DAI-slippagemap_16,DAI-slippagemap_17,DAI-slippagemap_18,DAI-slippagemap_19,DAI-slippagemap_20,FEI-slippagemap_01,FEI-slippagemap_2,FEI-slippagemap_3,FEI-slippagemap_4,FEI-slippagemap_5,FEI-slippagemap_6,FEI-slippagemap_7,FEI-slippagemap_8,FEI-slippagemap_9,FEI-slippagemap_10,FEI-slippagemap_11,FEI-slippagemap_12,FEI-slippagemap_13,FEI-slippagemap_14,FEI-slippagemap_15,FEI-slippagemap_16,FEI-slippagemap_17,FEI-slippagemap_18,FEI-slippagemap_19,FEI-slippagemap_20
0,0,12526187.0,1.0076285704284815,0.9924291840740109,507338.59426835366,796650.0709167426,801849.443560207,804437.4548573077,805532.4350165743,805532.4350165743,805532.4350165743,805532.4350165743,805532.4350165743,805532.4350165743,805532.4350165743,805532.4350165743,805532.4350165743,805532.4350165743,805532.4350165743,805532.4350165743,805532.4350165743,805532.4350165743,805532.4350165743,805532.4350165743,973024.8429887365,1544898.1085115015,1544934.8763333184,1545008.0819084959,1545080.8495876787,1545117.0700350732,1545117.0700350732,1545117.0700350732,1545117.0700350732,1545117.0700350732,1545117.0700350732,1545117.0700350732,1545117.0700350732,1545117.0700350732,1545117.0700350732,1545117.0700350732,1545117.0700350732,1545117.0700350732,1545117.0700350732,1545117.0700350732
1,1,12526885.0,1.0076285704284815,0.9924291840740109,507178.18181012385,796489.6584585127,801689.0311019772,804277.0423990779,805372.0225583445,805372.0225583445,805372.0225583445,805372.0225583445,805372.0225583445,805372.0225583445,805372.0225583445,805372.0225583445,805372.0225583445,805372.0225583445,805372.0225583445,805372.0225583445,805372.0225583445,805372.0225583445,805372.0225583445,805372.0225583445,973186.4927610682,1545059.7582838333,1545096.5261056502,1545169.7316808277,1545242.4993600103,1545278.7198074048,1545278.7198074048,1545278.7198074048,1545278.7198074048,1545278.7198074048,1545278.7198074048,1545278.7198074048,1545278.7198074048,1545278.7198074048,1545278.7198074048,1545278.7198074048,1545278.7198074048,1545278.7198074048,1545278.7198074048,1545278.7198074048
2,2,12527389.0,1.006520843747786,0.993521402176327,562375.4048517605,851686.8815001494,856886.2541436139,859474.2654407145,860569.2455999812,860569.2455999812,860569.2455999812,860569.2455999812,860569.2455999812,860569.2455999812,860569.2455999812,860569.2455999812,860569.2455999812,860569.2455999812,860569.2455999812,860569.2455999812,860569.2455999812,860569.2455999812,860569.2455999812,860569.2455999812,917594.5445765593,1489467.8100993244,1489504.5779211414,1489577.7834963189,1489650.5511755014,1489686.7716228962,1489686.7716228962,1489686.7716228962,1489686.7716228962,1489686.7716228962,1489686.7716228962,1489686.7716228962,1489686.7716228962,1489686.7716228962,1489686.7716228962,1489686.7716228962,1489686.7716228962,1489686.7716228962,1489686.7716228962,1489686.7716228962
3,3,12527921.0,1.006520843747786,0.993521402176327,561971.734876021,851283.2115244099,856482.5841678743,859070.5954649751,860165.5756242417,860165.5756242417,860165.5756242417,860165.5756242417,860165.5756242417,860165.5756242417,860165.5756242417,860165.5756242417,860165.5756242417,860165.5756242417,860165.5756242417,860165.5756242417,860165.5756242417,860165.5756242417,860165.5756242417,860165.5756242417,918000.8754723113,1489874.1409950762,1489910.9088168931,1489984.1143920708,1490056.8820712534,1490093.102518648,1490093.102518648,1490093.102518648,1490093.102518648,1490093.102518648,1490093.102518648,1490093.102518648,1490093.102518648,1490093.102518648,1490093.102518648,1490093.102518648,1490093.102518648,1490093.102518648,1490093.102518648,1490093.102518648
4,4,12528920.0,1.0091410717527316,0.9909417305383728,432783.4683794533,722094.9450278422,727294.3176713067,729882.3289684074,730977.309127674,730977.309127674,730977.309127674,730977.309127674,730977.309127674,730977.309127674,730977.309127674,730977.309127674,730977.309127674,730977.309127674,730977.309127674,730977.309127674,730977.309127674,730977.309127674,730977.309127674,730977.309127674,1048211.764218976,1620085.029741741,1620121.797563558,1620195.0031387354,1620267.770817918,1620303.9912653128,1620303.9912653128,1620303.9912653128,1620303.9912653128,1620303.9912653128,1620303.9912653128,1620303.9912653128,1620303.9912653128,1620303.9912653128,1620303.9912653128,1620303.9912653128,1620303.9912653128,1620303.9912653128,1620303.9912653128,1620303.9912653128
5,5,12530725.0,1.0102516821257905,0.9898523483730126,380632.3616795344,670280.2218007819,675479.5944442463,678067.605741347,679162.5859006137,679162.5859006137,679162.5859006137,679162.5859006137,679162.5859006137,679162.5859006137,679162.5859006137,679162.5859006137,679162.5859006137,679162.5859006137,679162.5859006137,679162.5859006137,679162.5859006137,679162.5859006137,679162.5859006137,679162.5859006137,1102573.009016254,1674783.6686160616,1674820.4364378785,1674893.6420130562,1674966.4096922388,1675002.6301396333,1675002.6301396333,1675002.6301396333,1675002.6301396333,1675002.6301396333,1675002.6301396333,1675002.6301396333,1675002.6301396333,1675002.6301396333,1675002.6301396333,1675002.6301396333,1675002.6301396333,1675002.6301396333,1675002.6301396333,1675002.6301396333
6,6,12531095.0,1.0101506670590847,0.9899513336078498,387795.74600087025,677443.6061221176,682642.9787655821,685230.9900626828,686325.9702219494,686325.9702219494,686325.9702219494,686325.9702219494,686325.9702219494,686325.9702219494,686325.9702219494,686325.9702219494,686325.9702219494,686325.9702219494,686325.9702219494,686325.9702219494,686325.9702219494,686325.9702219494,686325.9702219494,686325.9702219494,1095336.2570270507,1667546.9166268583,1667583.6844486753,1667656.8900238527,1667729.6577030353,1667765.87815043,1667765.87815043,1667765.87815043,1667765.87815043,1667765.87815043,1667765.87815043,1667765.87815043,1667765.87815043,1667765.87815043,1667765.87815043,1667765.87815043,1667765.87815043,1667765.87815043,1667765.87815043,1667765.87815043
7,7,12531629.0,1.0135908523217565,0.9865913822222991,496792.3137195556,509488.4741663427,514672.27225967986,515220.58360449213,515767.2524189465,515767.2524189465,515767.2524189465,515767.2524189465,515767.2524189465,515767.2524189465,515767.2524189465,515767.2524189465,515767.2524189465,515767.2524189465,515767.2524189465,515767.2524189465,515767.2524189465,515767.2524189465,515767.2524189465,515767.2524189465,971987.0177644513,1562982.312090679,1840138.5446920118,1840211.9702029878,1840284.9565019985,1840321.2857681888,1840357.5062155835,1840357.5062155835,1840357.5062155835,1840357.5062155835,1840357.5062155835,1840357.5062155835,1840357.5062155835,1840357.5062155835,1840357.5062155835,1840357.5062155835,1840357.5062155835,1840357.5062155835,1840357.5062155835,1840357.5062155835
8,8,12532247.0,1.0111612724151833,0.9889619265297569,336023.3491129755,625671.209234223,630870.5818776874,633458.593174788,634553.5733340548,634553.5733340548,634553.5733340548,634553.5733340548,634553.5733340548,634553.5733340548,634553.5733340548,634553.5733340548,634553.5733340548,634553.5733340548,634553.5733340548,634553.5733340548,634553.5733340548,634553.5733340548,634553.5733340548,634553.5733340548,1147662.5850625723,1719873.24466238,1719910.012484197,1719983.2180593745,1720055.985738557,1720092.2061859518,1720092.2061859518,1720092.2061859518,1720092.2061859518,1720092.2061859518,1720092.2061859518,1720092.2061859518,1720092.2061859518,1720092.2061859518,1720092.2061859518,1720092.2061859518,1720092.2061859518,1720092.2061859518,1720092.2061859518,1720092.2061859518
9,9,12533049.0,1.0121728888315313,0.9879735083147861,568484.3873814765,581180.5478282635,586364.3459216007,586912.657266413,587459.3260808673,587459.3260808673,587459.3260808673,587459.3260808673,587459.3260808673,587459.3260808673,587459.3260808673,587459.3260808673,587459.3260808673,587459.3260808673,587459.3260808673,587459.3260808673,587459.3260808673,587459.3260808673,587459.3260808673,587459.3260808673,899367.6192944275,1490362.9136206552,1767519.146221988,1767592.571732964,1767665.5580319746,1767701.887298165,1767738.1077455594,1767738.1077455594,1767738.1077455594,1767738.1077455594,1767738.1077455594,1767738.1077455594,1767738.1077455594,1767738.1077455594,1767738.1077455594,1767738.1077455594,1767738.1077455594,1767738.1077455594,1767738.1077455594,1767738.1077455594
