,index,blocknum,p0vs1,p1vs0,DAI-slippagemap_01,DAI-slippagemap_2,DAI-slippagemap_3,DAI-slippagemap_4,DAI-slippagemap_5,DAI-slippagemap_6,DAI-slippagemap_7,DAI-slippagemap_8,DAI-slippagemap_9,DAI-slippagemap_10,DAI-slippagemap_11,DAI-slippagemap_12,DAI-slippagemap_13,DAI-slippagemap_14,DAI-slippagemap_15,DAI-slippagemap_16,DAI-slippagemap_17,DAI-slippagemap_18,DAI-slippagemap_19,DAI-slippagemap_20,MKR-slippagemap_01,MKR-slippagemap_2,MKR-slippagemap_3,MKR-slippagemap_4,MKR-slippagemap_5,MKR-slippagemap_6,MKR-slippagemap_7,MKR-slippagemap_8,MKR-slippagemap_9,MKR-slippagemap_10,MKR-slippagemap_11,MKR-slippagemap_12,MKR-slippagemap_13,MKR-slippagemap_14,MKR-slippagemap_15,MKR-slippagemap_16,MKR-slippagemap_17,MKR-slippagemap_18,MKR-slippagemap_19,MKR-slippagemap_20
0,0,12423078.0,0.00019651471018832954,5088.677580633285,716.7188384790184,1648.33761484736,1648.33761484736,1648.33761484736,1648.33761484736,1648.33761484736,1648.33761484736,1648.33761484736,1648.33761484736,1648.33761484736,1648.33761484736,1648.33761484736,1648.33761484736,1648.33761484736,1648.33761484736,1648.33761484736,1648.33761484736,1648.33761484736,1648.33761484736,1648.33761484736,0.3183553899571293,0.5003734671878394,0.5909738030542395,0.7713611503586969,0.9506694661457153,1.039921008134347,1.2176228686677717,1.3942617611692922,1.4821845867021042,1.6572409425192018,1.8312501620516604,1.9178640463433863,1.9178640463433863,1.9178640463433863,1.9178640463433863,1.9178640463433863,1.9178640463433863,1.9178640463433863,1.9178640463433863,1.9178640463433863
1,1,12428185.0,0.00019934491678672602,5016.430898360324,529.9781715364488,529.9781715364488,529.9781715364488,529.9781715364488,529.9781715364488,529.9781715364488,529.9781715364488,529.9781715364488,529.9781715364488,529.9781715364488,529.9781715364488,529.9781715364488,529.9781715364488,529.9781715364488,529.9781715364488,529.9781715364488,529.9781715364488,529.9781715364488,529.9781715364488,529.9781715364488,0.35660200979510437,0.5397154245091109,0.6308609700960739,0.8123338376062212,0.9927211849106786,1.0825098145612977,1.2612810426863288,1.4389829032197532,1.527434823747113,1.703544621254086,1.8786009770711836,1.9657360878762093,2.139224080895368,2.139224080895368,2.139224080895368,2.139224080895368,2.139224080895368,2.139224080895368,2.139224080895368,2.139224080895368
2,2,12449082.0,0.00021776840917290275,4592.034279894218,342.64766719074174,828.6437162989055,1311.7326664606007,1552.192410139981,2030.9532801281825,2506.850320345095,2743.730272063285,3215.3636675586017,3684.175878654849,3917.529322095102,4382.141364946082,4843.974219422667,5073.853641106798,5531.54886331535,5986.50626567257,6212.963402463508,6663.844763723317,7112.0290620661735,7335.114864979254,7779.283804123211,0.19071025271707132,0.2958591787425916,0.3481975390839774,0.4524044206926958,0.5559879606223211,0.6075471440096539,0.7102026605695027,0.9050450514790876,1.0483596331220182,1.333702223453776,1.617337973025059,1.7585189737890863,2.0396135778271463,2.3190267521474737,2.4581059414777986,2.7350158083502856,3.010269265292968,3.1472779427783437,3.4200653543437527,3.6912210245984336
3,3,12450084.0,0.0002237503228254656,4469.267294778569,454.6337488748746,933.3946188630761,1409.291659079989,1646.171610798179,2117.8050062934954,2586.6172173897426,2819.9706608299957,3284.582703680976,3746.4155581575615,3976.2949798416917,4433.990202050243,4888.9476044074645,5115.404741198401,5566.286102458211,6014.470400801067,6237.556203714148,6681.725142858104,7123.237187813045,7343.001830976463,7780.558287190091,0.1673540014367886,0.27409196818161363,0.32722128396691236,0.43300296958615375,0.538151895611674,0.5904902559530598,0.6946971375617782,0.7982806774914035,0.8498398608787364,0.9524953774385851,1.14733776834817,1.2906523499911005,1.5759949403228586,1.8596306898941415,2.0008116906581686,2.2819062946962285,2.561319469016556,2.7003986583468813,2.977308525219368,3.2525619821620504
4,4,12451364.0,0.00021986894732764609,4548.163859218427,438.13967793212976,921.228628093825,1401.4278586135051,1640.4492417614067,2116.3462819783194,2589.3966363041,2824.859629191826,3293.6718402880733,3759.6797508528393,3991.6373265793063,4453.470181055892,4912.540465346784,5141.044824948574,5596.002227305795,6048.238184949759,6273.340725356541,6721.525023699398,7167.028409432459,7388.779765756435,7830.2918107113765,0.17038403972289304,0.27616572534213446,0.3288190464587494,0.4336530117090405,0.537859893317759,0.5897293448842948,0.6930026166347171,0.7956581331945658,0.8467553892134755,1.133815105747081,1.4191576960788392,1.5611882791537288,1.8439744464141494,2.1250690504522094,2.2649851903075056,2.5435614141028617,2.8204712809753487,2.9583044359631114,3.232733415403407,3.505520826968816
5,5,12452972.0,0.00023169666901838714,4315.9878138802305,255.39909500414976,727.0324904994663,1195.8447015957133,1429.1981450359665,1893.8101878869468,2355.643042363532,2585.5224640476627,3043.217686256214,3498.175088613435,3724.632225404372,4175.513586664181,4623.697885007038,4846.783687920119,5290.952627064075,5732.464672019017,5952.229315182433,6389.785771396061,6824.724878611581,7041.21782909692,7472.260240603786,0.21437009215425898,0.3227211168574822,0.37665333933262934,0.48403362928725946,0.5907715960320845,0.6439009118173832,0.7496825974366246,0.8548315234621449,0.9071698838035307,1.0113767654122492,1.1149603053418744,1.1665194887292072,1.269175005289056,1.464017396198641,1.6073319778415713,1.8926745681733295,2.1763103177446124,2.3174913185086394,2.5985859225466994,2.877999096867027
6,6,12453807.0,0.00023169666901838714,4315.9878138802305,255.39909500414976,727.0324904994663,1195.8447015957133,1429.1981450359665,1893.8101878869468,2355.643042363532,2585.5224640476627,3043.217686256214,3498.175088613435,3724.632225404372,4175.513586664181,4623.697885007038,4846.783687920119,5290.952627064075,5732.464672019017,5952.229315182433,6389.785771396061,6824.724878611581,7041.21782909692,7472.260240603786,0.21437009215425898,0.3227211168574822,0.37665333933262934,0.48403362928725946,0.5907715960320845,0.6439009118173832,0.7496825974366246,0.8548315234621449,0.9071698838035307,1.0113767654122492,1.1149603053418744,1.1665194887292072,1.269175005289056,1.371216462119836,1.4220080720900756,1.5231353222964639,1.6236576571537402,1.6736931123308043,1.773314848858717,1.8723406758745869
7,7,12455744.0,0.00022525440784396458,4439.424780058944,425.06086188384006,902.3876721812996,1376.8592369668445,1613.0296395744351,2083.250331043181,2550.6582869986614,2783.3127541231743,3246.5331067838347,3706.9826060103574,3936.1734686171194,4392.49773150772,4846.092367367067,5071.871188220093,5521.401998792717,5968.243829882814,6190.661412702794,6633.49990835312,7073.6894571451285,7292.795837159273,7729.041658902075,0.17420970195122526,0.281268349913991,0.33455728434111,0.4406567743050579,0.5461216068622651,0.5986172117711703,0.7031371653173585,0.8070319052878104,0.8587459936508999,0.9617099234163303,1.064057949616991,1.1150021504288616,1.2164332235387814,1.3172575632206247,1.3674433454627657,1.4673643814941224,1.566687717499314,1.6161263641836126,1.7145598437317289,1.8124045197011873
8,8,12456436.0,0.00021048909672407627,4750.839903650066,266.70348156136805,761.5262257587692,1253.3890610640676,1498.2160514684965,1985.6722051215763,2470.212516373593,2711.3946931539144,3191.5939236735944,3668.920733971054,3906.5123470384087,4379.56270136419,4849.7833928329355,5083.837905348162,5549.845815912929,6013.066168573589,6243.6362461159815,6702.706530406874,7159.030793297475,7386.168292365885,7838.404250009848,0.20458764423421288,0.30786091598463516,0.3592656623627328,0.4616136885633936,0.5633494993455035,0.6139889624851838,0.7148133021670271,0.8150345395862323,0.8649201204405249,0.9642434564457163,1.062972662809721,1.1121155826781313,1.2099602586475897,1.307219654924451,1.3556309651535852,1.4520189978927496,1.547830461674823,1.5955210596660496,1.6904741314762786,1.7848592167031283
9,9,12458890.0,0.00020359556868573407,4911.698257753239,412.27000214365705,914.5706398468454,1413.8666594960446,1662.3935496193324,2157.2162938167335,2649.0791291220316,2893.9061195264608,3381.362273179541,3865.9025844315574,4107.084761211879,4587.283991731559,5064.6108020290185,5302.202415096373,5775.2527694221535,6245.473460890899,6479.527973406127,6945.535883970893,7408.756236631553,7639.326314173945,8098.396598464838,0.17267723850060346,0.2744130492827133,0.3250525124223936,0.425876852104237,0.5260980895234421,0.5759836703777347,0.6753070063829261,0.7740362127469308,0.8231791326153411,0.9210238085847996,1.018283204861661,1.066694515090795,1.1630825478299596,1.2588940116120328,1.3065846096032594,1.4015376814134883,1.495922766640338,1.5429033816815076,1.6364428573364422,1.7294228035261179
