,index,blocknum,p0vs1,p1vs0,DAI-slippagemap_01,DAI-slippagemap_2,DAI-slippagemap_3,DAI-slippagemap_4,DAI-slippagemap_5,DAI-slippagemap_6,DAI-slippagemap_7,DAI-slippagemap_8,DAI-slippagemap_9,DAI-slippagemap_10,DAI-slippagemap_11,USDC-slippagemap_01,USDC-slippagemap_2,USDC-slippagemap_3,USDC-slippagemap_4,USDC-slippagemap_5,USDC-slippagemap_6,USDC-slippagemap_7,USDC-slippagemap_8,USDC-slippagemap_9,USDC-slippagemap_10
0,0,12431998.0,0.9999026535686368,1.0000973559086135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,12523321.0,0.9999026535686368,1.0000973559086135,93.3642615063645,241.53864096192493,388.2387695259297,533.4792747129443,533.4792747129443,533.4792747129443,533.4792747129443,533.4792747129443,533.4792747129443,533.4792747129443,533.4792747129443,351.6669058596531,497.25681936858473,497.25681936858473,497.25681936858473,497.25681936858473,497.25681936858473,497.25681936858473,497.25681936858473,497.25681936858473,497.25681936858473
2,2,12633682.0,0.9999026535686368,1.0000973559086135,151.0581085643048,390.79589620503634,390.79589620503634,390.79589620503634,390.79589620503634,390.79589620503634,390.79589620503634,390.79589620503634,390.79589620503634,390.79589620503634,390.79589620503634,331.05384430121336,331.05384430121336,331.05384430121336,331.05384430121336,331.05384430121336,331.05384430121336,331.05384430121336,331.05384430121336,331.05384430121336,331.05384430121336
3,3,12636067.0,0.9999026535686368,1.0000973559086135,152.0581081817979,393.3829519442955,393.3829519442955,393.3829519442955,393.3829519442955,393.3829519442955,393.3829519442955,393.3829519442955,393.3829519442955,393.3829519442955,393.3829519442955,333.24540965852685,333.24540965852685,333.24540965852685,333.24540965852685,333.24540965852685,333.24540965852685,333.24540965852685,333.24540965852685,333.24540965852685,333.24540965852685
4,4,12679289.0,0.9999026535686368,1.0000973559086135,196718.1396083916,508920.9867560521,817778.6691513408,817778.6691513408,817778.6691513408,817778.6691513408,817778.6691513408,817778.6691513408,817778.6691513408,817778.6691513408,817778.6691513408,740721.3185635705,740721.3185635705,740721.3185635705,740721.3185635705,740721.3185635705,740721.3185635705,740721.3185635705,740721.3185635705,740721.3185635705,740721.3185635705
5,5,12686828.0,0.9999026535686368,1.0000973559086135,152.05800917226017,393.3828529347504,393.3828529347504,393.3828529347504,393.3828529347504,393.3828529347504,393.3828529347504,393.3828529347504,393.3828529347504,393.3828529347504,393.3828529347504,333.245508658412,333.245508658412,333.245508658412,333.245508658412,333.245508658412,333.245508658412,333.245508658412,333.245508658412,333.245508658412,333.245508658412
6,6,12711912.0,0.9999026535686368,1.0000973559086135,608.3523305785059,1573.8426189794886,1573.8426189794886,1573.8426189794886,1573.8426189794886,1573.8426189794886,1573.8426189794886,1573.8426189794886,1573.8426189794886,1573.8426189794886,1573.8426189794886,2051.9303865810843,2051.9303865810843,2051.9303865810843,2051.9303865810843,2051.9303865810843,2051.9303865810843,2051.9303865810843,2051.9303865810843,2051.9303865810843,2051.9303865810843
7,7,12717990.0,0.9999026535686368,1.0000973559086135,152.05800917226017,393.3828529347504,393.3828529347504,393.3828529347504,393.3828529347504,393.3828529347504,393.3828529347504,393.3828529347504,393.3828529347504,393.3828529347504,393.3828529347504,333.245508658412,333.245508658412,333.245508658412,333.245508658412,333.245508658412,333.245508658412,333.245508658412,333.245508658412,333.245508658412,333.245508658412
8,8,12798678.0,0.9999026535686368,1.0000973559086135,3034.3440329320524,7850.023283601593,12378.865463040891,16862.646987247535,16862.646987247535,16862.646987247535,16862.646987247535,16862.646987247535,16862.646987247535,16862.646987247535,16862.646987247535,11189.706285152346,15684.274542551626,15684.274542551626,15684.274542551626,15684.274542551626,15684.274542551626,15684.274542551626,15684.274542551626,15684.274542551626,15684.274542551626
9,9,12825108.0,0.9999026535686368,1.0000973559086135,3451.5027939705033,8929.23709441853,8929.23709441853,8929.23709441853,8929.23709441853,8929.23709441853,8929.23709441853,8929.23709441853,8929.23709441853,8929.23709441853,8929.23709441853,7564.204019727888,7564.204019727888,7564.204019727888,7564.204019727888,7564.204019727888,7564.204019727888,7564.204019727888,7564.204019727888,7564.204019727888,7564.204019727888
10,10,12864794.0,0.9999026535686368,1.0000973559086135,152.05800917226017,393.3828529347504,393.3828529347504,393.3828529347504,393.3828529347504,393.3828529347504,393.3828529347504,393.3828529347504,393.3828529347504,393.3828529347504,393.3828529347504,333.245508658412,333.245508658412,333.245508658412,333.245508658412,333.245508658412,333.245508658412,333.245508658412,333.245508658412,333.245508658412,333.245508658412
11,11,12955938.0,0.9999026535686368,1.0000973559086135,52.05805926395513,134.67720630421684,134.67720630421684,134.67720630421684,134.67720630421684,134.67720630421684,134.67720630421684,134.67720630421684,134.67720630421684,134.67720630421684,134.67720630421684,114.0887910713965,114.0887910713965,114.0887910713965,114.0887910713965,114.0887910713965,114.0887910713965,114.0887910713965,114.0887910713965,114.0887910713965,114.0887910713965
12,12,13385641.0,1.0022049611972712,0.9977998899599967,42.16881354464019,124.78796058490191,124.78796058490191,124.78796058490191,124.78796058490191,124.78796058490191,124.78796058490191,124.78796058490191,124.78796058490191,124.78796058490191,124.78796058490191,123.98879107196443,123.98879107196443,123.98879107196443,123.98879107196443,123.98879107196443,123.98879107196443,123.98879107196443,123.98879107196443,123.98879107196443,123.98879107196443
13,18,15288496.0,0.992431807892024,1.0076259064328572,1.6028327135991618,3.1898888353517494,3.1898888353517494,3.1898888353517494,3.1898888353517494,3.1898888353517494,3.1898888353517494,3.1898888353517494,3.1898888353517494,3.1898888353517494,3.1898888353517494,1.5910463572678004,1.5910463572678004,1.5910463572678004,1.5910463572678004,1.5910463572678004,1.5910463572678004,1.5910463572678004,1.5910463572678004,1.5910463572678004,1.5910463572678004
14,19,16011744.0,0.992431807892024,1.0076259064328572,1.6028327135991618,3.1898888353517494,3.1898888353517494,3.1898888353517494,3.1898888353517494,3.1898888353517494,3.1898888353517494,3.1898888353517494,3.1898888353517494,3.1898888353517494,3.1898888353517494,1.5910463572678004,1.5910463572678004,1.5910463572678004,1.5910463572678004,1.5910463572678004,1.5910463572678004,1.5910463572678004,1.5910463572678004,1.5910463572678004,1.5910463572678004
15,20,16016354.0,0.997306413054365,1.0027008619521314,1.2028327136236465,2.7898888353762343,2.7898888353762343,2.7898888353762343,2.7898888353762343,2.7898888353762343,2.7898888353762343,2.7898888353762343,2.7898888353762343,2.7898888353762343,2.7898888353762343,1.9890079761937598,1.9890079761937598,1.9890079761937598,1.9890079761937598,1.9890079761937598,1.9890079761937598,1.9890079761937598,1.9890079761937598,1.9890079761937598,1.9890079761937598
16,21,16066830.0,0.997306413054365,1.0027008619521314,1.2198385842558934,2.8293327980115928,2.851547643747287,2.8735414582646075,2.8953164464954924,2.916874779321313,2.938218610911619,2.9593500750630057,2.980271290859667,3.000984350286929,3.021491316180372,2.039397210669009,2.0614439361963344,2.0832712936091675,2.1048814866955814,2.126276657950947,2.147458956528249,2.1684304870254323,2.189193367351585,2.209749664303644,2.2301014396805248
17,22,16224426.0,0.997306413054365,1.0027008619521314,118.62973722049543,275.15362333139177,428.54891988820003,580.4179781044811,730.7760232126096,879.638045323057,879.6593891546472,879.6805206187987,879.7014418345954,879.7221548940225,879.742661859916,349.9307248606798,502.16513785670463,652.8847963782671,802.1049177592633,949.8402961025498,949.8614784011271,949.8824499316243,949.9032128119504,949.9237691089024,949.9441208842794
18,23,16383430.0,0.997306413054365,1.0027008619521314,118.63611138461454,275.1684077724112,428.5720309286428,580.449332897118,730.8155397366673,879.6856423714546,879.7149863277331,879.7440383167133,879.7728012517575,879.8012780089721,879.8294714243874,349.9496118237367,502.1922884041342,652.9201282862072,802.1483496298785,949.8917473410578,949.9208692182942,949.9497013270652,949.9782465791174,950.0065078159273,950.0344878721005
19,24,16599484.0,0.997306413054365,1.0027008619521314,118.63610937936477,275.1684057671614,428.572028923393,580.4493308918683,730.8155377314175,879.6856403662049,879.7149843224832,879.7440363114634,879.7727992465077,879.8012760037223,879.8294694191376,349.94961382373333,502.1922904041308,652.9201302862037,802.148351629875,949.8917493410544,949.9208712182908,949.9497033270618,949.9782485791139,950.006509815924,950.0344898720971
20,25,16603704.0,0.997306413054365,1.0027008619521314,1.2262127276489223,2.844117218304914,2.8746586634639533,2.904896230175458,2.934832949827026,2.9644718069928078,2.993815763271205,3.0228677522514045,3.05163068729569,3.0801074445102414,3.108300859925544,2.058284194397709,2.088594504297692,2.1186032222209352,2.148313377982426,2.177727917130636,2.2068497943670833,2.235681903138027,2.2642271551901905,2.2924883920002173,2.3204684481733637
