,index,blocknum,p0vs1,p1vs0,DAI-slippagemap_01,DAI-slippagemap_2,DAI-slippagemap_3,DAI-slippagemap_4,DAI-slippagemap_5,DAI-slippagemap_6,DAI-slippagemap_7,DAI-slippagemap_8,DAI-slippagemap_9,DAI-slippagemap_10,DAI-slippagemap_11,DAI-slippagemap_12,DAI-slippagemap_13,DAI-slippagemap_14,DAI-slippagemap_15,DAI-slippagemap_16,DAI-slippagemap_17,DAI-slippagemap_18,DAI-slippagemap_19,DAI-slippagemap_20,USDC-slippagemap_01,USDC-slippagemap_2,USDC-slippagemap_3,USDC-slippagemap_4,USDC-slippagemap_5,USDC-slippagemap_6,USDC-slippagemap_7,USDC-slippagemap_8,USDC-slippagemap_9,USDC-slippagemap_10,USDC-slippagemap_11,USDC-slippagemap_12,USDC-slippagemap_13,USDC-slippagemap_14,USDC-slippagemap_15,USDC-slippagemap_16,USDC-slippagemap_17,USDC-slippagemap_18,USDC-slippagemap_19,USDC-slippagemap_20
0,0,12413927.0,0.999602742756728,1.0003974151193067,22.74724768616463,42.687341833428974,42.687341833428974,42.687341833428974,42.687341833428974,42.687341833428974,42.687341833428974,42.687341833428974,42.687341833428974,42.687341833428974,42.687341833428974,42.687341833428974,42.687341833428974,42.687341833428974,42.687341833428974,42.687341833428974,42.687341833428974,42.687341833428974,42.687341833428974,42.687341833428974,2.870692216972757,2.870692216972757,2.870692216972757,2.870692216972757,2.870692216972757,2.870692216972757,2.870692216972757,2.870692216972757,2.870692216972757,2.870692216972757,2.870692216972757,2.870692216972757,2.870692216972757,2.870692216972757,2.870692216972757,2.870692216972757,2.870692216972757,2.870692216972757,2.870692216972757,2.870692216972757
1,1,12443717.0,0.999602742756728,1.0003974151193067,2144.478967803293,5042.687419876222,6475.359265914964,6475.359265914964,6475.359265914964,6475.359265914964,6475.359265914964,6475.359265914964,6475.359265914964,6475.359265914964,6475.359265914964,6475.359265914964,6475.359265914964,6475.359265914964,6475.359265914964,6475.359265914964,6475.359265914964,6475.359265914964,6475.359265914964,6475.359265914964,5096.492490002724,6528.308203160833,6528.308203160833,6528.308203160833,6528.308203160833,6528.308203160833,6528.308203160833,6528.308203160833,6528.308203160833,6528.308203160833,6528.308203160833,6528.308203160833,6528.308203160833,6528.308203160833,6528.308203160833,6528.308203160833,6528.308203160833,6528.308203160833,6528.308203160833,6528.308203160833
2,2,12451212.0,0.999602742756728,1.0003974151193067,110157.65072339345,113055.8591754664,114488.53102150513,114488.53102150513,114488.53102150513,114488.53102150513,114488.53102150513,114488.53102150513,114488.53102150513,114488.53102150513,114488.53102150513,114488.53102150513,114488.53102150513,114488.53102150513,114488.53102150513,114488.53102150513,114488.53102150513,114488.53102150513,114488.53102150513,114488.53102150513,117963.20046549758,119395.01617865567,119395.01617865567,119395.01617865567,119395.01617865567,119395.01617865567,119395.01617865567,119395.01617865567,119395.01617865567,119395.01617865567,119395.01617865567,119395.01617865567,119395.01617865567,119395.01617865567,119395.01617865567,119395.01617865567,119395.01617865567,119395.01617865567,119395.01617865567,119395.01617865567
3,3,12451783.0,0.999602742756728,1.0003974151193067,2144.4789678032976,5042.687419876226,6475.359265914969,6475.359265914969,6475.359265914969,6475.359265914969,6475.359265914969,6475.359265914969,6475.359265914969,6475.359265914969,6475.359265914969,6475.359265914969,6475.359265914969,6475.359265914969,6475.359265914969,6475.359265914969,6475.359265914969,6475.359265914969,6475.359265914969,6475.359265914969,5096.492490002728,6528.308203160837,6528.308203160837,6528.308203160837,6528.308203160837,6528.308203160837,6528.308203160837,6528.308203160837,6528.308203160837,6528.308203160837,6528.308203160837,6528.308203160837,6528.308203160837,6528.308203160837,6528.308203160837,6528.308203160837,6528.308203160837,6528.308203160837,6528.308203160837,6528.308203160837
4,4,12490082.0,0.999602742756728,1.0003974151193067,12144.47703573629,21835.685395101653,23268.357241140395,23268.357241140395,23268.357241140395,23268.357241140395,23268.357241140395,23268.357241140395,23268.357241140395,23268.357241140395,23268.357241140395,23268.357241140395,23268.357241140395,23268.357241140395,23268.357241140395,23268.357241140395,23268.357241140395,23268.357241140395,23268.357241140395,23268.357241140395,22334.784413343583,23766.600126501693,23766.600126501693,23766.600126501693,23766.600126501693,23766.600126501693,23766.600126501693,23766.600126501693,23766.600126501693,23766.600126501693,23766.600126501693,23766.600126501693,23766.600126501693,23766.600126501693,23766.600126501693,23766.600126501693,23766.600126501693,23766.600126501693,23766.600126501693,23766.600126501693
5,5,12491207.0,1.000302674628223,0.9996974169559872,11171.685333211643,20862.893692577007,22295.56553861575,22295.56553861575,22295.56553861575,22295.56553861575,22295.56553861575,22295.56553861575,22295.56553861575,22295.56553861575,22295.56553861575,22295.56553861575,22295.56553861575,22295.56553861575,22295.56553861575,22295.56553861575,22295.56553861575,22295.56553861575,22295.56553861575,22295.56553861575,23307.532303402168,24739.348016560278,24739.348016560278,24739.348016560278,24739.348016560278,24739.348016560278,24739.348016560278,24739.348016560278,24739.348016560278,24739.348016560278,24739.348016560278,24739.348016560278,24739.348016560278,24739.348016560278,24739.348016560278,24739.348016560278,24739.348016560278,24739.348016560278,24739.348016560278,24739.348016560278
6,6,12494507.0,1.000302674628223,0.9996974169559872,11395.368285412764,21251.779324403324,22684.451170442066,22684.451170442066,22684.451170442066,22684.451170442066,22684.451170442066,22684.451170442066,22684.451170442066,22684.451170442066,22684.451170442066,22684.451170442066,22684.451170442066,22684.451170442066,22684.451170442066,22684.451170442066,22684.451170442066,22684.451170442066,22684.451170442066,22684.451170442066,23746.271342469925,25178.08705562803,25178.08705562803,25178.08705562803,25178.08705562803,25178.08705562803,25178.08705562803,25178.08705562803,25178.08705562803,25178.08705562803,25178.08705562803,25178.08705562803,25178.08705562803,25178.08705562803,25178.08705562803,25178.08705562803,25178.08705562803,25178.08705562803,25178.08705562803,25178.08705562803
7,7,12503145.0,1.000302674628223,0.9996974169559872,1974.024151126688,4872.232603199617,6304.904449238359,6304.904449238359,6304.904449238359,6304.904449238359,6304.904449238359,6304.904449238359,6304.904449238359,6304.904449238359,6304.904449238359,6304.904449238359,6304.904449238359,6304.904449238359,6304.904449238359,6304.904449238359,6304.904449238359,6304.904449238359,6304.904449238359,6304.904449238359,5266.939629757494,6698.755342915603,6698.755342915603,6698.755342915603,6698.755342915603,6698.755342915603,6698.755342915603,6698.755342915603,6698.755342915603,6698.755342915603,6698.755342915603,6698.755342915603,6698.755342915603,6698.755342915603,6698.755342915603,6698.755342915603,6698.755342915603,6698.755342915603,6698.755342915603,6698.755342915603
8,8,12505666.0,1.000302674628223,0.9996974169559872,22.52682599236337,42.46692013962821,42.46692013962821,42.46692013962821,42.46692013962821,42.46692013962821,42.46692013962821,42.46692013962821,42.46692013962821,42.46692013962821,42.46692013962821,42.46692013962821,42.46692013962821,42.46692013962821,42.46692013962821,42.46692013962821,42.46692013962821,42.46692013962821,42.46692013962821,42.46692013962821,3.091103983460433,3.091103983460433,3.091103983460433,3.091103983460433,3.091103983460433,3.091103983460433,3.091103983460433,3.091103983460433,3.091103983460433,3.091103983460433,3.091103983460433,3.091103983460433,3.091103983460433,3.091103983460433,3.091103983460433,3.091103983460433,3.091103983460433,3.091103983460433,3.091103983460433,3.091103983460433
9,9,12507007.0,1.000302674628223,0.9996974169559872,305163.3093656746,305183.24945982185,305183.24945982185,305183.24945982185,305183.24945982185,305183.24945982185,305183.24945982185,305183.24945982185,305183.24945982185,305183.24945982185,305183.24945982185,305183.24945982185,305183.24945982185,305183.24945982185,305183.24945982185,305183.24945982185,305183.24945982185,305183.24945982185,305183.24945982185,305183.24945982185,373286.6708739556,373286.6708739556,373286.6708739556,373286.6708739556,373286.6708739556,373286.6708739556,373286.6708739556,373286.6708739556,373286.6708739556,373286.6708739556,373286.6708739556,373286.6708739556,373286.6708739556,373286.6708739556,373286.6708739556,373286.6708739556,373286.6708739556,373286.6708739556,373286.6708739556,373286.6708739556
