,index,blocknum,p0vs1,p1vs0,DAI-slippagemap_01,DAI-slippagemap_2,DAI-slippagemap_3,DAI-slippagemap_4,DAI-slippagemap_5,DAI-slippagemap_6,DAI-slippagemap_7,DAI-slippagemap_8,DAI-slippagemap_9,DAI-slippagemap_10,DAI-slippagemap_11,DAI-slippagemap_12,DAI-slippagemap_13,DAI-slippagemap_14,DAI-slippagemap_15,DAI-slippagemap_16,DAI-slippagemap_17,DAI-slippagemap_18,DAI-slippagemap_19,DAI-slippagemap_20,USDP-slippagemap_01,USDP-slippagemap_2,USDP-slippagemap_3,USDP-slippagemap_4,USDP-slippagemap_5,USDP-slippagemap_6,USDP-slippagemap_7,USDP-slippagemap_8,USDP-slippagemap_9,USDP-slippagemap_10,USDP-slippagemap_11,USDP-slippagemap_12,USDP-slippagemap_13,USDP-slippagemap_14,USDP-slippagemap_15,USDP-slippagemap_16,USDP-slippagemap_17,USDP-slippagemap_18,USDP-slippagemap_19,USDP-slippagemap_20
0,0,13655395.0,1.0,1.0,5191208.304197281,5191208.304197281,5191208.304197281,5191208.304197281,5191208.304197281,5191208.304197281,5191208.304197281,5191208.304197281,5191208.304197281,5191208.304197281,5191208.304197281,5191208.304197281,5191208.304197281,5191208.304197281,5191208.304197281,5191208.304197281,5191208.304197281,5191208.304197281,5191208.304197281,5191208.304197281,5806158.612424949,5806158.612424949,5806158.612424949,5806158.612424949,5806158.612424949,5806158.612424949,5806158.612424949,5806158.612424949,5806158.612424949,5806158.612424949,5806158.612424949,5806158.612424949,5806158.612424949,5806158.612424949,5806158.612424949,5806158.612424949,5806158.612424949,5806158.612424949,5806158.612424949,5806158.612424949
1,1,13657178.0,1.0,1.0,5181369.902584408,5181369.902584408,5181369.902584408,5181369.902584408,5181369.902584408,5181369.902584408,5181369.902584408,5181369.902584408,5181369.902584408,5181369.902584408,5181369.902584408,5181369.902584408,5181369.902584408,5181369.902584408,5181369.902584408,5181369.902584408,5181369.902584408,5181369.902584408,5181369.902584408,5181369.902584408,5815997.628425479,5815997.628425479,5815997.628425479,5815997.628425479,5815997.628425479,5815997.628425479,5815997.628425479,5815997.628425479,5815997.628425479,5815997.628425479,5815997.628425479,5815997.628425479,5815997.628425479,5815997.628425479,5815997.628425479,5815997.628425479,5815997.628425479,5815997.628425479,5815997.628425479,5815997.628425479
2,2,13659240.0,1.0,1.0,5177014.8057868015,5177014.8057868015,5177014.8057868015,5177014.8057868015,5177014.8057868015,5177014.8057868015,5177014.8057868015,5177014.8057868015,5177014.8057868015,5177014.8057868015,5177014.8057868015,5177014.8057868015,5177014.8057868015,5177014.8057868015,5177014.8057868015,5177014.8057868015,5177014.8057868015,5177014.8057868015,5177014.8057868015,5177014.8057868015,5820353.003369924,5820353.003369924,5820353.003369924,5820353.003369924,5820353.003369924,5820353.003369924,5820353.003369924,5820353.003369924,5820353.003369924,5820353.003369924,5820353.003369924,5820353.003369924,5820353.003369924,5820353.003369924,5820353.003369924,5820353.003369924,5820353.003369924,5820353.003369924,5820353.003369924,5820353.003369924
3,3,13659971.0,1.0,1.0,5120516.273234096,5120516.273234096,5120516.273234096,5120516.273234096,5120516.273234096,5120516.273234096,5120516.273234096,5120516.273234096,5120516.273234096,5120516.273234096,5120516.273234096,5120516.273234096,5120516.273234096,5120516.273234096,5120516.273234096,5120516.273234096,5120516.273234096,5120516.273234096,5120516.273234096,5120516.273234096,5876855.488058119,5876855.488058119,5876855.488058119,5876855.488058119,5876855.488058119,5876855.488058119,5876855.488058119,5876855.488058119,5876855.488058119,5876855.488058119,5876855.488058119,5876855.488058119,5876855.488058119,5876855.488058119,5876855.488058119,5876855.488058119,5876855.488058119,5876855.488058119,5876855.488058119,5876855.488058119
4,4,13661169.0,1.0,1.0,5051425.179688845,5051425.179688845,5051425.179688845,5051425.179688845,5051425.179688845,5051425.179688845,5051425.179688845,5051425.179688845,5051425.179688845,5051425.179688845,5051425.179688845,5051425.179688845,5051425.179688845,5051425.179688845,5051425.179688845,5051425.179688845,5051425.179688845,5051425.179688845,5051425.179688845,5051425.179688845,5945952.282152963,5945952.282152963,5945952.282152963,5945952.282152963,5945952.282152963,5945952.282152963,5945952.282152963,5945952.282152963,5945952.282152963,5945952.282152963,5945952.282152963,5945952.282152963,5945952.282152963,5945952.282152963,5945952.282152963,5945952.282152963,5945952.282152963,5945952.282152963,5945952.282152963,5945952.282152963
5,5,13661850.0,1.0,1.0,5224239.510113696,5224239.510113696,5224239.510113696,5224239.510113696,5224239.510113696,5224239.510113696,5224239.510113696,5224239.510113696,5224239.510113696,5224239.510113696,5224239.510113696,5224239.510113696,5224239.510113696,5224239.510113696,5224239.510113696,5224239.510113696,5224239.510113696,5224239.510113696,5224239.510113696,5224239.510113696,5773125.485352157,5773125.485352157,5773125.485352157,5773125.485352157,5773125.485352157,5773125.485352157,5773125.485352157,5773125.485352157,5773125.485352157,5773125.485352157,5773125.485352157,5773125.485352157,5773125.485352157,5773125.485352157,5773125.485352157,5773125.485352157,5773125.485352157,5773125.485352157,5773125.485352157,5773125.485352157
6,6,13663871.0,1.0,1.0,5076684.668129374,5076684.668129374,5076684.668129374,5076684.668129374,5076684.668129374,5076684.668129374,5076684.668129374,5076684.668129374,5076684.668129374,5076684.668129374,5076684.668129374,5076684.668129374,5076684.668129374,5076684.668129374,5076684.668129374,5076684.668129374,5076684.668129374,5076684.668129374,5076684.668129374,5076684.668129374,5920690.598912448,5920690.598912448,5920690.598912448,5920690.598912448,5920690.598912448,5920690.598912448,5920690.598912448,5920690.598912448,5920690.598912448,5920690.598912448,5920690.598912448,5920690.598912448,5920690.598912448,5920690.598912448,5920690.598912448,5920690.598912448,5920690.598912448,5920690.598912448,5920690.598912448,5920690.598912448
7,7,13664626.0,1.0,1.0,5066186.614811945,5066186.614811945,5066186.614811945,5066186.614811945,5066186.614811945,5066186.614811945,5066186.614811945,5066186.614811945,5066186.614811945,5066186.614811945,5066186.614811945,5066186.614811945,5066186.614811945,5066186.614811945,5066186.614811945,5066186.614811945,5066186.614811945,5066186.614811945,5066186.614811945,5066186.614811945,5931189.548913013,5931189.548913013,5931189.548913013,5931189.548913013,5931189.548913013,5931189.548913013,5931189.548913013,5931189.548913013,5931189.548913013,5931189.548913013,5931189.548913013,5931189.548913013,5931189.548913013,5931189.548913013,5931189.548913013,5931189.548913013,5931189.548913013,5931189.548913013,5931189.548913013,5931189.548913013
8,8,13665840.0,1.0,1.0,5411100.862060972,5411100.862060972,5411100.862060972,5411100.862060972,5411100.862060972,5411100.862060972,5411100.862060972,5411100.862060972,5411100.862060972,5411100.862060972,5411100.862060972,5411100.862060972,5411100.862060972,5411100.862060972,5411100.862060972,5411100.862060972,5411100.862060972,5411100.862060972,5411100.862060972,5411100.862060972,5586257.373179525,5586257.373179525,5586257.373179525,5586257.373179525,5586257.373179525,5586257.373179525,5586257.373179525,5586257.373179525,5586257.373179525,5586257.373179525,5586257.373179525,5586257.373179525,5586257.373179525,5586257.373179525,5586257.373179525,5586257.373179525,5586257.373179525,5586257.373179525,5586257.373179525,5586257.373179525
9,9,13667679.0,1.0,1.0,5374235.586895662,5374235.586895662,5374235.586895662,5374235.586895662,5374235.586895662,5374235.586895662,5374235.586895662,5374235.586895662,5374235.586895662,5374235.586895662,5374235.586895662,5374235.586895662,5374235.586895662,5374235.586895662,5374235.586895662,5374235.586895662,5374235.586895662,5374235.586895662,5374235.586895662,5374235.586895662,5623123.429223083,5623123.429223083,5623123.429223083,5623123.429223083,5623123.429223083,5623123.429223083,5623123.429223083,5623123.429223083,5623123.429223083,5623123.429223083,5623123.429223083,5623123.429223083,5623123.429223083,5623123.429223083,5623123.429223083,5623123.429223083,5623123.429223083,5623123.429223083,5623123.429223083,5623123.429223083
