,index,blocknum,p0vs1,p1vs0,DAI-slippagemap_01,DAI-slippagemap_2,DAI-slippagemap_3,DAI-slippagemap_4,DAI-slippagemap_5,DAI-slippagemap_6,DAI-slippagemap_7,DAI-slippagemap_8,DAI-slippagemap_9,DAI-slippagemap_10,DAI-slippagemap_11,DAI-slippagemap_12,DAI-slippagemap_13,DAI-slippagemap_14,DAI-slippagemap_15,DAI-slippagemap_16,DAI-slippagemap_17,DAI-slippagemap_18,DAI-slippagemap_19,DAI-slippagemap_20,USDT-slippagemap_01,USDT-slippagemap_2,USDT-slippagemap_3,USDT-slippagemap_4,USDT-slippagemap_5,USDT-slippagemap_6,USDT-slippagemap_7,USDT-slippagemap_8,USDT-slippagemap_9,USDT-slippagemap_10,USDT-slippagemap_11,USDT-slippagemap_12,USDT-slippagemap_13,USDT-slippagemap_14,USDT-slippagemap_15,USDT-slippagemap_16,USDT-slippagemap_17,USDT-slippagemap_18,USDT-slippagemap_19,USDT-slippagemap_20
0,0,12814790.0,0.9999026535686368,1.0000973559086135,54.297841960160476,130.5618677014672,130.5618677014672,130.5618677014672,130.5618677014672,130.5618677014672,130.5618677014672,130.5618677014672,130.5618677014672,130.5618677014672,130.5618677014672,130.5618677014672,130.5618677014672,130.5618677014672,130.5618677014672,130.5618677014672,130.5618677014672,130.5618677014672,130.5618677014672,130.5618677014672,98.83117288238327,98.83117288238327,98.83117288238327,98.83117288238327,98.83117288238327,98.83117288238327,98.83117288238327,98.83117288238327,98.83117288238327,98.83117288238327,98.83117288238327,98.83117288238327,98.83117288238327,98.83117288238327,98.83117288238327,98.83117288238327,98.83117288238327,98.83117288238327,98.83117288238327,98.83117288238327
1,1,12857373.0,0.9999026535686368,1.0000973559086135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,15356626.0,0.9999026535686368,1.0000973559086135,38.74647934623976,93.1678410720844,147.26364612933827,174.19009672371084,227.80126722053933,281.09174834081455,307.617323526591,360.4303663549034,412.92748809421056,439.058178455514,491.08496264370484,542.8005603097887,568.5422057848824,619.7944838795272,670.7401457914897,696.0985730365771,746.5878279050248,796.7750475952593,821.7560048105904,871.4935662266034,97.67873865160828,151.7422437069222,178.6525820121875,232.23172925429523,285.4904117645664,312.00016441235636,364.7816363316391,417.24740891075794,443.3624848569613,495.3582372573211,547.0429341224743,572.7692452089285,623.9908945740132,674.9061379574489,700.2494352639928,750.7085048734946,800.8658121894523,825.8318122588264,875.5396981616398,924.9502437831061
3,3,15358396.0,0.9999026535686368,1.0000973559086135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,4,15365314.0,0.9999026535686368,1.0000973559086135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,5,15577558.0,0.9999026535686368,1.0000973559086135,16.204990222862268,38.96570679794767,61.59026538602326,72.85174968035147,95.27361892875376,117.56136584399687,128.6551914971661,150.74325877741214,150.74325877741214,150.74325877741214,150.74325877741214,150.74325877741214,150.74325877741214,150.74325877741214,150.74325877741214,150.74325877741214,150.74325877741214,150.74325877741214,150.74325877741214,150.74325877741214,40.85230533298622,63.46335504943097,74.71810068022494,97.12657680134419,119.40102454275495,130.4882327153763,152.5630960534634,163.55096872046042,163.55096872046042,163.55096872046042,163.55096872046042,163.55096872046042,163.55096872046042,163.55096872046042,163.55096872046042,163.55096872046042,163.55096872046042,163.55096872046042,163.55096872046042,163.55096872046042
6,6,15726771.0,0.9999026535686368,1.0000973559086135,18.550830644879778,44.60639703114195,70.50609514946755,83.39779610583854,109.06546350016548,134.57959296241629,147.27936495027095,172.56490907916958,175.74325901685475,177.32529771402267,177.32529771402267,177.32529771402267,177.32529771402267,177.32529771402267,177.32529771402267,177.32529771402267,177.32529771402267,177.32529771402267,177.32529771402267,177.32529771402267,46.76610027298672,72.65033397039132,85.53432077178427,111.1866562447329,136.68556133979266,149.37775789814992,174.64818667730336,188.81251129980998,190.3936046484785,191.96996330248447,191.96996330248447,191.96996330248447,191.96996330248447,191.96996330248447,191.96996330248447,191.96996330248447,191.96996330248447,191.96996330248447,191.96996330248447,191.96996330248447
7,7,15939604.0,1.0109617432994509,0.9891571136374802,20.59175498035037,46.49145309867597,72.23622810535453,85.0508214493739,110.5649509116247,135.9264647719961,148.55026702837802,151.72861696606319,153.3106556632311,153.3106556632311,153.3106556632311,153.3106556632311,153.3106556632311,153.3106556632311,153.3106556632311,153.3106556632311,153.3106556632311,153.3106556632311,153.3106556632311,153.3106556632311,44.87093743968754,70.91095527427262,83.87248794872102,109.67917577307017,135.3315112460188,148.10008485440852,173.5226128994358,198.79304167858928,211.37152288651947,214.53845964976438,216.11481830377036,216.11481830377036,216.11481830377036,216.11481830377036,216.11481830377036,216.11481830377036,216.11481830377036,216.11481830377036,216.11481830377036,216.11481830377036
8,8,15943763.0,1.0022049611972712,0.9977998899599967,13.376497593079412,39.432063979341585,65.33176209766718,78.22346305403816,103.8911304483651,129.4052599106159,142.10503189847057,167.39057602736924,170.5689259650544,172.15096466222232,172.15096466222232,172.15096466222232,172.15096466222232,172.15096466222232,172.15096466222232,172.15096466222232,172.15096466222232,172.15096466222232,172.15096466222232,172.15096466222232,51.94605681830918,77.83029051571377,90.71427731710672,116.36661279005536,141.8655178851151,154.55771444347238,179.8281432226258,193.99246784513244,195.57356119380094,197.14991984780693,197.14991984780693,197.14991984780693,197.14991984780693,197.14991984780693,197.14991984780693,197.14991984780693,197.14991984780693,197.14991984780693,197.14991984780693,197.14991984780693
9,9,16002096.0,1.0022049611972712,0.9977998899599967,13.378576658287946,39.43819277589313,65.34191639946737,78.23562107069351,103.90727790649363,129.42537294631973,142.1271188181386,167.41659299634287,170.59884947426485,172.1828326702916,172.1867042106559,172.19055259427125,172.19246814259998,172.19628204858134,172.20007313791268,172.20196016929827,172.20571729538702,172.2094519457183,172.21131088790946,172.2150120772036,51.9541306237803,77.84238742284924,90.72837674011151,116.38469927154301,141.88756757790452,154.5817368428018,179.85609332193155,194.024322151847,195.60735883743746,197.1875867225968,197.1914328067485,197.19334721397837,197.19715884074213,197.20094766649783,197.20283357199858,197.20658845187032,197.2103208762911,197.21217870545567,197.21587768646518,197.219554541085
