,index,blocknum,p0vs1,p1vs0,DAI-slippagemap_01,DAI-slippagemap_2,DAI-slippagemap_3,DAI-slippagemap_4,DAI-slippagemap_5,DAI-slippagemap_6,DAI-slippagemap_7,DAI-slippagemap_8,DAI-slippagemap_9,DAI-slippagemap_10,DAI-slippagemap_11,WETH-slippagemap_01,WETH-slippagemap_2,WETH-slippagemap_3,WETH-slippagemap_4,WETH-slippagemap_5,WETH-slippagemap_6,WETH-slippagemap_7,WETH-slippagemap_8,WETH-slippagemap_9,WETH-slippagemap_10
0,0,12425919.0,0.00026964909634719775,3708.523460847831,4025.2048078188786,8318.948276125708,13383.879383804668,19364.30362689744,21152.45857500993,22639.529735540793,23021.325001219102,23398.269018716648,23771.46255952188,23913.299735009103,24053.72567537716,2.337080475452976,3.4388285817118383,4.521269618144796,5.592902715276767,6.653264564244508,7.703076161485017,7.794341212215525,7.884698207906443,7.974156181502259,8.062115281746726
1,1,12426435.0,0.00026178484143262403,3819.9308811292326,1778.8449535508546,5994.185473847371,10279.533600757186,14573.277069064014,19638.208176742974,25618.632419835743,27406.787367948233,28893.8585284791,29275.65379415741,29652.597811654956,30025.791352460183,2.829370344070199,3.90100344120217,4.961365290169912,6.01117688741042,6.102441938140928,6.192798933831847,6.282256907427663,6.370216007672129,6.457299945214344,6.543517424486987
2,2,12426941.0,0.0002613924781343513,3825.664790116941,2090.9438592393403,6306.284379535857,10591.63250644567,14885.3759747525,19950.30708243146,25930.73132552423,27718.88627363672,29205.957434167587,29587.752699845896,29964.69671734344,30337.89025814867,2.747725858943014,3.819358956074985,4.8797208050427265,5.929532402283235,6.020797453013744,6.111154448704662,6.200612422300478,6.288571522544944,6.375655460087159,6.461872939359802
3,3,12427477.0,0.00027694533375891917,3610.820902548586,2579.1161958628963,7644.047303541856,13624.471546634628,15412.626494747115,16899.69765527798,17281.49292095629,17658.436938453837,18031.630479259067,18173.46765474629,18313.89359511435,18452.922345949908,2.8069310085596744,3.9197513256020424,5.021499431860905,6.103940468293862,7.175573565425833,8.235935414393575,9.285747011634083,9.377012062364592,9.46736905805551,9.556827031651325
4,4,12428063.0,0.0002727132578392976,3666.8550987325757,1596.2014727682338,5889.944941075062,10954.876048754022,16935.300291846794,18723.455239959283,20210.526400490147,20592.321666168456,20969.265683666003,21342.459224471233,21484.296399958457,21624.722340326516,2.9957816219307563,4.097529728189619,5.179970764622576,6.251603861754547,7.311965710722289,8.361777307962797,8.453042358693306,8.543399354384224,8.63285732798004,8.720816428224506
5,5,12429016.0,0.0002701889071807058,3701.11419611756,3402.8348288552515,7482.363645712657,12335.211465398448,18105.66258284662,19685.933568270008,20967.189141547096,21145.216618677692,21320.420267022066,21493.880693113206,21635.717868600426,21776.14380896849,2.3307109444666603,3.3753395659730616,4.401229436544524,5.416874033754792,6.421804450110118,7.416736139265646,7.453667319806276,7.490231048136673,7.526430979514803,7.561661938694906
6,6,12429562.0,0.00026430995079008854,3783.436821091109,3738.8338699488895,7807.814562549539,11887.343379406944,16740.191199092736,22510.642316540907,24090.913301964294,25372.168875241383,25550.19635237198,25725.400000716352,25898.860426807492,26040.697602294716,2.1679000781051734,3.1937899486766366,4.209434545886904,5.21436496224223,6.209296651397758,6.246227831938388,6.282791560268785,6.318991491646915,6.3542224508270175,6.389102874117675
7,7,12430519.0,0.0002617063216846673,3821.0769749953174,1732.5653997862742,5729.364061732697,9798.344754333348,13877.873571190752,18730.721390876544,24501.172508324715,26081.443493748106,27362.69906702519,27540.726544155787,27715.93019250016,27889.3906185913,2.6702244408460434,3.6858690380563104,4.6907994544116365,5.685731143567165,5.7226623241077945,5.7592260524381915,5.795425983816322,5.830656942996424,5.865537366287082,5.900070740144064
8,8,12431210.0,0.0002610007029104566,3831.407305991345,2291.9153997561693,6288.7140617025925,10357.694754303242,14437.223571160646,19290.07139084644,25060.522508294613,26640.793493718,27922.04906699509,28100.076544125684,28275.280192470054,28448.740618561194,2.5240282412277364,3.5396728384380034,4.54460325479333,5.539534943948858,5.576466124489488,5.613029852819885,5.649229784198014,5.684460743378118,5.719341166668776,5.753874540525757
9,9,12432167.0,0.00025182260478155845,3971.0493856079447,1458.2834535595855,5502.917717730379,9539.882822091247,13536.68148403767,17605.66217663832,21685.190993495726,26538.038813181516,32308.48993062969,33888.76091605308,35170.01648933016,35348.04396646076,2.677866506684078,3.6727981958396065,3.7097293763802366,3.746293104710633,3.782493036088763,3.817723995268866,3.852604418559524,3.8871377924165054,3.921327570994014,3.9551771726354534
10,10,12432894.0,0.00024954152777091816,4007.349032975429,3314.4508375547543,7359.085101725548,11396.050206086416,15392.84886803284,19461.82956063349,23541.358377490895,28394.206197176685,34164.657314624856,35744.92830004825,37026.18387332533,37204.21135045593,2.212541260741713,3.2074729498972414,3.2444041304378715,3.280967858768268,3.317167790146398,3.352398749326501,3.3872791726171587,3.4218125464741402,3.456002325051649,3.4898519266930883
11,11,12434264.0,0.00024299155149461478,4115.369418603685,597.7821624537062,4721.466634424702,8806.595355149344,12851.229619320138,16888.194723681005,20884.99338562743,24953.97407822808,29033.502895085483,33886.35071477127,39656.80183221945,41237.07281764284,1.8913252519359487,1.9278889802663457,1.9640889116444755,1.9993198708245785,2.0342002941152364,2.068733667972218,2.1029234465497266,2.136773048191166,2.1702858577615127,2.2028953986150563
12,12,12434809.0,0.00024634327505211,4059.3760872443786,1889.027087152676,5974.155807877318,10018.790072048112,14055.75517640898,18052.553838355405,22121.534530956054,26201.06334781346,31053.91116749925,36824.36228494742,38404.63327037081,39685.888843647896,2.5473940714326213,2.584325251973251,2.620888980303648,2.657088911681778,2.6923198708618807,2.7272002941525386,2.76173366800952,2.795923446587029,2.829773048228468,2.863285857798815
