,index,blocknum,p0vs1,p1vs0,FEI-slippagemap_01,FEI-slippagemap_2,FEI-slippagemap_3,FEI-slippagemap_4,FEI-slippagemap_5,FEI-slippagemap_6,FEI-slippagemap_7,FEI-slippagemap_8,FEI-slippagemap_9,FEI-slippagemap_10,FEI-slippagemap_11,FEI-slippagemap_12,FEI-slippagemap_13,FEI-slippagemap_14,FEI-slippagemap_15,FEI-slippagemap_16,FEI-slippagemap_17,FEI-slippagemap_18,FEI-slippagemap_19,FEI-slippagemap_20,USDC-slippagemap_01,USDC-slippagemap_2,USDC-slippagemap_3,USDC-slippagemap_4,USDC-slippagemap_5,USDC-slippagemap_6,USDC-slippagemap_7,USDC-slippagemap_8,USDC-slippagemap_9,USDC-slippagemap_10,USDC-slippagemap_11,USDC-slippagemap_12,USDC-slippagemap_13,USDC-slippagemap_14,USDC-slippagemap_15,USDC-slippagemap_16,USDC-slippagemap_17,USDC-slippagemap_18,USDC-slippagemap_19,USDC-slippagemap_20
0,0,12545313.0,1.0026059033180568,0.9974008697640492,18387.505435357445,18626.000134030077,18846.225487197382,19025.599361474375,19132.79403977,19132.79403977,19132.79403977,19132.79403977,19132.79403977,19132.79403977,19132.79403977,19132.79403977,19132.79403977,19132.79403977,19132.79403977,19132.79403977,19132.79403977,19132.79403977,19132.79403977,19132.79403977,23471235.464709215,26752411.24702747,26752603.410287376,26752783.215604793,26752962.12428082,26753033.43768069,26753033.43768069,26753033.43768069,26753033.43768069,26753033.43768069,26753033.43768069,26753033.43768069,26753033.43768069,26753033.43768069,26753033.43768069,26753033.43768069,26753033.43768069,26753033.43768069,26753033.43768069,26753033.43768069
1,1,12545839.0,0.9997027030310036,1.0002973853807686,7632553.976564381,7633330.2097525485,7633567.871142182,7633747.514174444,7633908.426927043,7633908.426927043,7633908.426927043,7633908.426927043,7633908.426927043,7633908.426927043,7633908.426927043,7633908.426927043,7633908.426927043,7633908.426927043,7633908.426927043,7633908.426927043,7633908.426927043,7633908.426927043,7633908.426927043,7633908.426927043,25404456.198781528,26437633.007691167,26437813.443430334,26437992.979118392,26438171.619542222,26438189.434671678,26438189.434671678,26438189.434671678,26438189.434671678,26438189.434671678,26438189.434671678,26438189.434671678,26438189.434671678,26438189.434671678,26438189.434671678,26438189.434671678,26438189.434671678,26438189.434671678,26438189.434671678,26438189.434671678
2,2,12546384.0,0.999203001599911,1.000797634113201,11633046.003923813,11634360.000691963,11634597.780962784,11634783.212836651,11634962.049417013,11634962.049417013,11634962.049417013,11634962.049417013,11634962.049417013,11634962.049417013,11634962.049417013,11634962.049417013,11634962.049417013,11634962.049417013,11634962.049417013,11634962.049417013,11634962.049417013,11634962.049417013,11634962.049417013,11634962.049417013,21759300.43979203,22585558.549257316,22585738.89483747,22585918.340875812,22586096.892176118,22586096.892176118,22586096.892176118,22586096.892176118,22586096.892176118,22586096.892176118,22586096.892176118,22586096.892176118,22586096.892176118,22586096.892176118,22586096.892176118,22586096.892176118,22586096.892176118,22586096.892176118,22586096.892176118,22586096.892176118
3,3,12546982.0,1.0002026543627869,0.9997973866976828,4622203.048976723,4622979.282164889,4623216.943554523,4623396.586586785,4623557.499339385,4623557.499339385,4623557.499339385,4623557.499339385,4623557.499339385,4623557.499339385,4623557.499339385,4623557.499339385,4623557.499339385,4623557.499339385,4623557.499339385,4623557.499339385,4623557.499339385,4623557.499339385,4623557.499339385,4623557.499339385,28680084.262801945,29713261.071711585,29713441.50745075,29713621.043138806,29713799.683562636,29713817.498692095,29713817.498692095,29713817.498692095,29713817.498692095,29713817.498692095,29713817.498692095,29713817.498692095,29713817.498692095,29713817.498692095,29713817.498692095,29713817.498692095,29713817.498692095,29713817.498692095,29713817.498692095,29713817.498692095
4,4,12547488.0,0.999203001599911,1.000797634113201,13418247.288600715,14676237.324018024,14676475.104288844,14676660.53616271,14676839.372743074,14676839.372743074,14676839.372743074,14676839.372743074,14676839.372743074,14676839.372743074,14676839.372743074,14676839.372743074,14676839.372743074,14676839.372743074,14676839.372743074,14676839.372743074,14676839.372743074,14676839.372743074,14676839.372743074,14676839.372743074,23177213.953841858,24979814.64812511,24979994.993705258,24980174.4397436,24980352.991043907,24980352.991043907,24980352.991043907,24980352.991043907,24980352.991043907,24980352.991043907,24980352.991043907,24980352.991043907,24980352.991043907,24980352.991043907,24980352.991043907,24980352.991043907,24980352.991043907,24980352.991043907,24980352.991043907,24980352.991043907
5,5,12548039.0,0.9989033006416206,1.001097903428365,15076896.088621914,16334886.124039222,16335123.904310042,16335309.33618391,16335488.172764271,16335488.172764271,16335488.172764271,16335488.172764271,16335488.172764271,16335488.172764271,16335488.172764271,16335488.172764271,16335488.172764271,16335488.172764271,16335488.172764271,16335488.172764271,16335488.172764271,16335488.172764271,16335488.172764271,16335488.172764271,21520059.051251832,23322659.745535083,23322840.091115233,23323019.53715358,23323198.088453885,23323198.088453885,23323198.088453885,23323198.088453885,23323198.088453885,23323198.088453885,23323198.088453885,23323198.088453885,23323198.088453885,23323198.088453885,23323198.088453885,23323198.088453885,23323198.088453885,23323198.088453885,23323198.088453885,23323198.088453885
6,6,12548631.0,0.999103091290782,1.0008977138766124,13936627.882421196,15194617.917838505,15194855.698109325,15195041.129983192,15195219.966563554,15195219.966563554,15195219.966563554,15195219.966563554,15195219.966563554,15195219.966563554,15195219.966563554,15195219.966563554,15195219.966563554,15195219.966563554,15195219.966563554,15195219.966563554,15195219.966563554,15195219.966563554,15195219.966563554,15195219.966563554,22659260.819364782,24461861.513648033,24462041.859228183,24462221.305266526,24462399.85656683,24462399.85656683,24462399.85656683,24462399.85656683,24462399.85656683,24462399.85656683,24462399.85656683,24462399.85656683,24462399.85656683,24462399.85656683,24462399.85656683,24462399.85656683,24462399.85656683,24462399.85656683,24462399.85656683,24462399.85656683
7,7,12549204.0,0.999602742756728,1.0003974151193067,10314566.587553766,11432108.964725794,11432346.626115428,11432526.26914769,11432687.181900289,11432687.181900289,11432687.181900289,11432687.181900289,11432687.181900289,11432687.181900289,11432687.181900289,11432687.181900289,11432687.181900289,11432687.181900289,11432687.181900289,11432687.181900289,11432687.181900289,11432687.181900289,11432687.181900289,11432687.181900289,26862619.679527715,29011896.108004887,29012076.543744054,29012256.07943211,29012434.71985594,29012452.5349854,29012452.5349854,29012452.5349854,29012452.5349854,29012452.5349854,29012452.5349854,29012452.5349854,29012452.5349854,29012452.5349854,29012452.5349854,29012452.5349854,29012452.5349854,29012452.5349854,29012452.5349854,29012452.5349854
8,8,12549753.0,0.9990031909716848,1.000997803648,15233659.858146282,16491649.893563591,16491887.673834411,16492073.105708279,16492251.94228864,16492251.94228864,16492251.94228864,16492251.94228864,16492251.94228864,16492251.94228864,16492251.94228864,16492251.94228864,16492251.94228864,16492251.94228864,16492251.94228864,16492251.94228864,16492251.94228864,16492251.94228864,16492251.94228864,16492251.94228864,22161305.694284823,23963906.388568074,23964086.734148223,23964266.18018657,23964444.731486876,23964444.731486876,23964444.731486876,23964444.731486876,23964444.731486876,23964444.731486876,23964444.731486876,23964444.731486876,23964444.731486876,23964444.731486876,23964444.731486876,23964444.731486876,23964444.731486876,23964444.731486876,23964444.731486876,23964444.731486876
9,9,12550271.0,0.9988034202995907,1.0011980132187077,16209777.87159606,17467767.907013368,17468005.68728419,17468191.119158056,17468369.955738418,17468369.955738418,17468369.955738418,17468369.955738418,17468369.955738418,17468369.955738418,17468369.955738418,17468369.955738418,17468369.955738418,17468369.955738418,17468369.955738418,17468369.955738418,17468369.955738418,17468369.955738418,17468369.955738418,17468369.955738418,21186208.13318345,22988808.8274667,22988989.17304685,22989168.619085196,22989347.170385502,22989347.170385502,22989347.170385502,22989347.170385502,22989347.170385502,22989347.170385502,22989347.170385502,22989347.170385502,22989347.170385502,22989347.170385502,22989347.170385502,22989347.170385502,22989347.170385502,22989347.170385502,22989347.170385502,22989347.170385502
