,index,blocknum,p0vs1,p1vs0,LINK-slippagemap_01,LINK-slippagemap_2,LINK-slippagemap_3,LINK-slippagemap_4,LINK-slippagemap_5,LINK-slippagemap_6,LINK-slippagemap_7,LINK-slippagemap_8,LINK-slippagemap_9,LINK-slippagemap_10,LINK-slippagemap_11,LINK-slippagemap_12,LINK-slippagemap_13,LINK-slippagemap_14,LINK-slippagemap_15,LINK-slippagemap_16,LINK-slippagemap_17,LINK-slippagemap_18,LINK-slippagemap_19,LINK-slippagemap_20,USDC-slippagemap_01,USDC-slippagemap_2,USDC-slippagemap_3,USDC-slippagemap_4,USDC-slippagemap_5,USDC-slippagemap_6,USDC-slippagemap_7,USDC-slippagemap_8,USDC-slippagemap_9,USDC-slippagemap_10,USDC-slippagemap_11,USDC-slippagemap_12,USDC-slippagemap_13,USDC-slippagemap_14,USDC-slippagemap_15,USDC-slippagemap_16,USDC-slippagemap_17,USDC-slippagemap_18,USDC-slippagemap_19,USDC-slippagemap_20
0,0,15650649.0,7.627812108385221,0.13109919145762705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,15866491.0,7.627812108385221,0.13109919145762705,0.1794420165990317,0.3507403365523367,0.5211843508081141,0.6907783118408878,0.8595264542405603,1.0274330136223135,1.19450218274347,1.3607381316369733,1.526145006249216,1.690726946665424,1.8544880845346772,2.017432502888821,2.179564273938568,2.3408874385831004,2.50140604188978,2.6611241120618216,2.820045606147883,2.9781745159638398,3.1355148116463463,3.2920703900630968,1.520232008246014,2.826210462411313,4.125675452945299,5.418659683882335,6.705195416494584,7.9853149840077675,9.259050069550002,10.526432940412628,11.787494828177882,13.042267529241563,14.290782315838221,15.533070465209814,16.769162883076348,17.999090642294835,19.222884420548958,20.440574669741352,21.65219216685778,22.85776688016989,24.05732908110234,25.250908771420356
2,2,15867215.0,7.990862734701057,0.1251429330224142,37.96017443226934,72.38508012791313,106.63829994467288,140.72069002135123,174.63310126283008,208.37638306833935,241.9513789200783,275.35892620134024,308.599859823748,341.67501180311746,374.5852108660305,407.33127484189197,439.91402870718025,472.33428237375614,504.59284851225266,536.6905281178595,568.6281309451966,600.4064544179062,632.0262872058327,663.4884253584842,305.03738940899177,580.1220858064954,853.8348582279233,1126.1825675081525,1397.1719960759572,1666.809915807198,1935.1031220006635,2202.0582154271647,2467.6819589190027,2731.980987757077,2994.96184144499,3256.6311808343526,3516.995493092501,3776.0612718538587,4033.8350531644287,4290.323226840153,4545.532220151215,4799.468421162684,5052.138176126063,5303.5477868133485
3,3,15868003.0,8.002857422845912,0.12495536870934132,35.98034888944272,70.3880472055482,104.62414697871031,138.68950050675787,172.58495904237398,206.31137621132618,239.86958772374805,273.26043511698884,306.48475337362765,339.54337451821317,372.4371235564641,405.16682200500094,437.7332875510873,470.13733373927266,502.37977659880795,534.461413429908,566.3830537911704,598.1454882699395,629.7495185979925,661.195927386775,320.879413321075,596.1017071566043,869.9513656963004,1142.4352606373584,1413.5602212852098,1683.3329959929238,1951.7603202812243,2218.8489509285205,2484.6055558976245,2749.036746882096,3012.1491128732005,3273.9492916153035,3534.4438210255494,3793.6391722310914,4051.541858458117,4308.158284074787,4563.4949291242865,4817.558121773157,5070.354223671909,5321.889590839775
4,4,15868520.0,7.99885719428306,0.12501785889048245,37.76200069834757,72.16969901445304,106.40579878761515,140.4711523156627,174.36661085127884,208.093028020231,241.6512395326529,275.04208692589367,308.2664051825325,341.325026327118,374.2187753653689,406.9484738139058,439.5149393599922,471.9189855481775,504.1614284077128,536.2430652388128,568.1647056000753,599.9271400788443,631.5311704068973,662.9775791956798,306.6233995450606,581.8456933805899,855.695351920286,1128.179246861344,1399.3042075091955,1669.0769822169093,1937.50430650521,2204.592937152506,2470.3495421216103,2734.7807331060812,2997.893099097186,3259.6932778392893,3520.187807249535,3779.3831584550767,4037.2858446821024,4293.902270298773,4549.238915348273,4803.302107997142,5056.098209895895,5307.633577063762
5,5,15869510.0,8.022086384753518,0.12465585036588028,38.14280704276534,75.97639738538551,113.62130113236358,151.07845715254192,188.34880298747444,225.43327426831047,262.33279561660044,299.0482892033991,335.5806701091195,371.93085435807814,408.0997541556272,444.08826559383823,479.8972926379814,515.5277343439662,550.9804731756052,586.2564017412319,621.3563993147443,656.2813430490555,691.0321039228921,725.6095571207807,364.9250485609734,668.1563310164512,969.8753556872792,1270.0895949172118,1568.8065903547358,1866.0337955180341,2161.7786902289595,2456.0485808081535,2748.8508732362957,3040.1928732285055,3330.0819027941216,3618.525136724855,3905.5298820988983,4191.103211453298,4475.252325229758,4757.984305171234,5039.3062341546265,5319.225110923968,5597.74797207224,5874.881764703586
6,6,16208520.0,7.871113079904579,0.1270468343991982,63.951458068742006,127.5839663263961,190.89913147526627,235.031764690894,235.031764690894,235.031764690894,235.031764690894,235.031764690894,235.031764690894,235.031764690894,235.031764690894,235.031764690894,235.031764690894,235.031764690894,235.031764690894,235.031764690894,235.031764690894,235.031764690894,235.031764690894,235.031764690894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,7,16209215.0,6.055776408724989,0.16513159213725737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,8,16883825.0,6.055776408724989,0.16513159213725737,11.855726322610431,11.855726322610431,11.855726322610431,11.855726322610431,11.855726322610431,11.855726322610431,11.855726322610431,11.855726322610431,11.855726322610431,11.855726322610431,11.855726322610431,11.855726322610431,11.855726322610431,11.855726322610431,11.855726322610431,11.855726322610431,11.855726322610431,11.855726322610431,11.855726322610431,11.855726322610431,55.50329032323667,55.50329032323667,55.50329032323667,55.50329032323667,55.50329032323667,55.50329032323667,55.50329032323667,55.50329032323667,55.50329032323667,55.50329032323667,55.50329032323667,55.50329032323667,55.50329032323667,55.50329032323667,55.50329032323667,55.50329032323667,55.50329032323667,55.50329032323667,55.50329032323667,55.50329032323667
9,9,16883870.0,6.063047338560459,0.16493356296924916,5.253226719927823,5.253226719927823,5.253226719927823,5.253226719927823,5.253226719927823,5.253226719927823,5.253226719927823,5.253226719927823,5.253226719927823,5.253226719927823,5.253226719927823,5.253226719927823,5.253226719927823,5.253226719927823,5.253226719927823,5.253226719927823,5.253226719927823,5.253226719927823,5.253226719927823,5.253226719927823,95.51342532523971,95.51342532523971,95.51342532523971,95.51342532523971,95.51342532523971,95.51342532523971,95.51342532523971,95.51342532523971,95.51342532523971,95.51342532523971,95.51342532523971,95.51342532523971,95.51342532523971,95.51342532523971,95.51342532523971,95.51342532523971,95.51342532523971,95.51342532523971,95.51342532523971,95.51342532523971
