,index,blocknum,p0vs1,p1vs0,LINK-slippagemap_01,LINK-slippagemap_2,LINK-slippagemap_3,LINK-slippagemap_4,LINK-slippagemap_5,LINK-slippagemap_6,LINK-slippagemap_7,LINK-slippagemap_8,LINK-slippagemap_9,LINK-slippagemap_10,LINK-slippagemap_11,WETH-slippagemap_01,WETH-slippagemap_2,WETH-slippagemap_3,WETH-slippagemap_4,WETH-slippagemap_5,WETH-slippagemap_6,WETH-slippagemap_7,WETH-slippagemap_8,WETH-slippagemap_9,WETH-slippagemap_10
0,0,12425631.0,0.01121755306055417,89.14600132505173,19.170581831506322,55.70028173743633,108.22201536136501,180.8921350625013,252.8392062392654,324.07043095147407,408.744124901306,503.0749146245243,596.4671457213951,689.7842969677888,1075.4474969146045,0.8057675343049846,1.001676530618795,1.1956363049029317,1.3821764085258526,1.5668605022115518,1.7451053950873399,1.9215768105558293,2.0962923923350503,2.2692696130293846,2.44052576559791
1,1,12426529.0,0.011422429062159957,87.54705278168758,22.4683132909004,74.99004691482908,147.66016661596538,219.60723779272948,290.83846250493815,375.51215645477004,469.8429461779884,563.2351772748592,656.5523285212528,1042.2155284680684,1470.0283133309058,0.9840897160572698,1.1819675343252276,1.377876530639038,1.5718363049231747,1.7583764085460956,1.9430605022317948,2.121305395107583,2.2977768105760723,2.4724923923552935,2.645469613049628
2,2,12432210.0,0.011422429062159957,87.54705278168758,22.4683132909004,74.99004691482908,126.98920911061977,178.470993357277,229.44055309445517,294.05417872448334,368.52449188589765,442.2538512714608,516.103770484801,882.4934301527394,1291.224440859858,0.9840897160572698,1.1819675343252276,1.377876530639038,1.5718363049231747,1.7583764085460956,1.9430605022317948,2.121305395107583,2.2977768105760723,2.4724923923552935,2.645469613049628
3,3,12436935.0,0.011632209998407462,85.96818662463174,41.72931764394201,100.19496954543862,158.07890363075865,215.38691420881412,286.27592525590495,366.9591856019917,446.8396755035411,526.7795233284502,899.1985190720706,1313.8988757135828,1724.3519574862532,1.372766722449115,1.8567859932811532,2.1279676252805846,2.3964510854722034,2.6622632345701236,2.9199408035699097,3.175054569294292,3.4230283814517404,3.6685349366439675,3.9115987807637054
4,4,12437710.0,0.011632209998407462,85.96818662463174,41.67724820132,100.06994722270917,157.88165428983763,215.1181564815342,285.9363706263189,366.5495384783779,446.36063328189414,526.2317764691896,898.582751160914,1313.2157635402239,1723.6021711033472,1.3708201256439625,1.8540040951666281,2.1243587368547856,2.3920234350282006,2.657024968487067,2.9075835797177474,3.155649218856804,3.3966450310388283,3.6352430150347943,3.871467026014341
5,5,12438878.0,0.011604327560817938,86.17474771881693,48.61988403062841,107.01258305201759,164.82429011914604,222.06079231084263,292.8790064556273,373.4921743076863,453.30326911120255,533.174412298498,905.5253869902224,1320.1583993695324,1730.5448069326555,1.2901529256396214,1.773336895162287,2.0436915368504445,2.3113562350238595,2.5763577684827257,2.8269163797134063,3.074982018852463,3.315977831034487,3.554575815030453,3.7907998260099998
6,6,12439971.0,0.01160084695869332,86.20060272846118,49.60988403057512,108.0025830519643,165.81429011909273,223.05079231078932,293.869006455574,374.48217430763304,454.2932691111493,534.1644122984447,906.5153869901692,1321.148399369479,1731.5348069326024,1.2786654314892876,1.761849401011953,2.0322040427001107,2.2998687408735257,2.564870274332392,2.8154288855630725,3.063494524702129,3.3044903368841534,3.5430883208801194,3.779312331859666
7,7,12441521.0,0.011314435168829688,88.38267090476734,4.0079729691292645,47.060361104573836,106.03988412142559,164.43258314281476,222.24429020994322,279.4807924016398,350.29900654642444,430.9121743984835,510.72326920199976,590.5944123892953,962.9453870810196,1.196186245946598,1.463850944120013,1.7288524775788792,1.9794110888095597,2.2274767279486163,2.4684725401306404,2.707070524126607,2.943294535106153,3.1771681968848964,3.408714890389216
8,8,12442775.0,0.011241133493768818,88.95900049174932,18.164972968367113,61.21736110381169,120.19688412066343,178.58958314205262,236.40129020918104,293.63779240087763,364.4560065456623,445.0691743977213,524.8802692012376,604.7514123885331,977.1023870802575,1.0365219633844753,1.3041866615578903,1.5691881950167565,1.8197468062474371,2.0678124453864934,2.308808257568518,2.547406241564484,2.7836302525440306,3.0175039143227735,3.249050607827093
9,9,12444084.0,0.011274905838850643,88.69253670875351,21.096955829539365,99.44901176156584,193.3769812240083,286.37040283821034,378.4385644342509,469.5906822372826,540.4088963820673,621.0220642341262,700.8331590376425,780.704302224938,864.0363695728499,2.191624658639775,2.4592893568131906,2.724290890272057,2.9748495015027374,3.2229151406417937,3.463910952823818,3.7025089368197843,3.9387329477993305,4.172606609578073,4.404153303082393
10,10,12444713.0,0.01134842773809679,88.11793343345613,73.75157501764102,167.67954448008345,260.6729660942855,352.7411276903261,443.89324549335777,514.7114596381424,595.3246274902015,675.1357222937177,755.0068654810132,838.3389328289251,966.8286919777295,1.8197343060886706,2.482321061233979,2.749985759407394,3.01498729286626,3.265545904096941,3.513611543235997,3.7546073554180213,3.9932053394139877,4.229429350393534,4.463303012172277
11,11,12445229.0,0.011360917252116815,88.0210618393225,69.53630517488303,163.46427463732547,256.4576962515275,348.5258578475681,439.67797565059976,510.4961897953844,591.1093576474434,670.9204524509597,750.7915956382552,834.1236629861671,962.6134221349714,1.8675999190284933,2.5301866741738017,2.7978513723472167,3.062852905806083,3.3134115170367635,3.56147715617582,3.8024729683578444,4.04107095235381,4.277294963333357,4.5111686251121
12,12,12445734.0,0.011431570204329559,87.47704664589848,44.967924175123244,138.89589363756568,231.88931525176775,323.9574768478083,415.10959465084,485.9278087956246,556.0414026153824,625.4573905050208,695.0368549755965,768.1796420012123,886.5815012050105,2.1476050753290923,2.8101918304744005,3.0778565286478154,3.3428580621066817,3.5934166733373623,3.841482312476419,4.082478124658443,4.32107610865441,4.557300119633956,4.791173781412699
13,13,12449140.0,0.011397328593864182,87.73985866638571,56.847949856888626,150.77591931933108,243.76934093353313,335.8375025295737,426.98962033260534,497.80783447739003,567.9214282971478,637.3374161867862,706.9168806573618,780.0596676829776,898.4615268867758,2.0119899973305753,2.6745767524758834,2.9422414506492984,3.2072429841081647,3.4578015953388452,3.705867234477902,3.946863046659926,4.185461030655892,4.421685041635439,4.655558703414182
14,14,12450433.0,0.011377970562128872,87.88913581201034,86.56320812311542,208.31965404889752,328.86466928794647,448.21029341896536,539.362411221997,610.1806253667817,680.2942191865394,749.7102070761779,819.2896715467535,892.4324585723693,1010.8343177761675,2.627619384879396,3.6025296693266893,4.179410376077084,4.750551333233282,5.3042033733200515,5.852346765838782,6.390434653533256,6.923168745690753,7.4506023053855355,7.972788079131866
15,15,12450958.0,0.011112607326644241,89.98788228594573,119.7411681114331,239.45369964275127,374.3306200918082,507.86556608422194,640.0718745836878,743.9567177529952,827.380970989807,909.9751775339605,991.7476003819762,1073.5605569877687,1158.815117429302,2.4787676744500486,3.2014364831135187,3.9169150045083603,4.613468493645607,5.303091514896663,5.981251354175085,6.6526637285803565,7.317395766324631,7.975513944592122,8.627084057079129
16,16,12451669.0,0.011135967153291997,89.79911544588039,107.43770484150691,227.15023637282508,362.02715682188204,495.56210281429577,627.7684113137616,731.6532544830691,815.0775077198808,897.6717142640343,979.44413711205,1061.2570937178425,1146.511654159376,2.615642572497176,3.338311381160646,4.053789902555488,4.750343391692734,5.439966412943791,6.118126252222212,6.789538626627484,7.454270664371758,8.112388842639248,8.763958955126256
17,17,12453396.0,0.011349562580870599,88.10912252120401,112.43534788897219,247.31226833802913,380.84721433044285,513.0535228299087,616.9383659992162,700.362619236028,782.9568257801815,864.7292486281971,946.5422052339896,1031.796765675523,1162.1898896705156,2.7831524196828883,3.905315929243828,4.6279847379072985,5.34346325930214,6.0400167484393865,6.7296397696904435,7.4077996089688645,8.079211983374137,8.74394402111841,9.4020621993859
18,18,12455220.0,0.011342755226094785,88.16200121284743,109.93772940635999,238.89054418480276,366.56032712229927,492.9598293923149,591.095641883584,668.8280653366037,745.7870741230713,821.9803674757593,898.2697052519821,978.0556048270848,1103.0344795415858,2.608613723292542,3.664290028875874,4.321133160295793,4.971440945581056,5.603472127757746,6.229214816833106,6.844129912851637,7.45292680815989,8.055666370636839,8.652408877847957
