,index,blocknum,p0vs1,p1vs0,LINK-slippagemap_01,LINK-slippagemap_2,LINK-slippagemap_3,LINK-slippagemap_4,LINK-slippagemap_5,LINK-slippagemap_6,LINK-slippagemap_7,LINK-slippagemap_8,LINK-slippagemap_9,LINK-slippagemap_10,LINK-slippagemap_11,LINK-slippagemap_12,LINK-slippagemap_13,LINK-slippagemap_14,LINK-slippagemap_15,LINK-slippagemap_16,LINK-slippagemap_17,LINK-slippagemap_18,LINK-slippagemap_19,LINK-slippagemap_20,WETH-slippagemap_01,WETH-slippagemap_2,WETH-slippagemap_3,WETH-slippagemap_4,WETH-slippagemap_5,WETH-slippagemap_6,WETH-slippagemap_7,WETH-slippagemap_8,WETH-slippagemap_9,WETH-slippagemap_10,WETH-slippagemap_11,WETH-slippagemap_12,WETH-slippagemap_13,WETH-slippagemap_14,WETH-slippagemap_15,WETH-slippagemap_16,WETH-slippagemap_17,WETH-slippagemap_18,WETH-slippagemap_19,WETH-slippagemap_20
0,0,12426345.0,0.011286185819750346,88.60389293343394,27.223614568066907,53.30234268388316,79.25101085683382,105.07026439109202,130.7607506647844,156.3231100018236,181.75798410293373,207.06600928639895,233.46578532644864,270.66827408426064,307.6852254479878,344.51756211042795,381.1662062818895,417.6320734548327,453.91607774728874,490.01912046543725,525.9525368635763,561.7223465499962,597.3137608170398,632.7276711816927,0.34348172415559386,0.6376345632118987,0.9303203867462546,1.2215464886255574,1.511320177908147,1.7996486960674485,2.0865392406876486,2.3719989899068343,2.656035045081387,2.938654565300399,3.2198645725070376,3.4996721054447595,3.7780841649698558,4.0551077084993565,4.330749661325888,4.605016911202231,4.877916317102007,5.149454698121164,5.419638842311978,5.6884755070858946
1,1,12427847.0,0.011299736694100206,88.4976373407106,26.576232300290716,52.64192505360374,78.57762236131475,104.38397107381402,130.06161566187626,155.61119792394865,181.03335880789763,206.3287318231328,233.93328406145977,271.1171775113635,308.1156268059589,344.929550541707,381.55987836486764,418.0075187238543,454.2733817957689,490.3583814194895,526.2764441801354,562.0283734808586,597.60199858162,632.998209543008,0.35081451350653736,0.6451144616392477,0.9379466470100087,1.22931841792824,1.5192370043907502,1.8077097299772393,2.094743740107024,2.380346241981269,2.664524339325878,2.947285193797781,3.2286358302079035,3.5085832987691887,3.7871345982066775,4.064296681141311,4.340076482333596,4.614480893693014,4.887516775759647,5.159190952297045,5.429510216306828,5.6984813275305335
2,2,12428490.0,0.011370009167611628,87.95067666687369,28.68272809676953,54.657355880537075,80.50244050640443,106.21862852345716,131.80656381550997,157.26688312384042,182.60022645899085,207.807224160176,243.8283536712359,280.88233808551047,317.7515253800127,354.43683439792346,390.9391831963362,427.2594856708939,463.3986511942026,499.36279269869937,535.1683891628243,570.7954118012269,606.2447522872342,641.5172987433572,0.327026994855865,0.6223587498248876,0.9162175837369722,1.2086108775965987,1.499545923323936,1.7890300006403095,2.0770703477860253,2.3636741586381875,2.6488486071701622,2.9326007900503934,3.214937833604304,3.4958667814911624,3.7753946691080187,4.053528471025041,4.330275142860985,4.605641604853125,4.879634736357804,5.152261393139507,5.423528384872514,5.69344249541268
3,3,12429106.0,0.01157998525839795,86.35589577066064,60.1493370271475,116.25057719364266,172.07202556733347,227.61507762490032,282.8811221557108,337.8715407412117,401.1007277206553,458.8307259623478,495.7367991365531,532.4588095080192,568.9976776309901,605.3543170970921,641.5296371126208,677.5245394642028,713.3659566518396,749.0286226887289,784.5134267548597,819.8212623630569,854.9326046942057,889.8637500151729,0.7400097734581716,1.3894664898846492,2.0356841392341827,2.6786789446624826,3.3184670049706737,3.955064229076509,4.5884865615738,5.218749861815677,5.8458698385553545,6.469862220609059,7.090742633818713,7.708526474326904,8.323229261161641,8.93486639267726,9.411915396982149,9.689771216831527,9.966241293780836,10.241332540110399,10.515051832379111,10.787406011648931
4,4,12429626.0,0.01156609830426284,86.4595798594792,60.988267768075744,117.11756519599624,172.9669315589757,228.53776386373303,283.8314433656306,338.8493625094113,400.89159024894354,461.5944598056652,498.51898850863233,535.2593644323566,571.8165064517076,608.1913266334756,644.3847382878383,680.3976417236568,716.2543735981809,751.934873917817,787.4374256546042,822.7629159727837,857.8943748994981,892.8429883297616,0.7302830987437691,1.37941518340754,2.0253098035019086,2.667983238994042,3.3074514720339536,3.9437304670460156,4.57683622486685,5.206784485009909,5.833591011150091,6.457271528231674,7.077841538072088,7.6953166103480735,8.30971213872071,8.92104351463054,9.364944968088443,9.642661903640995,9.918993786501463,10.19394753057285,10.467530002451188,10.739748044326841
5,5,12430752.0,0.011498062628588202,86.97117351871528,60.65757931349966,116.95550864819877,172.97266309552322,228.71044909319087,284.1702526725854,339.3534669735975,394.26146408601676,461.04796892644754,509.86826966474354,546.7190265122674,583.3859967730316,619.8701028876977,656.1722489966728,692.2933488429694,728.2421257105335,764.0298235484386,799.6390369843574,835.0706588900644,870.3230187244268,905.3766295780725,0.7340049271186254,1.3811926500492917,2.0251525855532853,2.6659010081702057,3.303453774725535,3.9378269533576056,4.569036295566375,5.1970976379000655,5.822026662520913,6.443839008712282,7.062550147851542,7.678175676704737,8.290730892491762,8.86732204363527,9.145594940035446,9.42248001218117,9.697984184247334,9.972114342653022,10.244877339092735,10.516279990802465
6,6,12431503.0,0.011624070707450517,86.02838241159735,61.08083648608301,117.0699939187293,172.77991493867347,228.21199805127998,283.3676300315677,339.4661522800917,406.21927137473375,452.0726408908,488.9049775532402,525.5536217247018,562.0194888976449,598.303493190101,634.4065359082495,670.3399523063885,706.1097619928084,741.701176259852,777.115086624505,812.3472703449488,847.3833611094302,882.2447189285941,0.7292647643306086,1.3800216307123674,2.0275329620947926,2.6718149841217462,3.3128838000144336,3.9507554415858763,4.585445804894155,5.2169708191051765,5.845346266092095,6.470587832077034,7.0927111609018105,7.7117317290722465,8.327665138915288,8.94052669386573,9.550331733972463,9.828743793497559,10.105767337027059,10.381409289853591,10.655676539729933,10.92857594562971
7,7,12432015.0,0.011523384944611196,86.78005679812343,59.476815708450715,115.71848063580845,171.67965124287318,227.36172624798436,282.76610251574846,337.8941606995985,395.1826159381734,461.9023691251881,504.79029103096326,541.6042147667114,578.234542589872,614.6821829488587,650.9480460207733,687.0330456444939,722.9511084051397,758.7030377058629,794.2766628066244,829.6728737680123,864.8848917758609,899.9034686859286,0.7476468070013157,1.395481947258601,2.040086204625033,2.68147562609719,3.3196662447332677,3.9546740752419227,4.586514874484481,5.2152046032743105,5.840758834146816,6.463193274283107,7.0825234053530775,7.698764835279952,8.311932873748441,8.922042885803725,9.233519746734517,9.510681829669151,9.786461630861437,10.060866042220853,10.333901924287488,10.605576100824885
8,8,12432524.0,0.011409871925729093,87.6434027050746,59.21873100700757,115.74229479699672,171.98395972435446,227.9451303314192,283.6272053365304,339.03158160429444,394.15963978814455,451.44809502671944,518.1678482137341,561.0557701195092,597.8696938552573,634.500021678418,670.9476620374046,707.2135251093192,743.2985247330398,779.2165874936858,814.968516794409,850.5421418951704,885.9383528565584,921.1503708644068,0.750264371951135,1.394868629317567,2.036258050789724,2.6744486694258014,3.309456499934457,3.9412972991770148,4.569987027966845,5.19554125883935,5.817975698975641,6.437305830045611,7.053547259972485,7.666715298440974,8.276825310496259,8.58830217142705,8.865464254361685,9.14124405555397,9.415648466913389,9.688684348980022,9.96035852551742,10.230677789527203
9,9,12433301.0,0.011351832606882398,88.09150333962106,60.02536755595028,116.69040663560656,173.07284507093613,229.17408523743129,284.9955336111221,340.53858566868894,395.80463019949946,450.7950487850003,514.0242357644439,571.7542340061365,608.6603071803418,645.3823175518078,681.9211856747788,718.2778251408807,754.4531451564095,790.4480475079914,826.2894646956282,861.9521307325175,897.4369347986483,932.7447704068455,0.7409161209695012,1.3839109263978011,2.023698986705992,2.6602962108118273,3.293718543309119,3.923981843550995,4.551101820290673,5.175094202344377,5.795974615554031,6.413758456062222,7.02846124289696,7.640098374412578,8.117147378717467,8.395003198566846,8.671473275516155,8.946564521845717,9.22028381411443,9.49263799338425,9.763633865473732,10.033278209935862
