,index,blocknum,p0vs1,p1vs0,MKR-slippagemap_01,MKR-slippagemap_2,MKR-slippagemap_3,MKR-slippagemap_4,MKR-slippagemap_5,MKR-slippagemap_6,MKR-slippagemap_7,MKR-slippagemap_8,MKR-slippagemap_9,MKR-slippagemap_10,MKR-slippagemap_11,USDC-slippagemap_01,USDC-slippagemap_2,USDC-slippagemap_3,USDC-slippagemap_4,USDC-slippagemap_5,USDC-slippagemap_6,USDC-slippagemap_7,USDC-slippagemap_8,USDC-slippagemap_9,USDC-slippagemap_10
0,0,12501350.0,3733.0893031296127,0.0002678746525462587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,12997152.0,3733.0893031296127,0.0002678746525462587,0.030236956973916693,0.030236956973916693,0.030236956973916693,0.030236956973916693,0.030236956973916693,0.030236956973916693,0.030236956973916693,0.030236956973916693,0.030236956973916693,0.030236956973916693,0.030236956973916693,857.3912439455434,1174.5305922543491,1488.5145069243363,1799.3743862575857,2107.1413077699626,2411.8460556001664,2713.5190882474417,3012.190572723862,3012.190572723862,3012.190572723862
2,2,13010842.0,3217.303404786158,0.0003108193024358131,0.07371027023107209,0.16694315276246544,0.25924840003441185,0.3506352400303689,0.4411128114085747,0.530690160367171,0.6193762451048556,0.7071799312641932,0.7071799312641932,0.7071799312641932,0.7071799312641932,666.0287360679629,666.0287360679629,666.0287360679629,666.0287360679629,666.0287360679629,666.0287360679629,666.0287360679629,666.0287360679629,666.0287360679629,666.0287360679629
3,3,13014436.0,3461.977272938058,0.00028885227173988215,0.01076829008231216,0.10124586146051802,0.1908232104191143,0.27950929515679884,0.3673129813161365,0.3673129813161365,0.3673129813161365,0.3673129813161365,0.3673129813161365,0.3673129813161365,0.3673129813161365,895.2857651751178,1199.9905130053216,1501.6635456525973,1800.335030129017,1800.335030129017,1800.335030129017,1800.335030129017,1800.335030129017,1800.335030129017,1800.335030129017
4,4,13016422.0,3527.322050331233,0.0002835011903452635,0.01625084358647431,0.10582819254507059,0.1945142772827551,0.28231796344209276,0.28231796344209276,0.28231796344209276,0.28231796344209276,0.28231796344209276,0.28231796344209276,0.28231796344209276,0.28231796344209276,884.5523746787261,1192.319296191103,1497.0240440213067,1798.6970766685822,2097.368561145002,2097.368561145002,2097.368561145002,2097.368561145002,2097.368561145002,2097.368561145002
5,5,13019842.0,3549.258282303574,0.0002817490079507458,0.07811892853520558,0.1668050132728901,0.25460869943222775,0.25460869943222775,0.25460869943222775,0.25460869943222775,0.25460869943222775,0.25460869943222775,0.25460869943222775,0.25460869943222775,0.25460869943222775,671.7423133507556,982.6021926840052,1290.369114196382,1595.0738620265859,1896.7468946738613,2195.418379150281,2195.418379150281,2195.418379150281,2195.418379150281,2195.418379150281
6,6,13025220.0,3659.172841190379,0.000273285806219169,0.030699950291656977,0.11850363645099461,0.11850363645099461,0.11850363645099461,0.11850363645099461,0.11850363645099461,0.11850363645099461,0.11850363645099461,0.11850363645099461,0.11850363645099461,0.11850363645099461,848.2781877071689,1162.262102377156,1473.1219817104054,1780.8889032227821,2085.593651052986,2387.2666837002616,2685.9381681766813,2685.9381681766813,2685.9381681766813,2685.9381681766813
7,7,13044388.0,3659.172841190379,0.000273285806219169,3.5655922252557843,13.763398337131273,23.77280965900028,33.68263050478403,43.49385199068992,53.207454997576,62.824410824325774,72.34568115924745,81.77221804226797,91.10496392648604,100.34485202448312,98521.7918012303,98835.77571590028,99146.63559523354,99454.40251674592,99759.10726457612,100060.78029722339,100359.45178169981,100359.45178169981,100359.45178169981,100359.45178169981
8,8,13044920.0,3546.0655464302763,0.00028200268351121475,9.533588730899345,19.833879487884683,30.03168559976017,40.041096921629176,49.950917767412925,59.76213925331882,69.4757422602049,79.09269808695467,88.61396842187634,98.04050530489685,107.37325118911492,40231.05808446225,40541.9179637955,40849.684885307885,41154.38963313809,41456.062665785365,41754.73415026178,41754.73415026178,41754.73415026178,41754.73415026178,41754.73415026178
9,9,13048357.0,3541.45888652675,0.00028236950704254535,10.210342008162929,20.510632765148266,30.708438877023752,40.71785019889276,50.62767104467651,60.4388925305824,70.15249553746848,79.76945136421826,89.29072169913992,98.71725858216044,108.05000446637851,37832.64362582749,38143.50350516074,38451.27042667312,38755.97517450332,39057.6482071506,39356.31969162702,39356.31969162702,39356.31969162702,39356.31969162702,39356.31969162702
