,index,blocknum,p0vs1,p1vs0,MKR-slippagemap_01,MKR-slippagemap_2,MKR-slippagemap_3,MKR-slippagemap_4,MKR-slippagemap_5,MKR-slippagemap_6,MKR-slippagemap_7,MKR-slippagemap_8,MKR-slippagemap_9,MKR-slippagemap_10,MKR-slippagemap_11,MKR-slippagemap_12,MKR-slippagemap_13,MKR-slippagemap_14,MKR-slippagemap_15,MKR-slippagemap_16,MKR-slippagemap_17,MKR-slippagemap_18,MKR-slippagemap_19,MKR-slippagemap_20,USDC-slippagemap_01,USDC-slippagemap_2,USDC-slippagemap_3,USDC-slippagemap_4,USDC-slippagemap_5,USDC-slippagemap_6,USDC-slippagemap_7,USDC-slippagemap_8,USDC-slippagemap_9,USDC-slippagemap_10,USDC-slippagemap_11,USDC-slippagemap_12,USDC-slippagemap_13,USDC-slippagemap_14,USDC-slippagemap_15,USDC-slippagemap_16,USDC-slippagemap_17,USDC-slippagemap_18,USDC-slippagemap_19,USDC-slippagemap_20
0,0,12523803.0,3505.170878407137,0.0002852927958977088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,12859531.0,3505.170878407137,0.0002852927958977088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,12859966.0,3505.170878407137,0.0002852927958977088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3,15321459.0,3505.170878407137,0.0002852927958977088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,4,15321982.0,1065.4516705783176,0.0009385690854069514,21.98579686178604,51.732377351323954,81.30102292823773,96.01895172068727,125.3226867061299,139.90875583854742,139.90875583854742,139.90875583854742,139.90875583854742,139.90875583854742,139.90875583854742,139.90875583854742,139.90875583854742,139.90875583854742,139.90875583854742,139.90875583854742,139.90875583854742,139.90875583854742,139.90875583854742,139.90875583854742,56053.69533991186,87554.50714124231,103234.18135677575,134452.7726077698,165484.62374603996,180930.8688412973,211684.69865852798,242254.5673402048,257470.8603627324,287766.84813710296,317881.61343067663,317881.61343067663,317881.61343067663,317881.61343067663,317881.61343067663,317881.61343067663,317881.61343067663,317881.61343067663,317881.61343067663,317881.61343067663
5,5,15322562.0,1067.5845994927793,0.0009366939167866514,16.99727883863385,46.743859328171766,76.31250490508555,91.03043369753509,120.33416868297772,134.9202378153952,134.9202378153952,134.9202378153952,134.9202378153952,134.9202378153952,134.9202378153952,134.9202378153952,134.9202378153952,134.9202378153952,134.9202378153952,134.9202378153952,134.9202378153952,134.9202378153952,134.9202378153952,134.9202378153952,61374.44237407908,92875.25417540953,108554.92839094298,139773.51964193702,170805.3707802072,186251.61587546454,217005.4456926952,247575.314374372,262791.6073968996,293087.5951712702,323202.36046484386,323202.36046484386,323202.36046484386,323202.36046484386,323202.36046484386,323202.36046484386,323202.36046484386,323202.36046484386,323202.36046484386,323202.36046484386
6,6,15323663.0,1074.4387079828161,0.0009307185161612711,15.955194796088309,45.61267430541253,75.09275033347713,89.76659640185301,118.98255445133726,118.98255445133726,118.98255445133726,118.98255445133726,118.98255445133726,118.98255445133726,118.98255445133726,118.98255445133726,118.98255445133726,118.98255445133726,118.98255445133726,118.98255445133726,118.98255445133726,118.98255445133726,118.98255445133726,118.98255445133726,62623.65190446703,94219.10327190152,109945.8850060207,141258.26715782023,172383.3486655066,187876.00161081835,218722.22582382703,249383.9371901966,264645.9452049832,295032.9528725848,325238.1936560261,340272.991295455,340272.991295455,340272.991295455,340272.991295455,340272.991295455,340272.991295455,340272.991295455,340272.991295455,340272.991295455
7,7,15324351.0,1073.3648599798232,0.0009316496536124704,18.545860396781517,48.20333990610574,77.68341593417034,92.35726200254622,121.57322005203048,121.57322005203048,121.57322005203048,121.57322005203048,121.57322005203048,121.57322005203048,121.57322005203048,121.57322005203048,121.57322005203048,121.57322005203048,121.57322005203048,121.57322005203048,121.57322005203048,121.57322005203048,121.57322005203048,121.57322005203048,59841.38400313916,91436.83537057365,107163.61710469284,138475.99925649236,169601.08076417874,185093.7337094905,215939.9579224992,246601.66928886872,261863.67730365533,292250.68497125694,322455.9257546982,337490.72339412716,337490.72339412716,337490.72339412716,337490.72339412716,337490.72339412716,337490.72339412716,337490.72339412716,337490.72339412716,337490.72339412716
8,8,15325327.0,1075.8363166727522,0.0009295094286208038,27.70322642675389,57.27187200366767,86.66364686449309,101.29353578155984,115.87960491397735,115.87960491397735,115.87960491397735,115.87960491397735,115.87960491397735,115.87960491397735,115.87960491397735,115.87960491397735,115.87960491397735,115.87960491397735,115.87960491397735,115.87960491397735,115.87960491397735,115.87960491397735,115.87960491397735,115.87960491397735,50090.953612648445,81781.32987869241,97555.35994590368,128961.81589555631,160180.40714655037,175719.60533950877,206658.5033800779,237412.33319730853,252720.19386419875,283198.4949015129,313494.4826758835,328574.45033002825,343609.2479694572,343609.2479694572,343609.2479694572,343609.2479694572,343609.2479694572,343609.2479694572,343609.2479694572,343609.2479694572
9,9,15325950.0,1079.9320668891162,0.0009259841712827634,18.187125137895453,47.75577071480923,77.14754557563465,91.7774344927014,106.36350362511891,106.36350362511891,106.36350362511891,106.36350362511891,106.36350362511891,106.36350362511891,106.36350362511891,106.36350362511891,106.36350362511891,106.36350362511891,106.36350362511891,106.36350362511891,106.36350362511891,106.36350362511891,106.36350362511891,106.36350362511891,60348.58324320016,92038.95950924413,107812.9895764554,139219.44552610803,170438.03677710207,185977.2349700605,216916.1330106296,247669.96282786026,262977.8234947505,293456.12453206466,323752.11230643524,338832.0799605799,353866.8776000089,353866.8776000089,353866.8776000089,353866.8776000089,353866.8776000089,353866.8776000089,353866.8776000089,353866.8776000089
