,index,blocknum,p0vs1,p1vs0,MKR-slippagemap_01,MKR-slippagemap_2,MKR-slippagemap_3,MKR-slippagemap_4,MKR-slippagemap_5,MKR-slippagemap_6,MKR-slippagemap_7,MKR-slippagemap_8,MKR-slippagemap_9,MKR-slippagemap_10,MKR-slippagemap_11,WETH-slippagemap_01,WETH-slippagemap_2,WETH-slippagemap_3,WETH-slippagemap_4,WETH-slippagemap_5,WETH-slippagemap_6,WETH-slippagemap_7,WETH-slippagemap_8,WETH-slippagemap_9,WETH-slippagemap_10
0,0,12451956.0,1.3005494914293132,0.7689057637483622,0.023542165316853412,0.05077852221752528,0.07774388689110451,0.10444095449792025,0.13087239597189568,0.15704085216970645,0.18294894108776644,0.2085992537498445,0.23399435400254767,0.2591367806957185,0.28402904869627016,0.07615479793094798,0.11112653612297313,0.14575031652334577,0.18002960126840753,0.21396781882584165,0.24756836320164327,0.2808345916888758,0.31376983315726814,0.34637738012742786,0.3786604912476993
1,1,12457877.0,1.3221854823416292,0.756323536565362,0.0008946264398116076,0.028130983340483477,0.055096348014062706,0.08179341562087845,0.10822485709485387,0.13439331329266463,0.16030140221072464,0.1859517148728027,0.21134681512550585,0.23648924181867667,0.2613815098192283,0.10585479793254654,0.1408265361245717,0.17545031652494433,0.2097296012700061,0.2436678188274402,0.27726836320324183,0.31053459169047437,0.3434698331588667,0.3760773801290264,0.40836049124929785
2,2,12480844.0,1.3123066769807492,0.762017002230546,0.011199823539256946,0.038436180439928816,0.06540154511350804,0.09209861272032378,0.11853005419429921,0.14469851039210999,0.17060659931016997,0.19625691197224804,0.2216520122249512,0.246794438918122,0.2716867069186737,0.09227987026515051,0.12725160845717565,0.1618753888575483,0.19615467360261005,0.23009289116004417,0.2636934355358458,0.29695966402307833,0.32989490549147066,0.3625024524616304,0.3947855635819018
3,3,12482624.0,1.2259178339836654,0.8157153540628926,0.023080035113439493,0.05114582001331225,0.07893236104604776,0.10644243436399156,0.13367879126466342,0.16064415593824266,0.18734122354505842,0.21377266501903383,0.23994112121684458,0.2658492101349046,0.29149952279698266,0.0753490274426457,0.10928724500007982,0.14288778937588142,0.176154017863114,0.2090892593315063,0.241696806301666,0.27397991742193745,0.3059418233019249,0.33758571861410847,0.3689147674714325
4,4,12493990.0,1.3629950432112103,0.7336783834840693,0.013722317149261342,0.04041938475607709,0.0668508262300525,0.09301928242786328,0.11892737134592327,0.14457768400800136,0.1699727842607045,0.1951152109538753,0.22000747895442696,0.24465207771152456,0.2690514700285326,0.09039937448198536,0.12607755345602392,0.16140074441540866,0.1963724826074338,0.23099626300780643,0.2652755477528682,0.29921376531030236,0.3328143096861039,0.3660805381733365,0.39901577964172885
5,5,12495665.0,1.5921363751725413,0.6280868998371004,0.018412736616712062,0.04305733537380966,0.06745672769081769,0.07240668641791423,0.07730739447473178,0.08215934227627147,0.0869630146529991,0.09171889219000919,0.09642745023181469,0.10108915972851795,0.10570448665227357,0.08875872932605854,0.12740828436354212,0.16567328796917158,0.20355756700377892,0.24106491152364726,0.2781990690079147,0.3149637545947316,0.3513626428768911,0.38739937449797096,0.42307755347200954
6,6,12496612.0,1.5102563224293999,0.6621392575211332,0.009807941666689694,0.03520304191939284,0.060345468612563645,0.0852377366131153,0.10988233537021291,0.13428172768722094,0.13923168641431746,0.14413239447113504,0.14898434227267474,0.15378801464940237,0.15854389218641243,0.09992898139231554,0.13743632591218385,0.1745704833964513,0.2113351689832682,0.24773405726542772,0.2837707888865076,0.3194489678605461,0.35477215881993085,0.389743897011956,0.42436767741232867
7,7,12499816.0,1.5102563224293999,0.6621392575211332,0.020270951767561222,0.07275728068846651,0.1247213865260501,0.1761684669810765,0.22710366722117292,0.27753207734270324,0.30825207468260396,0.3386664168557907,0.36877814743259585,0.3985902753251017,0.4281057830981414,0.20653217880208252,0.284051968124827,0.3608004583660693,0.43678532793467595,0.5120141714407911,0.5864945133286737,0.6602338023370322,0.7332394058109886,0.80551863036286,0.8770786993720664
8,8,12501188.0,1.4552551429802065,0.6871647249100987,0.012710583933670895,0.0662571524895723,0.1192709517622327,0.17175728068313798,0.22372138652072157,0.275168466975748,0.3261036672158444,0.3765320773373747,0.4072520746772755,0.43766641685046215,0.4677781474272673,0.2140247685842714,0.29000963815287806,0.3652384816589932,0.43971882354687586,0.5134581125552343,0.5864637160291908,0.6587429405810622,0.7303030095902685,0.8011510785641711,0.8712942334240982
9,9,12507697.0,1.3933116786451518,0.7177145037443411,0.02279766281512381,0.07742589098717301,0.13151058392727666,0.18505715248317806,0.23807095175583845,0.29055728067674375,0.34252138651432734,0.3939684669693537,0.4449036672094502,0.4953320773309805,0.5260520746708812,0.1960656682578746,0.27054601014575724,0.34428529915411576,0.41729090262807217,0.4895701271799436,0.5611301961891499,0.6319782651630526,0.7021214200229796,0.7715666754652013,0.8403209703080824
10,10,12512138.0,1.3677736446108997,0.7311151256204217,0.12261781154496336,0.4852855815862946,0.844344938947976,1.1998317584914593,1.551781604531724,1.9002296749723835,2.2452107985274137,2.5867594643408824,2.9249098357594465,3.2596957308409773,3.591150605672016,1.3151459401654886,1.7998181070946637,2.279667919989981,2.7547434036109997,3.2250920356457073,3.6907608476739426,4.151796413901819,4.608244840388768,5.0601517344654035,5.128221948782257
11,11,12512869.0,1.3677736446108997,0.7311151256204217,0.11544112623160831,0.45688235156390733,0.7949263606321203,1.129606928581613,1.4609575381872224,1.7890113272580712,2.1138010860219083,2.4353592850112267,2.7537180880296708,3.068909333801472,3.380964520265315,1.2381718983457717,1.6944767377360999,2.146241470157124,2.5935113095321776,3.036330954732519,3.4747446846314745,3.908796347498226,4.338529350855382,4.763986632686781,4.805870398895262
12,12,12513504.0,1.3677736446108997,0.7311151256204217,0.01147870870354082,0.045429385493597804,0.07904226537217857,0.11232070671829177,0.1452680388395376,0.17788755674238746,0.21018252087209977,0.2421561598855328,0.2738116719404392,0.30515222287080623,0.33618094462514064,0.12311569550618079,0.16848765697569237,0.21340817997535574,0.2578817602812623,0.3019128424561023,0.34550582930072504,0.3886650807995271,0.43139491311195577,0.4736995957096011,0.5155833619180816
13,13,12519845.0,1.3677736446108997,0.7311151256204217,0.01886853406830535,0.07467616175534729,0.12992852380258854,0.1846311406644962,0.23878948500837988,0.2924089731178535,0.345494964465313,0.3980527662698453,0.45008763561655213,0.5016047764572006,0.5526093370430988,0.2023757859004562,0.27695755488194773,0.35079725588627664,0.4239022790046576,0.4962799301444625,0.5679374465655583,0.6388819951467505,0.709120670728032,0.778660491404576,0.8475084158553353
14,14,12522886.0,1.3369427546934447,0.7479751818014794,0.027056787851459194,0.08342526450633456,0.1392328921933765,0.19448525424061774,0.2491878711025254,0.3033462154464091,0.35696570355588275,0.41005169490334226,0.46260949670787455,0.5146443660545813,0.5661615068952297,0.1896526988323247,0.2634923998366536,0.33659742295503453,0.40897507409483946,0.48063259051593527,0.5515771390971275,0.6218158146784089,0.691355635354953,0.7602035598057123,0.8283664707253304
15,15,12532650.0,1.3332047375441038,0.7500723421086095,0.035157925367609075,0.09152640202248444,0.1473340297095264,0.20258639175676763,0.2572890086186753,0.311447352962559,0.36506684107203263,0.41815283241949214,0.4707106342240244,0.5227455035707312,0.5742626444113796,0.17883656996910688,0.2526762709734358,0.3257812940918167,0.39815894523162165,0.46981646165271745,0.5407610102339097,0.610999685815191,0.6805395064917352,0.7493874309424945,0.8175503418621126
16,16,12541559.0,1.340155109974105,0.746182283347278,0.020345471529860305,0.07671394818473568,0.13252157587177762,0.18777393791901886,0.24247655478092653,0.2966348991248102,0.35025438723428387,0.4033403785817434,0.45589818038627566,0.5079330497329825,0.5594501905736309,0.1986365699701726,0.2724762709745015,0.34558129409288246,0.41795894523268734,0.48961646165378314,0.5605610102349754,0.6307996858162568,0.700339506492801,0.7691874309435602,0.8373503418631784
17,17,12550075.0,1.4032388951290353,0.7126370309939596,0.003084849802994275,0.05833721185023551,0.11303982871214319,0.16719817305602686,0.22081766116550053,0.27390365251296,0.3264614543174923,0.3784963236641991,0.4300134645048475,0.48101802509074576,0.5315151089837594,0.22623512567184192,0.30156641414839497,0.37614818312988646,0.44998788413421537,0.5230929072525964,0.5954705583924013,0.667128074813497,0.7380726233946893,0.8083112989759706,0.8778511196525148
18,18,12552011.0,1.398336388508307,0.7151355054607158,0.013062307402457257,0.0683146694496985,0.12301728631160617,0.17717563065548983,0.2307951187649635,0.283881110112423,0.3364389119169553,0.38847378126366205,0.4399909221043105,0.49099548269020876,0.5414925665832224,0.21225821827074476,0.2875895067472978,0.36217127572878927,0.43601097673311817,0.5091159998514991,0.581493650991304,0.6531511674123999,0.7240957159935921,0.7943343915748735,0.8638742122514177
19,19,12554643.0,1.398336388508307,0.7151355054607158,0.01731221833103195,0.0905413137423925,0.16304180061762738,0.21720014496151105,0.2708196330709847,0.32390562441844417,0.3764634262229765,0.4284982955696833,0.48001543641033173,0.5310199969962299,0.5815170808892437,0.2565620176126159,0.3318933060891689,0.4064750750706604,0.4803147760749893,0.5534197991933703,0.6257974503331751,0.697454966754271,0.7683995153354632,0.8386381909167446,0.9081780115932888
20,20,12556239.0,1.3608161037036555,0.7348531497226973,0.03343531002215241,0.10740033054167124,0.1806294259530318,0.25312991282826663,0.3072882571721503,0.360907745281624,0.4139937366290835,0.4665515384336158,0.5185864077803226,0.570103548620971,0.6211081092068692,0.18250152126061112,0.25708329024210264,0.33092299124643154,0.4040280143648125,0.4764056655046174,0.5480631819257132,0.6190077305069055,0.6892464060881869,0.7587862267647311,0.8276341512154902
21,21,12557884.0,1.342837968017188,0.7446914846149184,0.014655528907021235,0.0710240055618966,0.14498902608141545,0.218218121492776,0.29071860836801083,0.3448769527118945,0.3984964408213682,0.4515824321688277,0.5041402339733599,0.5561751033200668,0.6076922441607152,0.2062698441098424,0.2801095451141713,0.35321456823255226,0.4255922193723572,0.497249735793453,0.5681942843746453,0.6384329599559266,0.7079727806324708,0.7768207050832301,0.8449836160028482
