,index,blocknum,p0vs1,p1vs0,SUSHI-slippagemap_01,SUSHI-slippagemap_2,SUSHI-slippagemap_3,SUSHI-slippagemap_4,SUSHI-slippagemap_5,SUSHI-slippagemap_6,SUSHI-slippagemap_7,SUSHI-slippagemap_8,SUSHI-slippagemap_9,SUSHI-slippagemap_10,SUSHI-slippagemap_11,USDC-slippagemap_01,USDC-slippagemap_2,USDC-slippagemap_3,USDC-slippagemap_4,USDC-slippagemap_5,USDC-slippagemap_6,USDC-slippagemap_7,USDC-slippagemap_8,USDC-slippagemap_9,USDC-slippagemap_10
0,0,12545615.0,9.879759026826395,0.10121704358220798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,12889809.0,9.879759026826395,0.10121704358220798,0.0,941.2757048317841,1873.1860381721015,2795.8241657780322,2795.8241657780322,2795.8241657780322,2795.8241657780322,2795.8241657780322,2795.8241657780322,2795.8241657780322,2795.8241657780322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,12937757.0,10.012030866440936,0.09987983590341035,395.4154939351648,1327.3258272754822,2249.963954881413,2249.963954881413,2249.963954881413,2249.963954881413,2249.963954881413,2249.963954881413,2249.963954881413,2249.963954881413,2249.963954881413,14750.368211477418,14750.368211477418,14750.368211477418,14750.368211477418,14750.368211477418,14750.368211477418,14750.368211477418,14750.368211477418,14750.368211477418,14750.368211477418
3,3,12975186.0,10.046127998838445,0.09954083803387953,237.90057097258972,1169.810904312907,2092.4490319188376,2092.4490319188376,2092.4490319188376,2092.4490319188376,2092.4490319188376,2092.4490319188376,2092.4490319188376,2092.4490319188376,2092.4490319188376,16330.174716485122,16330.174716485122,16330.174716485122,16330.174716485122,16330.174716485122,16330.174716485122,16330.174716485122,16330.174716485122,16330.174716485122,16330.174716485122
4,4,12976382.0,10.264447358788402,0.09742365711913381,166.2825084055451,1088.9206360114758,1088.9206360114758,1088.9206360114758,1088.9206360114758,1088.9206360114758,1088.9206360114758,1088.9206360114758,1088.9206360114758,1088.9206360114758,1088.9206360114758,26520.92409052521,26520.92409052521,26520.92409052521,26520.92409052521,26520.92409052521,26520.92409052521,26520.92409052521,26520.92409052521,26520.92409052521,26520.92409052521
5,5,12977329.0,10.287052869665892,0.09720957135826196,63.04461656940602,985.6827441753367,985.6827441753367,985.6827441753367,985.6827441753367,985.6827441753367,985.6827441753367,985.6827441753367,985.6827441753367,985.6827441753367,985.6827441753367,27581.800634814954,27581.800634814954,27581.800634814954,27581.800634814954,27581.800634814954,27581.800634814954,27581.800634814954,27581.800634814954,27581.800634814954,27581.800634814954
6,6,12978799.0,10.281910885929017,0.09725818586587034,83.68352687940074,1006.3216544853314,1006.3216544853314,1006.3216544853314,1006.3216544853314,1006.3216544853314,1006.3216544853314,1006.3216544853314,1006.3216544853314,1006.3216544853314,1006.3216544853314,27369.52565541686,27369.52565541686,27369.52565541686,27369.52565541686,27369.52565541686,27369.52565541686,27369.52565541686,27369.52565541686,27369.52565541686,27369.52565541686
7,7,12980363.0,9.998024530255975,0.10001975860069204,463.73360265878733,1395.6439359991048,2318.2820636050355,2318.2820636050355,2318.2820636050355,2318.2820636050355,2318.2820636050355,2318.2820636050355,2318.2820636050355,2318.2820636050355,2318.2820636050355,14066.811123809082,14066.811123809082,14066.811123809082,14066.811123809082,14066.811123809082,14066.811123809082,14066.811123809082,14066.811123809082,14066.811123809082,14066.811123809082
8,8,12981029.0,10.21019240311733,0.09794134728496247,409.5539219647034,1332.192049570634,1332.192049570634,1332.192049570634,1332.192049570634,1332.192049570634,1332.192049570634,1332.192049570634,1332.192049570634,1332.192049570634,1332.192049570634,24030.35795634411,24030.35795634411,24030.35795634411,24030.35795634411,24030.35795634411,24030.35795634411,24030.35795634411,24030.35795634411,24030.35795634411,24030.35795634411
9,9,12982429.0,10.198967927281798,0.09804913665088046,460.580861072112,1383.2189886780427,1383.2189886780427,1383.2189886780427,1383.2189886780427,1383.2189886780427,1383.2189886780427,1383.2189886780427,1383.2189886780427,1383.2189886780427,1383.2189886780427,23509.603684633254,23509.603684633254,23509.603684633254,23509.603684633254,23509.603684633254,23509.603684633254,23509.603684633254,23509.603684633254,23509.603684633254,23509.603684633254
10,10,12984020.0,10.181645276348487,0.09821595359670955,539.7808610677317,1462.4189886736624,1462.4189886736624,1462.4189886736624,1462.4189886736624,1462.4189886736624,1462.4189886736624,1462.4189886736624,1462.4189886736624,1462.4189886736624,1462.4189886736624,22702.45841540481,22702.45841540481,22702.45841540481,22702.45841540481,22702.45841540481,22702.45841540481,22702.45841540481,22702.45841540481,22702.45841540481,22702.45841540481
11,11,12984830.0,10.012030866440936,0.09987983590341035,397.81224706316823,1329.7225804034856,2252.360708009416,2252.360708009416,2252.360708009416,2252.360708009416,2252.360708009416,2252.360708009416,2252.360708009416,2252.360708009416,2252.360708009416,14726.370682560246,14726.370682560246,14726.370682560246,14726.370682560246,14726.370682560246,14726.370682560246,14726.370682560246,14726.370682560246,14726.370682560246,14726.370682560246
12,12,12986948.0,9.89953732768991,0.10101482189505046,931.3477952773999,1863.2581286177171,2785.896256223648,2785.896256223648,2785.896256223648,2785.896256223648,2785.896256223648,2785.896256223648,2785.896256223648,2785.896256223648,2785.896256223648,9414.60342367768,9414.60342367768,9414.60342367768,9414.60342367768,9414.60342367768,9414.60342367768,9414.60342367768,9414.60342367768,9414.60342367768,9414.60342367768
13,13,12986948.0,9.89953732768991,0.10101482189505046,931.3477952773999,1863.2581286177171,2785.896256223648,2785.896256223648,2785.896256223648,2785.896256223648,2785.896256223648,2785.896256223648,2785.896256223648,2785.896256223648,2785.896256223648,9414.60342367768,9414.60342367768,9414.60342367768,9414.60342367768,9414.60342367768,9414.60342367768,9414.60342367768,9414.60342367768,9414.60342367768,9414.60342367768
14,14,12988870.0,9.8975577171709,0.10103502586957767,937.2346918129797,1869.145025153297,2791.7831527592275,2791.7831527592275,2791.7831527592275,2791.7831527592275,2791.7831527592275,2791.7831527592275,2791.7831527592275,2791.7831527592275,2791.7831527592275,9356.328921033284,9356.328921033284,9356.328921033284,9356.328921033284,9356.328921033284,9356.328921033284,9356.328921033284,9356.328921033284,9356.328921033284,9356.328921033284
15,15,12991879.0,9.904488086406488,0.10096432963279141,904.517635833083,1836.4279691734005,2759.066096779331,2759.066096779331,2759.066096779331,2759.066096779331,2759.066096779331,2759.066096779331,2759.066096779331,2759.066096779331,2759.066096779331,9680.28757705039,9680.28757705039,9680.28757705039,9680.28757705039,9680.28757705039,9680.28757705039,9680.28757705039,9680.28757705039,9680.28757705039,9680.28757705039
