,index,blocknum,p0vs1,p1vs0,SUSHI-slippagemap_01,SUSHI-slippagemap_2,SUSHI-slippagemap_3,SUSHI-slippagemap_4,SUSHI-slippagemap_5,SUSHI-slippagemap_6,SUSHI-slippagemap_7,SUSHI-slippagemap_8,SUSHI-slippagemap_9,SUSHI-slippagemap_10,SUSHI-slippagemap_11,WETH-slippagemap_01,WETH-slippagemap_2,WETH-slippagemap_3,WETH-slippagemap_4,WETH-slippagemap_5,WETH-slippagemap_6,WETH-slippagemap_7,WETH-slippagemap_8,WETH-slippagemap_9,WETH-slippagemap_10
0,0,12425520.0,0.0040834013921421854,244.8938774239365,36.11302682489632,707.4691438440582,1372.145482806958,2030.208507969499,2681.7240244839445,3395.4843428613904,4102.142974992319,4734.404246797525,5360.3747266382225,5980.11700854648,6593.693054654768,7.97189426427396,7.971894264273959,7.971894264273959,7.971894264273958,7.971894264273958,7.971894264273958,7.971894264273958,7.971894264273958,7.971894264273958,7.971894264273958
1,1,12426678.0,0.004073206147780763,245.50684736269437,121.32489623726102,792.6810132564228,1457.3573522193226,2115.4203773818635,2766.935893896309,3480.696212273755,4187.354844404684,4819.61611620989,5445.586596050587,6065.328877958845,6678.904924067133,7.624368263669425,7.624368263669425,7.6243682636694246,7.6243682636694246,7.624368263669424,7.624368263669424,7.624368263669424,7.624368263669424,7.624368263669424,7.624368263669424
2,2,12427455.0,0.0040077550657877615,249.51624627375793,670.6073627478495,1341.9634797670114,2006.639818729911,2664.702843892452,3316.2183604068973,4029.9786787843436,4736.637310915272,5368.898582720478,5994.869062561175,6614.611344469434,7228.187390577722,5.405046054200523,5.405046054200522,5.405046054200521,5.405046054200521,5.40504605420052,5.40504605420052,5.40504605420052,5.40504605420052,5.40504605420052,5.40504605420052
3,3,12428597.0,0.0039825868304451464,251.09308160099218,204.568612321177,882.6716244616626,1554.0277414808245,2218.7040804437243,2876.767105606265,3528.2826221207106,4242.042940498157,4948.701572629086,5580.962844434291,6206.933324274989,6826.675606183247,4.525257925491974,4.525257925491973,4.525257925491973,4.525257925491972,4.525257925491972,4.525257925491972,4.525257925491972,4.525257925491972,4.525257925491972,4.525257925491972
4,4,12430562.0,0.003981392293311403,251.168417058516,215.4672441305904,893.5702562710761,1564.926373290238,2229.6027122531377,2887.6657374156784,3539.181253930124,4252.94157230757,4959.600204438499,5591.861476243705,6217.831956084402,6837.57423799266,4.481858750253196,4.4818587502531955,4.481858750253195,4.481858750253195,4.481858750253195,4.481858750253195,4.481858750253195,4.481858750253195,4.481858750253195,4.481858750253195
5,5,12431751.0,0.003989761583348807,250.6415431371841,144.03612183602968,822.1391339765154,1493.4952509956772,2158.171589958577,2816.2346151211177,3467.7501316355633,4181.510450013009,4888.169082143938,5520.430353949144,6146.400833789841,6766.143115698099,4.766558029729484,4.766558029729483,4.766558029729483,4.766558029729482,4.766558029729482,4.766558029729482,4.766558029729482,4.766558029729482,4.766558029729482,4.766558029729482
6,6,12432509.0,0.003955598453864767,252.80624706053334,432.3912422734799,1110.4942544139656,1781.8503714331275,2446.5267103960273,3104.589735558568,3756.1052520730136,4469.86557045046,5176.524202581389,5808.785474386594,6434.755954227292,7054.49823613555,3.620954883516936,3.6209548835169354,3.620954883516935,3.6209548835169345,3.6209548835169345,3.6209548835169345,3.6209548835169345,3.6209548835169345,3.6209548835169345,3.6209548835169345
7,7,12433443.0,0.004019795781002134,248.76885654890165,569.0475250138575,1240.4036420330194,1905.079980995919,2563.14300615846,3214.6585226729053,3928.4188410503516,4635.07747318128,5267.338744986486,5893.309224827183,6513.051506735442,7126.62755284373,5.812688666011179,5.812688666011178,5.812688666011178,5.812688666011177,5.812688666011177,5.812688666011177,5.812688666011177,5.812688666011177,5.812688666011177,5.812688666011177
8,8,12434031.0,0.0043432687414286485,230.24133654484987,631.419985939712,1345.180304317158,2051.8389364480868,2684.1002082532923,3310.07068809399,3929.8129700022478,4543.389016110536,5150.860184926044,5751.336047055602,6345.837372378689,6934.423605694102,5.7151364386283054,8.487150637941179,11.231584178789491,13.948711528763102,16.606592209762248,16.606592209762248,16.606592209762244,16.606592209762244,16.606592209762244,16.606592209762244
9,9,12434774.0,0.004464359950694561,223.99627517588965,421.0157504450619,1127.6743825759904,1759.9356543811962,2385.906134221894,3005.6484161301514,3619.2244622384396,4226.695631053948,4827.171493183506,5421.672818506593,6010.259051822006,6592.989045667455,7.290474018307833,10.09034600111485,12.862360200427723,15.606793741276036,18.323921091249645,20.98180177224879,20.98180177224879,20.98180177224879,20.98180177224879,20.98180177224879
10,10,12435338.0,0.004638188804014513,215.6014000841159,431.968337909497,1057.9388177501949,1677.6810996584525,2291.257145766741,2898.7283145822485,3499.2041767118067,4093.705502034894,4682.291735350307,5265.021729195756,5841.953754271808,6413.145492455748,7.032755242904393,10.193533224140452,13.021542962380602,15.82141494518762,18.593429144500494,21.337862685348806,24.054990035322415,26.71287071632156,26.71287071632156,26.71287071632156
11,11,12435876.0,0.004617364884532502,216.57374390095399,573.3474904787507,1199.3179703194485,1819.060252227706,2432.6362983359945,3040.1074671515025,3640.5833292810603,4235.0846546041475,4823.67088791956,5406.400881765009,5983.332906841061,6554.524645025002,6.378463056635051,9.53924103787111,12.367250776111261,15.167122758918277,17.939136958231153,20.68357049907946,23.400697849053074,26.05857853005222,26.058578530052216,26.058578530052216
12,12,12436757.0,0.004581491320849497,218.26953931991312,208.67975307198898,840.9410248771948,1466.9115047178925,2086.65378662615,2700.2298327344383,3307.7010015499463,3908.1768636795045,4502.678189002591,5091.264422318004,5673.994416163454,6250.926441239506,8.61897556493249,11.44698530317264,14.246857285979658,17.018871485292532,19.763305026140845,22.480432376114454,25.1383130571136,25.1383130571136,25.1383130571136,25.1383130571136
13,13,12437400.0,0.00457553954920575,218.55346003371034,255.84380940419584,888.1050812094015,1514.0755610500994,2133.8178429583572,2747.3938890666454,3354.8650578821535,3955.340920011711,4549.8422453347985,5138.428478650211,5721.15847249566,6298.090497571712,8.403022481791401,11.231032220031551,14.030904202838569,16.80291840215144,19.547351942999754,22.264479292973366,24.922359973972508,24.922359973972508,24.922359973972508,24.922359973972508
14,14,12439359.0,0.004564115557462182,219.1004998471242,344.51195501577183,976.7732268209776,1602.7437066616753,2222.485988569933,2836.062034678221,3443.533203493729,4044.0090656232874,4638.510390946374,5227.096624261788,5809.826618107237,6386.758643183289,7.997812405813437,10.825822144053587,13.625694126860605,16.39770832617348,19.14214186702179,21.8592692169954,24.517149897994546,24.517149897994546,24.517149897994546,24.517149897994543
15,15,12440496.0,0.004549989412366553,219.78073119952103,454.06023325044424,1086.32150505565,1712.2919848963477,2332.0342668046055,2945.6103129128937,3553.0814817284017,4153.5573438579595,4748.058669181047,5336.6449024964595,5919.374896341908,6496.306921417961,7.498583093928594,10.326592832168744,13.126464814975762,15.898479014288636,18.64291255513695,21.360039905110558,24.017920586109703,24.017920586109703,24.017920586109703,24.0179205861097
16,16,12441001.0,0.0044844938310520345,222.990606671301,262.3927613930292,969.0513935239577,1601.3126653291633,2227.283145169861,2847.025427078119,3460.601473186407,4068.072642001915,4668.548504131473,5263.0498294545605,5851.636062769973,6434.366056615422,8.000255752203266,10.800127735010282,13.572141934323156,16.31657547517147,19.033702825145077,21.691583506144223,21.691583506144223,21.691583506144223,21.691583506144223,21.691583506144223
17,17,12442536.0,0.004333724529882138,230.74839969747603,50.10231983201509,701.6178363464606,1415.3781547239068,2122.036786854835,2754.298058660041,3380.268538500739,4000.0108204089966,4613.586866517285,5221.058035332792,5821.533897462351,6416.035222785437,8.182584873497722,10.927018414346035,13.644145764319646,16.30202644531879,16.30202644531879,16.302026445318788,16.302026445318788,16.302026445318788,16.302026445318788,16.302026445318788
18,18,12443960.0,0.004394380852961911,227.56334361096117,247.93095742641773,961.6912758038638,1668.3499079347923,2300.611179739998,2926.581659580696,3546.3239414889536,4159.899987597242,4767.37115641275,5367.8470185423075,5962.348343865395,6550.9345771808075,7.3905706742914195,10.162584873604294,12.907018414452606,15.624145764426215,18.282026445425362,18.28202644542536,18.28202644542536,18.28202644542536,18.28202644542536,18.28202644542536
