,index,blocknum,p0vs1,p1vs0,SUSHI-slippagemap_01,SUSHI-slippagemap_2,SUSHI-slippagemap_3,SUSHI-slippagemap_4,SUSHI-slippagemap_5,SUSHI-slippagemap_6,SUSHI-slippagemap_7,SUSHI-slippagemap_8,SUSHI-slippagemap_9,SUSHI-slippagemap_10,SUSHI-slippagemap_11,SUSHI-slippagemap_12,SUSHI-slippagemap_13,SUSHI-slippagemap_14,SUSHI-slippagemap_15,SUSHI-slippagemap_16,SUSHI-slippagemap_17,SUSHI-slippagemap_18,SUSHI-slippagemap_19,SUSHI-slippagemap_20,WETH-slippagemap_01,WETH-slippagemap_2,WETH-slippagemap_3,WETH-slippagemap_4,WETH-slippagemap_5,WETH-slippagemap_6,WETH-slippagemap_7,WETH-slippagemap_8,WETH-slippagemap_9,WETH-slippagemap_10,WETH-slippagemap_11,WETH-slippagemap_12,WETH-slippagemap_13,WETH-slippagemap_14,WETH-slippagemap_15,WETH-slippagemap_16,WETH-slippagemap_17,WETH-slippagemap_18,WETH-slippagemap_19,WETH-slippagemap_20
0,0,12425711.0,0.00407402082974238,245.45775335744534,414.2610329257802,1098.1986615544702,1769.5902893116383,2110.943397190357,2745.5035657854683,3371.1113718014867,3699.6964393307167,4385.855753597354,5067.996942826931,5408.422056680369,6158.224455226708,6828.0041448306065,7126.129879059098,7702.463934702187,8258.16106452734,8534.761868915395,9086.355630162065,9639.351353842045,9923.726079542845,10457.32756579485,4.8800466699166805,7.229033110275214,8.39825187841224,10.726193368980267,12.971919425836381,14.055646036068309,16.212642407057167,18.151212126028703,19.072891660852854,20.907976711162238,22.73208473581516,23.640042946134933,25.44780847591778,27.24476044220138,28.139201561087926,29.264761550536107,29.73025877996673,29.961962165058484,30.423288926291196,30.855742034817247
1,1,12426591.0,0.0040338890103511615,247.89973086367766,600.7340398250881,1286.7140621196452,1964.3692962639677,2299.561585517842,2961.26059984543,3588.7479457981995,3901.0826680076907,4573.261979414301,5257.366007189893,5597.968239033135,6298.701961595787,7058.954035285442,7357.9754410368105,7953.333905771262,8510.70054949846,8788.132360733543,9340.985283583552,9884.113998001647,10169.322650048249,10721.072375704356,3.8861809030149956,6.228131264000681,7.39384785869207,9.71481629619894,11.88552542165675,12.966005862703486,15.056642925386145,16.90277104644129,17.821689822165638,19.651278134554424,21.46992233172337,22.37516083238446,24.177511489123617,25.969080946676364,26.86084291321827,27.327738658770308,27.79184155064692,28.022850906452387,28.482795820389484,28.887839478767393
2,2,12427242.0,0.003890480747561954,257.0376426169618,568.7374763059206,1162.0417352598618,1773.746498577071,2091.793893315,2757.684613692486,3441.6222423211757,3777.8215808244695,4454.366977957063,5088.927146552174,5402.200230358701,6043.120020097423,6729.27933436406,7070.818291750395,7751.845637447074,8501.648035993414,8872.406319845944,9469.553459825804,10045.887515468892,10324.152834058963,10878.185449682102,3.5173940030018325,5.681601054280498,6.75811698422262,8.696686703194155,10.53728501374265,11.453451288327692,13.277559312980614,15.090756023961472,15.993283053083228,17.79023501936683,19.576438104795283,19.81023612770156,20.27573335713218,20.7384460980294,20.968763503456646,21.401216611982697,21.80504701907423,22.006055456230765,22.406267874769163,22.8040863230616
3,3,12427911.0,0.003990958631520649,250.5663657102295,508.74366066620775,1149.1834864747268,1835.163508769284,2176.6194044103127,2848.011032167481,3509.710046495069,3823.9243086413107,4449.53211465733,5121.71142606394,5464.276496453196,6146.417685682774,6847.151408245426,7236.64519808255,7906.424887686449,8501.783352420902,8780.88467755803,9336.581807383182,9889.43473023319,10164.776373017907,10717.772096697889,3.928726455846007,6.256667946414033,7.415411488044265,9.586120613502075,11.743116984490934,12.75723811723147,14.603366238286618,16.438451288596006,17.351873326399748,19.170517523568698,20.978283053351543,21.878106680968944,23.66967613852169,24.795236127969876,25.028333850615635,25.49243674249225,25.95376350372496,26.18339101223481,26.58843467061272,26.99105545649908
4,4,12428798.0,0.003958368203596608,252.6293534521097,312.9451821909605,946.0796111417009,1607.8209161673167,1961.9221147905882,2666.970378673742,3359.3463633682372,3711.1445317300822,4366.501054766236,5012.780816902978,5351.655446037658,6058.301512816122,6760.806907986361,7111.368399405392,7881.352557664942,8571.193284768053,8879.304493103606,9475.519855868715,10050.979368171911,10337.41698940977,10908.596078603607,4.815925473719589,7.145734875793995,8.271314359278293,10.511640757988644,12.533042046297963,13.49595137716123,15.413125895100084,17.318832348456436,18.26740655425957,20.156039458507568,22.03337507253713,22.967827522376933,24.173050988412985,24.717735168789012,24.988854222608996,25.52865848553645,26.039119662487025,26.280166596303054,26.760096562572006,27.23715571913468
5,5,12429420.0,0.004070763079237337,245.6541883020496,472.24824745254256,1177.296511335696,1869.6724960301917,2221.4706643920363,2876.82718742819,3523.106949564932,3861.981578699613,4568.627645478076,5271.133040648316,5621.694532067346,6391.678690326897,7081.519417430007,7389.630625765561,7985.84598853067,8561.305500833865,8847.743122071724,9418.922211265563,9991.386108387602,10285.451207256261,10838.34644838264,4.859306618957105,7.293647098686099,8.505351231171597,10.91788206045362,13.247691462528024,14.373270946012322,16.613597344722674,18.634998633031994,19.59790796389526,21.515082481834114,23.420788935190465,24.3693631409936,26.257996045241597,28.13533165927116,29.069784109110962,30.275007575147015,30.819691755523042,31.090810809343026,31.63061507227048,32.14107624922105
6,6,12430124.0,0.0040009480101595996,249.94076340424868,383.2868073264988,1014.6405267110679,1691.5887935011976,2028.549091071131,2690.9898803241977,3343.7915975646556,3653.5771892470075,4270.367410747423,4933.781882096225,5271.984212878209,5945.439087860297,6637.538455266778,7022.734455075056,7683.957146367476,8270.809798441396,8545.677316139318,9092.94483839796,9637.418577411478,9908.58944277781,10453.281053209519,4.339030757548699,6.630890822688296,7.771674669516318,9.906625629528595,12.028077731855563,13.08367676900063,15.012388351028148,16.929562868967004,17.883845317459446,19.78384352812649,21.672476432374488,22.612552168491753,24.484264496243853,25.6894879622799,25.96223854806131,26.505291196475916,27.045095459403367,27.31378550384781,27.796603570169975,28.276533536438922
7,7,12431285.0,0.003873788429152817,258.14522870540355,478.46011737698916,1064.3234460965705,1646.6822958075154,1958.503594426296,2589.857313810865,3266.8055806009947,3603.7658781709283,4266.206667423995,4919.008384664453,5228.793976346805,5845.58419784722,6508.998669196022,6847.200999978007,7520.6558749600945,8212.755242366577,8597.951242174853,9259.173933467273,9846.026585541193,10120.894103239116,10668.161625497758,3.7049884744297614,5.82644057675673,6.8820396139017985,8.810751195929315,10.72792571386817,11.682208162360613,13.582206373027656,15.470839277275656,16.41091501339292,18.28262734114502,19.487850807181072,19.76060139296248,20.303654041377083,20.843458304304537,21.112148348748978,21.59496641507114,22.074896381340093,22.31378373345529,22.78941392528958,23.262199021748092
8,8,12432466.0,0.004029051488504383,248.19737420908666,335.1767288939886,992.0085590522715,1666.9414853950616,1998.6586917720115,2666.2800613640748,3291.969583570938,3600.827262284427,4232.955879195473,4910.37660720214,5247.565893049802,5919.932943000443,6661.126849398986,7027.600216735238,7616.215989472831,8184.069710463249,8458.113903355184,9003.742161140053,9546.981837101739,9810.610624253733,10371.914762545084,4.727867571673389,7.0266131090635655,8.170824351641123,10.380684813655263,12.50924080837807,13.568011260808388,15.589412549117709,17.51234695379282,18.46949639791983,20.375202851276182,22.269509891550403,23.212409961327314,25.089745575356876,26.955851475282245,27.229421491232728,27.77410567160876,28.3155316868257,28.585028988356196,29.09549016530677,29.57686201804693
9,9,12433346.0,0.00407402082974238,245.45775335744534,411.536864750986,1086.4697910937762,1748.9105803468428,2085.8083670627893,2711.4978892696527,3328.2881107700678,3652.484184894188,4329.9049129008545,5003.359787882942,5339.461248699157,6080.655155097701,6741.877846390121,7035.744295171546,7603.598016161964,8150.865538420606,8423.270466838769,8966.510142800455,9511.201753232164,9791.443068243798,10316.814839163853,4.799248184379959,7.111827017664353,8.262923732492489,10.554783797632085,12.764644259646225,13.830518604472385,15.951970706799353,17.97337199510867,18.93628132597194,20.853455843910794,22.759162297267146,23.70773650307028,25.596369407318278,27.47370502134784,28.408157471187643,29.613380937223692,30.158065117599723,30.429184171419706,30.968988434347157,31.479449611297735
