,index,blocknum,p0vs1,p1vs0,TUSD-slippagemap_01,TUSD-slippagemap_2,TUSD-slippagemap_3,TUSD-slippagemap_4,TUSD-slippagemap_5,TUSD-slippagemap_6,TUSD-slippagemap_7,TUSD-slippagemap_8,TUSD-slippagemap_9,TUSD-slippagemap_10,TUSD-slippagemap_11,TUSD-slippagemap_12,TUSD-slippagemap_13,TUSD-slippagemap_14,TUSD-slippagemap_15,TUSD-slippagemap_16,TUSD-slippagemap_17,TUSD-slippagemap_18,TUSD-slippagemap_19,TUSD-slippagemap_20,USDC-slippagemap_01,USDC-slippagemap_2,USDC-slippagemap_3,USDC-slippagemap_4,USDC-slippagemap_5,USDC-slippagemap_6,USDC-slippagemap_7,USDC-slippagemap_8,USDC-slippagemap_9,USDC-slippagemap_10,USDC-slippagemap_11,USDC-slippagemap_12,USDC-slippagemap_13,USDC-slippagemap_14,USDC-slippagemap_15,USDC-slippagemap_16,USDC-slippagemap_17,USDC-slippagemap_18,USDC-slippagemap_19,USDC-slippagemap_20
0,0,12544280.0,0.9974061436956705,1.002600601891942,41678.89131987249,56671.68350928023,56671.68350928023,56671.68350928023,56671.68350928023,56671.68350928023,56671.68350928023,56671.68350928023,56671.68350928023,56671.68350928023,56671.68350928023,56671.68350928023,56671.68350928023,56671.68350928023,56671.68350928023,56671.68350928023,56671.68350928023,56671.68350928023,56671.68350928023,56671.68350928023,30809.414127223816,30809.414127223816,30809.414127223816,30809.414127223816,30809.414127223816,30809.414127223816,30809.414127223816,30809.414127223816,30809.414127223816,30809.414127223816,30809.414127223816,30809.414127223816,30809.414127223816,30809.414127223816,30809.414127223816,30809.414127223816,30809.414127223816,30809.414127223816,30809.414127223816,30809.414127223816
1,1,12544870.0,1.0017040090123468,0.9982988896949441,35442.56527681634,38438.11205063227,38438.11205063227,38438.11205063227,38438.11205063227,38438.11205063227,38438.11205063227,38438.11205063227,38438.11205063227,38438.11205063227,38438.11205063227,38438.11205063227,38438.11205063227,38438.11205063227,38438.11205063227,38438.11205063227,38438.11205063227,38438.11205063227,38438.11205063227,38438.11205063227,43037.02704792112,49035.060628722604,49035.060628722604,49035.060628722604,49035.060628722604,49035.060628722604,49035.060628722604,49035.060628722604,49035.060628722604,49035.060628722604,49035.060628722604,49035.060628722604,49035.060628722604,49035.060628722604,49035.060628722604,49035.060628722604,49035.060628722604,49035.060628722604,49035.060628722604,49035.060628722604
2,2,12545392.0,1.0011031969086985,0.9988980187935619,34784.35645408984,40776.95508634037,40776.95508634037,40776.95508634037,40776.95508634037,40776.95508634037,40776.95508634037,40776.95508634037,40776.95508634037,40776.95508634037,40776.95508634037,40776.95508634037,40776.95508634037,40776.95508634037,40776.95508634037,40776.95508634037,40776.95508634037,40776.95508634037,40776.95508634037,40776.95508634037,43694.608660624035,46692.85960959248,46692.85960959248,46692.85960959248,46692.85960959248,46692.85960959248,46692.85960959248,46692.85960959248,46692.85960959248,46692.85960959248,46692.85960959248,46692.85960959248,46692.85960959248,46692.85960959248,46692.85960959248,46692.85960959248,46692.85960959248,46692.85960959248,46692.85960959248,46692.85960959248
3,3,12546016.0,1.0009030062984088,0.9990978083863008,35836.137989337345,41828.73662158788,41828.73662158788,41828.73662158788,41828.73662158788,41828.73662158788,41828.73662158788,41828.73662158788,41828.73662158788,41828.73662158788,41828.73662158788,41828.73662158788,41828.73662158788,41828.73662158788,41828.73662158788,41828.73662158788,41828.73662158788,41828.73662158788,41828.73662158788,41828.73662158788,42641.73741309113,45639.98836205957,45639.98836205957,45639.98836205957,45639.98836205957,45639.98836205957,45639.98836205957,45639.98836205957,45639.98836205957,45639.98836205957,45639.98836205957,45639.98836205957,45639.98836205957,45639.98836205957,45639.98836205957,45639.98836205957,45639.98836205957,45639.98836205957,45639.98836205957,45639.98836205957
4,4,12547147.0,1.0024054122115602,0.9976003599120108,35376.71119265042,35376.71119265042,35376.71119265042,35376.71119265042,35376.71119265042,35376.71119265042,35376.71119265042,35376.71119265042,35376.71119265042,35376.71119265042,35376.71119265042,35376.71119265042,35376.71119265042,35376.71119265042,35376.71119265042,35376.71119265042,35376.71119265042,35376.71119265042,35376.71119265042,35376.71119265042,43103.52212873824,52102.80716671852,52102.80716671852,52102.80716671852,52102.80716671852,52102.80716671852,52102.80716671852,52102.80716671852,52102.80716671852,52102.80716671852,52102.80716671852,52102.80716671852,52102.80716671852,52102.80716671852,52102.80716671852,52102.80716671852,52102.80716671852,52102.80716671852,52102.80716671852,52102.80716671852
5,5,12548080.0,1.0011031969086985,0.9988980187935619,34616.98040859174,40609.579040842276,40609.579040842276,40609.579040842276,40609.579040842276,40609.579040842276,40609.579040842276,40609.579040842276,40609.579040842276,40609.579040842276,40609.579040842276,40609.579040842276,40609.579040842276,40609.579040842276,40609.579040842276,40609.579040842276,40609.579040842276,40609.579040842276,40609.579040842276,40609.579040842276,43862.18216620846,46860.43311517691,46860.43311517691,46860.43311517691,46860.43311517691,46860.43311517691,46860.43311517691,46860.43311517691,46860.43311517691,46860.43311517691,46860.43311517691,46860.43311517691,46860.43311517691,46860.43311517691,46860.43311517691,46860.43311517691,46860.43311517691,46860.43311517691,46860.43311517691,46860.43311517691
6,6,12548594.0,0.9986036895756386,1.0013982628333316,39436.52255049727,51427.76097714616,51427.76097714616,51427.76097714616,51427.76097714616,51427.76097714616,51427.76097714616,51427.76097714616,51427.76097714616,51427.76097714616,51427.76097714616,51427.76097714616,51427.76097714616,51427.76097714616,51427.76097714616,51427.76097714616,51427.76097714616,51427.76097714616,51427.76097714616,51427.76097714616,36043.0520016273,36043.0520016273,36043.0520016273,36043.0520016273,36043.0520016273,36043.0520016273,36043.0520016273,36043.0520016273,36043.0520016273,36043.0520016273,36043.0520016273,36043.0520016273,36043.0520016273,36043.0520016273,36043.0520016273,36043.0520016273,36043.0520016273,36043.0520016273,36043.0520016273,36043.0520016273
7,7,12549759.0,1.0049144352651265,0.9951095982974612,25457.310048736475,25457.310048736475,25457.310048736475,25457.310048736475,25457.310048736475,25457.310048736475,25457.310048736475,25457.310048736475,25457.310048736475,25457.310048736475,25457.310048736475,25457.310048736475,25457.310048736475,25457.310048736475,25457.310048736475,25457.310048736475,25457.310048736475,25457.310048736475,25457.310048736475,25457.310048736475,45814.83916575886,60821.176044901134,60821.176044901134,60821.176044901134,60821.176044901134,60821.176044901134,60821.176044901134,60821.176044901134,60821.176044901134,60821.176044901134,60821.176044901134,60821.176044901134,60821.176044901134,60821.176044901134,60821.176044901134,60821.176044901134,60821.176044901134,60821.176044901134,60821.176044901134,60821.176044901134
8,8,12550400.0,1.0002026543627869,0.9997973866976828,35537.36260756319,44528.54564446728,44528.54564446728,44528.54564446728,44528.54564446728,44528.54564446728,44528.54564446728,44528.54564446728,44528.54564446728,44528.54564446728,44528.54564446728,44528.54564446728,44528.54564446728,44528.54564446728,44528.54564446728,44528.54564446728,44528.54564446728,44528.54564446728,44528.54564446728,44528.54564446728,42938.575253304385,42938.575253304385,42938.575253304385,42938.575253304385,42938.575253304385,42938.575253304385,42938.575253304385,42938.575253304385,42938.575253304385,42938.575253304385,42938.575253304385,42938.575253304385,42938.575253304385,42938.575253304385,42938.575253304385,42938.575253304385,42938.575253304385,42938.575253304385,42938.575253304385,42938.575253304385
9,9,12551545.0,0.9988034202995907,1.0011980132187077,38766.03472387709,50757.27315052598,50757.27315052598,50757.27315052598,50757.27315052598,50757.27315052598,50757.27315052598,50757.27315052598,50757.27315052598,50757.27315052598,50757.27315052598,50757.27315052598,50757.27315052598,50757.27315052598,50757.27315052598,50757.27315052598,50757.27315052598,50757.27315052598,50757.27315052598,50757.27315052598,36712.69020981563,36712.69020981563,36712.69020981563,36712.69020981563,36712.69020981563,36712.69020981563,36712.69020981563,36712.69020981563,36712.69020981563,36712.69020981563,36712.69020981563,36712.69020981563,36712.69020981563,36712.69020981563,36712.69020981563,36712.69020981563,36712.69020981563,36712.69020981563,36712.69020981563,36712.69020981563
10,10,12552281.0,1.0002026543627869,0.9997973866976828,35645.92081984418,44637.103856748276,44637.103856748276,44637.103856748276,44637.103856748276,44637.103856748276,44637.103856748276,44637.103856748276,44637.103856748276,44637.103856748276,44637.103856748276,44637.103856748276,44637.103856748276,44637.103856748276,44637.103856748276,44637.103856748276,44637.103856748276,44637.103856748276,44637.103856748276,44637.103856748276,42829.98843713624,42829.98843713624,42829.98843713624,42829.98843713624,42829.98843713624,42829.98843713624,42829.98843713624,42829.98843713624,42829.98843713624,42829.98843713624,42829.98843713624,42829.98843713624,42829.98843713624,42829.98843713624,42829.98843713624,42829.98843713624,42829.98843713624,42829.98843713624,42829.98843713624,42829.98843713624
