,index,blocknum,p0vs1,p1vs0,TUSD-slippagemap_01,TUSD-slippagemap_2,TUSD-slippagemap_3,TUSD-slippagemap_4,TUSD-slippagemap_5,TUSD-slippagemap_6,TUSD-slippagemap_7,TUSD-slippagemap_8,TUSD-slippagemap_9,TUSD-slippagemap_10,TUSD-slippagemap_11,TUSD-slippagemap_12,TUSD-slippagemap_13,TUSD-slippagemap_14,TUSD-slippagemap_15,TUSD-slippagemap_16,TUSD-slippagemap_17,TUSD-slippagemap_18,TUSD-slippagemap_19,TUSD-slippagemap_20,WETH-slippagemap_01,WETH-slippagemap_2,WETH-slippagemap_3,WETH-slippagemap_4,WETH-slippagemap_5,WETH-slippagemap_6,WETH-slippagemap_7,WETH-slippagemap_8,WETH-slippagemap_9,WETH-slippagemap_10,WETH-slippagemap_11,WETH-slippagemap_12,WETH-slippagemap_13,WETH-slippagemap_14,WETH-slippagemap_15,WETH-slippagemap_16,WETH-slippagemap_17,WETH-slippagemap_18,WETH-slippagemap_19,WETH-slippagemap_20
0,0,12496981.0,0.00042462174764142433,2355.0371726237136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,12632756.0,0.00042462174764142433,2355.0371726237136,118.71236654899998,330.34012936753027,540.7019875350652,645.4105731975332,853.8877634067546,853.8877634067546,853.8877634067546,853.8877634067546,853.8877634067546,853.8877634067546,853.8877634067546,853.8877634067546,853.8877634067546,853.8877634067546,853.8877634067546,853.8877634067546,853.8877634067546,853.8877634067546,853.8877634067546,853.8877634067546,0.1745739131898411,0.26369293438117725,0.308052338063767,0.3963729257800352,0.4841652021470044,0.5278642136847339,0.614869945011502,0.7013552302037673,0.7444036805966091,0.8301141283451885,0.9153118804652255,0.9577194540480855,1.042153904049883,1.042153904049883,1.042153904049883,1.042153904049883,1.042153904049883,1.042153904049883,1.042153904049883,1.042153904049883
2,2,12632915.0,0.0004017385632572714,2489.1810034169034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3,14278518.0,0.00036955726630799005,2705.940570430016,171.20293654958934,443.44509813671135,714.0587817098584,848.7579817795157,1116.9471878504082,1383.532152481385,1516.2260495378518,1780.4226327851295,2043.0388658932638,2173.757301322935,2434.02070993813,2692.727289896252,2821.4996764498187,3077.888456532656,3332.743588040502,3459.598905287742,3712.1707417838884,3963.231761427892,4088.1985410505467,4337.010259702061,0.18879252059301938,0.28865986793896203,0.33836930045577995,0.4373419171266816,0.5357225056345118,0.5846918980689253,0.6821910766219694,0.779107043463473,0.8273474104732761,0.9233950886858344,1.0188682357111938,1.0663904358193415,1.1610082193863178,1.2550600278213093,1.3018747483092143,1.3950839270199713,1.4877355552612312,1.5338533295113497,1.6256748765346072,1.716947167372302
4,4,14279366.0,0.0003616246504003438,2765.298214302952,258.264845343199,532.9681175924215,806.0281890510973,941.9450981098803,1212.5587816830275,1481.553718564349,1615.4471878235772,1882.032152454554,2147.0224821969837,2278.9226327582987,2541.538865866433,2802.584192775072,2932.520709911299,3191.227289869421,3448.3863510372553,3576.388456505825,3831.243588013671,4084.574240812386,4210.670741757058,4461.731761401061,0.1561171034538678,0.2550897201247695,0.30435379518638456,0.40243970106701316,0.49993887962005734,0.5484695458546984,0.645095213471364,0.7411428916839223,0.7889510668785332,0.8841382388174294,0.9787560223844058,1.025852462850614,1.1196225513073024,1.2128317300180593,1.2592270305772257,1.3516011325094377,1.443422679532695,1.4891272744844923,1.5801261745995012,1.6705807450222017
5,5,14281766.0,0.00036061356810824455,2773.0515111950317,186.72604535311388,462.2546245769051,736.1350666728684,872.4603192012075,1143.8870200604638,1413.6901119027948,1547.985848714459,1815.371729270568,2081.158179661131,2213.454612347094,2476.8598312287354,2738.689431446214,2869.016322925182,3128.500147445758,3386.4318065730977,3514.8184811873653,3770.4392852512665,4024.5310354110215,4151.0063709624965,4402.821669069633,0.18168664764986428,0.2803628071420324,0.3294793205882476,0.42727142249736383,0.5244785578103462,0.5728638584172088,0.6692000976131501,0.764960078834181,0.8126250506649295,0.90752710276969,1.001861474806262,1.0488168427750448,1.142306055342445,1.2352360425328734,1.281492370214967,1.37358978095498,1.46513628644014,1.5107039823260378,1.6014303100456924,1.6916139349490402
6,6,14290381.0,0.000382911517137758,2611.5693972198683,180.86652677806532,448.2524073341742,714.0388577247371,846.3352904107002,1109.7405092923416,1371.57010950982,1501.8970009887882,1761.380825509364,2019.312484636704,2147.6991592509717,2403.319963314873,2657.4117134746275,2783.8870490261024,3035.702347133239,3286.011349237432,3410.6038108768544,3658.6702495720783,3905.2528217594586,4027.9904339737623,4272.363830584932,0.18735020336113445,0.28903134611747755,0.339643604459303,0.44041376763363543,0.5405811513528924,0.5904399272200412,0.6897098919772078,0.7883860514693759,0.8375025649155912,0.9352946668247074,1.03250180213769,1.0808871027445524,1.1772233419404936,1.2729833231615246,1.320648294992273,1.4155503470970334,1.5098847191336053,1.5568400871023884,1.6503292996697885,1.743259286860217
7,7,14295408.0,0.0003694094803498037,2707.023109025446,180.37434512151452,452.6165067086365,723.2301902817836,857.9293903514409,1126.1185964223334,1392.7035610533103,1525.397458109777,1789.5940413570547,2052.2102744651893,2182.92870989486,2443.192118510055,2701.898698468177,2830.6710850217437,3087.0598651045816,3341.914996612427,3468.7703138596676,3721.342150355814,3972.4031699998172,4097.369949622472,4346.181668273986,0.1854035340386456,0.2852708813845883,0.33498031390140615,0.4339529305723078,0.5323335190801382,0.5813029115145515,0.6788020900675956,0.7757180569090993,0.8239584239189024,0.9200061021314606,1.01547924915682,1.0630014492649678,1.1576192328319441,1.2516710412669354,1.2984857617548407,1.3916949404655976,1.4843465687068575,1.530464342956976,1.6222858899802333,1.7135581808179283
8,8,14296405.0,0.0003445396631674977,2902.423456291158,273.61746063669204,554.9930290986656,834.685478090149,973.9036833036687,1251.0903237145592,1526.6189029383504,1663.764526103977,1936.8245975626528,2208.251298421909,2343.355190194583,2612.3501270759043,2879.7360076320133,3012.8285609661098,3277.818890708539,3541.224109590181,3672.3352743779883,3933.380601286627,4192.864425807204,4322.023698380976,4579.18275954881,0.14928588505054532,0.24591155266721088,0.29400742485334913,0.3897674060743801,0.4849545780132762,0.5323344300098889,0.6266688020464609,0.7204388905031491,0.767113382582644,0.8600433697730726,0.9524174717052845,0.998397108195179,1.089943613680339,1.1809425137953482,1.2262376372858914,1.3164212621892393,1.4060654303344629,1.4506862293798266,1.5395272614764757,1.6278368700119017
9,9,14302084.0,0.0003492222508485949,2863.5059695367163,238.84269248190657,518.53514147339,796.5545500458287,934.9399870978001,1210.4685663215912,1484.3490084175546,1620.6742609458938,1892.1009618051498,2161.9040536474813,2296.1997904591453,2563.5856710152543,2829.3721214058173,2961.66855409178,3225.073772973422,3486.9033731909,3617.230264669868,3876.714089190444,4134.645748317784,4263.032422932051,4518.6532269959525,0.16174874974346568,0.2589558850564481,0.30734118566331065,0.40367742485925195,0.4994374060802829,0.5471023779110313,0.6420044300157918,0.7363388020523638,0.7832941700211468,0.8767833825885468,0.9697133697789754,1.0159696974610688,1.1080671082010818,1.199613613686242,1.2451813095721396,1.3359076372917942,1.426091262195142,1.4709805770723734,1.5603562293857294,1.6491972614823784
