,index,blocknum,p0vs1,p1vs0,UNI-slippagemap_01,UNI-slippagemap_2,UNI-slippagemap_3,UNI-slippagemap_4,UNI-slippagemap_5,UNI-slippagemap_6,UNI-slippagemap_7,UNI-slippagemap_8,UNI-slippagemap_9,UNI-slippagemap_10,UNI-slippagemap_11,UNI-slippagemap_12,UNI-slippagemap_13,UNI-slippagemap_14,UNI-slippagemap_15,UNI-slippagemap_16,UNI-slippagemap_17,UNI-slippagemap_18,UNI-slippagemap_19,UNI-slippagemap_20,DAI-slippagemap_01,DAI-slippagemap_2,DAI-slippagemap_3,DAI-slippagemap_4,DAI-slippagemap_5,DAI-slippagemap_6,DAI-slippagemap_7,DAI-slippagemap_8,DAI-slippagemap_9,DAI-slippagemap_10,DAI-slippagemap_11,DAI-slippagemap_12,DAI-slippagemap_13,DAI-slippagemap_14,DAI-slippagemap_15,DAI-slippagemap_16,DAI-slippagemap_17,DAI-slippagemap_18,DAI-slippagemap_19,DAI-slippagemap_20
0,0,12433134.0,39.4887650467286,0.025323658484043773,6.093225860576291,11.743199336461181,17.36499472327409,22.958752758749043,28.524613104608342,34.0627149819073,39.5731969724851,45.056196581553436,50.5118510975015,55.94029664017455,61.34166912444437,66.71610345460698,72.06373409275236,77.38469452636058,82.67911804773946,87.94713665161518,93.1888823735518,98.404485981513,103.59407794830331,108.75778805836198,252.76302227907254,475.8288799506751,697.7822424487127,918.6286682448352,1138.3736723869586,1357.0227474921355,1574.5813558870025,1791.0549452514633,2006.4489230259871,2220.7686660055256,2434.019542285412,2646.2068794281863,2857.3359803325334,3067.4121212666764,3276.4405560010014,3484.426507735648,3691.3751794125733,3721.6498127669042,3751.7734583872907,3781.7468696889023
1,1,12433981.0,40.508625524003506,0.024686100480191486,5.743438177624449,11.323229877678925,16.87519374228662,22.399468411175352,27.896192001728682,33.36550192011267,38.80753493831604,44.22242714109079,49.61031363477948,54.971329356714854,60.30560828373393,65.61328363662267,70.89448818117926,76.14935394012164,81.37801226218723,86.58059388509989,91.75722867018757,96.90804631358716,102.03317532500436,107.13274404882569,267.0435991252133,492.91514034137936,717.660191185351,941.2843834063655,1163.793299299913,1385.192503837335,1605.4875253342484,1824.6838824100885,2042.7870411387955,2259.802465581081,2475.735568783418,2690.5917579219217,2904.376402756945,3117.0948453982064,3328.752404318631,3539.3543663134124,3748.9059966138166,3957.412543166224,4164.879203923648,4283.380440141557
2,2,12436856.0,41.99342789957012,0.023813250073120056,5.662779445454562,11.143038320546223,16.595965864161915,22.02169796280618,27.42037054600719,32.7921185234716,38.137076116422826,43.45537692705815,48.74715400162664,54.01253943490921,59.251665012560224,64.46466158900952,69.6516596011994,74.81278857812434,79.94817763789302,85.05795511377782,90.1422488238664,93.04630610654492,93.78638073751962,94.52276441009306,270.97845335543053,500.9522848610717,729.7791723384048,957.464840678392,1184.0149731681383,1409.4352431729662,1633.7312781041376,1856.9086913483893,2078.9730573652355,2299.929926722616,2519.784824087146,2738.543240300966,2956.2106537296568,3172.792504847475,3388.2941939010884,3602.7211264254433,3816.07864581524,4028.372096925327,4239.606782207894,4449.787983731304
3,3,12438206.0,38.55236327083307,0.025938747074334446,6.184397197658669,11.90257522244301,17.59223527927668,23.253519245347412,28.88656903638887,34.49152513605179,40.068527808354126,45.61771648223619,51.13922984161793,56.63320590761726,62.099782113351836,67.53909487281238,72.95128041640224,78.33647385811042,83.69480977503069,89.02642238392694,94.33144465989591,99.61000947040093,104.86224858831761,110.08829333983859,249.06897426121554,469.4741694623665,688.7801402672919,906.9923744430271,1124.1163287529998,1340.157420848095,1555.1210627413725,1769.01261727709,1981.8374437902946,2193.6008481578474,2404.308134942205,2613.964563148297,2822.575380666572,3030.1457979216093,3166.3188359007004,3196.5329839343535,3226.5964450082597,3256.5099720257913,3286.2743127535778,3315.890209502203
4,4,12439117.0,39.19372185570273,0.02551429036725939,5.831477110450927,11.504094459792551,17.148420954416565,22.764597654396173,28.352765000361682,33.91306262349107,39.445629434465985,44.950603963205786,50.42812364909191,55.87832544812181,61.30134552162944,66.6973195607714,72.06638248237226,77.40866838736208,82.72431087225549,88.01344273965053,93.2761962986843,98.51270308238911,103.72309402805027,108.90749931760412,262.96808227778655,485.14349866330554,706.2108719148184,926.1757131498186,1145.0435347420146,1362.8198076889887,1579.5099651050934,1795.119429661233,2009.6535939939758,2223.1178185802833,2435.5174356113716,2646.8577590771743,2857.1440707494444,3066.3816303015437,3274.5756610839258,3481.73137267375,3547.270185560195,3577.42396860166,3607.4273660015515,3637.281129197573
5,5,12440717.0,37.40928393128069,0.02673133230341855,6.355514147565031,12.160107006109458,17.935750894731704,23.682589957119703,29.400767981904046,35.09042803873771,40.75171200480845,46.384761795849904,51.989717895512825,57.56672056781516,63.115909241697224,68.63742260107897,74.13139866707829,79.59797487281287,85.03728763227343,90.44947317586328,95.83466661757146,101.19300253449173,106.52461514338799,111.82963741935694,242.45571294766955,459.57966725764226,675.6207593527375,890.5844012460151,1104.4759557817324,1317.3007822949373,1529.06418666249,1739.7714734468477,1949.4279016529397,2158.038719171215,2365.609136426252,2501.782174405343,2531.9963224389962,2562.0597835129024,2591.9733105304335,2621.7376512582205,2651.353548006846,2680.8217429556116,2710.142971335741,2739.3179677272165
6,6,12441611.0,37.73614815633247,0.02649978995888034,5.9179424529305145,11.699364510865868,17.451953042425558,23.175851938240367,28.871204096367364,34.5381519552589,40.17683728502204,45.78740085936354,51.36998310038318,56.924723470931156,62.451760835880876,67.95123327609062,73.4232784264044,78.86803303290513,84.28563316488633,89.6762141655074,95.03991096540746,100.37685754350241,105.68718724730157,110.97103297096467,258.97707097756637,476.97121380929093,693.8781639823525,909.70333580952,1124.4521316402365,1338.1299101471866,1550.742026135503,1762.2937866063542,1972.790478700704,2182.2373678582876,2390.6396897747495,2598.0026483234446,2698.840917196827,2729.0248674741974,2759.0582818432945,2788.941912020745,2818.6765035860367,2848.2628012656546,2877.701544009295,2906.9934674989804
7,7,12443599.0,37.792792018697625,0.026460072055678224,6.1657798124965355,11.941423701118781,17.68826276350678,23.406440788291125,29.09610084512479,34.75738481119553,40.39043460223699,45.99539070189991,51.57239337420224,57.121582048084306,62.64309540746604,68.13707147346537,73.60364767919995,79.0429604386605,84.45514598225036,89.84033942395854,95.19867534087881,100.53028794977506,105.83531022574402,111.11387503624903,249.64331376537316,467.85554794110834,684.979502251081,901.0205943461763,1115.9842362394538,1329.8757907751713,1542.700617288376,1754.464021655929,1965.1713084402863,2174.8277366463785,2383.4385541646534,2591.0089714196906,2727.1820093987817,2757.396157432435,2787.459618506341,2817.3731455238726,2847.137486251659,2876.7533830002844,2906.2215779490502,2935.5428063291797
8,8,12444124.0,37.87602352071687,0.026401926787616305,6.063497440358948,11.833368703110263,17.574464178873953,23.286927246726954,28.97090057187511,34.62652647499396,40.253946163357945,45.85330052592027,51.42472924997604,56.96837186384405,62.48436673663343,67.97285183119872,73.43396438124965,78.86784084484545,84.27461710695093,89.65442830192622,95.00740900793835,100.33369283844583,105.63341310788913,110.90670218847838,253.53357707408213,471.964122510303,689.3052967274891,905.5625324646702,1120.7412275722224,1334.8467727455181,1547.8845198458987,1759.8597856198667,1970.7778677261606,2180.644049029377,2389.463571294582,2597.2416513578514,2768.784815978643,2799.0291911654986,2829.122730315617,2859.0661838315054,2888.860301629163,2918.505828255135,2948.00350444384,2977.3540677791466
9,9,12444877.0,38.57164330809035,0.025925781590701667,5.901613877283989,11.61979190206833,17.309451958902,22.970735924972733,28.60378571601419,34.208741815677115,39.78574448797945,45.334933161861514,50.85644652124325,56.350422587242576,61.81699879297716,67.25631155243771,72.66849709602756,78.05369053773575,83.41202645465602,88.74363906355227,94.04866133952123,99.32722615002623,104.57946526794294,109.8055100194639,259.9740579369808,480.37925313813173,699.6852239430572,917.8974581187923,1135.021412428765,1351.0625045238603,1566.0261464171379,1779.917700952855,1992.74252746606,2204.505931833613,2415.21321861797,2624.8696468240623,2833.4804643423377,3041.0508815973744,3177.223919576466,3207.4380676101187,3237.5015286840253,3267.4150557015564,3297.179396429343,3326.7952931779682
