,index,blocknum,p0vs1,p1vs0,UNI-slippagemap_01,UNI-slippagemap_2,UNI-slippagemap_3,UNI-slippagemap_4,UNI-slippagemap_5,UNI-slippagemap_6,UNI-slippagemap_7,UNI-slippagemap_8,UNI-slippagemap_9,UNI-slippagemap_10,UNI-slippagemap_11,UNI-slippagemap_12,UNI-slippagemap_13,UNI-slippagemap_14,UNI-slippagemap_15,UNI-slippagemap_16,UNI-slippagemap_17,UNI-slippagemap_18,UNI-slippagemap_19,UNI-slippagemap_20,USDC-slippagemap_01,USDC-slippagemap_2,USDC-slippagemap_3,USDC-slippagemap_4,USDC-slippagemap_5,USDC-slippagemap_6,USDC-slippagemap_7,USDC-slippagemap_8,USDC-slippagemap_9,USDC-slippagemap_10,USDC-slippagemap_11,USDC-slippagemap_12,USDC-slippagemap_13,USDC-slippagemap_14,USDC-slippagemap_15,USDC-slippagemap_16,USDC-slippagemap_17,USDC-slippagemap_18,USDC-slippagemap_19,USDC-slippagemap_20
0,0,16727943.0,6.573250737292493,0.15213172902817,3806.239963917676,7579.072114125525,11333.088189806624,15068.382062362009,18785.046718670477,22483.175315369404,26162.86057831936,29824.194253454672,33467.268122128335,37092.172438719856,40698.99891878511,44287.83670158209,47858.77627982523,51411.90652299762,54947.31657803019,58465.09396484444,61965.32776870202,65448.10492958479,68913.5120746477,72361.63676405052,25328.529372863508,50128.29990993044,74804.38966413317,99357.41185165537,123787.981907595,148096.70955115612,172284.20242391666,196351.06588337378,220297.90279184995,244125.30930414435,267833.8825802139,291424.2166226889,314896.89798937767,338252.51361132856,361491.64655574446,384614.8840175365,407622.79657971,426860.7418607552,426860.7418607552,426860.7418607552
1,1,16728530.0,6.602235310633988,0.15146385321791472,3786.62051812562,7551.162431847968,11296.929218873469,15024.014577039648,18732.51237197977,22422.514456130706,26094.11385224571,29747.401543531665,33382.46956790446,36999.40889650937,40598.30895784325,44179.260565004726,47742.352912725,51287.67549290881,54815.316173043684,58325.36396250327,61817.90574843418,65293.0294572883,68750.82175529351,72191.36935392069,25458.62336848249,50313.01108351876,75043.44582608278,99650.54285438941,124134.91586055368,148497.17677557888,172737.93949850244,196857.8079460644,220857.3835831442,244737.26520862593,268498.05274405767,292140.33502635744,315664.7096190736,339071.76253963786,362362.08008536807,385536.2363639884,408594.82174966665,431538.4057891584,437942.0792029922,437942.0792029922
2,2,16729119.0,6.5719362843162665,0.1521621568952929,3806.6279381697095,7579.837594083441,11334.228961142273,15069.896553012522,18786.93288887654,22485.431215189656,26165.484864532977,29827.18461555524,33470.622351392165,37095.88941939478,40703.0766034631,44292.27313263653,47863.57006204417,51417.05538453947,54952.8188091633,58470.94838594867,61971.531907405326,65454.65730548321,68920.4112723798,72368.88057359181,25325.945088339355,50123.238558347686,74796.8602361211,99347.42760099145,123775.55263745194,148081.85329497626,172266.92591945748,196331.38412877975,220275.82727723313,244100.85193422195,267807.05166262493,291395.0248670526,314865.3585349283,338218.64003239304,361455.4528669083,384576.37644197023,407581.98994596564,426360.9477435702,426360.9477435702,426360.9477435702
3,3,16729650.0,6.44503121739992,0.1551582864797083,3850.094810554943,7660.271264051033,11451.445455823881,15223.711705418214,18977.164637465583,22711.898546487322,26428.00574323235,30125.579802363995,33804.71332099873,37465.49792220793,41108.02526972109,44732.38600356398,48338.67121940421,51926.97092074526,55497.374984221104,59049.97216654913,62584.851968213094,66102.10178602897,69601.81058664163,73084.06519742998,25040.443611644703,49597.14858365778,74031.38283804701,98343.75936120783,122534.88125907173,146605.3571798168,170555.7853952841,194386.76537530104,218098.89365001224,241692.76358461383,265168.965148922,288528.08468218485,311770.70465265115,334897.41164787614,357908.7756382266,377835.285781794,377835.285781794,377835.285781794,377835.285781794,377835.285781794
4,4,16730173.0,6.478630983454179,0.1543535976279413,3849.1355850120144,7649.418717287926,11430.749052937981,15193.220972377272,18936.928022537566,22661.964530578112,26368.422817942523,30056.396424636237,33725.97685424992,37377.256199271265,41010.32552823729,44625.275881472815,48222.19772075626,51801.18042660249,55362.313728295114,58905.68668373986,62431.3881215407,65939.50569073862,69430.1272167106,72903.34018697681,25047.08018787338,49667.71352344409,74165.55453603185,98541.2205820432,122795.31933157491,146928.45626146274,170941.2304807113,194834.25036059498,218608.1095808164,242263.39868472656,265800.7169883694,289220.64418707695,312523.7724051539,335710.6817179171,358781.9520829433,381738.1590418911,390660.0122297603,390660.0122297603,390660.0122297603,390660.0122297603
5,5,16730829.0,6.572593477944698,0.15214694220107278,3815.5350776296764,7588.555430717734,11342.759724339245,15078.240194890466,18795.090437140014,22493.404181021964,26173.27365088098,29834.79063384265,33478.04594006552,37103.13189773446,40710.13874221387,44299.15615184253,47870.274175891056,51423.58173581389,54959.16849031144,58477.12198639295,61977.53088712717,65460.481735400506,68926.06252540555,72374.35953369875,25267.416405618766,50065.94849752973,74740.80430212505,99292.60110643422,123721.946802155,148029.4590827153,172215.74584811708,196281.4048030408,220227.04690941435,244053.26059512582,267760.6471871779,291349.8009005621,314821.3085079233,338175.75715777837,361413.73013752763,384535.8066278773,407542.56973096257,426551.01872882555,426551.01872882555,426551.01872882555
6,6,16731363.0,6.703350762396007,0.14917912480572115,3791.292154890317,7527.333355931607,11244.741263848378,14943.609743727662,18624.0311487643,22286.097389288076,25929.89939296222,29555.529103041437,33163.07688434544,36752.632538983926,40324.2862349112,43878.12700667084,47414.244159424234,50932.72536360073,54433.65895259493,57917.13248542163,61383.23317445752,64832.0474186527,68263.66164477021,71678.160994683,25429.337958557357,50473.33069676867,75392.42463779806,100187.23647359999,124858.38932752809,149406.5011212585,173832.188185572,198136.05330896948,222318.71280831337,246380.76505332105,270322.8097487739,294145.45181389904,317849.2852911127,341434.9009957379,364902.88628471474,388253.83297688636,411488.3209214267,434606.9299056571,457610.2436468269,475930.26327506424
7,7,16731971.0,6.749761495061039,0.14815338300941802,3758.7356160889262,7481.909962833823,11186.51547525351,14872.64580277854,18540.392032363903,22189.84636465133,25821.09946446591,29434.242971534997,33029.366934869606,36606.56034131699,40165.913956531505,43707.51548707223,47231.4547699311,50737.81859668426,54226.6957540639,57698.17244249682,61152.336277968454,64589.27315559576,68009.06898424828,71411.80962350233,25648.84418135996,50779.383075358804,75784.5870737512,100665.08827473041,125421.49867633749,150054.44430685215,174564.53822376227,198952.39564972674,223218.6220983459,247363.82875149164,271388.6126288074,295293.5799804906,319079.33035264636,342746.45224205253,366295.53884335747,389727.17988927895,413041.9614138572,436240.4655103462,459323.2700841941,482290.95689342695
8,8,16732714.0,6.793775635105154,0.14719355682468338,3759.51919481406,7470.613624413693,11163.19944612017,14837.369734016116,18493.215524809126,22130.82891824953,25750.300950851346,29351.721118663358,32935.179829549976,36500.76732408481,40048.572221618044,43578.68295315864,47091.18861715611,50586.17574300052,54063.73281052844,57523.946580268785,60966.90300817225,64392.68850278623,67801.38858803896,71193.08872095714,25644.152047513853,50856.495598892754,75943.09381275279,100904.58346396848,125741.58148974074,150454.71130557082,175044.5873203071,199511.83012140676,223857.0469157644,248080.8467625375,272183.8365148154,296166.61663939606,320029.78888457356,343773.95214950596,367399.69419887697,390907.60743633175,414298.2807294125,437572.29917082307,460730.24383491697,483772.6956616604
9,9,16733413.0,6.78970079603661,0.14728189504075578,3731.111864420133,7443.319541959129,11137.013365080014,14812.286120646839,18469.22908815836,22107.933593830614,25728.491437310775,29330.99185867879,32915.52599217859,36482.183343232544,40031.05277568291,43562.22249439651,47075.78184286047,50571.81802935675,54050.41841836392,57511.67002292108,60955.65946706092,64382.472951212556,67792.19580612508,71184.9133106938,25837.007785183458,51041.787594375666,76120.8638121021,101074.8669725615,125904.41530179998,150610.12966825257,175192.6334924303,199652.53708019113,223990.44887509098,248206.98705450093,272302.7440498443,296278.33340906276,320134.3502565345,343871.3867238938,367490.04382047884,390990.90719239146,414374.56694824086,437641.60125074885,460792.6005490353,483828.138801349
10,10,16734043.0,6.778168686349634,0.14753247466588906,3770.9165617974795,7486.2808116287015,11183.115807912087,14861.513456508155,18521.56575269564,22163.364708175544,25787.00079109371,29392.56493220279,32980.1469777304,36549.837129209336,40101.723978922266,43635.89640818453,47152.44350211598,50651.45223130691,54133.01062993236,57597.205482445184,61044.12320741829,64473.85066495805,67886.47298456746,71282.07567512298,25566.746334911128,50750.111392686376,75807.88338632387,100740.68139351688,125549.13494804334,150233.8609977671,174795.4789388061,199234.59883064125,223551.83667024825,247747.79864314548,271823.0886326417,295778.3040333749,319614.0514170862,343330.9265347105,366929.51389159594,390410.41064914194,413774.20233779604,437021.47470383666,460152.80121564347,483168.7674333329
11,11,16734550.0,6.791058804092824,0.14725244307961546,3733.675930010304,7445.512637026929,11138.837411112649,14813.742435681712,18470.31944345483,22108.660186234356,25728.85587094271,29330.99664435491,32915.17208618235,36481.472607916985,40029.98699168995,43560.80428422945,47074.01190046375,50569.69835769331,54047.95093240294,57508.85655335545,60952.50176395377,64378.97268751293,67788.35458123201,71180.73306159073,25819.642996847862,51026.94481435403,76108.52786041553,101065.02600285603,125897.05703791163,150605.24139839836,175190.20206326272,199652.55278551718,223992.90161580866,248211.8584683142,272310.02711000596,296288.01279531955,320146.4141676986,343885.8269521324,367506.8437305722,391010.05776413885,414396.0547159325,437665.4164029274,460818.73289061326,483856.5736166412
12,12,16735050.0,6.838760592157637,0.1462253264351368,3718.4588520842226,7417.327331963506,11097.748737000145,14759.814977523922,18403.61698119806,22029.246691277283,25636.79447258129,29226.35012721977,32798.00382314704,36351.84459490668,39887.961747660076,43406.44295183657,46907.37654083078,50390.85007365747,53856.95076269336,57305.76500688854,60737.37923300606,64151.87858291885,67549.34940460767,70929.87587169211,25925.02396211204,51220.702285097825,76390.21914644304,101434.21188465436,126353.30582568374,151148.11766148565,175819.27051541375,200367.3823091442,224793.0693734577,249096.93449685516,273279.593996199,297341.64624120673,321283.6909366596,345106.3330017847,368810.16647899844,392395.7821836236,415863.7674726004,439214.7141647721,462449.20210931235,485567.8110935427
13,13,16735636.0,6.781558448577462,0.14745873055326475,3736.275232072465,7450.71070975772,11146.621788221242,14824.099640408973,18483.23761638865,22124.12597327137,25746.85650660411,29351.519435241436,32938.20489699142,36507.00241435164,40058.00134238121,43591.29081605185,47106.95879309524,50605.09297064665,54085.78074099083,57549.11001871332,60995.16614478691,64424.03622520383,67835.8056192615,71230.5592310371,25801.67889701024,50991.34098324689,76055.37564692117,100994.40845461155,125809.06405173593,150499.96212418165,175067.72099216748,199512.95352345202,223836.27075542204,248038.28169409608,272119.58915397926,296080.7973975464,319922.5040302372,343645.3036951376,367249.7959162862,390736.56074243033,414106.1947822926,437359.2787092278,460496.3890587852,483518.11038781446
14,14,16736214.0,6.732235784740533,0.14853906368915762,3751.29805395215,7479.315178397051,11188.740280626276,14879.664883226693,18552.18222032844,22206.38347603449,25842.360379007594,29460.20361187543,33060.00379648523,36641.8509523821,40205.834002200085,43752.04265155899,47280.56543057339,50791.490619440054,54284.90575712185,57760.89850971327,61219.5553004502,64660.96304131902,68085.20735609533,71492.37385207001,25698.516345063115,50796.405670204826,75769.1314532617,100617.3048397894,125341.5587555735,149942.5018451079,174420.75660739213,198776.93221951876,223011.63583378136,247125.47237277936,271119.04828893475,294992.95948283334,318747.8069210448,342384.1845251849,365902.6788432372,389303.88092290546,412588.3740063068,435756.7414054619,458809.56222544255,481747.411111289
15,15,16736813.0,6.792417083764231,0.14722299700798389,3732.6321509164122,7444.097238314365,11137.052859222242,14811.590570050348,18467.802022550994,22105.778891014208,25725.612804023545,29327.39332756177,32911.210455562905,36477.15451405992,40025.31420379695,43555.77803365724,47068.63427088348,50563.97134096274,54041.87643268636,57502.43595780677,60945.73639871991,64371.86466117154,67780.90590974737,71172.94485629935,25826.780702070275,51036.59998931991,76120.69287954048,101079.68524077594,125914.2020517423,150624.8595134917,175212.27629063284,199677.0734172751,224019.85463910384,248241.23334509227,272341.8128991085,296322.1981471624,320182.9833284171,343924.7717119835,367548.15148527897,391053.7154807061,414442.04892781225,437713.74138927436,460869.3702705932,483909.5127661169
