,index,blocknum,p0vs1,p1vs0,UNI-slippagemap_01,UNI-slippagemap_2,UNI-slippagemap_3,UNI-slippagemap_4,UNI-slippagemap_5,UNI-slippagemap_6,UNI-slippagemap_7,UNI-slippagemap_8,UNI-slippagemap_9,UNI-slippagemap_10,UNI-slippagemap_11,USDC-slippagemap_01,USDC-slippagemap_2,USDC-slippagemap_3,USDC-slippagemap_4,USDC-slippagemap_5,USDC-slippagemap_6,USDC-slippagemap_7,USDC-slippagemap_8,USDC-slippagemap_9,USDC-slippagemap_10
0,0,12422584.0,40.18195346867627,0.024886794037516053,233.3480003981681,479.3800011891141,772.7361735402305,1063.1735475341043,1301.9345632698446,1538.319983481863,1772.3534483104272,1772.3534483104272,1772.3534483104272,1772.3534483104272,1772.3534483104272,10582.081460736514,10582.081460736514,10582.081460736514,10582.081460736514,10582.081460736514,10582.081460736514,10582.081460736514,10582.081460736514,10582.081460736514,10582.081460736514
1,1,12427862.0,40.15383734882073,0.024904220020440182,241.81826829446888,487.8502690854149,781.2064414365313,1071.643815430405,1310.4048311661454,1546.7902513781635,1780.823716206728,1780.823716206728,1780.823716206728,1780.823716206728,1780.823716206728,10241.840205684482,10241.840205684482,10241.840205684482,10241.840205684482,10241.840205684482,10241.840205684482,10241.840205684482,10241.840205684482,10241.840205684482,10241.840205684482
2,2,12430796.0,40.145807785805495,0.02490920111348647,244.2467694197321,490.27877021067815,783.6349425617946,1074.0723165556683,1312.8333322914086,1549.218752503427,1783.2522173319912,1783.2522173319912,1783.2522173319912,1783.2522173319912,1783.2522173319912,10144.33258730321,10144.33258730321,10144.33258730321,10144.33258730321,10144.33258730321,10144.33258730321,10144.33258730321,10144.33258730321,10144.33258730321,10144.33258730321
3,3,12436164.0,40.47229298497258,0.024708261535151994,143.5198409979607,389.55184178890676,682.9080141400232,973.345388133897,1212.1064038696372,1448.4918240816555,1682.5252889102198,1682.5252889102198,1682.5252889102198,1682.5252889102198,1682.5252889102198,14204.639956521327,14204.639956521327,14204.639956521327,14204.639956521327,14204.639956521327,14204.639956521327,14204.639956521327,14204.639956521327,14204.639956521327,14204.639956521327
4,4,12437481.0,40.98954282842377,0.02439646629350939,231.70531664045075,525.0614889915672,815.4988629854411,1054.2598787211814,1290.6452989331995,1524.678763761764,1524.678763761764,1524.678763761764,1524.678763761764,1524.678763761764,1524.678763761764,20634.01449660632,20634.01449660632,20634.01449660632,20634.01449660632,20634.01449660632,20634.01449660632,20634.01449660632,20634.01449660632,20634.01449660632,20634.01449660632
5,5,12437991.0,40.262393767152105,0.02483707267340487,207.8058593483587,453.8378601393047,747.1940324904211,1037.631406484295,1276.3924222200353,1512.7778424320534,1746.811307260618,1746.811307260618,1746.811307260618,1746.811307260618,1746.811307260618,11609.480383392836,11609.480383392836,11609.480383392836,11609.480383392836,11609.480383392836,11609.480383392836,11609.480383392836,11609.480383392836,11609.480383392836,11609.480383392836
6,6,12438583.0,40.161868517828864,0.024899239923463094,239.64860149202528,485.6806022829713,779.0367746340878,1069.4741486279615,1308.2351643637019,1544.62058457572,1778.6540494042845,1778.6540494042845,1778.6540494042845,1778.6540494042845,1778.6540494042845,10328.97131824978,10328.97131824978,10328.97131824978,10328.97131824978,10328.97131824978,10328.97131824978,10328.97131824978,10328.97131824978,10328.97131824978,10328.97131824978
7,7,12439473.0,40.15383734882073,0.024904220020440182,241.52847485557828,487.5604756465243,780.9166479976408,1071.3540219915146,1310.115037727255,1546.500457939273,1780.5339227678376,1780.5339227678376,1780.5339227678376,1780.5339227678376,1780.5339227678376,10253.477072552092,10253.477072552092,10253.477072552092,10253.477072552092,10253.477072552092,10253.477072552092,10253.477072552092,10253.477072552092,10253.477072552092,10253.477072552092
8,8,12440595.0,40.13376645181682,0.02491667462112146,247.68449285524136,493.71649364618736,787.0726659973038,1077.5100399911776,1316.271055726918,1552.656475938936,1786.6899407675005,1786.6899407675005,1786.6899407675005,1786.6899407675005,1786.6899407675005,10006.335742929561,10006.335742929561,10006.335742929561,10006.335742929561,10006.335742929561,10006.335742929561,10006.335742929561,10006.335742929561,10006.335742929561,10006.335742929561
9,9,12447623.0,40.13376645181682,0.02491667462112146,247.88371072284744,493.9157115137935,787.2718838649099,1077.7092578587838,1316.470273594524,1552.8556938065421,1786.8891586351067,1786.8891586351067,1786.8891586351067,1786.8891586351067,1786.8891586351067,9998.339918285496,9998.339918285496,9998.339918285496,9998.339918285496,9998.339918285496,9998.339918285496,9998.339918285496,9998.339918285496,9998.339918285496,9998.339918285496
