,index,blocknum,p0vs1,p1vs0,UNI-slippagemap_01,UNI-slippagemap_2,UNI-slippagemap_3,UNI-slippagemap_4,UNI-slippagemap_5,UNI-slippagemap_6,UNI-slippagemap_7,UNI-slippagemap_8,UNI-slippagemap_9,UNI-slippagemap_10,UNI-slippagemap_11,WETH-slippagemap_01,WETH-slippagemap_2,WETH-slippagemap_3,WETH-slippagemap_4,WETH-slippagemap_5,WETH-slippagemap_6,WETH-slippagemap_7,WETH-slippagemap_8,WETH-slippagemap_9,WETH-slippagemap_10
0,0,12425602.0,0.010220386925584378,97.84365379521307,105.330282479833,693.9833802953303,1279.4465762400387,1742.2836903971545,2219.7720559847016,2776.3864335195676,3515.8951211618323,4275.238828630472,5204.143558904146,5971.07912733671,6838.711984226115,16.555530297840754,20.901590411648794,25.122900784826903,29.301238285971806,33.33823046530209,35.467341706580285,37.55338221527543,39.61405239524307,41.64464648886645,43.64684251439272
1,1,12426401.0,0.010198947704045,98.04933107004662,164.7302824766359,753.3833802921332,1338.8465762368417,1801.6836903939575,2279.1720559815044,2835.7864335163704,3575.295121158635,4334.638828627275,5263.5435589009485,6030.479127333513,6898.111984222918,15.949045308174046,20.295105421982086,24.516415795160196,28.694753296305098,32.731745475635385,34.860856716913574,36.946897225608716,39.00756740557637,41.03816149919974,43.04035752472601
2,2,12428510.0,0.00998901099868202,100.1100109041769,188.0421955938386,782.8556952945754,1376.7854411587687,1967.4727840211765,2435.48206662468,2918.0911394348745,3479.775274562403,4224.303277632177,4988.616359810593,5922.441021391097,6694.247569111613,14.120020289643064,18.39333240889367,22.623154256284455,26.711118529051,28.890694708550164,31.02669804588512,33.13683394071229,35.21640158140171,37.267083883717866,37.759966137774086
3,3,12429219.0,0.00998901099868202,100.1100109041769,190.1549561027482,791.4857413525286,1391.8679280911088,1988.9435118963438,2456.952794499847,2939.5618673100416,3501.24600243757,4245.774005507345,5010.087087685761,5943.9117492662635,6715.718296986781,14.293474444034409,18.630375832230204,22.923154256796934,27.073448708894365,29.25302488839353,31.389028225728485,33.499164120555655,35.57873176124508,37.62941406356123,38.122296317617455
4,4,12432030.0,0.00998901099868202,100.1100109041769,195.69150635135597,814.101027584056,1431.392022953129,2045.2081776044313,2523.6626607235517,3016.613008044957,3588.5355248435067,4343.200041569963,5117.5487820644,6061.309250948083,6842.9527473096705,14.685776895795955,19.127695873909715,23.524446998810532,27.77767965606528,30.059169840143014,32.29607317114209,34.5061051377449,36.68457491674793,38.833175314457826,39.32605756851405
5,5,12432557.0,0.009982021487067156,100.1801089384163,217.39671471042766,835.8062359431277,1453.0972313122006,2066.913385963503,2452.427514525399,2853.3622305328313,3334.1846462682965,3998.6554733841426,4683.707925050845,5539.060569480691,6320.704065842278,14.469027804199106,18.910946782312866,23.307697907213683,27.560930564468432,29.842420748546164,32.07932407954524,34.28935604614805,36.46782582515108,38.61642622286098,39.10930847691721
6,6,12433116.0,0.009947147221111112,100.53133604755259,338.93693023726456,985.4591634859846,1630.5831593791263,2271.9553842015434,2654.8025950969095,3053.0969283134937,3560.661049091869,4251.607511428235,4962.87217350296,5844.176226739617,6651.512922235039,14.096873270705181,18.813088471028774,23.481406663283483,28.00350438226522,30.551184510979972,33.051629283985896,35.52258054156715,37.959373549365345,40.363726946867644,41.10981753990107
7,7,12436165.0,0.010020023426611128,99.80016587029178,105.95531537113551,752.4775486198555,1397.6015445129972,2038.973769335414,2421.82098023078,2820.1153134473648,3327.67943422574,4018.6258965621055,4729.890558636831,5611.194611873488,6418.531307368909,16.422986027705292,21.13920122802888,25.807519420283594,30.32961713926533,32.87729726798008,35.37774204098601,37.848693298567255,40.285486306365456,42.689839703867754,43.435930296901184
8,8,12437997.0,0.010209151242499598,97.95133564454483,152.52367098559077,811.7845636754244,1467.1530272359025,1863.8572190909445,2275.8706612692363,2797.017389644384,3501.4113177836434,4225.98964731693,5120.474902045442,5940.861649554399,6861.413866268319,18.224318229744803,23.070256800180214,27.786472000503807,32.454790192758516,36.976887911740256,39.52456804045501,42.02501281346093,44.49596407104218,46.93275707884038,49.33711047634268
9,9,12438592.0,0.010190792216279401,98.12779799420679,211.68320273559115,869.912644440117,1524.2599196560393,1919.9530836405522,2330.9655573135487,2851.1212765450196,3554.5340557057048,4278.140998405255,5171.66453123243,5991.099125719317,6910.708662977822,17.589437702856973,22.42510909452064,27.131159271191112,31.789413578348093,36.30154754467609,38.83936305673058,41.3300413627761,43.79132332654432,46.228116334342516,48.632469731844814
