,index,blocknum,p0vs1,p1vs0,UNI-slippagemap_01,UNI-slippagemap_2,UNI-slippagemap_3,UNI-slippagemap_4,UNI-slippagemap_5,UNI-slippagemap_6,UNI-slippagemap_7,UNI-slippagemap_8,UNI-slippagemap_9,UNI-slippagemap_10,UNI-slippagemap_11,UNI-slippagemap_12,UNI-slippagemap_13,UNI-slippagemap_14,UNI-slippagemap_15,UNI-slippagemap_16,UNI-slippagemap_17,UNI-slippagemap_18,UNI-slippagemap_19,UNI-slippagemap_20,WETH-slippagemap_01,WETH-slippagemap_2,WETH-slippagemap_3,WETH-slippagemap_4,WETH-slippagemap_5,WETH-slippagemap_6,WETH-slippagemap_7,WETH-slippagemap_8,WETH-slippagemap_9,WETH-slippagemap_10,WETH-slippagemap_11,WETH-slippagemap_12,WETH-slippagemap_13,WETH-slippagemap_14,WETH-slippagemap_15,WETH-slippagemap_16,WETH-slippagemap_17,WETH-slippagemap_18,WETH-slippagemap_19,WETH-slippagemap_20
0,0,12426136.0,0.010118697435537184,98.82694945378725,48.63038768317646,80.05028627915601,111.31348386752586,142.42076506578977,173.3729033577854,204.17067563371984,234.83820722764747,265.38773362673635,301.0990653083606,341.0140234048442,409.47584879133984,468.0221668824419,576.7946607470298,763.7181920328745,911.3983401169135,947.0330473790651,1114.5284414348541,1705.1789687331343,1889.2417995860928,1926.0125034674181,1.4809180781058484,2.7128019374201195,4.111994595462246,5.683109819061934,6.7639264175306115,7.358094248290524,7.879032596494542,8.081335512841376,8.28262949169608,8.482919560776173,8.682210727742326,8.880507978423086,9.077816263908737,9.274140520712866,9.469485655710299,9.663856548648452,9.857258063804098,10.049695032439347,10.241172264458138,10.431532012742393
1,1,12426637.0,0.010081329297086295,99.19326812278813,84.01242412866952,115.41054560168963,146.65207253034214,177.7377924742751,208.66847884492535,239.44490571001353,270.0678415367611,300.59635288350944,333.2523835356896,371.95690674283173,428.990009784148,494.3004524694879,565.2624908912206,670.010945798212,939.1402241979513,979.8312117273434,1099.0765637834515,1407.3934785467338,1912.2130246668648,1960.7098101874635,1.4899674892111097,2.7126234322356146,4.251686497624229,5.818818215512307,6.510568196114325,7.102712766872598,7.467025100407559,7.668095986795441,7.868164079917461,8.067234379128175,8.265311860913732,8.462401474850752,8.658508150526801,8.853636786887732,9.047792265873094,9.240979437267459,9.433203132467257,9.62446815598339,9.81477928810662,10.00387066456281
2,2,12427879.0,0.009936211921441167,100.6419758260307,134.33385689943788,253.2227938156876,284.6837691279764,315.98784141270596,347.13579107014857,378.12839955938585,408.9664372155718,439.650677710823,470.2169027926287,500.6539672807332,537.768318820183,578.1658594104138,651.9322803384075,710.838466668345,833.1663949728242,1094.0297963238604,1147.9197997628921,1183.4083837700998,1369.6289797689885,2076.4440562839727,1.4818240178550255,3.0536639577575198,4.328042147880672,4.921965737304686,5.512927264544297,5.721758494843705,5.922427663189901,6.122096039080628,6.320768613791666,6.518450357213047,6.715146205014754,6.910861078711714,7.105599868455533,7.299367442204505,7.492168646181208,7.684008296307026,7.8748911921355305,8.064713689873985,8.253427280567376,8.44119970366355
3,3,12429060.0,0.009930252280336505,100.70237610983567,128.90826382893408,257.48917748882553,288.9658858634758,320.28561398306624,351.4491426677986,382.45724796421285,413.3107067112487,444.0102930736587,474.5859581393879,505.0382459371487,541.4104711043735,581.5261922124336,652.6005993620824,709.1888646582262,830.6471742549841,1050.6615719424028,1151.9053885766461,1186.579457165279,1361.5241971421715,2012.787857654917,1.5656417885286815,3.1366960324702875,4.313848117855583,4.907474832301672,5.462999081191512,5.66815048324237,5.868719345509498,6.068287918280592,6.266861186444483,6.464444117633047,6.66104164948646,6.856658694301681,7.051300143838374,7.244970863077885,7.4376756950720715,7.629419454634313,7.820206935507321,8.009907427932498,8.198526689874537,8.386205254242375
4,4,12429591.0,0.009951126676868177,100.49113356425691,128.39759698659944,237.59940751193744,269.0446570024845,300.3330803669306,331.4654635317928,362.4425784784972,393.2652009827285,423.9341041034724,454.4908916142467,484.91274338799826,522.7688502698617,566.3967279462263,639.9051622195486,701.128109237713,818.8043490966454,1088.1154280847472,1132.5770673949996,1168.8797605283087,1366.3705823551657,2062.184527218108,1.5109284691421685,3.0835544697466455,4.455207412849492,5.049428020681376,5.640685084100709,5.8883574468393025,6.089126969302215,6.288895200264928,6.487667130878345,6.68544773323667,6.882241949812922,7.078054700325845,7.272890879918637,7.4667553572977825,7.659652979582821,7.851588570532994,8.042566924188778,8.232511489848015,8.42131945538541,8.609185784946707
5,5,12430281.0,0.009935218399601207,100.6520400236133,135.60492979361314,254.49386670986286,285.95484202215164,317.2589143068812,348.40686396432386,379.3994724535611,410.23751010974706,440.92175060499824,471.48797568680396,501.9250401749085,539.0393917143583,579.436932304589,653.2033532325828,712.1095395625202,834.4374678669994,1095.3008692180356,1149.1908726570675,1184.679456664275,1370.9000526631637,2077.7151291781483,1.4691942859778582,3.0410342258803524,4.315412416003505,4.909336005427519,5.50029753266713,5.709128762966538,5.909797931312734,6.10946630720346,6.308138881914498,6.50582062533588,6.702516473137587,6.898231346834547,7.092970136578366,7.286737710327338,7.47953891430404,7.671378564429859,7.862261460258363,8.052083957996818,8.240797548690209,8.428569971786382
6,6,12431057.0,0.009970050843627343,100.30039121005888,131.6865230887316,221.52860015358436,252.9424227835784,284.1995750307249,315.30084188465617,346.24699728817137,377.03881586714226,407.677066662673,438.2149973234382,470.12667513657846,508.54852978063553,561.0775312290733,628.8371831618514,696.874500010897,805.2543381019784,1074.9409106287862,1117.067152819297,1194.5573690394835,1474.670006977287,2048.8393963798458,1.4183106106487544,2.9925099500796444,4.5588583340843885,5.153673431648596,5.7455220235825575,6.07093491986451,6.271905302595211,6.471873392345209,6.670844186472454,6.86882265709602,7.065813755809718,7.26182240747971,7.456853510547179,7.650911939593495,7.844002547998771,8.036130159398287,8.227299579333335,8.41748846120921,8.606485318651483,8.79453959911928
7,7,12432351.0,0.009911403655283224,100.89388292312714,126.28079704431092,254.7218832931992,305.7683926175642,337.1194533159807,368.3141600099127,399.3532867231251,430.23761430129383,460.96791507655826,491.5624730243955,522.045225401233,556.932089944795,596.4837550816789,662.1700779888762,722.5146119970875,818.4349491801197,980.571079848722,1166.073118363593,1202.4691919883257,1367.7630664979868,1831.511514270766,1.6514406064828955,3.2209246708958608,4.203770283968943,4.7968036993342515,5.277931081461518,5.479303785844054,5.679672191565419,5.879041303813717,6.077416109815758,6.274801566123591,6.471202607634947,6.66662414357457,6.861071057834232,7.054548213826372,7.247060445969789,7.438612566797042,7.629209367459894,7.818666028623528,8.007096774304415,8.194587765115683
8,8,12432945.0,0.009884680294330655,101.16665083984037,134.80810570480267,262.65081942757325,333.15251665527734,364.5349441232857,395.76085556123184,426.83103801655585,457.74626438194167,488.5073081793597,519.1207802708163,549.6340287928572,583.0340435288032,622.0210865345813,683.5560480555902,746.4184977217691,820.3037981104319,923.8678842899383,1189.9949564651092,1229.2513997395417,1390.455019539617,1727.1524776391063,1.6326444049392759,3.200559845744573,3.9892931889138987,4.58173389745196,4.9849651120372975,5.186136555880773,5.38630470363411,5.585474556595414,5.783651095561916,5.980839274647311,6.177044023777341,6.372270244606037,6.566522819733103,6.75980660424783,6.95212643057542,7.143487106680076,7.333893411948919,7.523106489656537,7.711348907741677,7.898652511048101
9,9,12433529.0,0.009799060841308957,102.05059609227003,155.59218443447,278.66730785296204,407.03843309707776,467.8771849223347,499.24392546041287,530.4542281575547,561.5088795597396,592.4086520514452,623.1543214778252,653.7583324173734,684.2563317107914,718.3999556453286,757.6693804364038,820.6596454587367,882.8837197236063,966.0255033069741,1100.646725363932,1326.4511993809012,1364.2560205582793,1527.2698838233039,1.7852288955907378,2.6709941201460405,3.2637311062548533,3.7059006678625925,3.907172718479758,4.107440967603522,4.3067104271361965,4.504986075692661,4.702272867499457,4.898575737157641,5.0938995912294525,5.288249312987501,5.4816297583443285,5.674045765211104,5.86550213821302,6.0560036671393505,6.245338507230298,6.433675065737628,6.621072339750648,6.807535010466845
