,index,blocknum,p0vs1,p1vs0,USDC-slippagemap_01,USDC-slippagemap_2,USDC-slippagemap_3,USDC-slippagemap_4,USDC-slippagemap_5,USDC-slippagemap_6,USDC-slippagemap_7,USDC-slippagemap_8,USDC-slippagemap_9,USDC-slippagemap_10,USDC-slippagemap_11,COMP-slippagemap_01,COMP-slippagemap_2,COMP-slippagemap_3,COMP-slippagemap_4,COMP-slippagemap_5,COMP-slippagemap_6,COMP-slippagemap_7,COMP-slippagemap_8,COMP-slippagemap_9,COMP-slippagemap_10
0,0,13242649.0,0.002400205215232888,416.63104206819736,4.293581799982596,198971.74908923358,198971.74908923358,198971.74908923358,198971.74908923358,198971.74908923358,198971.74908923358,198971.74908923358,198971.74908923358,198971.74908923358,198971.74908923358,1418.612240286831,1882.1078926983384,2340.9919213334806,2795.3102099452813,3245.1081801289515,3690.4307968799817,4131.322608487988,4567.82769055067,4999.989699325812,5427.8518280214375
1,1,13250703.0,0.002400205215232888,416.63104206819736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,13468722.0,0.002400205215232888,416.63104206819736,0.043285120312253074,2005.9047432383413,3991.808592098932,5957.953307556726,7904.535561320148,9831.749924264843,11739.789178930458,13628.84403143851,15499.1034317601,17350.754388087837,19183.981996622064,14.30153292933635,18.97419692258312,23.600369501599555,28.18051323676687,32.71508603928953,37.204541217228346,41.649327877684456,46.04989036238422,50.40666878553964,54.72009859319392
3,3,13471591.0,0.003122210020347374,320.2859492100218,1496.8300418512342,3240.6544466657374,4967.1283716249745,6676.424458547355,8368.713609950992,10044.165040541333,11702.946271641582,13345.22316908878,14971.159950761814,16580.91921164239,18174.66190148902,11.7369239976061,17.111729379093564,22.433057237329415,27.701439716897347,32.91740345939531,38.081470015472505,43.194155912073676,48.2559721558658,53.267425089285574,58.22901563229259
4,4,13473371.0,0.0031592684605143886,316.5289726081655,456.259402849066,2200.0838076635696,3926.5577326228063,5635.853819545187,7328.142970948823,9003.594401539165,10662.375632639414,12304.652530086612,13930.589311759646,15540.348572640221,17134.09126248685,15.005340013820268,20.380145395307732,25.701473253543583,30.969855733111515,36.18581947560948,41.34988603168667,46.46257192828784,51.524388172079966,56.53584110549974,61.497431648506755
5,5,13474066.0,0.003259386348701872,306.8062184154001,1212.690484777661,2921.9865717000416,4614.275723103678,6289.72715369402,7948.50838479427,9590.785282241468,11216.7220639145,12826.481324795077,14420.224014641706,15998.109476975851,17560.29549876894,12.802340442668578,18.285718682227824,23.714539073017953,29.089344454505415,34.41067231274126,39.679054792309195,44.895018534807164,50.05908509088436,55.17177098748553,60.23358723127765
6,6,13475716.0,0.003266891189326608,306.10141019301176,1015.9347851458417,2725.2308720682227,4417.520023471858,6092.971454062201,7751.75268516245,9394.029582609648,11019.96636428268,12629.725625163257,14223.468315009886,15801.353777344031,17363.53979913712,13.444393319683714,18.92777155924296,24.35659195003309,29.73139733152055,35.0527251897564,40.321107669324334,45.537071411822296,50.70113796789949,55.81382386450066,60.875640108292785
7,7,13476973.0,0.00324540177499976,308.1282594048233,1584.7595211152257,3294.0556080376064,4986.344759441242,6661.796190031584,8320.577421131835,9962.854318579031,11588.791100252065,13198.550361132642,14792.29305097927,16370.178513313414,17932.364535106506,11.592188727298772,17.075566966858016,22.50438735764815,27.87919273913561,33.20052059737146,38.46890307693939,43.68486681943735,48.848933375514555,53.961619272115726,59.02343551590785
8,8,13478621.0,0.0032457263151772606,308.09744965985726,1574.7595211157638,3284.055608038145,4976.34475944178,6651.7961900321225,8310.577421132371,9952.85431857957,11578.791100252603,13188.55036113318,14782.293050979808,16360.178513313953,17922.364535107045,11.624645725326186,17.108023964885433,22.536844355675562,27.911649737163025,33.23297759539887,38.501360074966804,43.71732381746477,48.88139037354197,53.99407627014314,59.05589251393526
9,9,13487291.0,0.00324540177499976,308.1282594048233,1584.659521115231,3293.955608037612,4986.244759441247,6661.69619003159,8320.47742113184,9962.754318579036,11588.69110025207,13198.450361132647,14792.193050979276,16370.07851331342,17932.26453510651,11.592513278745978,17.075891518305223,22.504711909095352,27.879517290582815,33.200845148818665,38.4692276283866,43.68519137088456,48.84925792696176,53.961943823562926,59.023760067355056
