,index,blocknum,p0vs1,p1vs0,USDC-slippagemap_01,USDC-slippagemap_2,USDC-slippagemap_3,USDC-slippagemap_4,USDC-slippagemap_5,USDC-slippagemap_6,USDC-slippagemap_7,USDC-slippagemap_8,USDC-slippagemap_9,USDC-slippagemap_10,USDC-slippagemap_11,USDC-slippagemap_12,USDC-slippagemap_13,USDC-slippagemap_14,USDC-slippagemap_15,USDC-slippagemap_16,USDC-slippagemap_17,USDC-slippagemap_18,USDC-slippagemap_19,USDC-slippagemap_20,COMP-slippagemap_01,COMP-slippagemap_2,COMP-slippagemap_3,COMP-slippagemap_4,COMP-slippagemap_5,COMP-slippagemap_6,COMP-slippagemap_7,COMP-slippagemap_8,COMP-slippagemap_9,COMP-slippagemap_10,COMP-slippagemap_11,COMP-slippagemap_12,COMP-slippagemap_13,COMP-slippagemap_14,COMP-slippagemap_15,COMP-slippagemap_16,COMP-slippagemap_17,COMP-slippagemap_18,COMP-slippagemap_19,COMP-slippagemap_20
0,0,12419995.0,0.0011806790188520165,846.9702468095925,62.35393800722786,161.14642174049897,259.3479508328683,308.2282119221558,405.5499408774373,503.91939284562744,553.6969660305275,652.8052465197148,751.3206842840015,800.3571991463299,897.9900243216049,995.0388325629873,1043.3453235002098,1139.5246577587786,1232.007653985654,1278.0414935529236,1369.6959152567733,1460.8020903620584,1506.1506019146495,1551.3632848517404,0.10213154236142244,0.10213154236142244,0.10213154236142244,0.10213154236142244,0.10213154236142244,0.10213154236142244,0.10213154236142244,0.10213154236142244,0.10213154236142244,0.10213154236142244,0.10213154236142244,0.10213154236142244,0.10213154236142244,0.10213154236142244,0.10213154236142244,0.10213154236142244,0.10213154236142244,0.10213154236142244,0.10213154236142244,0.10213154236142244
1,1,12427425.0,0.0012652709043792835,790.3445788082671,85.12820129229577,183.64363905658232,281.569785156191,330.3129790941858,427.36178733556824,523.8300786384945,571.8476125313596,664.3306087582351,756.26039663966,802.0188700293543,893.1250451346394,983.6862396243214,983.6862396243214,983.6862396243214,983.6862396243214,983.6862396243214,983.6862396243214,983.6862396243214,983.6862396243214,983.6862396243214,0.20519163822520622,0.3252178099059305,0.3849613840395228,0.5039122146457062,0.6221515172750632,0.6810056721040441,0.7981856465925825,0.7981856465925825,0.7981856465925825,0.7981856465925825,0.7981856465925825,0.7981856465925825,0.7981856465925825,0.7981856465925825,0.7981856465925825,0.7981856465925825,0.7981856465925825,0.7981856465925825,0.7981856465925825,0.7981856465925825
2,2,12429431.0,0.001266410103797049,789.6336242120325,589711.377153961,589809.8925917252,589907.8187378249,589956.5619317628,590053.6107400042,590150.0790313071,590198.0965652,590290.5795614269,590382.5093493083,590428.267822698,590519.3739978033,590609.935192293,590609.935192293,590609.935192293,590609.935192293,590609.935192293,590609.935192293,590609.935192293,590609.935192293,590609.935192293,4357.833499920056,6887.893754740869,8147.242780705156,10654.635664943582,13147.030081521552,14387.63082616555,16857.695412604244,19312.868248834046,20534.94174403585,21753.35475689464,21753.35475689464,21753.35475689464,21753.35475689464,21753.35475689464,21753.35475689464,21753.35475689464,21753.35475689464,21753.35475689464,21753.35475689464,21753.35475689464
3,3,12431620.0,0.001263121878480888,791.6892399984906,1021930.9322920539,1022029.7437041029,1022127.9640569494,1022176.8536881867,1022274.1940670871,1022370.9521813033,1022419.113981669,1022513.4423701023,1022605.648351356,1022651.5442996701,1022742.9241875693,1022833.7574597177,1022878.9701426548,1022878.9701426548,1022878.9701426548,1022878.9701426548,1022878.9701426548,1022878.9701426548,1022878.9701426548,1022878.9701426548,5078.030724225776,7600.512362959739,8856.089312977763,11355.971634983032,13840.900408420133,15077.785178683762,17540.39260785897,19988.21132629043,21206.624339149224,21206.624339149224,21206.624339149224,21206.624339149224,21206.624339149224,21206.624339149224,21206.624339149224,21206.624339149224,21206.624339149224,21206.624339149224,21206.624339149224,21206.624339149224
4,4,12432149.0,0.0012434467029814255,804.2162141749134,415728.90992198436,922553.9352803525,922652.7466924014,922701.9305303856,922799.8566764852,922897.1970553856,922945.6486786646,923042.1169699675,923136.4453584008,923182.6175000872,923274.5472879687,923365.9271758677,923411.4119364637,923501.9731309533,923501.9731309533,923501.9731309533,923501.9731309533,923501.9731309533,923501.9731309533,923501.9731309533,1064.4225703577742,1691.3600045403352,2003.421007730507,2624.7416149389205,3242.3456465294603,3549.7025497794957,4161.657229387361,4466.26048260206,4466.26048260206,4466.26048260206,4466.26048260206,4466.26048260206,4466.26048260206,4466.26048260206,4466.26048260206,4466.26048260206,4466.26048260206,4466.26048260206,4466.26048260206,4466.26048260206
5,5,12432660.0,0.0012346499366934355,809.9461801116997,460273.82207361946,968621.5309082877,1221703.4150765226,1221752.7466763027,1221850.9670291492,1221948.5998543245,1221997.1970392868,1222093.9551535032,1222190.1344877617,1222236.445342302,1222328.651323556,1222420.3057452596,1222465.9271597692,1222556.7604319176,1222601.9731148547,1222601.9731148547,1222601.9731148547,1222601.9731148547,1222601.9731148547,1222601.9731148547,1007.7446703250885,1632.8041967233037,1943.9304771545965,2563.390004899253,3179.085738772292,3485.522044579708,4095.643671594856,4095.643671594856,4095.643671594856,4095.643671594856,4095.643671594856,4095.643671594856,4095.643671594856,4095.643671594856,4095.643671594856,4095.643671594856,4095.643671594856,4095.643671594856,4095.643671594856,4095.643671594856
6,6,12433512.0,0.0012348968790272736,809.7842151708234,455790.2431160351,964137.9519507034,1217219.8361189382,1217269.1677187183,1217367.388071565,1217465.0208967403,1217513.6180817026,1217610.3761959188,1217706.5555301774,1217752.8663847179,1217845.0723659715,1217936.7267876754,1217982.3482021848,1218073.1814743332,1218118.3941572702,1218118.3941572702,1218118.3941572702,1218118.3941572702,1218118.3941572702,1218118.3941572702,1013.2811455999241,1638.3406719981394,1949.466952429432,2568.9264801740887,3184.622214047128,3491.0585198545436,4101.180146869692,4101.180146869692,4101.180146869692,4101.180146869692,4101.180146869692,4101.180146869692,4101.180146869692,4101.180146869692,4101.180146869692,4101.180146869692,4101.180146869692,4101.180146869692,4101.180146869692,4101.180146869692
7,7,12434030.0,0.0012470577513601945,801.8874818822761,291005.5728981367,797830.5982565047,797929.4096685537,797978.593506538,798076.5196526375,798173.860031538,798222.3116548168,798318.7799461199,798413.1083345531,798459.2804762395,798551.210264121,798642.5901520201,798688.0749126159,798778.6361071056,798778.6361071056,798778.6361071056,798778.6361071056,798778.6361071056,798778.6361071056,798778.6361071056,1219.7385060177928,1846.675940200354,2158.7369433905255,2780.0575505989395,3397.661582189479,3705.0184854395143,4316.9731650473805,4621.576418262078,4621.576418262078,4621.576418262078,4621.576418262078,4621.576418262078,4621.576418262078,4621.576418262078,4621.576418262078,4621.576418262078,4621.576418262078,4621.576418262078,4621.576418262078,4621.576418262078
8,8,12434726.0,0.0012969106561965954,771.0631377898189,78.8385706210377,176.1789495214482,272.93706373763735,321.0988641033411,415.42725253665327,507.6332337903513,553.5291821045067,644.9090700036307,735.7423421520772,780.9550250891681,780.9550250891681,780.9550250891681,780.9550250891681,780.9550250891681,780.9550250891681,780.9550250891681,780.9550250891681,780.9550250891681,780.9550250891681,780.9550250891681,0.21450689077519777,319.92013761765,638.6054232271623,1273.1130845891612,1903.8232442539977,2217.7621552285154,2842.8216816267304,3464.1422888351444,3773.4074898026797,4389.103223675719,5001.057903283585,5305.661156498283,5305.661156498283,5305.661156498283,5305.661156498283,5305.661156498283,5305.661156498283,5305.661156498283,5305.661156498283,5305.661156498283
9,9,12438190.0,0.001388718803817541,720.0881828999751,55.17498265061615,146.2811577559013,236.8423522455833,236.8423522455833,236.8423522455833,236.8423522455833,236.8423522455833,236.8423522455833,236.8423522455833,236.8423522455833,236.8423522455833,236.8423522455833,236.8423522455833,236.8423522455833,236.8423522455833,236.8423522455833,236.8423522455833,236.8423522455833,236.8423522455833,236.8423522455833,0.24028617394403906,0.36795190227392566,0.43255416406651226,0.5611787484250712,0.6890339381743013,0.7526744473767236,0.8793841542558393,1.0053359207333128,320.6480852227172,957.0640443534292,1589.669127687393,1904.551191859065,2531.488626041626,3154.6759096630904,3464.8702364402116,4082.474268030751,4696.267477088202,5001.785850888652,5306.38910410335,5306.38910410335
