,index,blocknum,p0vs1,p1vs0,USDC-slippagemap_01,USDC-slippagemap_2,USDC-slippagemap_3,USDC-slippagemap_4,USDC-slippagemap_5,USDC-slippagemap_6,USDC-slippagemap_7,USDC-slippagemap_8,USDC-slippagemap_9,USDC-slippagemap_10,USDC-slippagemap_11,USDT-slippagemap_01,USDT-slippagemap_2,USDT-slippagemap_3,USDT-slippagemap_4,USDT-slippagemap_5,USDT-slippagemap_6,USDT-slippagemap_7,USDT-slippagemap_8,USDT-slippagemap_9,USDT-slippagemap_10
0,0,12389668.0,1.0,1.0,116375.74989146201,231594.60034228695,231844.86547760988,231847.83562865015,231847.83562865015,231847.83562865015,231847.83562865015,231847.83562865015,231847.83562865015,231847.83562865015,231847.83562865015,132339.81727704118,132339.81727704118,132339.81727704118,132339.81727704118,132339.81727704118,132339.81727704118,132339.81727704118,132339.81727704118,132339.81727704118,132339.81727704118
1,1,12435585.0,1.0,1.0,131040.9165999826,260779.02029931187,261029.2854346348,261032.25558567507,261032.25558567507,261032.25558567507,261032.25558567507,261032.25558567507,261032.25558567507,261032.25558567507,261032.25558567507,161524.23719640533,161524.23719640533,161524.23719640533,161524.23719640533,161524.23719640533,161524.23719640533,161524.23719640533,161524.23719640533,161524.23719640533,161524.23719640533
2,2,12441116.0,1.0,1.0,519266.60702683986,1033367.686539325,1414156.6291722516,1790912.0593368947,2163915.9523730744,2533208.5679150904,2533208.5679150904,2533208.5679150904,2533208.5679150904,2533208.5679150904,2533208.5679150904,549749.9306149912,549749.9306149912,549749.9306149912,549749.9306149912,549749.9306149912,549749.9306149912,549749.9306149912,549749.9306149912,549749.9306149912,549749.9306149912
3,3,12449019.0,1.0,1.0,132045.91630759236,262779.020306576,264014.3857818553,264017.35593289556,264017.35593289556,264017.35593289556,264017.35593289556,264017.35593289556,264017.35593289556,264017.35593289556,264017.35593289556,163524.2372010886,164509.33756584465,164509.33756584465,164509.33756584465,164509.33756584465,164509.33756584465,164509.33756584465,164509.33756584465,164509.33756584465,164509.33756584465
4,4,12455171.0,1.0,1.0,129040.9166014605,256798.91962735666,257049.18476267956,257052.15491371983,257052.15491371983,257052.15491371983,257052.15491371983,257052.15491371983,257052.15491371983,257052.15491371983,257052.15491371983,157544.13652958622,157544.13652958622,157544.13652958622,157544.13652958622,157544.13652958622,157544.13652958622,157544.13652958622,157544.13652958622,157544.13652958622,157544.13652958622
5,5,12457792.0,1.0,1.0,209048.91658149756,416018.866986182,416269.1321215049,416272.10227254516,416272.10227254516,416272.10227254516,416272.10227254516,416272.10227254516,416272.10227254516,416272.10227254516,416272.10227254516,316764.08368294756,316764.08368294756,316764.08368294756,316764.08368294756,316764.08368294756,316764.08368294756,316764.08368294756,316764.08368294756,316764.08368294756,316764.08368294756
6,6,12465267.0,1.0,1.0,29040.91662515997,57793.88592970352,58044.151065026446,58047.12121606671,58047.12121606671,58047.12121606671,58047.12121606671,58047.12121606671,58047.12121606671,58047.12121606671,58047.12121606671,57544.13578266985,57544.13578266985,57544.13578266985,57544.13578266985,57544.13578266985,57544.13578266985,57544.13578266985,57544.13578266985,57544.13578266985,57544.13578266985
7,7,12505880.0,1.0,1.0,30552.697346793582,60802.405664938124,61052.67080026105,61055.640951301306,61055.640951301306,61055.640951301306,61055.640951301306,61055.640951301306,61055.640951301306,61055.640951301306,61055.640951301306,60552.65551402213,62034.502452917644,62034.502452917644,62034.502452917644,62034.502452917644,62034.502452917644,62034.502452917644,62034.502452917644,62034.502452917644,62034.502452917644
8,8,12511846.0,1.0,1.0,29040.91662515997,57793.88592970352,58044.151065026446,58047.12121606671,58047.12121606671,58047.12121606671,58047.12121606671,58047.12121606671,58047.12121606671,58047.12121606671,58047.12121606671,57544.13578266985,57544.13578266985,57544.13578266985,57544.13578266985,57544.13578266985,57544.13578266985,57544.13578266985,57544.13578266985,57544.13578266985,57544.13578266985
9,9,12536748.0,1.0,1.0,29553.13777606367,58813.23180390752,59565.575921012605,59568.54607205287,59568.54607205287,59568.54607205287,59568.54607205287,59568.54607205287,59568.54607205287,59568.54607205287,59568.54607205287,58563.48165555844,59065.56064998032,59065.56064998032,59065.56064998032,59065.56064998032,59065.56064998032,59065.56064998032,59065.56064998032,59065.56064998032,59065.56064998032
10,10,12548421.0,1.0,1.0,348220.76001751394,692977.8409793093,693228.1061146322,693231.0762656725,693231.0762656725,693231.0762656725,693231.0762656725,693231.0762656725,693231.0762656725,693231.0762656725,693231.0762656725,692728.090012608,692728.090012608,692728.090012608,692728.090012608,692728.090012608,692728.090012608,692728.090012608,692728.090012608,692728.090012608,692728.090012608
11,11,12554774.0,1.0,1.0,29040.916625159956,57793.885929703494,58044.15106502641,58047.12121606668,58047.12121606668,58047.12121606668,58047.12121606668,58047.12121606668,58047.12121606668,58047.12121606668,58047.12121606668,57544.13578266984,57544.13578266984,57544.13578266984,57544.13578266984,57544.13578266984,57544.13578266984,57544.13578266984,57544.13578266984,57544.13578266984,57544.13578266984
12,12,12566685.0,1.0,1.0,29046.409038309073,57804.816108344305,58060.46490499509,58068.76515194701,58074.04221510203,58079.26677305245,58079.26677305245,58079.26677305245,58079.26677305245,58079.26677305245,58079.26677305245,57555.06596129654,57560.449622759945,57565.77971857037,57571.056781679865,57576.28133973135,57576.28133973135,57576.28133973135,57576.28133973135,57576.28133973135,57576.28133973135
13,13,12579051.0,1.0,1.0,29696.295585899064,59098.123051678784,59990.79040078926,59999.09064774118,60004.3677108962,60009.592268846616,60009.592268846616,60009.592268846616,60009.592268846616,60009.592268846616,60009.592268846616,58848.37290296209,59490.77513292195,59496.10522873238,59501.382291841874,59506.60684989337,59506.60684989337,59506.60684989337,59506.60684989337,59506.60684989337,59506.60684989337
14,14,12590548.0,1.0,1.0,32243.696266286817,64167.57863530012,65060.24598441059,65068.5462313625,65073.823294517526,65079.04785246795,65079.04785246795,65079.04785246795,65079.04785246795,65079.04785246795,65079.04785246795,63917.82848004158,64560.23071000145,64565.560805811874,64570.83786892137,64576.06242697286,64576.06242697286,64576.06242697286,64576.06242697286,64576.06242697286,64576.06242697286
15,15,12594881.0,1.0,1.0,29690.803172749947,59087.19287303798,59974.47656082058,59977.446711860845,59977.446711860845,59977.446711860845,59977.446711860845,59977.446711860845,59977.446711860845,59977.446711860845,59977.446711860845,58837.442724335386,59474.461292831846,59474.461292831846,59474.461292831846,59474.461292831846,59474.461292831846,59474.461292831846,59474.461292831846,59474.461292831846,59474.461292831846
16,16,12621894.0,1.0,1.0,29731.382250738738,59167.94728088291,60055.23096866551,60058.20111970577,60058.20111970577,60058.20111970577,60058.20111970577,60058.20111970577,60058.20111970577,60058.20111970577,60058.20111970577,58918.1971320761,59555.21570057257,59555.21570057257,59555.21570057257,59555.21570057257,59555.21570057257,59555.21570057257,59555.21570057257,59555.21570057257,59555.21570057257
17,17,12627095.0,1.0,1.0,34730.92719054594,69117.2933754335,70004.5770632161,70007.54721425635,70007.54721425635,70007.54721425635,70007.54721425635,70007.54721425635,70007.54721425635,70007.54721425635,70007.54721425635,68867.54321378763,69504.5617822841,69504.5617822841,69504.5617822841,69504.5617822841,69504.5617822841,69504.5617822841,69504.5617822841,69504.5617822841,69504.5617822841
18,18,12631058.0,1.0,1.0,29731.382250738738,59167.94728088291,60055.23096866551,60058.20111970577,60058.20111970577,60058.20111970577,60058.20111970577,60058.20111970577,60058.20111970577,60058.20111970577,60058.20111970577,58918.1971320761,59555.21570057257,59555.21570057257,59555.21570057257,59555.21570057257,59555.21570057257,59555.21570057257,59555.21570057257,59555.21570057257,59555.21570057257
19,19,12636063.0,1.0,1.0,29731.683865729883,59168.24889587405,60055.532583656655,60058.50273469692,60058.50273469692,60058.50273469692,60058.50273469692,60058.50273469692,60058.50273469692,60058.50273469692,60058.50273469692,58918.79736109024,59555.8159295867,59555.8159295867,59555.8159295867,59555.8159295867,59555.8159295867,59555.8159295867,59555.8159295867,59555.8159295867,59555.8159295867
20,20,12639778.0,1.0,1.0,29691.104787741093,59087.49448802912,59974.77817581173,59977.74832685199,59977.74832685199,59977.74832685199,59977.74832685199,59977.74832685199,59977.74832685199,59977.74832685199,59977.74832685199,58838.04295334952,59475.061521845986,59475.061521845986,59475.061521845986,59475.061521845986,59475.061521845986,59475.061521845986,59475.061521845986,59475.061521845986,59475.061521845986
21,21,12646607.0,1.0,1.0,30691.104786499676,61077.54482300681,61964.828510789404,61967.79866182967,61967.79866182967,61967.79866182967,61967.79866182967,61967.79866182967,61967.79866182967,61967.79866182967,61967.79866182967,60828.093285759154,61465.11185425562,61465.11185425562,61465.11185425562,61465.11185425562,61465.11185425562,61465.11185425562,61465.11185425562,61465.11185425562,61465.11185425562
22,22,12715677.0,1.0,1.0,48046.59184238912,95615.8376951568,96503.12138293941,96506.09153397968,96506.09153397968,96506.09153397968,96506.09153397968,96506.09153397968,96506.09153397968,96506.09153397968,96506.09153397968,95366.38611333953,96003.404681836,96003.404681836,96003.404681836,96003.404681836,96003.404681836,96003.404681836,96003.404681836,96003.404681836,96003.404681836
23,23,12747807.0,1.0,1.0,15691.104792066932,31226.789772363467,32114.073460146068,32117.043611186335,32117.043611186335,32117.043611186335,32117.043611186335,32117.043611186335,32117.043611186335,32117.043611186335,32117.043611186335,30977.338273636487,31614.356842132955,31614.356842132955,31614.356842132955,31614.356842132955,31614.356842132955,31614.356842132955,31614.356842132955,31614.356842132955,31614.356842132955
24,24,12756503.0,1.0,1.0,15691.104792066932,31226.789772363467,32114.073460146068,32117.043611186335,32117.043611186335,32117.043611186335,32117.043611186335,32117.043611186335,32117.043611186335,32117.043611186335,32117.043611186335,30977.338273636487,31614.356842132955,31614.356842132955,31614.356842132955,31614.356842132955,31614.356842132955,31614.356842132955,31614.356842132955,31614.356842132955,31614.356842132955
25,25,12757623.0,1.0,1.0,15696.104791060483,31236.740022047827,32124.02370983043,32126.993860870694,32126.993860870694,32126.993860870694,32126.993860870694,32126.993860870694,32126.993860870694,32126.993860870694,32126.993860870694,30987.28852330801,31624.307091804472,31624.307091804472,31624.307091804472,31624.307091804472,31624.307091804472,31624.307091804472,31624.307091804472,31624.307091804472,31624.307091804472
26,26,12760970.0,1.0,1.0,15691.104792066932,31226.789772363467,32114.073460146068,32117.043611186335,32117.043611186335,32117.043611186335,32117.043611186335,32117.043611186335,32117.043611186335,32117.043611186335,32117.043611186335,30977.338273636487,31614.356842132955,31614.356842132955,31614.356842132955,31614.356842132955,31614.356842132955,31614.356842132955,31614.356842132955,31614.356842132955,31614.356842132955
27,27,12826610.0,0.9999000099990001,1.0001,20.20581647583704,15711.310693424999,31246.995673721536,32134.279361504137,32137.249512544404,32137.249512544404,32137.249512544404,32137.249512544404,32137.249512544404,32137.249512544404,32137.249512544404,31342.90127626608,31342.90127626608,31342.90127626608,31342.90127626608,31342.90127626608,31342.90127626608,31342.90127626608,31342.90127626608,31342.90127626608,31342.90127626608
28,28,12830085.0,0.9986010494402381,1.0014009103641,1010.2058164225532,16701.310693371717,32236.99567366825,33124.279361450856,33127.24951249112,33127.24951249112,33127.24951249112,33127.24951249112,33127.24951249112,33127.24951249112,33127.24951249112,30353.558220885297,30353.558220885297,30353.558220885297,30353.558220885297,30353.558220885297,30353.558220885297,30353.558220885297,30353.558220885297,30353.558220885297,30353.558220885297
29,29,12835418.0,0.9987009095451821,1.0013007802860714,1003.9512872351385,16695.0561641843,32230.741144480835,33118.024832263436,33120.9949833037,33120.9949833037,33120.9949833037,33120.9949833037,33120.9949833037,33120.9949833037,33120.9949833037,30359.804639885635,30359.804639885635,30359.804639885635,30359.804639885635,30359.804639885635,30359.804639885635,30359.804639885635,30359.804639885635,30359.804639885635,30359.804639885635
30,30,12843896.0,0.9975032470770466,1.0025030023012653,1894.951287187183,17586.056164136346,33121.74114443288,34009.02483221548,34011.99498325575,34011.99498325575,34011.99498325575,34011.99498325575,34011.99498325575,34011.99498325575,34011.99498325575,29470.46671096065,29470.46671096065,29470.46671096065,29470.46671096065,29470.46671096065,29470.46671096065,29470.46671096065,29470.46671096065,29470.46671096065,29470.46671096065
31,31,12850824.0,0.9975032470770466,1.0025030023012653,1895.8504949287324,17594.282017788013,33137.22074630098,34031.68600964337,34041.76628225318,34048.80566037775,34055.774998789355,34062.674994889465,34069.50633810692,34076.26971162137,34082.965791876544,29491.330569702674,29498.44069113718,29505.48006920103,29512.449407747452,29519.34940368695,29526.180746913946,29532.944120528948,29539.640200807145,29546.269657305944,29552.833152871906
32,32,12853992.0,0.9975032470770466,1.0025030023012653,1894.951287187183,17586.056164136346,33121.74114443288,34009.02483221548,34011.99498325575,34011.99498325575,34011.99498325575,34011.99498325575,34011.99498325575,34011.99498325575,34011.99498325575,29470.46671096065,29470.46671096065,29470.46671096065,29470.46671096065,29470.46671096065,29470.46671096065,29470.46671096065,29470.46671096065,29470.46671096065,29470.46671096065
33,33,12856681.0,0.997403506726374,1.0026032526014954,1968.5720861832206,17659.676963132384,33195.36194342892,34082.64563121152,34085.615782251785,34085.615782251785,34085.615782251785,34085.615782251785,34085.615782251785,34085.615782251785,34085.615782251785,29397.02886479298,29397.02886479298,29397.02886479298,29397.02886479298,29397.02886479298,29397.02886479298,29397.02886479298,29397.02886479298,29397.02886479298,29397.02886479298
34,34,12867820.0,0.999500149965007,1.0005001000100004,355.30002785406504,16046.404904803227,31582.089885099762,32469.373572882367,32472.34372392263,32472.34372392263,32472.34372392263,32472.34372392263,32472.34372392263,32472.34372392263,32472.34372392263,31007.888132879685,31007.888132879685,31007.888132879685,31007.888132879685,31007.888132879685,31007.888132879685,31007.888132879685,31007.888132879685,31007.888132879685,31007.888132879685
35,35,12868339.0,1.0063195697706362,0.9937201163919762,10715.972424307203,26251.65740460374,27138.941092386343,27141.911243426606,27141.911243426606,27141.911243426606,27141.911243426606,27141.911243426606,27141.911243426606,27141.911243426606,27141.911243426606,35968.215426728595,36605.23399522506,36605.23399522506,36605.23399522506,36605.23399522506,36605.23399522506,36605.23399522506,36605.23399522506,36605.23399522506,36605.23399522506
36,36,12871638.0,1.0064202017276132,0.9936207543165446,10630.809976332428,26166.49495662896,27053.778644411566,27056.748795451833,27056.748795451833,27056.748795451833,27056.748795451833,27056.748795451833,27056.748795451833,27056.748795451833,27056.748795451833,36053.92239719574,36690.9409656922,36690.9409656922,36690.9409656922,36690.9409656922,36690.9409656922,36690.9409656922,36690.9409656922,36690.9409656922,36690.9409656922
