,index,blocknum,p0vs1,p1vs0,USDC-slippagemap_01,USDC-slippagemap_2,USDC-slippagemap_3,USDC-slippagemap_4,USDC-slippagemap_5,USDC-slippagemap_6,USDC-slippagemap_7,USDC-slippagemap_8,USDC-slippagemap_9,USDC-slippagemap_10,USDC-slippagemap_11,USDC-slippagemap_12,USDC-slippagemap_13,USDC-slippagemap_14,USDC-slippagemap_15,USDC-slippagemap_16,USDC-slippagemap_17,USDC-slippagemap_18,USDC-slippagemap_19,USDC-slippagemap_20,USDT-slippagemap_01,USDT-slippagemap_2,USDT-slippagemap_3,USDT-slippagemap_4,USDT-slippagemap_5,USDT-slippagemap_6,USDT-slippagemap_7,USDT-slippagemap_8,USDT-slippagemap_9,USDT-slippagemap_10,USDT-slippagemap_11,USDT-slippagemap_12,USDT-slippagemap_13,USDT-slippagemap_14,USDT-slippagemap_15,USDT-slippagemap_16,USDT-slippagemap_17,USDT-slippagemap_18,USDT-slippagemap_19,USDT-slippagemap_20
0,0,12410592.0,0.9985011993203059,1.0015010504551365,4414.079890228137,8528.728688656947,8562.19180224905,8562.525327580104,8563.18938403019,8563.18938403019,8563.18938403019,8563.18938403019,8563.18938403019,8563.18938403019,8563.18938403019,8563.18938403019,8563.18938403019,8563.18938403019,8563.18938403019,8563.18938403019,8563.18938403019,8563.18938403019,8563.18938403019,8563.18938403019,6754.324183098215,6754.668686215909,6754.840164228265,6755.181580883219,6755.520955272895,6755.6898804380035,6756.026214310939,6756.360536326086,6756.526946648715,6756.858273412679,6757.187618265964,6757.351551183075,6757.677945378639,6758.0023871716585,6758.163879566973,6758.485414627456,6758.805026351396,6758.9641145584565,6759.280862821186,6759.595716380341
1,1,12428287.0,0.9985011993203059,1.0015010504551365,5395.6896321163595,11073.278003190702,11884.7015142442,11885.035039575254,11885.699096025337,11885.699096025337,11885.699096025337,11885.699096025337,11885.699096025337,11885.699096025337,11885.699096025337,11885.699096025337,11885.699096025337,11885.699096025337,11885.699096025337,11885.699096025337,11885.699096025337,11885.699096025337,11885.699096025337,11885.699096025337,9683.748230499836,9684.09273361753,9684.264211629887,9684.60562828484,9684.945002674516,9685.113927839624,9685.450261712562,9685.784583727707,9685.950994050338,9686.282320814302,9686.611665667586,9686.775598584696,9687.10199278026,9687.42643457328,9687.587926968596,9687.909462029078,9688.229073753017,9688.388161960078,9688.704910222807,9689.019763781964
2,2,12433903.0,0.9985011993203059,1.0015010504551365,178412.7602883471,184090.34865942146,184901.77217047496,184902.105695806,184902.7697522561,184902.7697522561,184902.7697522561,184902.7697522561,184902.7697522561,184902.7697522561,184902.7697522561,184902.7697522561,184902.7697522561,184902.7697522561,184902.7697522561,184902.7697522561,184902.7697522561,184902.7697522561,184902.7697522561,184902.7697522561,251363.43292038856,251363.77742350625,251363.9489015186,251364.29031817356,251364.62969256323,251364.79861772835,251365.13495160127,251365.4692736164,251365.63568393906,251365.96701070303,251366.29635555632,251366.4602884734,251366.786682669,251367.111124462,251367.2726168573,251367.5941519178,251367.91376364173,251368.0728518488,251368.38960011152,251368.70445367068
3,3,12437617.0,0.9985011993203059,1.0015010504551365,188404.10832724717,202047.84481980803,202859.26833086152,202859.60185619257,202860.26591264264,202860.26591264264,202860.26591264264,202860.26591264264,202860.26591264264,202860.26591264264,202860.26591264264,202860.26591264264,202860.26591264264,202860.26591264264,202860.26591264264,202860.26591264264,202860.26591264264,202860.26591264264,202860.26591264264,202860.26591264264,265319.893022907,265320.2375260247,265320.40900403704,265320.750420692,265321.0897950817,265321.2587202468,265321.5950541197,265321.9293761349,265322.09578645753,265322.4271132215,265322.7564580748,265322.92039099184,265323.24678518745,265323.5712269805,265323.73271937575,265324.0542544362,265324.37386616017,265324.5329543672,265324.84970262996,265325.16455618915
4,4,12442330.0,0.9985011993203059,1.0015010504551365,188458.21033912248,202188.08918715452,203085.1397696571,203128.0945702932,203213.61854634117,203297.9708634669,203339.95761710888,203423.55420984188,203506.6507409879,203548.01242776963,203630.3644853747,203712.22393525465,203752.96985552146,203834.0959130001,203914.73669687167,203954.87601619537,204034.79432508702,204114.23458108515,204153.77633454124,204232.5048732412,265481.34999285877,265567.06508579425,265609.73016779387,265694.67732445535,265737.12959552684,265737.2985206919,265737.63485456485,265737.96917658,265738.1355869027,265738.46691366663,265738.7962585199,265738.960191437,265739.2865856326,265739.6110274256,265739.7725198209,265740.09405488137,265740.4136666053,265740.57275481237,265740.8895030751,265741.2043566343
5,5,12444345.0,0.9985011993203059,1.0015010504551365,188475.53075133823,202232.98752215493,203157.4510625664,203214.05079121634,203299.5747672643,203383.92708439004,203425.91383803202,203509.51043076502,203592.60696191105,203633.96864869277,203716.32070629785,203798.18015617778,203838.9260764446,203920.05213392325,204000.6929177948,204040.83223711853,204120.75054601015,204200.1908020083,204239.73255546438,204318.46109416435,265533.03940657433,265646.08534646884,265702.3544833285,265814.387625186,265883.7638601628,265897.3343123331,265924.3533934331,265951.21085373557,265951.3772640582,265951.7085908222,265952.0379356754,265952.2018685925,265952.52826278814,265952.8527045811,265953.01419697644,265953.3357320369,265953.65534376085,265953.8144319679,265954.13118023064,265954.44603378983
6,6,12445025.0,0.9985011993203059,1.0015010504551365,188421.4287394629,202092.74315480844,202931.5796237708,202945.5580771157,202946.2221335658,202946.2221335658,202946.2221335658,202946.2221335658,202946.2221335658,202946.2221335658,202946.2221335658,202946.2221335658,202946.2221335658,202946.2221335658,202946.2221335658,202946.2221335658,202946.2221335658,202946.2221335658,202946.2221335658,202946.2221335658,265371.5824366226,265399.25778669934,265413.03331957175,265440.46072142274,265467.7240597177,265481.29451188794,265508.313592988,265535.1710532904,265535.3374636131,265535.66879037704,265535.99813523033,265536.16206814745,265536.488462343,265536.812904136,265536.9743965313,265537.2959315918,265537.61554331577,265537.7746315228,265538.0913797855,265538.4062333447
7,7,12449921.0,0.9985011993203059,1.0015010504551365,228483.65754815613,274096.7727619923,274935.60923095467,274949.5876842996,274950.2517407497,274950.2517407497,274950.2517407497,274950.2517407497,274950.2517407497,274950.2517407497,274950.2517407497,274950.2517407497,274950.2517407497,274950.2517407497,274950.2517407497,274950.2517407497,274950.2517407497,274950.2517407497,274950.2517407497,274950.2517407497,321332.6895674725,321360.36491754925,321374.14045042166,321401.56785227265,321428.8311905676,321442.40164273785,321469.4207238379,321496.27818414033,321496.444594463,321496.77592122694,321497.10526608024,321497.26919899735,321497.5955931929,321497.92003498593,321498.0815273812,321498.40306244174,321498.7226741657,321498.88176237274,321499.19851063547,321499.5133641946
8,8,12451816.0,0.9985011993203059,1.0015010504551365,188590.05626647704,202529.86295911067,203635.58564548762,203782.4079618194,203783.07201826948,203783.07201826948,203783.07201826948,203783.07201826948,203783.07201826948,203783.07201826948,203783.07201826948,203783.07201826948,203783.07201826948,203783.07201826948,203783.07201826948,203783.07201826948,203783.07201826948,203783.07201826948,203783.07201826948,203783.07201826948,265874.81861247675,266168.5807667538,266182.35629962623,266209.78370147716,266237.04703977215,266250.6174919424,266277.63657304243,266304.4940333449,266304.6604436675,266304.9917704315,266305.32111528475,266305.48504820187,266305.8114423974,266306.13588419044,266306.2973765858,266306.61891164625,266306.9385233702,266307.09761157725,266307.41435984,266307.7292133992
9,9,12457156.0,0.9985011993203059,1.0015010504551365,188399.49313211153,202035.88121439773,203141.60390077467,203288.42621710643,203289.09027355653,203289.09027355653,203289.09027355653,203289.09027355653,203289.09027355653,203289.09027355653,203289.09027355653,203289.09027355653,203289.09027355653,203289.09027355653,203289.09027355653,203289.09027355653,203289.09027355653,203289.09027355653,203289.09027355653,203289.09027355653,265457.1478759239,265750.91003020096,265764.6855630734,265792.1129649243,265819.3763032193,265832.94675538957,265859.9658364896,265886.82329679205,265886.9897071147,265887.32103387866,265887.65037873195,265887.814311649,265888.1407058446,265888.46514763765,265888.6266400329,265888.9481750934,265889.26778681733,265889.4268750244,265889.7436232871,265890.0584768463
