,index,blocknum,p0vs1,p1vs0,USDC-slippagemap_01,USDC-slippagemap_2,USDC-slippagemap_3,USDC-slippagemap_4,USDC-slippagemap_5,USDC-slippagemap_6,USDC-slippagemap_7,USDC-slippagemap_8,USDC-slippagemap_9,USDC-slippagemap_10,USDC-slippagemap_11,WETH-slippagemap_01,WETH-slippagemap_2,WETH-slippagemap_3,WETH-slippagemap_4,WETH-slippagemap_5,WETH-slippagemap_6,WETH-slippagemap_7,WETH-slippagemap_8,WETH-slippagemap_9,WETH-slippagemap_10
0,0,12419297.0,0.00023437580614563098,4266.65199128379,2020.949770148961,8162.083502674797,14242.114976622892,20359.61213602826,26417.281839672854,32125.22314456856,37788.90281139181,43550.244417888534,49300.12388747122,55802.98563609407,99487.7741710055,2.611418867331156,2.814557829294748,2.9973978587471666,3.178418695434345,3.357638428768395,3.535054607290384,3.7311410466909356,3.9174454369674203,4.088796353832059,4.258442383482537
1,1,12420123.0,0.00023241539265634519,4302.641010867224,4620.026696009069,10761.160428534906,16841.191902483,22958.68906188837,29016.35876553296,34724.30007042867,40387.97973725192,46149.32134374865,51899.20081333133,58402.062561954175,102086.8510968656,2.0047708413648175,2.20790980332841,2.3907498327808283,2.5717706694680067,2.750990402802057,2.9284065813240456,3.1244930207245973,3.3107974110010825,3.482148327865721,3.6517943575161986
2,2,12420634.0,0.0002397327368438539,4171.311824848243,1216.354832542997,7296.38630649109,13413.883465896459,19471.553169541054,25179.49447443676,30843.17414126001,36604.51574775673,42354.39521733942,48857.25696596227,92542.04550087369,136316.69626011912,4.053634732304964,4.258820344974268,4.46195930693786,4.644799336390278,4.825820173077457,5.005039906411507,5.182456084933496,5.378542524334048,5.564846914610532,5.736197831475171
3,3,12421135.0,0.00024477114364381534,4085.448901832866,961.8728556841033,7079.370015089472,13137.039718734064,18844.981023629774,24508.660690453024,30270.002296949748,36019.88176653243,42522.74351515528,86207.5320500667,129982.18280931213,173051.85476838503,4.154600855398613,5.58813473238756,5.793320345056863,5.996459307020455,6.179299336472874,6.360320173160052,6.539539906494102,6.716956085016091,6.9130425244166425,7.099346914693128
4,4,12421746.0,0.0002484453548779827,4025.0299728530777,2528.256997642116,8585.926701286708,14293.868006182418,19957.54767300567,25718.889279502393,31468.768749085077,37971.63049770792,81656.41903261935,125431.06979186478,168500.74175093768,174059.59654189285,3.852143529215711,5.3010072366861545,6.734541113675101,6.9397267263444045,7.142865688307997,7.325705717760416,7.506726554447594,7.685946287781644,7.863362466303633,8.059448905704185
5,5,12422398.0,0.0002431124288230437,4113.323225970806,3027.0082712110416,9144.505430616411,15202.175134261002,20910.11643915671,26573.796105979964,32335.137712476688,38085.01718205937,44587.878930682215,88272.66746559364,132047.31822483908,175116.99018391198,3.6508207683392326,5.08435464532818,5.289540257997483,5.492679219961075,5.675519249413494,5.856540086100672,6.035759819434722,6.213175997956711,6.409262437357263,6.595566827633748
6,6,12422978.0,0.0002587651481920666,3864.5080567718383,2157.048588725071,7820.728255548321,13582.069862045046,19331.94933162773,25834.811080250576,69519.599615162,113294.25037440743,156363.92233348035,161922.7771244355,167060.27979200886,172146.60340027057,3.889534742614862,5.3917205915688395,6.855144890205135,8.304008597675578,9.737542474664524,9.942728087333828,10.14586704929742,10.328707078749838,10.509727915437017,10.688947648771068
7,7,12423546.0,0.00025333733651815315,3947.3060455435234,2644.3692340124203,8352.31053890813,14015.99020573138,19777.331812228105,25527.21128181079,32030.073030433636,75714.86156534505,119489.51232459048,162559.1842836634,168118.03907461854,173255.54174219194,3.8796356475395943,5.343059946175889,6.791923653646332,8.22545753063528,8.430643143304582,8.633782105268175,8.816622134720594,8.997642971407773,9.176862704741822,9.354278883263811
8,8,12424194.0,0.0002531094468753001,3950.8600423463126,2902.8079300295403,8610.74923492525,14274.428901748499,20035.770508245223,25785.649977827907,32288.511726450753,75973.30026136218,119747.95102060761,162817.6229796805,168376.47777063568,173513.98043820905,3.8141884850069423,5.277612783643237,6.72647649111368,8.160010368102627,8.365195980771931,8.568334942735524,8.751174972187941,8.93219580887512,9.11141554220917,9.288831720731158
9,9,12424939.0,0.0002521747189704172,3965.5045679551677,4046.3772018851314,9754.31850678084,15417.99817360409,21179.339780100814,26929.219249683498,33432.080998306345,77116.86953321777,120891.5202924632,163961.19225153612,169520.04704249126,174657.54971006466,3.525259444425056,4.988683743061351,6.4375474505317944,7.871081327520741,8.076266940190044,8.279405902153636,8.462245931606056,8.643266768293234,8.822486501627283,8.999902680149273
10,10,12425456.0,0.00026712569000348984,3743.556076493188,4537.919348242105,10287.798817824789,16790.660566447634,60475.44910135906,104250.09986060449,147319.7718196774,152878.62661063255,158016.12927820595,163102.45288646762,163292.5100498191,163480.5467698989,3.3354223881617258,4.794237641597572,6.311780391118998,7.8139662400729755,9.27739053870927,10.726254246179714,12.15978812316866,12.364973735837964,12.568112697801556,12.750952727253974
11,11,12426032.0,0.0002647059935233151,3777.7761911987864,1374.4446912956726,7135.786297792398,12885.665767375081,19388.52751599793,63073.31605090936,106847.96681015479,149917.6387692277,155476.49356018283,160613.99622775623,165700.3198360179,165890.3769993694,4.0624208906555825,5.5799636401770085,7.082149489130986,8.545573787767282,9.994437495237724,11.427971372226672,11.633156984895974,11.836295946859567,12.019135976311986,12.200156812999165
12,12,12426546.0,0.0002592313215807205,3857.5585461752003,1630.579170753407,7294.258837576657,13055.600444073381,18805.479913656065,25308.341662278912,68993.13019719034,112767.78095643576,155837.45291550868,161396.30770646382,166533.81037403722,171620.1339822989,4.025895105470696,5.528080954424674,6.991505253060969,8.440368960531412,9.87390283752036,10.079088450189662,10.282227412153254,10.465067441605674,10.646088278292853,10.825308011626902
13,13,12427107.0,0.00026293847952447205,3803.170999575696,3262.065969398776,9023.4075758955,14773.287045478184,21276.14879410103,64960.93732901246,108735.58808825788,151805.2600473308,157364.11483828595,162501.61750585932,167587.94111412103,167777.99827747248,3.5644062037013367,5.081948953222763,6.58413480217674,8.047559100813036,9.496422808283478,10.929956685272426,11.135142297941728,11.33828125990532,11.52112128935774,11.702142126044919
14,14,12427717.0,0.00027197724284081876,3676.7782096580563,5113.417236962355,11616.278985585202,55301.067520496625,99075.71827974205,142145.39023881496,147704.24502977013,152841.7476973435,157928.0713056052,158118.12846895665,158306.1651890365,158440.55996955014,3.265865579402791,4.742608668653443,6.2014239220892895,7.7189666716107155,9.221152520564694,10.684576819200988,12.13344052667143,13.566974403660378,13.772160016329682,13.975298978293274
15,15,12428305.0,0.0002721676840355485,3674.205494100422,7711.5679317991335,17480.35225738668,64398.56847958827,111374.47539905061,157613.55207905706,166310.27703987906,174554.42912308508,179640.75273134676,179830.8098946982,180018.84661477804,180153.2413952917,5.237852542177657,7.592081892248907,9.919652699509925,12.297307169189821,14.651046909882842,16.114471208519138,17.56333491598958,18.99686879297853,19.20205440564783,19.40519336761142
16,16,12428957.0,0.0002695675051028097,3709.6459368076003,3016.0761278277914,12064.699551627715,21833.48387721526,68751.70009941685,115727.6070188792,161966.68369888564,170663.40865970764,178907.56074291366,183993.88435117534,184183.94151452678,184371.97823460662,6.400470012798113,8.72804082005913,11.105695289739026,13.459435030432047,14.922859329068343,16.371723036538786,17.80525691352773,18.010442526197036,18.213581488160628,18.396421517613046
17,17,12429515.0,0.0002630962820582178,3800.8898954289307,4949.857508690065,13711.508784692913,22431.845776235838,31875.610007599753,78472.03998201924,125129.3623195425,171053.0242287591,179437.47269366385,187372.45532719872,192152.68562170005,192342.7427850515,5.7502104208473614,8.127864890527258,10.481604631220279,11.945028929856575,13.393892637327017,14.827426514315965,15.032612126985267,15.23575108894886,15.41859111840128,15.599611955088458
18,18,12430250.0,0.0002611827676978977,3828.7365158664297,8252.435858781775,17014.087134784622,25734.424126327547,35178.18835769146,81774.61833211094,128431.9406696342,174355.6025788508,182740.05104375555,190675.03367729043,195455.26397179175,195645.3211351432,4.884469740629798,7.262124210309693,9.615863951002714,11.07928824963901,12.528151957109452,13.9616858340984,14.166871446767704,14.370010408731297,14.552850438183714,14.733871274870893
19,19,12431102.0,0.0002621771005352735,3814.215650254547,6520.801743809684,15282.453019812532,24002.790011355457,33446.55424271937,79880.10164509113,126376.16203783383,172140.16650524802,180366.54606821667,188301.52870175155,193081.75899625284,193271.81615960432,5.337613782716351,7.715268252396246,10.069007993089267,11.532432291725563,12.981295999196005,14.414829876184953,14.620015488854255,14.823154450817848,15.005994480270267,15.187015316957446
20,20,12431643.0,0.0002561649035439692,3903.7353914032797,8045.19769950897,17074.25698415608,25835.90826015893,34556.245251701854,44000.00948306577,90433.55688543753,136929.61727818023,182693.62174559443,190920.00130856305,198854.98394209793,203635.21423659925,4.976948440826244,7.330688181519266,8.79411248015556,10.242976187626004,11.67651006461495,11.881695677284254,12.084834639247847,12.267674668700264,12.448695505387443,12.627915238721494
