,index,blocknum,p0vs1,p1vs0,USDC-slippagemap_01,USDC-slippagemap_2,USDC-slippagemap_3,USDC-slippagemap_4,USDC-slippagemap_5,USDC-slippagemap_6,USDC-slippagemap_7,USDC-slippagemap_8,USDC-slippagemap_9,USDC-slippagemap_10,USDC-slippagemap_11,ZRX-slippagemap_01,ZRX-slippagemap_2,ZRX-slippagemap_3,ZRX-slippagemap_4,ZRX-slippagemap_5,ZRX-slippagemap_6,ZRX-slippagemap_7,ZRX-slippagemap_8,ZRX-slippagemap_9,ZRX-slippagemap_10
0,0,14102897.0,1.7708661604461182,0.564695414219265,22871.130488580744,51060.659224961935,78969.71167635077,106601.0778974319,133957.52119013475,161041.7768443375,187856.5530272692,214404.5314880175,214404.5314880175,214404.5314880175,214404.5314880175,109851.51384439462,159082.34358709594,207823.34391346166,256079.38779794285,303855.2989402825,303855.2989402825,303855.2989402825,303855.2989402825,303855.2989402825,303855.2989402825
1,1,14108672.0,1.7724605776511122,0.5641874423662573,21589.77538044726,49779.304116828454,77688.35656821728,105319.72278929841,132676.1660820013,159760.421736204,186575.19791913574,213123.176379884,213123.176379884,213123.176379884,213123.176379884,112121.6838345168,161352.5135772181,210093.51390358384,258349.55778806505,306125.46893040463,306125.46893040463,306125.46893040463,306125.46893040463,306125.46893040463,306125.46893040463
2,2,14110639.0,1.8499647747253303,0.5405508330008462,17250.648571731937,44882.014792813075,72238.45808551594,99322.71373971867,126137.48992265039,152685.46838339866,152685.46838339866,152685.46838339866,152685.46838339866,152685.46838339866,152685.46838339866,121612.96540566906,171838.2744974729,221563.85886690195,270794.68860960327,319535.68893596897,367791.7328204502,415567.6439627898,415567.6439627898,415567.6439627898,415567.6439627898
3,3,14112671.0,1.8833756085944442,0.530961532811979,19908.132084562872,47264.57537726573,74348.83103146846,101163.60721440018,127711.58567514845,127711.58567514845,127711.58567514845,127711.58567514845,127711.58567514845,127711.58567514845,127711.58567514845,117501.01205666689,168231.06939843108,218456.37849023493,268181.962859664,317412.79260236525,366153.792928731,414409.8368132122,462185.74795555184,462185.74795555184,462185.74795555184
4,4,14113715.0,1.8907347465088933,0.5288949186798564,14560.186581643624,41916.62987434649,69000.88552854922,95815.66171148093,122363.6401722292,122363.6401722292,122363.6401722292,122363.6401722292,122363.6401722292,122363.6401722292,122363.6401722292,127593.39739788685,178323.45473965103,228548.76383145485,278274.3482008839,327505.1779435852,376246.17826995096,424502.22215443215,472278.13329677173,472278.13329677173,472278.13329677173
5,5,14114368.0,1.8573790818440445,0.5383930559868152,11616.507703233707,39247.873924314845,66604.31721701771,93688.57287122044,120503.34905415216,147051.32751490045,147051.32751490045,147051.32751490045,147051.32751490045,147051.32751490045,147051.32751490045,132057.13538689833,182282.44447870218,232008.02884813122,281238.8585908325,329979.85891719826,378235.90280167945,426011.8139440191,426011.8139440191,426011.8139440191,426011.8139440191
6,6,14114899.0,1.7988867442068015,0.5558993656606984,517.1476680416781,28706.676404422873,56615.72885581169,84247.09507689283,111603.5383695957,138687.79402379843,165502.57020673013,192050.54866747843,192050.54866747843,192050.54866747843,192050.54866747843,149750.45838948613,198981.28813218744,247722.28845855317,295978.3323430344,343754.24348537397,343754.24348537397,343754.24348537397,343754.24348537397,343754.24348537397,343754.24348537397
7,7,14117286.0,1.7740564304057154,0.5636799274594136,20317.147666975972,48506.67640335717,76415.72885474599,104047.09507582712,131403.53836853,158487.79402273273,185302.57020566444,211850.5486664127,211850.5486664127,211850.5486664127,211850.5486664127,114378.40956820609,163609.23931090737,212350.2396372731,260606.28352175432,308382.1946640939,308382.1946640939,308382.1946640939,308382.1946640939,308382.1946640939,308382.1946640939
8,8,14117808.0,1.7410173617417533,0.5743768109236873,18690.567473544506,47163.39191089364,75352.92064727483,103261.97309866366,130893.33931974479,158249.78261244766,185334.0382666504,212148.8144495821,238696.79291033038,238696.79291033038,238696.79291033038,116425.99406721262,165166.99439357835,213423.03827805957,261198.94942039915,261198.94942039915,261198.94942039915,261198.94942039915,261198.94942039915,261198.94942039915,261198.94942039915
9,9,14119191.0,1.7252467573417252,0.5796272305654459,3087.779943689709,31846.746157836395,60319.57059518553,88509.09933156673,116418.15178295554,144049.51800403668,171405.96129673955,198490.21695094227,225304.993133874,251852.97159462227,251852.97159462227,142364.19731464548,190620.2411991267,238396.1523414663,238396.1523414663,238396.1523414663,238396.1523414663,238396.1523414663,238396.1523414663,238396.1523414663,238396.1523414663
10,10,14126549.0,1.7024540227380478,0.5873873753087941,22406.148328849693,51165.11454299638,79637.93898034551,107827.46771672671,135736.52016811553,163367.88638919668,190724.32968189954,217808.58533610226,244623.361519034,271171.33997978223,271171.33997978223,109254.1514019651,157510.1952864463,205286.1064287859,205286.1064287859,205286.1064287859,205286.1064287859,205286.1064287859,205286.1064287859,205286.1064287859,205286.1064287859
11,11,14127332.0,1.7195631103952218,0.5815430640229085,7939.592519628333,36698.55873377502,65171.38317112415,93360.91190750535,121269.96435889417,148901.3305799753,176257.77387267817,203342.0295268809,230156.80570981262,256704.7841705609,256704.7841705609,134007.09660371652,182263.1404881977,230039.05163053732,230039.05163053732,230039.05163053732,230039.05163053732,230039.05163053732,230039.05163053732,230039.05163053732,230039.05163053732
