,index,blocknum,p0vs1,p1vs0,USDP-slippagemap_01,USDP-slippagemap_2,USDP-slippagemap_3,USDP-slippagemap_4,USDP-slippagemap_5,USDP-slippagemap_6,USDP-slippagemap_7,USDP-slippagemap_8,USDP-slippagemap_9,USDP-slippagemap_10,USDP-slippagemap_11,USDP-slippagemap_12,USDP-slippagemap_13,USDP-slippagemap_14,USDP-slippagemap_15,USDP-slippagemap_16,USDP-slippagemap_17,USDP-slippagemap_18,USDP-slippagemap_19,USDP-slippagemap_20,USDC-slippagemap_01,USDC-slippagemap_2,USDC-slippagemap_3,USDC-slippagemap_4,USDC-slippagemap_5,USDC-slippagemap_6,USDC-slippagemap_7,USDC-slippagemap_8,USDC-slippagemap_9,USDC-slippagemap_10,USDC-slippagemap_11,USDC-slippagemap_12,USDC-slippagemap_13,USDC-slippagemap_14,USDC-slippagemap_15,USDC-slippagemap_16,USDC-slippagemap_17,USDC-slippagemap_18,USDC-slippagemap_19,USDC-slippagemap_20
0,0,13785801.0,0.9999026535686368,1.0000973559086135,7728632.955966366,7728632.955966366,7728632.955966366,7728632.955966366,7728632.955966366,7728632.955966366,7728632.955966366,7728632.955966366,7728632.955966366,7728632.955966366,7728632.955966366,7728632.955966366,7728632.955966366,7728632.955966366,7728632.955966366,7728632.955966366,7728632.955966366,7728632.955966366,7728632.955966366,7728632.955966366,8754012.32987376,8754012.32987376,8754012.32987376,8754012.32987376,8754012.32987376,8754012.32987376,8754012.32987376,8754012.32987376,8754012.32987376,8754012.32987376,8754012.32987376,8754012.32987376,8754012.32987376,8754012.32987376,8754012.32987376,8754012.32987376,8754012.32987376,8754012.32987376,8754012.32987376,8754012.32987376
1,1,13786301.0,0.9999026535686368,1.0000973559086135,7788000.908692171,7788000.908692171,7788000.908692171,7788000.908692171,7788000.908692171,7788000.908692171,7788000.908692171,7788000.908692171,7788000.908692171,7788000.908692171,7788000.908692171,7788000.908692171,7788000.908692171,7788000.908692171,7788000.908692171,7788000.908692171,7788000.908692171,7788000.908692171,7788000.908692171,7788000.908692171,8694646.327259777,8694646.327259777,8694646.327259777,8694646.327259777,8694646.327259777,8694646.327259777,8694646.327259777,8694646.327259777,8694646.327259777,8694646.327259777,8694646.327259777,8694646.327259777,8694646.327259777,8694646.327259777,8694646.327259777,8694646.327259777,8694646.327259777,8694646.327259777,8694646.327259777,8694646.327259777
2,2,13787709.0,0.9998026733013067,1.0001973656442043,8682382.232870953,8682382.232870953,8682382.232870953,8682382.232870953,8682382.232870953,8682382.232870953,8682382.232870953,8682382.232870953,8682382.232870953,8682382.232870953,8682382.232870953,8682382.232870953,8682382.232870953,8682382.232870953,8682382.232870953,8682382.232870953,8682382.232870953,8682382.232870953,8682382.232870953,8682382.232870953,7800351.284372283,7800351.284372283,7800351.284372283,7800351.284372283,7800351.284372283,7800351.284372283,7800351.284372283,7800351.284372283,7800351.284372283,7800351.284372283,7800351.284372283,7800351.284372283,7800351.284372283,7800351.284372283,7800351.284372283,7800351.284372283,7800351.284372283,7800351.284372283,7800351.284372283,7800351.284372283
3,3,13788653.0,0.9998026733013067,1.0001973656442043,8643595.43736385,8643595.43736385,8643595.43736385,8643595.43736385,8643595.43736385,8643595.43736385,8643595.43736385,8643595.43736385,8643595.43736385,8643595.43736385,8643595.43736385,8643595.43736385,8643595.43736385,8643595.43736385,8643595.43736385,8643595.43736385,8643595.43736385,8643595.43736385,8643595.43736385,8643595.43736385,7839132.124489935,7839132.124489935,7839132.124489935,7839132.124489935,7839132.124489935,7839132.124489935,7839132.124489935,7839132.124489935,7839132.124489935,7839132.124489935,7839132.124489935,7839132.124489935,7839132.124489935,7839132.124489935,7839132.124489935,7839132.124489935,7839132.124489935,7839132.124489935,7839132.124489935,7839132.124489935
4,4,13789998.0,0.9998026733013067,1.0001973656442043,8614496.016916037,8614496.016916037,8614496.016916037,8614496.016916037,8614496.016916037,8614496.016916037,8614496.016916037,8614496.016916037,8614496.016916037,8614496.016916037,8614496.016916037,8614496.016916037,8614496.016916037,8614496.016916037,8614496.016916037,8614496.016916037,8614496.016916037,8614496.016916037,8614496.016916037,8614496.016916037,7868227.208726567,7868227.208726567,7868227.208726567,7868227.208726567,7868227.208726567,7868227.208726567,7868227.208726567,7868227.208726567,7868227.208726567,7868227.208726567,7868227.208726567,7868227.208726567,7868227.208726567,7868227.208726567,7868227.208726567,7868227.208726567,7868227.208726567,7868227.208726567,7868227.208726567,7868227.208726567
5,5,13791852.0,0.9998026733013067,1.0001973656442043,8324134.0523536885,8324134.0523536885,8324134.0523536885,8324134.0523536885,8324134.0523536885,8324134.0523536885,8324134.0523536885,8324134.0523536885,8324134.0523536885,8324134.0523536885,8324134.0523536885,8324134.0523536885,8324134.0523536885,8324134.0523536885,8324134.0523536885,8324134.0523536885,8324134.0523536885,8324134.0523536885,8324134.0523536885,8324134.0523536885,8158552.092592498,8158552.092592498,8158552.092592498,8158552.092592498,8158552.092592498,8158552.092592498,8158552.092592498,8158552.092592498,8158552.092592498,8158552.092592498,8158552.092592498,8158552.092592498,8158552.092592498,8158552.092592498,8158552.092592498,8158552.092592498,8158552.092592498,8158552.092592498,8158552.092592498,8158552.092592498
6,6,13792380.0,0.9998026733013067,1.0001973656442043,8365330.524317899,8365330.524317899,8365330.524317899,8365330.524317899,8365330.524317899,8365330.524317899,8365330.524317899,8365330.524317899,8365330.524317899,8365330.524317899,8365330.524317899,8365330.524317899,8365330.524317899,8365330.524317899,8365330.524317899,8365330.524317899,8365330.524317899,8365330.524317899,8365330.524317899,8365330.524317899,8117360.196939556,8117360.196939556,8117360.196939556,8117360.196939556,8117360.196939556,8117360.196939556,8117360.196939556,8117360.196939556,8117360.196939556,8117360.196939556,8117360.196939556,8117360.196939556,8117360.196939556,8117360.196939556,8117360.196939556,8117360.196939556,8117360.196939556,8117360.196939556,8117360.196939556,8117360.196939556
7,7,13793643.0,0.9998026733013067,1.0001973656442043,8421428.547161005,8421428.547161005,8421428.547161005,8421428.547161005,8421428.547161005,8421428.547161005,8421428.547161005,8421428.547161005,8421428.547161005,8421428.547161005,8421428.547161005,8421428.547161005,8421428.547161005,8421428.547161005,8421428.547161005,8421428.547161005,8421428.547161005,8421428.547161005,8421428.547161005,8421428.547161005,8061268.769817638,8061268.769817638,8061268.769817638,8061268.769817638,8061268.769817638,8061268.769817638,8061268.769817638,8061268.769817638,8061268.769817638,8061268.769817638,8061268.769817638,8061268.769817638,8061268.769817638,8061268.769817638,8061268.769817638,8061268.769817638,8061268.769817638,8061268.769817638,8061268.769817638,8061268.769817638
8,8,13795029.0,0.9998026733013067,1.0001973656442043,8357857.786632101,8357857.786632101,8357857.786632101,8357857.786632101,8357857.786632101,8357857.786632101,8357857.786632101,8357857.786632101,8357857.786632101,8357857.786632101,8357857.786632101,8357857.786632101,8357857.786632101,8357857.786632101,8357857.786632101,8357857.786632101,8357857.786632101,8357857.786632101,8357857.786632101,8357857.786632101,8124832.087706096,8124832.087706096,8124832.087706096,8124832.087706096,8124832.087706096,8124832.087706096,8124832.087706096,8124832.087706096,8124832.087706096,8124832.087706096,8124832.087706096,8124832.087706096,8124832.087706096,8124832.087706096,8124832.087706096,8124832.087706096,8124832.087706096,8124832.087706096,8124832.087706096,8124832.087706096
9,9,13795679.0,0.9999026535686368,1.0000973559086135,8203703.71322966,8203703.71322966,8203703.71322966,8203703.71322966,8203703.71322966,8203703.71322966,8203703.71322966,8203703.71322966,8203703.71322966,8203703.71322966,8203703.71322966,8203703.71322966,8203703.71322966,8203703.71322966,8203703.71322966,8203703.71322966,8203703.71322966,8203703.71322966,8203703.71322966,8203703.71322966,8278970.352100006,8278970.352100006,8278970.352100006,8278970.352100006,8278970.352100006,8278970.352100006,8278970.352100006,8278970.352100006,8278970.352100006,8278970.352100006,8278970.352100006,8278970.352100006,8278970.352100006,8278970.352100006,8278970.352100006,8278970.352100006,8278970.352100006,8278970.352100006,8278970.352100006,8278970.352100006
