,index,blocknum,p0vs1,p1vs0,USDP-slippagemap_01,USDP-slippagemap_2,USDP-slippagemap_3,USDP-slippagemap_4,USDP-slippagemap_5,USDP-slippagemap_6,USDP-slippagemap_7,USDP-slippagemap_8,USDP-slippagemap_9,USDP-slippagemap_10,USDP-slippagemap_11,USDP-slippagemap_12,USDP-slippagemap_13,USDP-slippagemap_14,USDP-slippagemap_15,USDP-slippagemap_16,USDP-slippagemap_17,USDP-slippagemap_18,USDP-slippagemap_19,USDP-slippagemap_20,WETH-slippagemap_01,WETH-slippagemap_2,WETH-slippagemap_3,WETH-slippagemap_4,WETH-slippagemap_5,WETH-slippagemap_6,WETH-slippagemap_7,WETH-slippagemap_8,WETH-slippagemap_9,WETH-slippagemap_10,WETH-slippagemap_11,WETH-slippagemap_12,WETH-slippagemap_13,WETH-slippagemap_14,WETH-slippagemap_15,WETH-slippagemap_16,WETH-slippagemap_17,WETH-slippagemap_18,WETH-slippagemap_19,WETH-slippagemap_20
0,0,12864683.0,0.0005598030066516751,1786.3426743297712,10052.670059173737,29353.448829699413,48538.77510272464,58088.359677190216,77101.80146502002,96001.50986113031,105408.92666177607,124139.30927632302,142757.65139841897,152025.01710913875,170476.55427807433,188817.7192840022,197947.1188960961,216123.96210302852,234192.07628535383,243185.56340054987,261091.80223239484,278890.9304888244,287750.5287703798,305390.191605219,21.414970342584787,32.12601643439435,37.45748887158848,48.07257265550523,58.62415987061404,63.87626102431592,74.33331462658072,84.72781701086802,89.90172844893709,100.20310446273741,110.4428605684073,115.53974626372873,125.6877624382056,135.77507606107935,140.79608271596047,150.7930221633974,160.73016263912922,165.67641996067127,175.52453176639992,185.31373485911328
1,1,12865262.0,0.0005591316794863465,1788.4874649182154,12045.872459066455,31346.65122959213,50531.97750261736,60081.562077082934,79095.00386491274,97994.71226102303,107402.12906166879,126132.51167621574,144750.85379831167,154018.21950903148,172469.75667796706,190810.92168389494,199940.32129598883,218117.16450292125,236185.27868524654,245178.7658004426,263085.00463228754,280884.13288871705,289743.7311702725,307383.3940051117,20.299769057301823,31.010815149111387,36.34228758630552,46.95737137022227,57.50895858533107,62.76105973903296,73.21811334129775,83.61261572558506,88.78652716365413,99.08790317745445,109.32765928312433,114.42454497844577,124.57256115292263,134.65987477579637,139.68088143067752,149.67782087811443,159.61496135384627,164.5612186753883,174.40933048111694,184.19853357383033
2,2,12865868.0,0.0005590198699221634,1788.8451802960735,12399.721603852793,31700.50037437847,50885.8266474037,60435.41122186927,79448.85300969909,98348.56140580936,107755.97820645513,126486.36082100208,145104.70294309803,154372.0686538178,172823.6058227534,191164.77082868127,200294.17044077517,218471.0136477076,236539.12783003287,245532.61494522894,263438.8537770739,281237.9820335034,290097.5803150588,307737.2431498981,20.101933113896067,30.81297920570563,36.14445164289976,46.75953542681651,57.311122641925316,62.5632237956272,73.020277397892,83.4147797821793,88.58869122024836,98.8900672340487,109.12982333971857,114.22670903504,124.37472520951687,134.46203883239062,139.48304548727174,149.47998493470868,159.4171254104405,164.36338273198254,174.2114945377112,184.00069763042455
3,3,12866820.0,0.0005688314382003479,1757.9900350862647,13226.208257971208,32354.06785190496,51367.50963973477,60831.53782698493,79674.63483649082,98405.01745103777,107728.15148685405,126290.72528385349,144742.2624527891,153926.60033989578,172212.82707081086,190389.67027774328,199437.27768620724,217451.27157526463,235357.5104071096,244270.42324897862,262016.23694509454,279655.89977993374,288436.1231477419,305917.7492898166,19.750154722196786,30.55803034267416,35.93770018139814,46.648746273207706,57.29572145879555,62.59530249431859,73.14688970942738,83.63536007329319,88.85604446539406,99.25054684968137,109.582871954792,114.72583430155078,124.96559040722065,135.14409485309437,140.21049227701894,150.2978058998927,160.32477965549225,165.31575200221076,175.25289247794257,185.1305914485569
4,4,12867376.0,0.0005584053168585395,1790.8138941544667,14068.017063823652,33368.79583434933,52554.122107374555,62103.70668184013,81117.14846966993,100016.85686578022,109424.27366642599,128154.65628097294,146772.99840306886,156040.36411378867,174491.90128272425,192833.06628865213,201962.46590074603,220139.30910767845,238207.42329000373,247200.9104051998,265107.14923704474,282906.27749347425,291765.8757750297,309405.5386098689,19.169776388377876,29.880822480187437,35.21229491738156,45.82737870129832,56.37896591640712,61.631067070109005,72.0881206723738,82.4826230566611,87.65653449473017,97.9579105085305,108.19766661420039,113.29455230952182,123.44256848399867,133.5298821068724,138.55088876175355,148.5478282091905,158.4849686849223,163.43122600646436,173.279337812193,183.06854090490637
5,5,12868288.0,0.0005378538924316504,1859.240983604257,16856.54074108469,36507.861455135295,56041.63293715546,65764.65750479499,85123.42272871634,104366.38847727615,113944.66349674434,133015.22843063233,151971.71804628987,161407.39825515,180194.0533717022,198868.33170615902,208163.53979243868,226670.51217944484,245066.78055920074,254223.60767802192,272455.0606773196,290577.4579055122,299597.96467937354,317558.000120179,17.464297269563957,27.9842786621629,33.22064787232681,43.64637894324091,54.00974608678407,59.16815975382563,69.43867952727109,79.6477639015757,84.72938265212798,94.84700205791623,104.90410035380745,109.91006745452587,119.87706243398046,129.78443759851825,134.71587924759052,144.53449246414274,154.29437323748635,159.15239898335676,168.8248393197268,178.43942176654707
6,6,12869096.0,0.0005337285267642971,1873.6116768246409,19824.342741536784,39534.70302194667,59127.16060395106,68879.39694672264,88296.32246276063,107597.1012332863,117204.15248684335,136332.0120807771,155345.4538686069,164809.48205585708,183652.57906536295,202382.9616799099,211706.0957157262,230268.66951272564,248720.20668166122,257904.54456876792,276190.771299683,294367.61450661544,303415.22191507934,321429.21580413677,15.853638780635452,26.342109144501247,31.562793536602136,41.957295920889436,52.28962102600006,57.432583372758835,67.67233947842871,77.85084392430242,82.91724134822701,93.00455497110075,103.03152872670032,108.02250107341882,117.95964154915063,127.83734051976498,132.75401067642133,142.5432137691347,152.27386025553122,157.1173344165285,166.76080238628063,176.34658559735212
7,7,12869621.0,0.0005254673792746999,1903.0677058969773,15918.166527179523,35806.71145504458,55576.28829893591,65416.686570230704,85009.1441522351,104484.40506264621,114178.30601104467,133479.08478157033,152664.41105459558,162213.99562906113,181227.43741689096,200127.14581300123,209534.562613647,228264.94522819394,246883.2873502899,256150.65306100968,274602.1902299453,292943.35523587314,302072.75484796707,320249.5980548995,17.85582247344044,28.25032485772774,33.42423629579681,43.72561230959714,53.965368415267015,59.062254110588455,69.21027028506532,79.29758390793906,84.31859056282019,94.31553001025713,104.25267048598894,109.19892780753099,119.04703961325964,128.836242705973,133.7088634464991,143.41036335336682,153.05383132311894,157.8539119755598,167.4109824033675,176.9108850223915
8,8,12870252.0,0.0005185252775331774,1928.5462895027638,18131.151591215807,38139.380646507896,58027.925574372945,67927.5404091492,87637.90068955909,107230.35827156347,116982.59461433506,136399.52013037304,155700.29890089872,165307.35015445575,184435.20974838952,203448.65153621932,212912.67972346948,231755.77673297538,250486.15934752233,259809.2933833386,278371.8671803381,296823.40434927365,306007.74223638035,324293.9689672954,16.65040736418565,26.982732469296277,32.12569481605505,42.36545092172493,52.54395536759864,57.610352791523226,67.69766641439696,77.72464016999653,82.71561251671504,92.65275299244685,102.5304519630612,107.44712211971755,117.23632521243091,126.96697169882742,131.81044585982474,141.45391382957683,151.03969704064835,155.81106490982543,165.31096752884943,174.75404415204142
9,9,12870756.0,0.0005102952999685127,1959.649638281411,15036.624142399105,35225.73076428012,55294.07148505407,65283.18075372081,85171.72568158586,104941.30252547721,114781.700796772,134374.1583787764,153849.4192891875,163543.32023758595,182844.09900811163,202029.42528113685,211579.00985560243,230592.45164343223,249492.16003954253,258899.57684018827,277629.9594547352,296248.3015768312,305515.667287551,323967.20445648656,18.162416468566995,28.40217257423687,33.499058269558304,43.64707444403517,53.73438806690891,58.75539472179005,68.75233416922698,78.6894746449588,83.63573196650084,93.48384377222949,103.27304686494287,108.14566760546894,117.84716751233667,127.49063548208879,132.29071613452967,141.84778656233738,151.34768918136137,156.07630933986525,165.49110054019374,174.84957506941217
