,index,blocknum,p0vs1,p1vs0,WBTC-slippagemap_01,WBTC-slippagemap_2,WBTC-slippagemap_3,WBTC-slippagemap_4,WBTC-slippagemap_5,WBTC-slippagemap_6,WBTC-slippagemap_7,WBTC-slippagemap_8,WBTC-slippagemap_9,WBTC-slippagemap_10,WBTC-slippagemap_11,DAI-slippagemap_01,DAI-slippagemap_2,DAI-slippagemap_3,DAI-slippagemap_4,DAI-slippagemap_5,DAI-slippagemap_6,DAI-slippagemap_7,DAI-slippagemap_8,DAI-slippagemap_9,DAI-slippagemap_10
0,0,12659134.0,36918.64481144124,2.7086584708279862e-05,0.07082023950714832,2.3955512180116187,4.697151907091124,4.783617053854471,4.869221901710924,4.953975008267805,4.953975008267805,4.953975008267805,4.953975008267805,4.953975008267805,4.953975008267805,7193.396835726872,10404.78255446086,13584.216042346627,16732.015232496473,16732.015232496473,16732.015232496473,16732.015232496473,16732.015232496473,16732.015232496473,16732.015232496473
1,1,12660069.0,36075.64045027304,2.771953560681503e-05,0.08554766359756256,0.1746459328418919,0.2628577029825333,0.35019179575194004,0.436656942515287,0.522261790371741,0.6070148969286212,0.6070148969286212,0.6070148969286212,0.6070148969286212,0.6070148969286212,6615.3720428693705,9794.805530755137,12942.604720904985,12942.604720904985,12942.604720904985,12942.604720904985,12942.604720904985,12942.604720904985,12942.604720904985,12942.604720904985
2,2,12660776.0,35752.43246383149,2.79701248582635e-05,0.6989200115498546,2.41753264211702,4.119045645359691,5.803629141833254,7.471451600494596,9.122679764553293,10.757478767987784,12.376012035747326,13.894531602239283,15.397942387156391,16.886394735173106,101361.8812156473,104509.68040579715,104509.68040579715,104509.68040579715,104509.68040579715,104509.68040579715,104509.68040579715,104509.68040579715,104509.68040579715,104509.68040579715
3,3,12661911.0,35756.007707077864,2.796732812545096e-05,0.3639360509814348,1.2682392045475221,2.163544840791022,3.0499424740981245,3.9275207498134987,4.796367405224521,5.656569330869994,6.508212518028205,7.267472301274183,8.019177693732736,8.763403867741093,54977.97224129405,58125.77143144389,58125.77143144389,58125.77143144389,58125.77143144389,58125.77143144389,58125.77143144389,58125.77143144389,58125.77143144389,58125.77143144389
4,4,12662434.0,35357.79448755581,2.8282307041293267e-05,0.922393580861817,1.8745896398775077,2.8173116629996957,2.9055234331403375,2.992857525909744,3.0793226726730913,3.1649275205295453,3.2496806270864256,3.2496806270864256,3.2496806270864256,3.2496806270864256,38549.691892413284,41697.49108256314,41697.49108256314,41697.49108256314,41697.49108256314,41697.49108256314,41697.49108256314,41697.49108256314,41697.49108256314,41697.49108256314
5,5,12663559.0,35333.05392862767,2.830211059649663e-05,0.9525138392846386,1.9047098983003294,2.8474319214225177,2.935643691563159,3.0229777843325656,3.109442931095913,3.195047778952367,3.279800885509247,3.279800885509247,3.279800885509247,3.279800885509247,37485.02208464059,40632.82127479043,40632.82127479043,40632.82127479043,40632.82127479043,40632.82127479043,40632.82127479043,40632.82127479043,40632.82127479043,40632.82127479043
6,6,12664720.0,35535.01728680386,2.814125548128989e-05,0.6816346264210883,1.6338306854367792,2.576552708558967,2.6647644786996088,2.7520985714690154,2.8385637182323626,2.9241685660888166,3.008921672645697,3.008921672645697,3.008921672645697,3.008921672645697,47083.78828519782,50231.58747534767,50231.58747534767,50231.58747534767,50231.58747534767,50231.58747534767,50231.58747534767,50231.58747534767,50231.58747534767,50231.58747534767
7,7,12666390.0,35813.26024664831,2.7922618413205987e-05,0.3029390374837152,1.2551350964994061,2.197857119621594,2.2860688897622357,2.3734029825316423,2.4598681292949895,2.5454729771514435,2.630226083708324,2.630226083708324,2.630226083708324,2.630226083708324,60593.88843312003,63741.68762326988,63741.68762326988,63741.68762326988,63741.68762326988,63741.68762326988,63741.68762326988,63741.68762326988,63741.68762326988,63741.68762326988
8,8,12667565.0,35720.27135731127,2.7995308042230723e-05,0.42871514747694556,1.3809112064926363,2.3236332296148245,2.411844999755466,2.4991790925248725,2.5856442392882197,2.6712490871446737,2.756002193701554,2.756002193701554,2.756002193701554,2.756002193701554,56094.97521649744,59242.774406647295,59242.774406647295,59242.774406647295,59242.774406647295,59242.774406647295,59242.774406647295,59242.774406647295,59242.774406647295,59242.774406647295
9,9,12670540.0,35520.80683268029,2.81525136720703e-05,0.6980961874624466,1.6502922464781375,2.5930142696003253,2.681226039740967,2.7685601325103737,2.855025279273721,2.940630127130175,3.025383233687055,3.025383233687055,3.025383233687055,3.025383233687055,46498.923553008324,49646.72274315818,49646.72274315818,49646.72274315818,49646.72274315818,49646.72274315818,49646.72274315818,49646.72274315818,49646.72274315818,49646.72274315818
