,index,blocknum,p0vs1,p1vs0,WBTC-slippagemap_01,WBTC-slippagemap_2,WBTC-slippagemap_3,WBTC-slippagemap_4,WBTC-slippagemap_5,WBTC-slippagemap_6,WBTC-slippagemap_7,WBTC-slippagemap_8,WBTC-slippagemap_9,WBTC-slippagemap_10,WBTC-slippagemap_11,WBTC-slippagemap_12,WBTC-slippagemap_13,WBTC-slippagemap_14,WBTC-slippagemap_15,WBTC-slippagemap_16,WBTC-slippagemap_17,WBTC-slippagemap_18,WBTC-slippagemap_19,WBTC-slippagemap_20,DAI-slippagemap_01,DAI-slippagemap_2,DAI-slippagemap_3,DAI-slippagemap_4,DAI-slippagemap_5,DAI-slippagemap_6,DAI-slippagemap_7,DAI-slippagemap_8,DAI-slippagemap_9,DAI-slippagemap_10,DAI-slippagemap_11,DAI-slippagemap_12,DAI-slippagemap_13,DAI-slippagemap_14,DAI-slippagemap_15,DAI-slippagemap_16,DAI-slippagemap_17,DAI-slippagemap_18,DAI-slippagemap_19,DAI-slippagemap_20
0,0,12629748.0,36767.5957821339,2.7197862104595906e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,12674518.0,35262.461965802046,2.835876862397787e-05,0.05019476489665465,0.0963068612946222,0.142188983296488,0.18784228002849407,0.23326788944001806,0.2784669503249103,0.32344059076631887,0.36818993510352643,0.4127161033900882,0.4570202063600857,0.5011033531157009,0.5449666460433419,0.5886111794186984,0.6320380466749278,0.6406973960709684,0.6406973960709684,0.6406973960709684,0.6406973960709684,0.6406973960709684,0.6406973960709684,1825.9159089586735,3451.779366921908,5069.534197163274,6357.927017217302,6357.927017217302,6357.927017217302,6357.927017217302,6357.927017217302,6357.927017217302,6357.927017217302,6357.927017217302,6357.927017217302,6357.927017217302,6357.927017217302,6357.927017217302,6357.927017217302,6357.927017217302,6357.927017217302,6357.927017217302,6357.927017217302
2,2,12675030.0,35273.0417623009,2.8350262694633256e-05,0.0489784281494008,0.09509052454736834,0.14097264654923417,0.18662594328124021,0.2320515526927642,0.27725061357765646,0.322224254019065,0.3669735983562726,0.41149976664283433,0.45580386961283187,0.499887016368447,0.543750309296088,0.5873948426714446,0.630821709927674,0.6394810593237146,0.6394810593237146,0.6394810593237146,0.6394810593237146,0.6394810593237146,0.6394810593237146,1868.8156022427315,3494.679060205966,5112.433890447332,6400.826710501359,6400.826710501359,6400.826710501359,6400.826710501359,6400.826710501359,6400.826710501359,6400.826710501359,6400.826710501359,6400.826710501359,6400.826710501359,6400.826710501359,6400.826710501359,6400.826710501359,6400.826710501359,6400.826710501359,6400.826710501359,6400.826710501359
3,3,12675627.0,34275.14368736124,2.9175661789238367e-05,0.048141834366660675,0.09492739293918012,0.14147961922993912,0.18779967583005075,0.23388872300717284,0.27974791174877955,0.3253783873164798,0.37078129249238234,0.4159577597217782,0.4609089205129404,0.5056358965236138,0.5501398086529549,0.5944217661003391,0.6384828775592526,0.6823242449608304,0.7259469631656694,0.76935212394718,0.7736807160524868,0.7736807160524868,0.7736807160524868,1734.4143783270952,1734.4143783270952,1734.4143783270952,1734.4143783270952,1734.4143783270952,1734.4143783270952,1734.4143783270952,1734.4143783270952,1734.4143783270952,1734.4143783270952,1734.4143783270952,1734.4143783270952,1734.4143783270952,1734.4143783270952,1734.4143783270952,1734.4143783270952,1734.4143783270952,1734.4143783270952,1734.4143783270952,1734.4143783270952
4,4,12676632.0,33944.29852856427,2.946002843919416e-05,0.051692757433901816,0.0986893147230882,0.14545148803048263,0.1919804444841542,0.2382773493596602,0.28434335772692276,0.3301796243941419,0.37578729196342453,0.4211675006329576,0.4663213875468842,0.5112500791006194,0.5559546990555326,0.6004363644763433,0.6446961887976156,0.6887352768281714,0.7325547300598351,0.7761556428706357,0.819539107569041,0.819539107569041,0.819539107569041,170.12181675883946,170.12181675883946,170.12181675883946,170.12181675883946,170.12181675883946,170.12181675883946,170.12181675883946,170.12181675883946,170.12181675883946,170.12181675883946,170.12181675883946,170.12181675883946,170.12181675883946,170.12181675883946,170.12181675883946,170.12181675883946,170.12181675883946,170.12181675883946,170.12181675883946,170.12181675883946
5,5,12679637.0,33944.29852856427,2.946002843919416e-05,0.051752377433898614,0.09874893472308499,0.14551110803047942,0.19204006448415098,0.23833696935965698,0.2844029777269195,0.3302392443941387,0.3758469119634213,0.4212271206329544,0.46638100754688094,0.5113096991006162,0.5560143190555294,0.6004959844763401,0.6447558087976124,0.6887948968281681,0.7326143500598319,0.7762152628706324,0.8195987275690378,0.8195987275690378,0.8195987275690378,168.09795269506515,168.09795269506515,168.09795269506515,168.09795269506515,168.09795269506515,168.09795269506515,168.09795269506515,168.09795269506515,168.09795269506515,168.09795269506515,168.09795269506515,168.09795269506515,168.09795269506515,168.09795269506515,168.09795269506515,168.09795269506515,168.09795269506515,168.09795269506515,168.09795269506515,168.09795269506515
6,6,12687422.0,34350.62823186415,2.911154908871172e-05,0.047382436912232345,0.09412123553618833,0.14062693487497355,0.18690069890428787,0.23294368139998756,0.2787570358685065,0.3243419060900937,0.3696994332922189,0.4148307495185642,0.4597369833767472,0.5044192571460406,0.5488786898593008,0.5931163899583357,0.637133465263167,0.6809310145514142,0.724510133890098,0.7635454849164305,0.7635454849164305,0.7635454849164305,0.7635454849164305,1921.4288183647361,2082.1962573392634,2082.1962573392634,2082.1962573392634,2082.1962573392634,2082.1962573392634,2082.1962573392634,2082.1962573392634,2082.1962573392634,2082.1962573392634,2082.1962573392634,2082.1962573392634,2082.1962573392634,2082.1962573392634,2082.1962573392634,2082.1962573392634,2082.1962573392634,2082.1962573392634,2082.1962573392634,2082.1962573392634
7,7,12688016.0,33964.67020000513,2.9442358607087226e-05,0.0487756649853659,0.09577222227455227,0.14253439558194672,0.18906335203561828,0.23536025691112428,0.2814262652783868,0.327262531945606,0.3728701995148886,0.4182504081844217,0.46340429509834824,0.5083329866520835,0.5530376066069967,0.5975192720278074,0.6417790963490797,0.6858181843796354,0.7296376376112992,0.7732385504220997,0.8166220151205051,0.8166220151205051,0.8166220151205051,269.17672981962636,269.17672981962636,269.17672981962636,269.17672981962636,269.17672981962636,269.17672981962636,269.17672981962636,269.17672981962636,269.17672981962636,269.17672981962636,269.17672981962636,269.17672981962636,269.17672981962636,269.17672981962636,269.17672981962636,269.17672981962636,269.17672981962636,269.17672981962636,269.17672981962636,269.17672981962636
8,8,12688563.0,33978.2581061012,2.943058460729151e-05,0.05177151365762585,0.0987445801447992,0.14548337876875517,0.1919890781075404,0.23826284213685472,0.2843058246325544,0.3301191791010733,0.3757040493226606,0.4210615765247857,0.466192892751131,0.511099126609314,0.5557814003786075,0.6002408330918676,0.6444785331909025,0.6884956084957339,0.7322931577839811,0.7758722771226648,0.8149076281489973,0.8149076281489973,0.8149076281489973,327.4201708895808,327.4201708895808,327.4201708895808,327.4201708895808,327.4201708895808,327.4201708895808,327.4201708895808,327.4201708895808,327.4201708895808,327.4201708895808,327.4201708895808,327.4201708895808,327.4201708895808,327.4201708895808,327.4201708895808,327.4201708895808,327.4201708895808,327.4201708895808,327.4201708895808,327.4201708895808
9,9,12689092.0,34025.8586000361,2.938941267448102e-05,0.049881965710008934,0.0968315524140781,0.1435469895350527,0.19002944306645986,0.23628007576196,0.28230004398859726,0.3280904986035396,0.3736525832877836,0.4189874378818146,0.4640961954465484,0.5089799831130383,0.5536399228579453,0.5980771322087536,0.6422927203774652,0.6862877936099678,0.7300634502278599,0.7736207868699747,0.8083101976845904,0.8083101976845904,0.8083101976845904,551.7537335416546,551.7537335416546,551.7537335416546,551.7537335416546,551.7537335416546,551.7537335416546,551.7537335416546,551.7537335416546,551.7537335416546,551.7537335416546,551.7537335416546,551.7537335416546,551.7537335416546,551.7537335416546,551.7537335416546,551.7537335416546,551.7537335416546,551.7537335416546,551.7537335416546,551.7537335416546
