,index,blocknum,p0vs1,p1vs0,WBTC-slippagemap_01,WBTC-slippagemap_2,WBTC-slippagemap_3,WBTC-slippagemap_4,WBTC-slippagemap_5,WBTC-slippagemap_6,WBTC-slippagemap_7,WBTC-slippagemap_8,WBTC-slippagemap_9,WBTC-slippagemap_10,WBTC-slippagemap_11,USDC-slippagemap_01,USDC-slippagemap_2,USDC-slippagemap_3,USDC-slippagemap_4,USDC-slippagemap_5,USDC-slippagemap_6,USDC-slippagemap_7,USDC-slippagemap_8,USDC-slippagemap_9,USDC-slippagemap_10
0,0,12629747.0,38594.783577420094,2.5910237273232198e-05,3e-20,1.6e-19,2.9e-19,4.1e-19,5.4e-19,6.7e-19,7.9e-19,9.1e-19,1.04e-18,1.16e-18,1.28e-18,1.403211e-14,1.89453e-14,1.89453e-14,1.89453e-14,1.89453e-14,1.89453e-14,1.89453e-14,1.89453e-14,1.89453e-14,2.348077e-14
1,1,12652612.0,38594.783577420094,2.5910237273232198e-05,3e-20,0.9999999985945901,1.9900503356215664,1.9900503356215664,1.9900503356215664,1.9900503356215664,1.9900503356215664,1.9900503356215664,1.9900503356215664,1.9900503356215664,1.9900503356215664,1.403211e-14,1.89453e-14,1.89453e-14,1.89453e-14,1.89453e-14,1.89453e-14,1.89453e-14,1.89453e-14,1.89453e-14,2.348077e-14
2,2,12654186.0,38594.783577420094,2.5910237273232198e-05,0.003302919214414061,1.0198971558793783,2.026376623923724,2.042642290359714,2.0587461187168867,2.0746897192616824,2.0904746863191015,2.1061025981469963,2.1215750173197527,2.136893491027055,2.1520595509812717,1782.1903161752698,2406.2050363859876,3024.011023051095,3635.6700356727956,4241.243235654917,4840.7911923040765,5434.373835998033,6022.050539091587,6603.880035745831,7179.920535842004
3,3,12662339.0,38594.783577420094,2.5910237273232198e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17716.427824790375,35256.582799638454,35256.582799638454,35256.582799638454,35256.582799638454,35256.582799638454,35256.582799638454,35256.582799638454
4,4,12664651.0,35856.35460157529,2.7889059306549438e-05,13.696573897566987,29.18689326486425,29.18689326486425,29.18689326486425,29.18689326486425,29.18689326486425,29.18689326486425,29.18689326486425,29.18689326486425,29.18689326486425,29.18689326486425,629481.5242878947,629481.5242878947,629481.5242878947,629481.5242878947,629481.5242878947,629481.5242878947,629481.5242878947,629481.5242878947,629481.5242878947,629481.5242878947
5,5,12666349.0,35852.769324642824,2.7891848212480093e-05,13.770603935010367,29.26092330230763,29.26092330230763,29.26092330230763,29.26092330230763,29.26092330230763,29.26092330230763,29.26092330230763,29.26092330230763,29.26092330230763,29.26092330230763,626826.987056071,626826.987056071,626826.987056071,626826.987056071,626826.987056071,626826.987056071,626826.987056071,626826.987056071,626826.987056071,626826.987056071
6,6,12668375.0,35770.40682643169,2.7956070079165938e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,7,12670215.0,35770.40682643169,2.7956070079165938e-05,0.8540826515279261,1.6999313136953467,2.5373640516233307,3.366464618316573,4.187315904408114,4.999999997994224,5.804598145646145,5.804598145646145,5.804598145646145,5.804598145646145,5.804598145646145,60826.300883286705,60826.300883286705,60826.300883286705,60826.300883286705,60826.300883286705,60826.300883286705,60826.300883286705,60826.300883286705,60826.300883286705,60826.300883286705
8,8,12670743.0,35062.14037469687,2.8520791637742265e-05,0.8625503771380622,1.7168995314659616,2.5627481936333822,3.4001809315613665,4.2292814982546085,5.0501327843461485,5.862816877932259,6.667415025584181,6.667415025584181,6.667415025584181,6.667415025584181,30269.83949223973,30269.83949223973,30269.83949223973,30269.83949223973,30269.83949223973,30269.83949223973,30269.83949223973,30269.83949223973,30269.83949223973,30269.83949223973
9,9,12671310.0,34371.33463394723,2.9094011351317706e-05,0.2588434006873083,0.51641566838336,0.7714251734513192,1.023897418093963,1.2738576444778935,1.5213308515302668,1.7663417807741466,2.008914934188257,2.249074562569612,2.4868446809349067,2.7222490645774284,8986.456765832128,8986.456765832128,8986.456765832128,8986.456765832128,8986.456765832128,8986.456765832128,8986.456765832128,8986.456765832128,8986.456765832128,8986.456765832128
10,10,12672814.0,34422.927741443156,2.9050405227329327e-05,0.23835621215386377,0.4959284798499154,0.7509379849178747,1.0034102295605185,1.253370455944449,1.5008436629968223,1.745854592240702,1.9884277456548125,2.2285873740361675,2.466357492401462,2.701761876043984,9691.181514870059,9691.181514870059,9691.181514870059,9691.181514870059,9691.181514870059,9691.181514870059,9691.181514870059,9691.181514870059,9691.181514870059,9691.181514870059
11,11,12674502.0,35684.66506832843,2.8023241862722147e-05,0.030095972366887706,0.28510547743484693,0.5375777220774909,0.7875379484614212,1.0350111555137946,1.2800220847576742,1.5225952381717847,1.7627548665531398,2.0005249849184343,2.2359293685609565,2.4689915574014845,26018.725196384203,26018.725196384203,26018.725196384203,26018.725196384203,26018.725196384203,26018.725196384203,26018.725196384203,26018.725196384203,26018.725196384203,26018.725196384203
