,index,blocknum,p0vs1,p1vs0,WBTC-slippagemap_01,WBTC-slippagemap_2,WBTC-slippagemap_3,WBTC-slippagemap_4,WBTC-slippagemap_5,WBTC-slippagemap_6,WBTC-slippagemap_7,WBTC-slippagemap_8,WBTC-slippagemap_9,WBTC-slippagemap_10,WBTC-slippagemap_11,WBTC-slippagemap_12,WBTC-slippagemap_13,WBTC-slippagemap_14,WBTC-slippagemap_15,WBTC-slippagemap_16,WBTC-slippagemap_17,WBTC-slippagemap_18,WBTC-slippagemap_19,WBTC-slippagemap_20,USDC-slippagemap_01,USDC-slippagemap_2,USDC-slippagemap_3,USDC-slippagemap_4,USDC-slippagemap_5,USDC-slippagemap_6,USDC-slippagemap_7,USDC-slippagemap_8,USDC-slippagemap_9,USDC-slippagemap_10,USDC-slippagemap_11,USDC-slippagemap_12,USDC-slippagemap_13,USDC-slippagemap_14,USDC-slippagemap_15,USDC-slippagemap_16,USDC-slippagemap_17,USDC-slippagemap_18,USDC-slippagemap_19,USDC-slippagemap_20
0,0,12611597.0,36878.1561573643,2.7116323162493777e-05,0.05647054789229204,0.11019444094043966,0.1636504001496615,0.21683975958015084,0.2697638494609924,0.2908595054962496,0.2908595054962496,0.2908595054962496,0.2908595054962496,0.2908595054962496,0.2908595054962496,0.2908595054962496,0.2908595054962496,0.2908595054962496,0.2908595054962496,0.2908595054962496,0.2908595054962496,0.2908595054962496,0.2908595054962496,0.2908595054962496,2298.0177283019434,4278.2655991196925,14832.31157413964,102393.97662487274,189518.94451873383,276209.39615317463,362467.5016760105,448295.41210769495,533695.2760324142,618669.2288162413,703219.3917320314,787347.8813443218,871056.7985242897,954348.2379026084,1037224.2793558382,1039070.656666759,1040907.8255715778,1042735.8320667197,1044554.7217458759,1046364.5401375694
1,1,12612097.0,37040.76940072925,2.699727938103554e-05,0.053898203671701124,0.10751476253369294,0.16086392216249534,0.2139470137728013,0.2667653659035577,0.2667653659035577,0.2667653659035577,0.2667653659035577,0.2667653659035577,0.2667653659035577,0.2667653659035577,0.2667653659035577,0.2667653659035577,0.2667653659035577,0.2667653659035577,0.2667653659035577,0.2667653659035577,0.2667653659035577,0.2667653659035577,0.2667653659035577,2393.7088536257447,4377.920963309979,6352.237274379325,68312.40347981342,155611.78666685527,242475.78545361187,328906.56942774355,414906.2993504429,500477.1263860696,585621.1887757168,670340.6135205664,754637.5181234888,838514.0123899884,921972.1925187455,1005014.1428298551,1039223.7799656934,1041064.6267188695,1042896.2926591294,1044718.8236263124,1046532.2651059614
2,2,12612597.0,37200.37964487768,2.6881446091308785e-05,0.05783256381716116,0.11131525501981063,0.16453121448222727,0.21748177142865452,0.2438579375728299,0.2438579375728299,0.2438579375728299,0.2438579375728299,0.2438579375728299,0.2438579375728299,0.2438579375728299,0.2438579375728299,0.2438579375728299,0.2438579375728299,0.2438579375728299,0.2438579375728299,0.2438579375728299,0.2438579375728299,0.2438579375728299,0.2438579375728299,2248.270959719389,4237.449510617912,6216.707558989099,25349.152585795702,112867.04811156694,199948.4683064115,286595.5893362033,372810.5764612975,458595.58825245255,543952.7657444783,628884.2416318072,713392.1446337581,797478.5808585595,881145.655952249,964395.4615701408,1039150.2939573098,1040995.7483645054,1042831.9989929661,1044659.0917050539,1046477.072254415
3,3,12613120.0,37457.93693763062,2.669661176655434e-05,0.058390275238599985,0.11168611482528534,0.16471615217678856,0.2069496970905156,0.2069496970905156,0.2069496970905156,0.2069496970905156,0.2069496970905156,0.2069496970905156,0.2069496970905156,0.2069496970905156,0.2069496970905156,0.2069496970905156,0.2069496970905156,0.2069496970905156,0.2069496970905156,0.2069496970905156,0.2069496970905156,0.2069496970905156,0.2069496970905156,2227.6921175328443,4223.844723313807,6210.041936122921,8186.333416638875,53028.256531926825,140414.97975675814,227365.8828965629,313883.1377012716,399968.9047450689,485625.34016803565,570854.5848722997,655658.7661435744,740040.0070158178,824000.417901845,907542.0931519537,990667.123120537,1041082.674989548,1042925.3634014997,1044758.8618364037,1046583.2161675672
4,4,12613636.0,37514.163190919324,2.66565988666931e-05,0.05515772573953901,0.10842692451158438,0.16143045581439,0.1983755642172878,0.1983755642172878,0.1983755642172878,0.1983755642172878,0.1983755642172878,0.1983755642172878,0.1983755642172878,0.1983755642172878,0.1983755642172878,0.1983755642172878,0.1983755642172878,0.1983755642172878,0.1983755642172878,0.1983755642172878,0.1983755642172878,0.1983755642172878,0.1983755642172878,2348.9535964306947,4346.104444202475,6333.294968567876,8310.574820106194,44586.95643060536,132017.38220248176,219011.7687090965,305572.2900002921,391701.1090569857,477400.3820085736,562672.2498081555,647518.8424022453,731942.2830343595,815944.6798173868,899528.1351625838,982694.7347056103,1041219.3251335687,1043062.9350897209,1044897.3504521408,1046722.617110149
5,5,12614153.0,36911.359777140366,2.709193066952011e-05,0.056954964152308274,0.11065200426458806,0.16408124365851073,0.21724401606259483,0.27014165130287976,0.28595943728570583,0.28595943728570583,0.28595943728570583,0.28595943728570583,0.28595943728570583,0.28595943728570583,0.28595943728570583,0.28595943728570583,0.28595943728570583,0.28595943728570583,0.28595943728570583,0.28595943728570583,0.28595943728570583,0.28595943728570583,0.28595943728570583,2280.2427913616893,4261.48096471138,6232.838150963931,93838.29078642408,181006.83261241505,267740.6394010326,354041.88114163885,439912.7137926828,525355.2859711879,610371.733137435,694964.1818324955,779134.7437774548,862885.5227074531,946218.6162312041,1029136.1047162558,1039067.2289983698,1040905.3166848258,1042734.2373662755,1044554.0367131839,1046364.7602138683
6,6,12614675.0,36841.29827608227,2.7143451691256217e-05,0.0565173343612875,0.11026809599190456,0.16375078719455402,0.21696674665697066,0.2699173036033979,0.2962934697475733,0.2962934697475733,0.2962934697475733,0.2962934697475733,0.2962934697475733,0.2962934697475733,0.2962934697475733,0.2962934697475733,0.2962934697475733,0.2962934697475733,0.2962934697475733,0.2962934697475733,0.2962934697475733,0.2962934697475733,0.2962934697475733,2296.1857611828896,4275.443809554076,23407.888836360682,110925.78436213192,198007.20455697647,284654.3255867683,370869.3127118625,456654.32450301753,542011.5019950434,626942.9778823722,711450.8808843232,795537.3171091245,879204.392202814,962454.1978207057,1037209.0302078747,1039054.4846150703,1040890.7352435311,1042717.827955619,1044535.8085049799,1046344.7222825576
7,7,12615182.0,37155.76819206409,2.6913721574288023e-05,0.058720883841065004,0.11223032213090553,0.16547289607904192,0.21844993255444187,0.2501092489903744,0.2501092489903744,0.2501092489903744,0.2501092489903744,0.2501092489903744,0.2501092489903744,0.2501092489903744,0.2501092489903744,0.2501092489903744,0.2501092489903744,0.2501092489903744,0.2501092489903744,0.2501092489903744,0.2501092489903744,0.2501092489903744,0.2501092489903744,2215.210314473416,4203.3946187982665,6181.663326895025,33888.22079163467,121362.36987135162,208400.26126273398,295004.0713191974,381175.96543198125,466918.09468326205,552232.6076090782,637121.6317646583,721587.2931299113,805631.7000981085,889256.9528374656,972465.145149407,1039102.8285511908,1040947.360545351,1042782.6932865673,1044608.8727387462,1046425.9445789774
8,8,12615697.0,36683.22868999943,2.7260413974209957e-05,0.05842517687376336,0.11228354192263516,0.1658733012484761,0.21919579349842508,0.2722523523084887,0.31977697704679553,0.31977697704679553,0.31977697704679553,0.31977697704679553,0.31977697704679553,0.31977697704679553,0.31977697704679553,0.31977697704679553,0.31977697704679553,0.31977697704679553,0.31977697704679553,0.31977697704679553,0.31977697704679553,0.31977697704679553,0.31977697704679553,2225.751391822789,4201.055042995216,57604.24027996669,144947.28179908716,231854.72068448068,318328.7288523795,404371.46949860384,489985.08875505,575171.7324786077,659933.5252974498,744272.5874784908,828191.0291281422,911690.9442230174,994774.4252834063,1037084.9940659467,1038926.7614291272,1040759.3434484974,1042582.7858031573,1044397.1341744172,1046202.4339341238
9,9,12616258.0,37059.29348987698,2.6983784789992214e-05,0.05687304605036587,0.1104628053762068,0.1637852976261558,0.21684185643621945,0.2643664811745262,0.2643664811745262,0.2643664811745262,0.2643664811745262,0.2643664811745262,0.2643664811745262,0.2643664811745262,0.2643664811745262,0.2643664811745262,0.2643664811745262,0.2643664811745262,0.2643664811745262,0.2643664811745262,0.2643664811745262,0.2643664811745262,0.2643664811745262,2283.626377106013,4268.830802330397,6244.134453502825,59647.319690474294,146990.36120959476,233897.80009498828,320371.8082628871,406414.5489091114,492028.1681655576,577214.8118891153,661976.6047079574,746315.6668889985,830234.1085386499,913734.0236335251,996817.5046939139,1039128.0734764542,1040969.8408396348,1042802.422859005,1044625.865213665,1046440.2135849248
10,10,12616801.0,36234.81082066011,2.759777068933466e-05,0.05452683003703767,0.1087363981040428,0.16267560723083435,0.21634580713920515,0.26974833887898775,0.3228845386192656,0.375755732962915,0.38629828746519973,0.38629828746519973,0.38629828746519973,0.38629828746519973,0.38629828746519973,0.38629828746519973,0.38629828746519973,0.38629828746519973,0.38629828746519973,0.38629828746519973,0.38629828746519973,0.38629828746519973,0.38629828746519973,2366.345789122059,81427.64367063085,168639.77569502112,255416.95959721078,341761.36028139136,427675.1386450883,513160.44081531785,598219.4048560744,682854.1574687592,767066.8131662388,850859.4760090269,934234.2439938684,1017193.1979457006,1035213.1143704558,1037052.1212835499,1038881.9566122992,1040702.6659849405,1042514.295027434,1043957.0908488147,1043957.0908488147
11,11,12617304.0,35759.677850250526,2.796445773889974e-05,0.3650862239792782,0.4196492836841887,0.47394022203939734,0.5279603975332054,0.5817111591638225,0.6351938503664719,0.6884098098288886,0.7413603667753158,0.7677365329194912,0.7677365329194912,0.7677365329194912,0.7677365329194912,0.7677365329194912,0.7677365329194912,0.7677365329194912,0.7677365329194912,0.7677365329194912,0.7677365329194912,0.7677365329194912,0.7677365329194912,102560.31879562346,189641.738990468,276288.8600202598,362503.847145354,448288.85893650906,533646.0364285349,618577.5123158637,703085.4153178147,787171.851542616,870838.9266363055,954088.7322541972,1028843.5646413662,1030689.0190485618,1032525.2696770226,1034352.3623891105,1036170.3429384715,1037979.2567160492,1038880.3276997973,1038880.3276997973,1038880.3276997973
12,12,12617838.0,35340.21432615689,2.8296376212406122e-05,2.482746326079555,3.257895166369872,3.3125128143557765,3.3668580672935478,3.4209322870235117,3.4747368244395,3.528273023531662,3.5815422223037072,3.634545753606513,3.671490862009411,3.671490862009411,3.671490862009411,3.671490862009411,3.671490862009411,3.671490862009411,3.671490862009411,3.671490862009411,3.671490862009411,3.671490862009411,3.671490862009411,103777.40299098703,190337.92428218265,276466.74333887623,362166.01629046415,447437.884090046,532284.4766841357,616707.9173162499,700710.3140992773,784293.7694444744,867460.3689875009,925984.9594154592,927828.5693716113,929662.9847340314,931488.2513920395,933304.4149453304,935111.5208050456,935651.8930713338,935651.8930713338,935651.8930713338,935651.8930713338
13,13,12618349.0,35471.208759818095,2.8191878285602813e-05,2.3045439460730353,2.3593256846390167,2.413834211791805,2.468070888840012,2.5220370738944613,2.575734114006741,2.629163353400664,2.682326125804748,2.7352237610450327,2.751041547027859,2.751041547027859,2.751041547027859,2.751041547027859,2.751041547027859,2.751041547027859,2.751041547027859,2.751041547027859,2.751041547027859,2.751041547027859,2.751041547027859,101622.19301817601,188355.99980679352,274657.2415473998,360528.07419844373,445970.64637694886,530987.093543196,615579.5422382564,699750.1041832158,783500.883113214,866833.9766369651,949751.4651220167,959682.5894041307,961520.6770905867,963349.5977720364,965169.3971189448,966980.1206196293,968242.2511772657,968242.2511772657,968242.2511772657,968242.2511772657
14,14,12618931.0,35280.1899981028,2.834451855428713e-05,2.6414368861380075,3.656939220444108,3.7115841824951823,3.765956614705391,3.820057876130032,3.8738893208548446,3.9274522931414846,3.98074813272817,4.033778170079674,4.076011714993401,4.076011714993401,4.076011714993401,4.076011714993401,4.076011714993401,4.076011714993401,4.076011714993401,4.076011714993401,4.076011714993401,4.076011714993401,4.076011714993401,105872.65282707523,192389.90763178398,278475.6746755813,364132.11009854794,449361.35480281204,534165.5360740867,618546.7769463301,702507.1878323572,786048.8630824661,869173.8930510494,919589.4449200603,921432.1333320121,923265.631766916,925089.9860980796,926905.2418478508,928711.4444072259,929071.6025095849,929071.6025095849,929071.6025095849,929071.6025095849
15,15,12619437.0,35446.388842645836,2.821161852168399e-05,2.4633166590419844,2.5181257942753903,2.57266157965101,2.626925381104747,2.6809185554158144,2.734642448463962,2.788098407673184,2.841287767103673,2.8942118569845148,2.915307513019772,2.915307513019772,2.915307513019772,2.915307513019772,2.915307513019772,2.915307513019772,2.915307513019772,2.915307513019772,2.915307513019772,2.915307513019772,2.915307513019772,104490.01732067876,191180.46895511955,277438.57447795547,363266.4849096399,448666.34883435915,533640.3016181863,618190.4645339763,702318.9541462667,786027.8713262347,869319.3107045533,952195.3521577831,954041.729468704,955878.8983735227,957706.9048686646,959525.7945478208,961335.6129395143,962417.1686258723,962417.1686258723,962417.1686258723,962417.1686258723
16,16,12619938.0,36032.473071230976,2.775274397688843e-05,0.05812883231311465,0.11247408525088591,0.16654830498084985,0.22035284239683794,0.27388904148900006,0.3271582402610454,0.380161771563851,0.41710687996674883,0.41710687996674883,0.41710687996674883,0.41710687996674883,0.41710687996674883,0.41710687996674883,0.41710687996674883,0.41710687996674883,0.41710687996674883,0.41710687996674883,0.41710687996674883,0.41710687996674883,0.41710687996674883,36544.48243348329,123974.90820535971,210969.29471197445,297529.81600317004,383658.6350598637,469357.90801145154,554629.7758110334,639476.3684051231,723899.8090372374,807902.2058202646,891485.6611654618,974652.2607084883,1033176.8511364467,1035020.4610925987,1036854.8764550188,1038680.143113027,1040496.3066663177,1042303.412526033,1042843.7847923212,1042843.7847923212
17,17,12620457.0,35549.327412233535,2.8129927421801842e-05,1.7785625879713738,1.8332895741322695,1.8877436224591624,1.9419260924672082,1.9958383403897406,2.049481714181002,2.102857553140139,2.1559671916978234,2.2088119588038047,2.214081917564757,2.214081917564757,2.214081917564757,2.214081917564757,2.214081917564757,2.214081917564757,2.214081917564757,2.214081917564757,2.214081917564757,2.214081917564757,2.214081917564757,103291.71873062158,190112.29668050786,276499.87896256434,362456.6239443729,447984.6777612613,533086.1785439616,617763.2556747772,702018.0264613391,785852.5952950168,869269.0579744583,952269.5009575849,978382.2536082274,980222.1801911185,982052.9306262869,983874.5505594056,985687.0855755791,987310.6369774832,987310.6369774832,987310.6369774832,987310.6369774832
18,18,12621003.0,35460.56952510802,2.8200336694873033e-05,2.369905751415212,2.424687489981193,2.4791960171339817,2.5334326941821885,2.587398879236638,2.641095919348918,2.6945251587428407,2.7476879311469244,2.8005855663872095,2.8164033523700356,2.8164033523700356,2.8164033523700356,2.8164033523700356,2.8164033523700356,2.8164033523700356,2.8164033523700356,2.8164033523700356,2.8164033523700356,2.8164033523700356,2.8164033523700356,99303.91447151365,186037.72126013116,272338.9630007374,358209.7956517814,443652.3678302865,528668.8149965336,613261.263691594,697431.8256365535,781182.6045665517,864515.6980903026,947433.1865753544,957364.3108574684,959202.3985439243,961031.319225374,962851.1185722824,964661.842072967,965923.9726306034,965923.9726306034,965923.9726306034,965923.9726306034
