,index,blocknum,p0vs1,p1vs0,WBTC-slippagemap_01,WBTC-slippagemap_2,WBTC-slippagemap_3,WBTC-slippagemap_4,WBTC-slippagemap_5,WBTC-slippagemap_6,WBTC-slippagemap_7,WBTC-slippagemap_8,WBTC-slippagemap_9,WBTC-slippagemap_10,WBTC-slippagemap_11,USDT-slippagemap_01,USDT-slippagemap_2,USDT-slippagemap_3,USDT-slippagemap_4,USDT-slippagemap_5,USDT-slippagemap_6,USDT-slippagemap_7,USDT-slippagemap_8,USDT-slippagemap_9,USDT-slippagemap_10
0,0,12629742.0,35766.83014341735,2.7958865686173854e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,12652619.0,35766.83014341735,2.7958865686173854e-05,0.0,0.0,0.0,0.0,0.0,0.5024998534707192,1.0000000034546026,1.4925501865980266,1.4925501865980266,1.4925501865980266,1.4925501865980266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,12655512.0,35766.83014341735,2.7958865686173854e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3,12661752.0,35766.83014341735,2.7958865686173854e-05,5.73127614e-12,0.0025364907801862326,0.005047744308447222,0.007534011665558271,0.009995541507145322,0.01243257992852541,0.014845370642351417,0.014845370642351417,0.014845370642351417,0.014845370642351417,0.014845370642351417,269.4946627830114,357.5445870770631,357.5445870770631,357.5445870770631,357.5445870770631,357.5445870770631,357.5445870770631,357.5445870770631,357.5445870770631,357.5445870770631
4,4,12662330.0,35766.83014341735,2.7958865686173854e-05,5.73127614e-12,5.502536485238608,10.950324548215168,10.95281081557228,10.955272345413867,10.957709383835246,10.960122174549072,10.960122174549072,10.960122174549072,10.960122174549072,10.960122174549072,269.4946627830114,357.5445870770631,357.5445870770631,357.5445870770631,357.5445870770631,357.5445870770631,357.5445870770631,357.5445870770631,357.5445870770631,357.5445870770631
5,5,12664809.0,35656.130178472216,2.804566830428954e-05,0.00039625610603090204,0.0029327468804857654,0.005444000408746662,0.007930267765857712,0.010391797607444762,0.01282883602882485,0.015241626742650857,0.015241626742650857,0.015241626742650857,0.015241626742650857,0.015241626742650857,255.3424185389815,343.3923428330332,343.3923428330332,343.3923428330332,343.3923428330332,343.3923428330332,343.3923428330332,343.3923428330332,343.3923428330332,343.3923428330332
6,6,12667675.0,36000.06005413618,2.777773143978704e-05,0.0017150526603633843,0.004226306188624281,0.0067125735457353305,0.009174103387322382,0.01161114180870247,0.014023932522528476,0.014023932522528476,0.014023932522528476,0.014023932522528476,0.014023932522528476,0.014023932522528476,210.03802790033552,298.9728225595296,387.0227468535813,387.0227468535813,387.0227468535813,387.0227468535813,387.0227468535813,387.0227468535813,387.0227468535813,387.0227468535813
7,7,12668402.0,35681.09695863257,2.802604418690842e-05,0.038678304948144004,0.35837950408062413,0.6748997817793384,0.9882707837310983,1.298523850677445,1.6056900006566657,1.9097999513942712,2.208495321492908,2.5042187700266583,2.5042187700266583,2.5042187700266583,21464.960698873634,21553.010623167687,21553.010623167687,21553.010623167687,21553.010623167687,21553.010623167687,21553.010623167687,21553.010623167687,21553.010623167687,21553.010623167687
8,8,12670185.0,35681.09695863257,2.802604418690842e-05,0.00030687142850492545,0.0028433622029597886,0.005354615731220686,0.007840883088331644,0.010302412929918604,0.01273945135129867,0.015152242065124654,0.015152242065124654,0.015152242065124654,0.015152242065124654,0.015152242065124654,258.53094458818276,346.5808688822345,346.5808688822345,346.5808688822345,346.5808688822345,346.5808688822345,346.5808688822345,346.5808688822345,346.5808688822345,346.5808688822345
9,9,12670950.0,33890.12338710255,2.95071218413022e-05,0.0018263412679559235,0.004414069968573345,0.006976051650755517,0.00951254242521038,0.012023795953471276,0.014510063310582235,0.016971593152169197,0.019408631573549193,0.021821422287375113,0.021821422287375113,0.021821422287375113,114.65490000665591,114.65490000665591,114.65490000665591,114.65490000665591,114.65490000665591,114.65490000665591,114.65490000665591,114.65490000665591,114.65490000665591,114.65490000665591
