,index,blocknum,p0vs1,p1vs0,WBTC-slippagemap_01,WBTC-slippagemap_2,WBTC-slippagemap_3,WBTC-slippagemap_4,WBTC-slippagemap_5,WBTC-slippagemap_6,WBTC-slippagemap_7,WBTC-slippagemap_8,WBTC-slippagemap_9,WBTC-slippagemap_10,WBTC-slippagemap_11,WBTC-slippagemap_12,WBTC-slippagemap_13,WBTC-slippagemap_14,WBTC-slippagemap_15,WBTC-slippagemap_16,WBTC-slippagemap_17,WBTC-slippagemap_18,WBTC-slippagemap_19,WBTC-slippagemap_20,WETH-slippagemap_01,WETH-slippagemap_2,WETH-slippagemap_3,WETH-slippagemap_4,WETH-slippagemap_5,WETH-slippagemap_6,WETH-slippagemap_7,WETH-slippagemap_8,WETH-slippagemap_9,WETH-slippagemap_10,WETH-slippagemap_11,WETH-slippagemap_12,WETH-slippagemap_13,WETH-slippagemap_14,WETH-slippagemap_15,WETH-slippagemap_16,WETH-slippagemap_17,WETH-slippagemap_18,WETH-slippagemap_19,WETH-slippagemap_20
0,0,13700013.0,13.321354250986783,0.07506744293103118,0.0016913299625436037,0.0033633539723726554,0.0050270391883109914,0.006682427100473154,0.008329559146810142,0.009968476571291743,0.011599220180327005,0.013221830793753346,0.014836349103815483,0.016442815328278373,0.018041269644737887,0.01963175205884785,0.021214302387773595,0.022788960039956185,0.024355764420297316,0.025914754702944087,0.02746596991764334,0.02900944873882875,0.030545229863885918,0.032073351702333934,0.02268856264696899,0.04496218786183107,0.06712472648657711,0.08917673604519853,0.11111876605563978,0.132951364632724,0.15467507831389515,0.17629045012732977,0.18834793591041357,0.18834793591041357,0.18834793591041357,0.18834793591041357,0.18834793591041357,0.18834793591041357,0.18834793591041357,0.18834793591041357,0.18834793591041357,0.18834793591041357,0.18834793591041357,0.18834793591041357
1,1,13712161.0,13.005463395367562,0.07689076272024199,0.001714891652672918,0.0034070998122157406,0.00509086848367647,0.006766239704882448,0.008433255501377059,0.010091957377513134,0.011742386796457541,0.01338458503695106,0.01501859329131809,0.016644452303259852,0.018262202704430627,0.019871884883702087,0.021473539191332377,0.023067205593668254,0.024652923881468405,0.02623073386015203,0.02780067491340912,0.02936278610537315,0.03091710666865958,0.03246367547801795,0.022377044543749672,0.04438499457368817,0.06628318681505226,0.08807216672053152,0.10975247805311296,0.1313246644627991,0.13476621658668061,0.13476621658668061,0.13476621658668061,0.13476621658668061,0.13476621658668061,0.13476621658668061,0.13476621658668061,0.13476621658668061,0.13476621658668061,0.13476621658668061,0.13476621658668061,0.13476621658668061,0.13476621658668061,0.13476621658668061
2,2,13712850.0,12.864480645140999,0.07773341400903788,0.46237228119193907,0.9214319649313144,1.378202243201118,1.832694465437013,2.2849200197048734,2.734890190216416,3.182616221446268,3.628109344771764,4.071380677015067,4.512441282604127,4.951302199871936,5.3879744049202865,5.524010409115103,5.525612784229958,5.527207167977345,5.528793599985878,5.530372120117485,5.531942767709401,5.533505581984673,5.535060602130841,6.041156309102983,11.94672110850674,17.82283345070048,23.669639571542678,29.487286612109614,35.25596966409132,40.99438454018451,46.704180881877356,52.3855003599362,58.03848627247834,59.334679668921254,59.334679668921254,59.334679668921254,59.334679668921254,59.334679668921254,59.334679668921254,59.334679668921254,59.334679668921254,59.334679668921254,59.334679668921254
3,3,13713414.0,12.820817862839869,0.07799814416663864,1.3023517308400188,2.5954560523419006,3.8821112993612563,5.162349589039738,6.436203049604582,7.703703424703069,8.964882444344752,10.219771622651638,11.468402339490561,12.710805827488981,13.947013073923081,15.177054985912285,15.973854425116437,15.975459526561778,15.977056622852508,15.978645754013415,15.980226959667647,15.981800279548452,15.983365752757198,15.98492341857486,16.96037165909448,33.5390257460277,50.03499826275634,66.44870140359441,82.77474317379195,99.00371691193781,115.15175118953887,131.21925220260067,147.20661867301789,161.3683035562969,161.3683035562969,161.3683035562969,161.3683035562969,161.3683035562969,161.3683035562969,161.3683035562969,161.3683035562969,161.3683035562969,161.3683035562969,161.3683035562969
4,4,13714098.0,12.804162460731296,0.07809960261492074,1.3099742383589592,2.603919311439195,3.891411109105608,5.17248183752208,6.447163522826829,7.715488001000354,8.977487000311664,10.233192126146985,11.482634669060205,12.725845867952383,13.962856891229505,15.193698564123553,16.149846651954046,16.15145279685138,16.15305093156332,16.154641095914137,16.15622332975716,16.157797672533995,16.159364163578672,16.160922842097037,16.862588970921443,33.43047104608584,49.915724977872515,66.31876351818681,82.63140208777013,98.849830724812,114.9873740729328,131.04443342956304,147.02141339815958,159.11060514512187,159.11060514512187,159.11060514512187,159.11060514512187,159.11060514512187,159.11060514512187,159.11060514512187,159.11060514512187,159.11060514512187,159.11060514512187,159.11060514512187
5,5,13714652.0,12.566961225980426,0.07957373162993775,1.3159672837045935,2.6220667603856165,3.9216525414687595,5.214756862970641,6.501412109989997,7.781650399668479,9.055503860233323,10.32300423533181,11.584183254973492,12.839072433280379,14.087703150119301,15.330106638117723,16.56631388455182,17.796355796541025,18.59315523574518,18.594760337190518,18.59635743348125,18.597946564642157,18.599527770296387,18.601101090177192,16.78499306929111,33.198696210129185,49.52473798032672,65.75371171847259,81.90174599607366,97.96924700913544,113.95661347955266,128.11829836283167,128.11829836283167,128.11829836283167,128.11829836283167,128.11829836283167,128.11829836283167,128.11829836283167,128.11829836283167,128.11829836283167,128.11829836283167,128.11829836283167,128.11829836283167,128.11829836283167
6,6,13715219.0,12.59211903999114,0.0794147511490412,1.322817830224577,2.627611987905353,3.9258987920069246,5.217710790578644,6.5030800761128935,7.782038868024631,9.054619198111,10.320852715698123,11.580771331130263,12.834406274946087,14.081789009979707,15.322950755676448,16.557922483069746,17.786735079677925,18.338584882772654,18.340188379880342,18.34178388002659,18.343371422875826,18.34495104822475,18.346522795658046,16.698956385152893,33.129081058600455,49.47575843394138,65.72096708352605,81.88515753064038,97.96873315279107,113.97209526385345,129.8956429602523,131.32486123375608,131.32486123375608,131.32486123375608,131.32486123375608,131.32486123375608,131.32486123375608,131.32486123375608,131.32486123375608,131.32486123375608,131.32486123375608,131.32486123375608,131.32486123375608
7,7,13715763.0,12.381110819807528,0.08076819717986707,1.323996340437446,2.6398622341713947,3.9491655269527275,5.251938908202809,6.548215129324816,7.838026388140866,9.121404924341906,10.398382993178744,11.668992466571144,12.933265022171067,14.191232316214656,15.442925693814393,16.688376629470437,17.92761617395321,19.160675219111038,20.38758473984875,20.56024640827931,20.561847422151978,20.563440451255552,20.56502553545203,16.68283921444308,32.95841074865511,49.14767309781522,65.2561966570393,81.28438107400484,97.23262923847875,103.58963541442456,103.58963541442456,103.58963541442456,103.58963541442456,103.58963541442456,103.58963541442456,103.58963541442456,103.58963541442456,103.58963541442456,103.58963541442456,103.58963541442456,103.58963541442456,103.58963541442456,103.58963541442456
8,8,13716419.0,12.3972159246816,0.08066327198585783,1.3341993612032483,2.649210222572839,3.957662717053037,5.2595896499912485,6.555023581180078,7.843996721386292,9.126541511837248,10.402689825557344,11.67247363926646,12.935924726735246,14.193074650448299,15.443954843361563,16.688596507608985,17.92703078198648,19.159288723997523,20.38540095688638,20.39922310053174,20.400823074025404,20.40241506806723,20.403999122389724,16.556526570298416,32.845476146876436,49.04526548921944,65.164261208809,81.2028678566086,97.16148515345255,105.58725647556035,105.58725647556035,105.58725647556035,105.58725647556035,105.58725647556035,105.58725647556035,105.58725647556035,105.58725647556035,105.58725647556035,105.58725647556035,105.58725647556035,105.58725647556035,105.58725647556035,105.58725647556035
9,9,13716937.0,12.405896579678167,0.08060683027440987,1.327365190732318,2.641915868915618,3.9499105209580803,5.251381949694584,6.546362512983097,7.834884620564868,9.116980610735428,10.392682353227693,11.66202191321654,12.925030870586806,14.181740875501248,15.432183352838964,16.676389495755984,17.914390433055875,19.146217126068404,20.29862883120807,20.300236261463134,20.301835675171443,20.30342711211969,20.305010612130562,16.64131737399192,32.93747390284548,49.14293239891308,65.26757062997264,81.31179217554983,97.2759957741502,106.81627502411789,106.81627502411789,106.81627502411789,106.81627502411789,106.81627502411789,106.81627502411789,106.81627502411789,106.81627502411789,106.81627502411789,106.81627502411789,106.81627502411789,106.81627502411789,106.81627502411789,106.81627502411789
