,index,blocknum,p0vs1,p1vs0,WBTC-slippagemap_01,WBTC-slippagemap_2,WBTC-slippagemap_3,WBTC-slippagemap_4,WBTC-slippagemap_5,WBTC-slippagemap_6,WBTC-slippagemap_7,WBTC-slippagemap_8,WBTC-slippagemap_9,WBTC-slippagemap_10,WBTC-slippagemap_11,WETH-slippagemap_01,WETH-slippagemap_2,WETH-slippagemap_3,WETH-slippagemap_4,WETH-slippagemap_5,WETH-slippagemap_6,WETH-slippagemap_7,WETH-slippagemap_8,WETH-slippagemap_9,WETH-slippagemap_10
0,0,12426359.0,13.248291562243523,0.07548143059063653,0.034012451001141406,0.10928814864875198,0.18114817231819424,0.25229321100196567,0.32273038203670285,0.39246672433088947,0.4615092147842343,0.5298647552665593,0.597540178886477,0.6645423267200827,0.7356674787071102,30.342785569940517,58.814226160761564,59.164723606413965,59.51173371671475,59.855291196158134,59.855310981643335,59.85533057026911,59.855349963994406,59.855369164758336,59.85538817448083
1,1,12427145.0,13.2125712051946,0.07568549561396833,0.0440880710005991,0.11936376864820968,0.19122379231765194,0.26236883100142333,0.3328060020361605,0.40254234433034713,0.471584834783692,0.539940375266017,0.6076157988859348,0.6746179467195403,0.7457430987065679,2.402975272396347,3.344583464978646,3.6950809106310447,4.04209102093183,4.385648500375217,4.385668285860415,4.385687874486194,4.385707268211484,4.385726468975418,4.3857454786979115
2,2,12429095.0,13.248291562243523,0.07548143059063653,0.03387041100114905,0.10914610864875963,0.1810061323182019,0.2521511710019733,0.3225883420367105,0.39232468433089707,0.46136717478424194,0.529722715266567,0.5973981388864847,0.6644002867200903,0.7355254387071178,2.5381689479250307,3.47977714050733,3.8302745861597285,4.1772846964605135,4.5208421759039,4.5208619613891,4.520881550014877,4.520900943740168,4.520920144504101,4.520939154226595
3,3,12429677.0,13.149305984610491,0.07604964103583615,0.06261778099960176,0.13789347864721235,0.2097535023166546,0.280898541000426,0.3513357120351632,0.4210720543293498,0.49011454478269467,0.5584700852650196,0.6261455088849374,0.6931476567185431,0.7642728087055706,2.1587257035585656,3.1003338961408646,3.4508313417932635,3.797841452094048,4.141398931537435,4.141418717022634,4.141438305648412,4.141457699373703,4.141476900137636,4.14149590986013
4,4,12430274.0,13.129597795863253,0.07616379538412596,0.0680627809993087,0.1433384786469193,0.21519850231636153,0.28634354100013293,0.3567807120348701,0.42651705432905673,0.4955595447824016,0.5639150852647266,0.6315905088846443,0.69859265671825,0.7697178087052775,2.0871777922850785,3.028785984867378,3.3792834305197763,3.7262935408205613,4.069851020263949,4.069870805749147,4.069890394374926,4.069909788100216,4.06992898886415,4.069947998586644
5,5,12431084.0,13.036712428932296,0.07670645536222047,0.01948250892985195,0.09551470106353505,0.17079039871114562,0.24265042238058787,0.3137954610643593,0.38423263209909647,0.4539689743932831,0.523011464846628,0.5913670053289529,0.6590424289488707,0.7260445767824764,2.669613605662108,3.020111051314507,3.367121161615292,3.7106786410586787,3.710698426543878,3.7107180151696557,3.7107374088949467,3.7107566096588798,3.7107756193813737,3.710794439963817
6,6,12431611.0,13.009365424563079,0.0768677001041029,0.029308519331535908,0.11050097398093216,0.19088559128499752,0.2678037024393823,0.343956502203744,0.4143936732384812,0.4841300155326678,0.5531725059860126,0.6215280464683377,0.6892034700882554,0.756205617921861,2.7424237982662434,3.1585397715468817,3.5055498818476662,3.8491073612910536,3.8491271467762527,3.8491467354020306,3.849166129127321,3.8491853298912546,3.8492043396137485,3.8492231601961917
7,7,12432544.0,12.842630698240196,0.07786566658317351,0.0001027591537535807,0.08211116962365426,0.1633036242730505,0.24368824157711588,0.3206063527315006,0.39675915249586236,0.4671963235305996,0.5369326658247862,0.605975156278131,0.6743306967604561,0.7420061203803738,2.4406974258815683,2.7877075361823533,3.1312650156257402,3.1312848011109393,3.131304389736717,3.1313237834620082,3.1313429842259413,3.131361993948435,3.1313808145308784,3.131399447854147
8,8,12433117.0,12.768362738796206,0.07831857697475467,0.02350874915249374,0.10551715962239443,0.18670961427179067,0.26709423157585604,0.3440123427302408,0.4201651424946025,0.4906023135293397,0.5603386558235264,0.6293811462768711,0.6977366867591962,0.7654121103791139,2.1409613048779135,2.487971415178698,2.8315288946220853,2.8315486801072844,2.8315682687330623,2.831587662458353,2.8316068632222864,2.8316258729447803,2.8316446935272235,2.8316633268504923
9,9,12433707.0,12.464338602727754,0.08022888593391994,0.0437533929065939,0.13137814139318038,0.220878964396943,0.3094892846211564,0.3972179622571766,0.481407062613122,0.5131634803708098,0.5396459974959844,0.5658650215130344,0.5918231755520956,0.6175230545340468,2.6635824458833137,3.6698220809991744,4.325930567745555,4.975510979206559,5.6186282757974775,5.618647476561411,5.618666486283905,5.6186853068663485,5.618703940189617,5.618722388118139
