,index,blocknum,p0vs1,p1vs0,WETH-slippagemap_01,WETH-slippagemap_2,WETH-slippagemap_3,WETH-slippagemap_4,WETH-slippagemap_5,WETH-slippagemap_6,WETH-slippagemap_7,WETH-slippagemap_8,WETH-slippagemap_9,WETH-slippagemap_10,WETH-slippagemap_11,USDT-slippagemap_01,USDT-slippagemap_2,USDT-slippagemap_3,USDT-slippagemap_4,USDT-slippagemap_5,USDT-slippagemap_6,USDT-slippagemap_7,USDT-slippagemap_8,USDT-slippagemap_9,USDT-slippagemap_10
0,0,12401202.0,3911.941438763853,0.0002556275485340581,0.28500795345315516,32.15129941462363,63.69809229252968,94.92917439306086,125.84089751787337,126.95742182093927,128.06267775759792,129.15693675715374,130.24027939995503,130.9979792686941,131.74814027609702,363604.0262810883,483117.1968252315,493354.83641525434,509524.51060508494,519086.14115693385,522531.0923513904,524505.2518897434,526074.1220610336,527512.3209153188,528072.922772264
1,1,12401718.0,3911.941438763853,0.0002556275485340581,0.2852160679281575,32.17441865765842,63.7438947058088,94.99743428644244,125.93139144694656,127.0699285644934,128.1969782952353,129.29315370054277,130.37839368149102,131.13797201047697,131.88999278807287,363869.4798794614,483469.6460663794,493793.4157201977,510048.3630083152,519694.4182187848,523222.95407463756,525279.8666333506,526930.666461269,528449.979798196,529090.8890751667
2,2,12402858.0,3887.3749018470107,0.0002572430046623158,10.167361024461734,42.0565637639647,73.62603996039756,104.87957968783834,135.81353699368893,136.95207425513607,138.07912412834654,139.17529967470503,140.2605397953009,141.020118262545,141.7721391770235,325331.0346953552,444931.2014509738,455254.97166783427,466478.79898922,471143.79224458145,474672.3286468368,476729.24174651585,478380.04211001797,479899.3559771997,480540.2657791492
3,3,12403768.0,3893.2100477127137,0.0002568574486720814,7.793077569248305,39.68228030875127,71.25175650518415,102.50529623262491,133.4392535384755,134.57779079992264,135.7048406731331,136.8010162194916,137.88625634008747,138.64583480733157,139.39785572181006,334568.3051488657,454168.47190448426,457340.28922911116,461483.32321251987,466148.3164678813,469676.85287013673,471733.7659698158,473384.56633331784,474903.88020049955,475544.79000244907
4,4,12404319.0,4016.5867006052713,0.0002489676121890527,21.688556322685606,52.94209605012638,83.87605335597696,85.0145906174241,86.14164049063459,87.23781603699307,88.32305615758892,89.08263462483305,89.83465553931151,90.55328472547708,91.26474755290648,290356.97839891975,411990.88557597494,532486.0455795197,652086.2123351382,655258.0296597652,659401.0636431739,664066.0568985353,667594.5933007908,669651.5064004698,671302.3067639718
5,5,12404895.0,4108.39044499507,0.0002434043242453311,110.92839404208954,307.92826372903454,473.4804131459146,474.6074630191251,475.7036385654836,476.78887868607944,477.5484571533235,478.300478067802,479.01910725396755,479.730570081397,480.43498778641595,1972864.8981384211,2097638.541504906,2219272.4486819613,2339767.608685506,2459367.7754411246,2462539.5927657513,2466682.6267491602,2471347.6200045217,2474876.156406777,2476933.069506456
6,6,12405459.0,4108.39044499507,0.0002434043242453311,17.40700595932301,48.313175347005256,49.42420117076582,50.52401333621315,51.593222181142096,52.65176391008679,53.384909626030506,54.11076078628039,54.82938997244595,55.54085279987535,56.245270504894314,309590.35826408584,434251.9641355776,555774.9485524946,676160.2894419623,795651.7297461189,798715.9024128987,802752.3627670292,807311.8427661523,810735.9157339138,812689.4047773466
7,7,12406225.0,4067.513310664617,0.00024585045545594134,0.20283744519308466,1.3450131232786438,2.4672043742520193,3.5782301980125806,4.678042363459915,5.747251208388859,6.805792937333553,7.538938653277267,8.264789813527148,8.983418999692715,9.694881827122115,40446.15487158111,52038.65484023119,63587.28451607368,75324.90164929965,87084.34947279876,99729.56988579845,112812.15557380128,124674.53216859532,134982.36637760198,144801.994058966
8,8,12406733.0,4063.0417294187705,0.00024612102621526674,0.38762183420419566,1.5297975122897547,2.6519887632631303,3.7630145870236915,4.862826752471026,5.93203559739997,6.990577326344664,7.723723042288378,8.44957420253826,9.168203388703825,9.879666216133227,39694.93375513478,51287.43372378486,62836.06339962736,74573.68053285332,86333.12835635243,98978.34876935213,112060.93445735496,123923.311052149,134231.14526115565,144050.77294251966
9,9,12407365.0,4105.51572168788,0.00024357475839573088,0.6772089513074162,1.799400202280792,2.910426026041353,4.010238191488687,5.079447036417632,6.1379887653623255,6.871134481306039,7.5969856415559205,8.315614827721486,9.027077655150888,9.73149536016985,20306.184622191682,33932.54321336906,45525.043182019144,57073.67285786164,68811.2899910876,80570.73781458671,93215.95822758641,106298.54391558924,118160.92051038328,128468.75471938994
