,index,blocknum,p0vs1,p1vs0,WETH-slippagemap_01,WETH-slippagemap_2,WETH-slippagemap_3,WETH-slippagemap_4,WETH-slippagemap_5,WETH-slippagemap_6,WETH-slippagemap_7,WETH-slippagemap_8,WETH-slippagemap_9,WETH-slippagemap_10,WETH-slippagemap_11,ZRX-slippagemap_01,ZRX-slippagemap_2,ZRX-slippagemap_3,ZRX-slippagemap_4,ZRX-slippagemap_5,ZRX-slippagemap_6,ZRX-slippagemap_7,ZRX-slippagemap_8,ZRX-slippagemap_9,ZRX-slippagemap_10
0,0,12947672.0,3233.7441903669787,0.00030923905576047306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,13179346.0,3233.7441903669787,0.00030923905576047306,4.2092979829274055,8.806874199475683,13.358705975409894,17.865248609255545,22.32695258335435,26.744264068164593,31.117624749238583,35.44747196153352,39.734238629460826,43.978353318701345,48.180240534118674,31234.22719127602,45927.21704776342,60474.016532936395,74876.08012495485,89134.84800014105,103251.74557521456,117228.18482838655,131065.56318413821,144765.26391344203,158328.6573764202
2,2,13180797.0,3384.27053238209,0.0002954846518419817,2.874081565250047,7.3806241990957,11.8423281731945,16.259639658004748,20.633000339078738,24.962847551373674,29.24961421930098,33.4937289085415,37.69561612395883,41.855695894353836,45.97438420614951,36090.43900527906,51080.23210270181,65920.88135165727,80613.87120814466,95160.67069331765,109562.73428533609,123821.50216052229,137938.3997355958,151914.8389887678,165752.21734451945
3,3,13183824.0,3478.2768503063735,0.00028749867909793264,1.1844092018034231,5.646113175902224,10.06342466071247,14.436785341786461,18.766632554081397,23.0533992220087,27.29751391124922,31.49940112666655,35.65948089706156,39.77816920885723,39.77816920885723,42209.69108993975,57350.12641937731,72339.91951680006,87180.56876575551,101873.55862224291,116420.35810741589,130822.42169943434,145081.18957462054,159198.08714969404,173174.52640286606
4,4,13184447.0,3471.6747283932427,0.0002880454184896576,1.616253810205939,6.07795778430474,10.495269269114987,14.868629950188977,19.198477162483915,23.485243830411218,27.729358519651736,31.93124573506907,36.09132550546408,40.21001381725975,40.21001381725975,40709.02100970522,55849.45633914278,70839.24943656553,85679.89868552098,100372.88854200838,114919.68802718136,129321.7516191998,143580.519494386,157697.4170694595,171673.85632263153
5,5,13185246.0,3392.741369312747,0.0002947468996738074,2.309446360628664,6.815988994474317,11.277692968573119,15.695004453383365,20.068365134457355,24.398212346752292,28.684979014679595,32.92909370392012,37.130980919337446,41.291060689732454,45.40974900152813,38003.78014305186,52993.57324047461,67834.22248943006,82527.21234591746,97074.01183109044,111476.07542310888,125734.84329829509,139851.7408733686,153828.1801265406,167665.55848229225
6,6,13185916.0,2948.348778815526,0.00033917289812697855,2.565624339389338,7.3989112448140615,12.184108518678153,16.921694592530848,21.612143348428773,26.255923642804206,30.853499859352482,35.40533163528669,39.91187426913235,44.373578243231144,48.79088972804139,35172.93397169306,49149.37322486506,62986.75158061672,76686.45230992053,90249.84577289868,103678.28787819567,103678.28787819567,103678.28787819567,103678.28787819567,103678.28787819567
7,7,13187037.0,3409.405763240696,0.0002933062443847938,1.1937621567603522,5.700304790606006,10.162008764704806,14.579320249515053,18.952680930589043,23.28252814288398,27.569294810811282,31.8134095000518,36.015296715469134,40.17537648586414,44.294064797659814,41798.41253878868,56788.20563621143,71628.85488516689,86321.84474165428,100868.64422682727,115270.70781884571,129529.4756940319,143646.37326910542,157622.8125222774,171460.1908780291
8,8,13188331.0,3460.237655183096,0.00028899749082323816,2.3424209239407316,6.804124898039532,11.22143638284978,15.59479706392377,19.924644276218707,24.21141094414601,28.45552563338653,32.65741284880386,36.817492619198866,40.93618093099454,40.93618093099454,38192.05601246818,53332.491341905734,68322.28443932849,83162.93368828394,97855.92354477134,112402.72302994432,126804.78662196276,141063.55449714896,155180.45207222248,169156.89132539448
9,9,13188966.0,3529.0767338308433,0.0002833602314207805,2.3974302449739593,6.814741729784206,11.188102410858196,15.517949623153134,19.80471629108044,24.048830980320957,28.250718195738287,32.410797966133295,36.52948627792897,36.52948627792897,36.52948627792897,38299.43492806391,53592.026548743175,68732.46187818074,83722.25497560349,98562.90422455894,113255.89408104632,127802.69356621931,142204.75715823777,156463.52503342397,170580.42260849747
10,10,13192650.0,3356.970022395905,0.00029788767648460845,0.18219600962952506,4.734027785563734,9.240570419409387,13.702274393508189,18.119585878318436,22.492946559392426,26.822793771687362,31.109560439614665,35.35367512885519,39.555562344272516,43.715642114667524,44810.947713707006,59651.59696266246,74344.58681914986,88891.38630432283,103293.44989634128,117552.21777152749,131669.115346601,145645.554599773,159482.93295552465,173182.63368482847
11,11,13194635.0,3314.9396489824408,0.0003016646171241644,3.0736180607949093,7.625449836729119,12.131992470574772,16.593696444673572,21.01100792948382,25.384368610557807,29.714215822852747,34.00098249078005,38.24509718002057,42.4469843954379,46.60706416583291,35165.43330012816,50006.082549083614,64699.072405571016,79245.87189074399,93647.93548276245,107906.70335794865,122023.60093302216,136000.04018619415,149837.4185419458,163537.11927124963
12,12,13196728.0,3177.648738489141,0.0003146980935581522,3.673593978097208,8.31737427247264,12.914950489020917,17.46678226495513,21.97332489880078,26.435028872899583,30.852340357709828,35.22570103878382,39.555548251078754,43.84231491900606,48.086429608246576,32757.937598885746,47304.737084058725,61706.800676077175,75965.56855126338,90082.46612633689,104058.90537950888,117896.28373526056,131595.98446456436,145159.37792754252,158587.8200328395
13,13,13197776.0,3305.340729099125,0.0003025406703751693,3.7221937078475626,8.274025483781772,12.780568117627425,17.242272091726225,21.659583576536473,26.032944257610463,30.3627914699054,34.649558137832706,38.893672827073225,43.095560042490554,47.25563981288556,33018.452008490734,47859.101257446186,62552.09111393359,77098.89059910657,91500.95419112501,105759.72206631121,119876.61964138474,133853.0588945567,147690.4372503084,161390.1379796122
14,14,13201140.0,3265.2625500488107,0.0003062540866690954,1.953726266688951,6.5513024832372295,11.103134259171439,15.609676893017092,20.07138086711589,24.48869235192614,28.86205303300013,33.191900245295066,37.47866691322237,41.72278160246289,45.92466881788022,38564.083396783266,53257.07325327067,67803.87273844365,82205.9363304621,96464.70420564829,110581.60178072182,124558.04103389381,138395.41938964545,152095.12011894927,165658.51358192743
15,15,13206525.0,3246.3797843336642,0.00030803543221461226,3.303615915240479,7.901192131788758,12.453023907722967,16.95956654156862,21.42127051566742,25.83858200047767,30.21194268155166,34.5417898938466,38.8285565617739,43.07267125101442,47.27455846643175,34168.85513959557,48861.84499608297,63408.64448125595,77810.70807327439,92069.4759484606,106186.37352353412,120162.81277670611,134000.19113245778,147699.89186176157,161263.28532473973
16,16,13209085.0,3258.413035670887,0.0003068978637921838,2.437209594578855,7.034785811127134,11.586617587061342,16.093160220906995,20.5548641950058,24.972175679816043,29.345536360890033,33.67538357318497,37.962150241112276,42.206264930352795,46.408152145770124,36986.92996445511,51679.91982094251,66226.71930611548,80628.78289813394,94887.55077332014,109004.44834839365,122980.88760156564,136818.26595731732,150517.9666866211,164081.36014959926
17,17,13209907.0,3277.365793525242,0.0003051230967185897,1.1011094841030917,5.69868570065137,10.25051747658558,14.757060110431233,19.218764084530033,23.63607556934028,28.00943625041427,32.339283462709204,36.626050130636514,40.87016481987703,45.07205203529436,41353.396587937605,56046.386444425,70593.18592959798,84995.24952161642,99254.01739680264,113370.91497187615,127347.35422504814,141184.7325807998,154884.4333101036,168447.82677308176
18,18,13212489.0,3196.7709841970113,0.00031281565208875526,2.2483793130808247,6.892159607456256,11.489735824004534,16.041567599938745,20.548110233784396,25.0098142078832,29.427125692693444,33.800486373767434,38.13033358606237,42.41710025398967,46.66121494323019,37300.61816573842,51847.4176509114,66249.48124292985,80508.24911811604,94625.14669318957,108601.58594636156,122438.96430211322,136138.665031417,149702.05849439517,163130.50059969217
19,19,13213483.0,3202.8503186442795,0.0003122218962837095,1.8214371986123594,6.46521749298779,11.062793709536068,15.61462548547028,20.121168119315932,24.582872093414732,29.00018357822498,33.37354425929897,37.7033914715939,41.99015813952121,46.23427282876173,38666.81816581196,53213.61765098493,67615.68124300339,81874.44911818959,95991.3466932631,109967.78594643509,123805.16430218675,137504.86503149057,151068.25849446873,164496.7005997657
20,20,13214640.0,3302.6976460419764,0.0003027827876398015,3.922710883753647,8.474542659687856,12.981085293533509,17.44278926763231,21.86010075244256,26.233461433516545,30.563308645811485,34.85007531373879,39.09419000297931,43.29607721839664,47.45615698879165,32355.901077939405,47196.55032689486,61889.540183382254,76436.33966855523,90838.40326057369,105097.17113575988,119214.0687108334,133190.5079640054,147027.88631975706,160727.58704906085
21,21,13215852.0,3299.066857467536,0.0003031160152867076,4.168635217759646,8.720466993693856,13.227009627539509,17.68871360163831,22.106025086448557,26.479385767522544,30.809232979817484,35.09599964774479,39.34011433698531,43.54200155240264,47.702081322797646,31544.10115385069,46384.750402806145,61077.74025929354,75624.53974446651,90026.60333648497,104285.37121167117,118402.26878674468,132378.70803991667,146216.08639566833,159915.78712497215
22,22,13220488.0,3256.458671933792,0.00030708204855127707,2.5815685842559026,7.179144800804181,11.73097657673839,16.237519210584043,20.699223184682843,25.11653466949309,29.489895350567082,33.81974256286202,38.10650923078932,42.35062392002984,46.55251113544717,36516.658017097674,51209.647873585076,65756.44735875806,80158.5109507765,94417.2788259627,108534.17640103622,122510.61565420822,136347.99400995986,150047.69473926368,163611.08820224184
