,index,blocknum,p0vs1,p1vs0,WETH-slippagemap_01,WETH-slippagemap_2,WETH-slippagemap_3,WETH-slippagemap_4,WETH-slippagemap_5,WETH-slippagemap_6,WETH-slippagemap_7,WETH-slippagemap_8,WETH-slippagemap_9,WETH-slippagemap_10,WETH-slippagemap_11,WETH-slippagemap_12,WETH-slippagemap_13,WETH-slippagemap_14,WETH-slippagemap_15,WETH-slippagemap_16,WETH-slippagemap_17,WETH-slippagemap_18,WETH-slippagemap_19,WETH-slippagemap_20,ZRX-slippagemap_01,ZRX-slippagemap_2,ZRX-slippagemap_3,ZRX-slippagemap_4,ZRX-slippagemap_5,ZRX-slippagemap_6,ZRX-slippagemap_7,ZRX-slippagemap_8,ZRX-slippagemap_9,ZRX-slippagemap_10,ZRX-slippagemap_11,ZRX-slippagemap_12,ZRX-slippagemap_13,ZRX-slippagemap_14,ZRX-slippagemap_15,ZRX-slippagemap_16,ZRX-slippagemap_17,ZRX-slippagemap_18,ZRX-slippagemap_19,ZRX-slippagemap_20
0,0,12427966.0,2308.175802865159,0.0004332425627019793,0.04648437542704353,0.1220221352452567,0.19710804738726023,0.23448240809744075,0.30889561337914806,0.3828636996790246,0.4196816546147812,0.49298704654407477,0.5658539448926574,0.602123779413923,0.6743378505912272,0.7461199577318961,0.7818498295287104,0.8529888272094176,0.9237022893792138,0.9589002412705461,1.0289801712387403,1.0986408989757512,1.1333148476647106,1.202351472414547,333.42570696030606,1257.6484005693171,1717.6844758381026,2661.9325730684186,3628.753279633483,4109.992744783979,5068.151568731446,6020.578884227954,6494.653983911836,7438.5483713905005,8376.796642795725,8843.814021841024,19821.43819035857,42566.674979655574,43993.076550055004,46833.07467679875,49656.08476635366,51061.25095670321,53928.707583938245,56848.54129587818
1,1,12429408.0,2308.175802865159,0.0004332425627019793,0.04648437542704353,0.1220221352452567,0.19710804738726023,0.23448240809744075,0.30889561337914806,0.3828636996790246,0.4196816546147812,0.49298704654407477,0.5658539448926574,0.602123779413923,0.6743378505912272,0.7461199577318961,0.7818498295287104,0.8529888272094176,0.9237022893792138,0.9589002412705461,1.0289801712387403,1.0986408989757512,1.1333148476647106,1.202351472414547,333.42570696030606,508.4248933679158,595.5315392519489,797.2685483910798,1026.0196959610232,1139.881634541373,1366.5833684243346,1591.9290192956682,1704.0958588664807,1927.4226068916512,2149.413475862574,2259.9104487411028,12527.694292139577,34567.336854216424,35642.525640614214,37783.25108752364,39911.17134165468,40970.35338564673,43148.9476093785,45384.03951852077
2,2,12432926.0,2334.1713755812493,0.00042841755770866766,0.051353325569901964,0.12643923771190552,0.20107600867178616,0.23822680370379334,0.3121948900036699,0.3857205169937142,0.42231823686872005,0.4951851352173026,0.5676161640566446,0.6036690409158725,0.6754511480565413,0.7468038709412242,0.7823200175340629,0.8530334797038591,0.9233239537743057,0.9583113615633855,1.0279720893003965,1.097216125457824,1.1316826627391923,1.1838472554538786,320.41683699787643,496.46911804274527,584.0999514461115,758.5749503343881,960.311959473519,1074.8590854881834,1302.9250456238121,1529.6267795067738,1642.4686018271714,1867.13926994892,2090.4660179740904,2201.62793450156,2422.9538598235417,12690.737703222016,23664.28311065454,35805.56905169666,37946.294498606076,39011.85051540569,41133.396796729176,43311.99102046093
3,3,12436044.0,2426.7550922664577,0.00041207289651386047,0.06930621117739,0.14283183816743428,0.2159176549097763,0.2522964563910227,0.32472748523036477,0.3967252495516538,0.4325624692302614,0.5039151921149444,0.5748411041227776,0.6101448008775792,0.6804352749480258,0.7503052894282473,0.7850834104741166,0.8543274466315444,0.914915402677575,0.9409585766275987,0.9901337498983996,1.0390147715910012,1.0633455252009432,1.1117886121056468,279.97204724354407,457.74180194442687,546.2275200153734,722.4046084326864,898.5205963343852,986.6787677881379,1162.2037107826204,1336.6787096708968,1423.5244447169907,1652.9628448246922,1881.028804960321,1994.5496859987031,2220.57236116368,2445.2430292854287,2557.0738880069503,2779.731693838069,3001.0576191600508,3111.2236178942176,24242.386869991053,36383.67281103317
4,4,12438428.0,2426.7550922664577,0.00041207289651386047,0.07041682599858753,0.14512068290029123,0.21937768170430472,0.2563394444442335,0.32993116253172483,0.40308267314486707,0.4394941753682773,0.5119903079159945,0.5840527900485636,0.6199222197758197,0.6913390812358732,0.7623287453451937,0.7976641771433141,0.8680178317826862,0.9297087688759782,0.95630095670135,1.006569229195175,1.0565368115093035,1.081408405671452,1.1309283184851326,284.458529766645,465.0770006356374,554.9806803623203,733.9809628661039,912.9032572129771,1002.458280601101,1180.7643878610072,1358.0039148205626,1446.2257064589223,1678.4038667651828,1909.193198576749,2024.0696503976521,2252.7912980497895,2480.1447941289102,2593.311042809358,2818.627640691102,3042.596453868045,3154.0779622048967,24287.860424072616,36431.74990740735
5,5,12439406.0,2399.728418421893,0.0004167138215822018,0.06587527199098474,0.14102867850307138,0.21573253540477508,0.2529167246513527,0.32695129694871733,0.40054301503620865,0.4371736302929978,0.5101060278727612,0.5826021604204784,0.6186874444416619,0.6905340722803036,0.761950933740357,0.7974990060497693,0.8682760296477979,0.9386296842871701,0.9736485392683483,1.0269128092058337,1.077181081699659,1.1022023462550867,1.1520202581759358,294.6681464518558,474.2062064736344,563.5721086823223,742.4944030291955,921.3362039254037,1010.3555336772256,1187.595060636781,1392.0800612307555,1507.9950125814012,1738.7843443929673,1968.1931595105668,2082.382443866008,2309.7359399451284,2535.72946796539,2648.21878650732,2872.1875996842637,13142.59852189545,24117.451569888835,36261.341053223565,38404.654468689434
6,6,12443323.0,2399.728418421893,0.0004167138215822018,0.06587527199098474,0.14102867850307138,0.21573253540477508,0.2529167246513527,0.32695129694871733,0.40054301503620865,0.4371736302929978,0.5101060278727612,0.5826021604204784,0.6186874444416619,0.6905340722803036,0.761950933740357,0.7974990060497693,0.8682760296477979,0.9386296842871701,0.9736485392683483,1.0269128092058337,1.077181081699659,1.1022023462550867,1.1520202581759358,294.6681464518558,2048.7524263353744,3707.9483763892476,7012.438065626147,10298.150931775055,11933.629637736325,15189.905246698308,18455.00841586939,20094.36008219419,23358.346921396464,26602.809511860563,28217.755568459037,31433.150375593206,34629.31154739854,36220.21547865768,39387.74169342295,52584.10245085238,65015.36048564583,77159.24996898057,79302.56338444643
7,7,12444917.0,2372.0537757137654,0.0004215756026437866,0.06389806357197048,0.1395037219870218,0.21465712849910842,0.2520650820185875,0.3265451746473897,0.4005797469447544,0.43743079655623185,0.5108020802890348,0.5837344778687982,0.6200369119872703,0.692315894437699,0.7641625222763406,0.7999245126049532,0.8711274560458063,0.941904479643835,0.9771340697488982,1.0472769892643854,1.1005412592018708,1.1257130954032761,1.1758307962511236,1873.0811390080057,5186.502999243845,6836.766778298778,10122.479644447687,13388.538311409973,15014.233959370938,18279.337128542018,21553.13009035312,23182.675634069095,26427.13822453319,29652.193108997726,31257.479088265838,34453.640260071166,37630.68287666012,39212.070406095576,52408.431163525005,75907.09007664697,76983.57868165319,79126.89209711907,81257.38483933645
8,8,12446178.0,2228.568100231996,0.00044871861887276366,0.779928962597224,2.2316142427906938,3.6746159276629236,4.392876633455571,5.822089932741551,6.57168923580272,6.609776595030671,6.685609401708363,6.760988594324026,6.7985089355160575,6.873212792417761,6.947469791221775,6.984431553961704,7.058023272049195,7.131174782662337,7.167586284885747,7.240082417433465,7.312144899566034,7.34801432929329,7.419431190753343,6416.875882271985,9680.86272147426,11305.527188997496,14540.27136853683,17755.666175671002,19356.143734297744,22542.731278735475,25710.25749350074,27286.908256210158,51337.87628572363,63481.76576905836,64555.02986740531,66691.92337467207,68816.03443845052,69873.32052432164,72117.66926335807,74348.59293142037,75459.0453708061,77670.179150878,79868.08657289132
9,9,12446840.0,2137.979761728455,0.00046773127505732217,1.50163969707788,3.0055803920416304,4.50052495360002,5.23183074929021,6.687877430578507,8.135214389831647,8.855633055671507,10.289572301475674,11.714504577803545,11.752706363811305,11.828766998597503,11.904372657012555,11.94200572233261,12.016934017044122,12.091414109672924,12.12848691923036,12.202299731581766,12.275671015314568,12.312191910670922,12.384905847012805,4869.122994836905,8074.886532731757,9670.570145910344,12847.612762499299,16005.651054644171,27625.361049364183,51124.01996248615,53273.77266583933,54343.82198295824,56474.31472517562,58592.06332275565,59715.920901330035,61953.54700107638,64177.78816924011,65285.01331629138,67489.52401658108,69680.84787134455,70771.58948044822,72978.12123876678,75290.77482691057
