,index,blocknum,p0vs1,p1vs0,YFI-slippagemap_01,YFI-slippagemap_2,YFI-slippagemap_3,YFI-slippagemap_4,YFI-slippagemap_5,YFI-slippagemap_6,YFI-slippagemap_7,YFI-slippagemap_8,YFI-slippagemap_9,YFI-slippagemap_10,YFI-slippagemap_11,USDC-slippagemap_01,USDC-slippagemap_2,USDC-slippagemap_3,USDC-slippagemap_4,USDC-slippagemap_5,USDC-slippagemap_6,USDC-slippagemap_7,USDC-slippagemap_8,USDC-slippagemap_9,USDC-slippagemap_10
0,0,15282224.0,11082.659902270412,9.023104641108209e-05,0.5709493142224852,1.1726325626505294,1.7683292577784504,2.358098974530411,2.9420006693291705,3.5200927404570925,4.09243298786178,4.659078644109586,5.2200863361719545,5.775512196256104,6.3254117742372955,13794.825345213949,20388.812009374647,26917.190998260146,33380.61445361838,39779.7290899579,46115.174630932044,52387.584548498264,58597.5860620155,58770.557028943294,58941.806990499776
1,1,15282946.0,11129.30262291478,8.985288960882785e-05,0.44238967691720243,1.0440729253452465,1.6397696204731675,2.229539337225128,2.8134410320238876,3.3915331031518097,3.9638733505564967,4.530519006804304,5.091526698866672,5.646952558950821,6.196852136932013,15222.621842290755,21816.608506451455,28344.98749533695,34808.410950695186,41207.52558703471,47542.97112800885,53815.38104557507,60025.3825590923,60198.353526020095,60369.603487576576
2,2,15284721.0,11396.204039772632,8.774851665607342e-05,0.32613860481320534,0.9218352999411262,1.5116050166930872,2.0955067114918466,2.6735987826197682,3.2459390300244553,3.8125846862722623,4.373592378334631,4.92901823841878,5.478917816399972,6.023346044698818,16647.94279850079,23308.196860121963,29902.183524282664,36430.56251316816,42893.985968526395,49293.10060486592,55628.54614584006,61900.95606340628,68110.95757692351,68283.9285438513
3,3,15285403.0,11963.7098810354,8.358611249719263e-05,0.06693153456204365,0.6508332293608029,1.2289253004887248,1.8012655478934119,2.367911204141219,2.928918896203587,3.484344756287736,4.034244334268928,4.578672562567774,5.117683913669783,5.651332294210944,19995.165393090672,26789.95871864096,33517.14616187657,40177.400223497745,46771.386887658446,53299.76587654394,59763.18933190218,66162.3039682417,72497.74950921584,78770.15942678206
4,4,15286195.0,12022.472973353772,8.31775627374142e-05,0.5069892012200955,1.0850812723480174,1.6574215197527042,2.2240671760005113,2.7850748680628796,3.3405007281470285,3.89040030612822,4.434828534427067,4.973839885529076,5.5074882660702364,6.03582701587756,14857.253297972426,21720.33204621333,28515.125371763614,35242.312814999226,41902.5668766204,48496.553540781104,55024.9325296666,61488.35598502483,67887.47062136435,74222.9161623385
5,5,15287763.0,11819.828423626817,8.460359695248082e-05,0.4210846986931729,1.0049863934919323,1.5830784646198541,2.155418712024541,2.722064368272348,3.283072060334716,3.8384979204188654,4.3883974984000576,4.932825726698903,5.471837077800912,6.005485458342073,15783.481813052376,22578.27513860266,29305.462581838274,35965.71664345945,42559.70330762015,49088.08229650564,55551.50575186388,61950.6203882034,68286.06592917755,74558.47584674376
6,6,15288265.0,11696.375658892453,8.549656997718997e-05,0.14437890321640076,0.7341486199683617,1.318050314767121,1.8961423858950428,2.46848263329973,3.035128289547537,3.5961359816099048,4.151561841694054,4.701461419675246,5.245889647974092,5.784900999076101,18897.0413634281,25624.228806663712,32284.482868284886,38878.46953244558,45406.848521331085,51870.27197668931,58269.38661302884,64604.83215400298,70877.2420715692,77087.24358508644
7,7,15289146.0,11870.760564913557,8.424060063646664e-05,0.2943475582411446,0.8782492530399039,1.4563413241678258,2.0286815715725126,2.5953272278203197,3.156334919882688,3.7117607799668373,4.2616603579480286,4.806088586246875,5.345099937348884,5.878748317890045,17284.862114156764,24079.65543970705,30806.842882942663,37467.09694456383,44061.08360872453,50589.46259761003,57052.886052968264,63452.00068930779,69787.44623028193,76059.85614784816
8,8,15291680.0,11867.200048871027,8.426587534395983e-05,0.3044455582406043,0.8883472530393636,1.4664393241672855,2.0387795715719723,2.6054252278197794,3.1664329198821477,3.721858779966297,4.271758357947489,4.816186586246335,5.355197937348343,5.888846317889505,17165.00052106901,23959.793846619297,30686.981289854906,37347.23535147608,43941.222015636784,50469.60100452228,56933.024459880515,63332.13909622004,69667.58463719417,75939.9945547604
9,9,15292268.0,11559.176353754765,8.65113542173072e-05,0.49515236918038635,1.0849220859323472,1.6688237807311066,2.2469158518590286,2.8192560992637152,3.3859017555115223,3.9469094475738906,4.50233530765804,5.052234885639232,5.596663113938078,6.135674465040086,14818.201487893755,21545.388931129368,28205.64299275054,34799.62965691124,41328.00864579674,47791.43210115497,54190.54673749449,60525.992278468635,66798.40219603486,73008.40370955209
10,10,15294132.0,11488.883503728754,8.704065975387833e-05,0.08285574224897833,0.6785524373768993,1.26832215412886,1.8522238489276195,2.4303159200555413,3.0026561674602283,3.5693018237080354,4.130309515770404,4.685735375854553,5.235634953835745,5.78006318213459,19431.789804015607,26092.04386563678,32686.03052979748,39214.40951868297,45677.83297404121,52076.94761038073,58412.393151354874,64684.803068921094,70894.80458243833,71067.77554936612
11,11,15297701.0,11504.978399701065,8.691889417419359e-05,0.04152890849162158,0.6372256036195425,1.2269953203715034,1.8108970151702628,2.3889890862981846,2.9613293337028717,3.5279749899506787,4.088982682013047,4.644408542097196,5.194308120078388,5.738736348377234,19906.93263004114,26567.18669166232,33161.17335582302,39689.552344708514,46152.97580006675,52552.09043640627,58887.535977380416,65159.94589494663,71369.94740846386,71542.91837539166
