,index,blocknum,p0vs1,p1vs0,YFI-slippagemap_01,YFI-slippagemap_2,YFI-slippagemap_3,YFI-slippagemap_4,YFI-slippagemap_5,YFI-slippagemap_6,YFI-slippagemap_7,YFI-slippagemap_8,YFI-slippagemap_9,YFI-slippagemap_10,YFI-slippagemap_11,WETH-slippagemap_01,WETH-slippagemap_2,WETH-slippagemap_3,WETH-slippagemap_4,WETH-slippagemap_5,WETH-slippagemap_6,WETH-slippagemap_7,WETH-slippagemap_8,WETH-slippagemap_9,WETH-slippagemap_10
0,0,12428969.0,15.18736723095293,0.06584419700880935,3.067098731880961e-05,6.201080149294102e-05,0.000109757192033409,0.000157028522779345,0.00020382951797879537,0.0002501648591188966,0.00029603917914524026,0.00034145706520559617,0.000386423058412564,0.0004309416535877492,0.0004750173036381047,0.000971084750272343,0.0014420356227214175,0.0019083007115576454,0.002369926612975441,0.002826959477687339,0.0032794450260735576,0.0037274284792454867,0.004170954661141154,0.004610067897047094,0.0050448120846458425
1,1,12429667.0,15.18736723095293,0.06584419700880935,0.0014950721556804426,0.003022746600878631,0.004551939566874828,0.006065917600642584,0.00756483200758531,0.009048832723585453,0.010518068129865764,0.011972685140863635,0.01341282919662944,0.014838644254633148,0.016250272929927197,0.04733599723565742,0.07029272597650872,0.09302104392202791,0.115523222426316,0.13780151112824376,0.15985813868992432,0.18169530943636966,0.2033152083321835,0.22471999603496062,0.2459118123585315
2,2,12431073.0,17.43286267672448,0.05736292532924911,0.00010282315257254196,0.001557440163570413,0.0029975842193362178,0.004423399277339926,0.0058350279526339765,0.007232611415628452,0.008616289340040903,0.009986200164095745,0.011342480810846501,0.012685266901856515,0.014014692715948006,0.07363913772681899,0.0982848059970188,0.12268525740441077,0.14684293263595974,0.1704987633513051,0.19391922621427238,0.2171066633777653,0.2400633921186166,0.26279171006413576,0.28529388856842386
3,3,12432541.0,18.041151981108428,0.05542883298400999,0.0005161004909864083,0.0019419155489901162,0.003353544224284167,0.004751127687278643,0.006134805611691094,0.007504716435745936,0.00886099708249669,0.010203783173506705,0.011533208987598197,0.012849407454562497,0.01415251017744769,0.06761217092608733,0.09275568909765,0.11764903728918776,0.14229470555938759,0.16669515696677956,0.1908528321983285,0.21450866291367385,0.23792912577664113,0.2611165629401341,0.2840732916809854
4,4,12436469.0,18.10983534026348,0.05521861359924717,0.00024225284486968285,0.0016680679028733907,0.0030796965781674417,0.004477280041161917,0.005860957965574368,0.00723086878962921,0.008587149436379966,0.00992993552738998,0.011259361341481472,0.012575559808445772,0.013878662531330965,0.07256217092635377,0.09770568909791642,0.12259903728945418,0.147244705559654,0.17164515696704596,0.19580283219859493,0.21945866291394028,0.24287912577690757,0.2660665629404005,0.2890232916812518
5,5,12449059.0,18.10983534026348,0.05521861359924717,0.0007935287487433669,0.00546395992376536,0.0100879218714524,0.014665877012705802,0.019198282865827903,0.023685592902112543,0.028128255629726442,0.03252671529364719,0.03385614110773868,0.035172339574702984,0.03647544229758817,0.2376862436115721,0.3200469049462996,0.40158810399017514,0.4823179972342205,0.5622446527271493,0.6413760652368842,0.7194586630745882,0.7967643643584442,0.8199518015219371,0.8429085302627884
6,6,12451470.0,18.111646323797505,0.055213092290018174,0.00023132062917318748,0.0016571356871768954,0.0030687643624709464,0.0044663478254654216,0.0058500257498778725,0.0072199365739327144,0.00857621722068347,0.009919003311693484,0.011248429125784977,0.012564627592749277,0.01386773031563447,0.07276017092636441,0.09790368909792709,0.12279703728946484,0.14744270555966468,0.17184315696705665,0.19600083219860562,0.21965666291395097,0.24307712577691826,0.2662645629404112,0.2892212916812625
7,7,12454498.0,18.73799863660346,0.05336749240906471,0.0006506395041087111,0.0020482229671031863,0.0034319008915156372,0.004801811715570479,0.006158092362321235,0.007500878453331249,0.00883030426742274,0.010146502734387042,0.011449605457272236,0.012739742757590513,0.014017043600894473,0.06626254303631168,0.09191396873247973,0.11731017092876227,0.14245368910032494,0.16734703729186268,0.19199270556206252,0.2163931569694545,0.24055083220100346,0.2642066629163488,0.2876271257793161
8,8,12455710.0,21.833507483341904,0.045801161392092414,0.0010672052506247643,0.0023573425509430426,0.003634643394247003,0.0048992355138096555,0.006151245356097086,0.007390798109105878,0.008618017724315278,0.009833026909525925,0.00987058600154083,0.009907771392793136,0.009944586801814445,0.06155729331398719,0.08934503947540341,0.11685630688670355,0.14409384652806587,0.1710603808158028,0.19775860777476015,0.2241911956029248,0.2503607877214027,0.27627000168887833,0.30192142738504635
9,9,12456231.0,20.56825391589241,0.04861861410741011,0.0010784782464700634,0.0024079040605615555,0.003724102527525856,0.0050272052504110485,0.006317342550729327,0.007594643394033288,0.00885923551359594,0.010111245355883371,0.011350798108892163,0.012578017724101564,0.01379302690931221,0.06017462466798362,0.08714115895572055,0.11383938591467789,0.14027197374284253,0.16644156586132045,0.19235077982879606,0.2180022055249641,0.24339840772124666,0.2685419258928093,0.29343527408434705
10,10,12473284.0,18.18423435904272,0.05499269203504939,0.0013706973346179234,0.0027823260099119743,0.00417990947290645,0.005563587397318901,0.006933498221373743,0.008289778868124499,0.009632564959134513,0.010961990773226005,0.012278189240190305,0.013581291963075498,0.014871429263393776,0.05256259732967129,0.07795879952595383,0.10310231769751649,0.12799566588905426,0.15264133415925407,0.17704178556664604,0.201199460798195,0.22485529151354036,0.24827575437650765,0.2714631915400006
11,11,12482758.0,18.117080361062143,0.05519653167456466,0.0002104774066574661,0.001636292464661174,0.0030479211399552252,0.0044455046029497,0.005829182527362151,0.007199093351416993,0.00855537399816775,0.009898160089177764,0.011227585903269256,0.012543784370233556,0.01384688709311875,0.07313775877569434,0.09828127694725701,0.12317462513879476,0.14782029340899458,0.17222074481638658,0.19637842004793551,0.2200342507632809,0.24345471362624815,0.2666421507897411,0.2895988795305924
