,index,blocknum,p0vs1,p1vs0,YFI-slippagemap_01,YFI-slippagemap_2,YFI-slippagemap_3,YFI-slippagemap_4,YFI-slippagemap_5,YFI-slippagemap_6,YFI-slippagemap_7,YFI-slippagemap_8,YFI-slippagemap_9,YFI-slippagemap_10,YFI-slippagemap_11,YFI-slippagemap_12,YFI-slippagemap_13,YFI-slippagemap_14,YFI-slippagemap_15,YFI-slippagemap_16,YFI-slippagemap_17,YFI-slippagemap_18,YFI-slippagemap_19,YFI-slippagemap_20,WETH-slippagemap_01,WETH-slippagemap_2,WETH-slippagemap_3,WETH-slippagemap_4,WETH-slippagemap_5,WETH-slippagemap_6,WETH-slippagemap_7,WETH-slippagemap_8,WETH-slippagemap_9,WETH-slippagemap_10,WETH-slippagemap_11,WETH-slippagemap_12,WETH-slippagemap_13,WETH-slippagemap_14,WETH-slippagemap_15,WETH-slippagemap_16,WETH-slippagemap_17,WETH-slippagemap_18,WETH-slippagemap_19,WETH-slippagemap_20
0,0,12420017.0,18.719270939745087,0.053420883923250576,0.2662712724261777,0.5703314743859089,0.8725728469661889,1.0230148891011996,1.3225484509424672,1.620290258999323,1.7684926272392745,2.061276451250229,2.3511521902494645,2.4954391812430843,2.782717864190674,3.0682781354229434,3.2104170639600165,3.493418949250261,3.774727987633833,3.914750857325168,4.193549980048567,4.439797979517957,4.546950508514464,4.7602936364107,9.706608846887304,15.571991229577913,18.49151247585814,24.304345779726905,30.082408246217565,32.958465424673776,38.68476142111733,44.376804132534154,47.21004445409563,52.851091131046275,58.458394360065675,61.249455689508025,66.80652211756319,72.39725461020461,75.21347088224249,80.82367848353539,86.40032768460073,89.24315814534644,96.47456494393224,103.53005996018364
1,1,12420726.0,17.951175847708917,0.05570665723981689,0.2729456320879227,0.5944361810143705,0.9140036550632811,1.0730698300628625,1.3843751192474227,1.688435321207154,1.839782682963663,2.141118735922445,2.4406522977637124,2.5897465019135377,2.8865964740605197,3.1793802980714743,3.324535569330443,3.6135430280643295,3.900821711011919,4.043816008499197,4.328520910781261,4.611522796071506,4.752388281668542,5.032854704146413,9.58550302835825,15.329002634401478,18.18785620325801,23.87989891467484,29.537893053682197,32.35418591318696,37.96148914220636,43.53525135374431,46.309616899703876,51.9003493923453,57.52587701429785,60.32677326567607,65.90342246674142,72.36737948967381,75.97765972607293,83.03315474232431,89.27134731065757,91.99447650415526,97.43675170885999,102.80008453693972
2,2,12421754.0,17.961949246252967,0.05567324494075215,0.2578249965848281,0.5793155455112758,0.8988830195601865,1.0579491945597679,1.3692544837443281,1.6733146857040593,1.8246620474605684,2.1259981004193502,2.425531662260618,2.574625866410443,2.871475838557425,3.1642596625683796,3.309414933827348,3.598422392561235,3.8857010755088246,4.028695372996102,4.313400275278167,4.596402160568411,4.7372676461654475,5.0177340686433185,9.857030732197595,15.600530338240823,18.459383907097358,24.151426618514186,29.80942075752154,32.62571361702631,38.23301684604571,43.806779057583654,46.58114460354322,52.171877096184645,57.79740471813719,60.598300969515414,66.17495017058076,72.63890719351316,76.24918742991227,83.30468244616365,89.54287501449691,92.2660042079946,97.70827941269933,103.07161224077907
3,3,12422288.0,17.73528618063663,0.056384768185573406,0.2767039970608204,0.6001291904502902,0.921619739376738,1.0816431328776903,1.4002533884252302,1.7115586776097904,1.8638168130294652,2.1669662413260307,2.4683022942848125,2.6182937130822124,2.9169300602759054,3.2137800324228873,3.360972502415534,3.6517191276928105,3.940726586426697,4.084581369024221,4.370999566861565,4.655704469143629,4.797417652099352,5.079571840030909,9.490634911422854,15.199778524049405,18.04153119169622,23.699525330703572,29.323675055111792,32.123121419227736,37.69688363076568,43.23730474279532,46.06198166936668,51.68750929131922,57.280912430447266,60.065054743762786,66.52901176669519,73.67233078642282,77.1947870193457,83.43297958767894,88.86129799885285,91.59838398588136,96.9617168139611,102.25332581749832
4,4,12422790.0,18.416635137001784,0.05429873549434934,0.22660572295044357,0.5442616219576167,0.8492353225542602,1.0010373890943165,1.3032787616745964,1.603712222607007,1.7532543656508748,2.0509961737077305,2.346391011940329,2.4919823659586364,2.781858104957872,3.069999878549016,3.213423778899082,3.498984050131351,3.782836161624146,3.9241248639586686,4.20543390234224,4.485065419865837,4.624255894756975,4.870503894226364,10.494109664933147,16.306942968801913,19.200307609902215,24.961062613748783,30.687358610192334,33.53764865396235,39.212641643170635,44.85368832012128,47.661545185024735,53.25205287858303,58.809119306638195,61.57517487270826,67.2160680713175,72.8262756726104,75.6187825603602,81.24575533442145,88.47716213300725,92.01020091633576,99.04456209326658,104.49397891108957
5,5,12423293.0,17.692774653581015,0.05652024736536167,0.18076383190586784,0.5051607043970875,0.8276171198741671,0.9881213015194237,1.3076887755683342,1.6253446745755074,1.7780602397524758,2.082120441712207,2.384361814292487,2.534803856427498,2.8343374182687655,3.1320792263256214,3.280281594565573,3.5730654185765274,3.8629411575757624,4.007228148569382,4.294506831516972,4.580067102749242,4.722206031286315,5.005207916576559,11.17139931461956,16.863442026036388,19.696682347597857,25.337729024548505,30.945032253567906,33.73609358301025,39.293160011065424,44.883892503706846,47.700108775744724,53.310316377037616,58.88696557810296,61.729796038848676,68.96120283743447,76.01669785368586,79.5286027976938,84.9780196155168,90.42029482022153,93.12589366889448,98.43340066918564,103.7091590990571
6,6,12423820.0,17.879518138101883,0.055929918931593846,0.2202685462791473,0.5427249617562269,0.8632525369024358,1.022796617450394,1.3404525164575671,1.6454262170542107,1.7972282835942668,2.0994696561745467,2.3999031171069576,2.5494452601508253,2.847187068207681,3.142581906440279,3.288173260458587,3.578048999457822,3.8661907730489666,4.009614673399032,4.2951749446313015,4.579027056124096,4.720315758458619,5.001624796842191,10.51239104709449,16.238687043538043,19.088977087308056,24.76397007651634,30.405016753466988,33.212873618370445,38.80338131192874,44.360447739983904,47.12650330605397,52.7673965046632,58.377604105956095,61.17011099370592,66.79708376776716,74.02849056635296,77.56152934968146,84.59589052661228,90.04530734443529,92.7504965621115,98.19318139781295,103.50068839810413
7,7,12424534.0,18.215172300381425,0.05489928854414734,0.20163442499591083,0.5214843883804007,0.8394210869405335,0.992276421390047,1.296614907185408,1.5991328989611815,1.7497126295810894,2.049520332358763,2.34753464149218,2.4958726484090032,2.788926532118677,3.078936694584937,3.2232236855785565,3.5105023685261463,3.7960626397584156,3.9382015682954887,4.2212034535857335,4.502512491969306,4.64253536166064,4.921334484384039,10.92371993477349,16.70689005820562,19.58548959640557,25.31684748957744,31.013921818709502,33.84966665102682,39.49569986652456,45.10795980576071,47.90148836082688,53.463467091073326,59.059082501890565,61.87772926907807,67.49277604147414,73.07423546732691,75.91946023955686,83.15563416714893,90.21586779669482,93.73013140716321,99.18424438422265,104.6311876568033
8,8,12425164.0,18.89794242611822,0.05291581366117049,0.17131371917871785,0.4747405977470769,0.7763524413291971,0.92648113618925,1.225390803165078,1.5225124601571112,1.6698401625397192,1.9608560385927778,2.2498634973266642,2.3937182799241885,2.680136477761532,2.9648413800435964,3.1065545629993188,3.388708750930877,3.669175173408748,3.8087838212410094,4.08674785207302,4.301374824598044,4.408206390988388,4.620910479793356,11.321980763918624,17.210185335625724,20.14106601288763,25.976517042911134,31.777062037534133,34.66430986077538,40.412886571090375,46.127076918184066,48.971341621279265,54.6343372799494,60.263458606438135,63.065379608330474,68.64406888069807,74.18938758089253,77.01650230446033,82.64688363640062,88.24511145168378,91.03165526989667,97.50039374390465,104.64846561342202
9,9,12425672.0,18.455348770228422,0.05418483348378482,0.1728069002916511,0.49074359885178387,0.7959964193418605,0.9479374190966585,1.250455410872432,1.5511638363523925,1.7008428442700134,1.9988571534034303,2.2945228627028618,2.440249044029928,2.730259206496187,3.018400980087331,3.1618248804373965,3.447385151669666,3.7312372631624613,3.8725259654969837,4.153835003880555,4.433466521404152,4.57265699629529,4.8189049957646795,11.49895863552408,17.31693033285022,20.212852633041095,25.9786999944823,31.710057887654173,34.562867513691025,40.242877049103555,45.88891026460129,48.6992492019451,54.294698758903614,59.85667748915006,62.62517817639949,68.2709396671548,73.88598643955086,76.68090204719076,82.31267063763359,89.54884456522566,93.08425620892898,100.12334180523995,105.57745478229938
10,10,12426444.0,18.224281708231008,0.05487184713284746,0.1887717319648736,0.5107831066961476,0.8308682875651586,0.9847930389928079,1.2912607585828664,1.5958952474881751,1.747528474350579,2.0494337123479487,2.349533009637405,2.4989088290955506,2.79402902124099,3.086093132062667,3.231402485358433,3.5207167149179055,3.8083003567554385,3.951446427247604,4.236453555401149,4.5197558417838355,4.660770859848526,4.941545372655355,11.256740170006328,17.078990521533225,19.977042423081528,25.747130419116946,31.482703177225396,34.3376107788371,40.021797508961406,45.67198273724686,48.48438878178527,54.083953021846746,59.71692911648936,62.554172337181726,68.20624507131893,73.82450898189607,76.68805335546293,83.96070202892338,91.057192222002,94.58950270294937,100.0795474147029,105.56220748648197
11,11,12427070.0,18.155164299795693,0.05508074636434182,0.2938557347889026,0.6158671095201765,0.9359522903891876,1.0898770418168369,1.3963447614068953,1.700979250312204,1.852612477174608,2.154517715171978,2.4546170124614344,2.6039928319195798,2.899113024065019,3.191177134886696,3.3364864881824623,3.6258007177419342,3.9133843595794673,4.056530430071633,4.341537558225178,4.624839844607864,4.765854862672555,5.046629375479384,9.34518927875589,15.167439630282788,18.065491531831093,23.835579527866507,29.571152285974957,32.42605988758666,38.11024661771097,43.76043184599642,46.572837890534835,52.17240213059631,57.805378225238925,60.64262144593129,66.29469418006849,71.91295809064565,74.7765024642125,82.04915113767294,89.14564133075157,92.67795181169893,98.16799652345246,103.65065659523152
12,12,12427614.0,17.69100555302571,0.05652589939009821,0.1851028094908572,0.5119805156163424,0.8369029250315168,0.9986345666371852,1.3206459413684593,1.6407311222374703,1.7946558736651195,2.101123593255178,2.405758082160487,2.5573913090228904,2.8592965470202607,3.1593958443097168,3.308771663767862,3.6038918559133015,3.895955966734979,4.041265320030745,4.330579549590217,4.61816319142775,4.761309261919916,5.046316390073461,11.204523258095254,16.940096016203704,19.79500361781541,25.479190347939717,31.12937557622517,33.94178162076358,39.54134586082506,45.174321955467676,48.01156517616003,53.66363791029724,59.28190182087439,62.14544619444124,69.41809486790169,76.51458506098032,80.04689554192768,85.53694025368121,91.01960032546027,93.74530092880661,99.092830983732,104.40837305738651
13,13,12428470.0,17.602775695127647,0.05680922243852682,0.3224935791830827,0.6493712853085679,0.9742936947237423,1.1360253363294108,1.4580367110606847,1.7781218919296957,1.932046643357345,2.2385143629474036,2.5431488518527123,2.694782078715116,2.996687316712486,3.296786614001942,3.446162433460088,3.741282625605527,4.033346736427204,4.1786560897229705,4.4679703192824425,4.7555539611199755,4.898700031612141,5.183707159765686,8.779929037577716,14.515501795686166,17.37040939729787,23.05459612742218,28.70478135570763,31.51718740024604,37.11675164030752,42.749727734950135,45.58697095564249,51.2390436897797,56.857307600356854,59.7208519739237,66.99350064738415,74.08999084046278,77.62230132141015,83.11234603316367,88.59500610494274,91.32070670828908,96.66823676321447,101.98377883686896
14,14,12429362.0,17.863434614611517,0.05598027599810191,0.24757920962620159,0.5725016190413759,0.8954804372684003,1.0562446353783184,1.3763298162473294,1.6837182674632263,1.8367222872650373,2.141356776170346,2.44416903856797,2.5948952410301196,2.894994538319576,3.192732764077616,3.339490549923161,3.631554660744838,3.9217380964772772,4.066178243600076,4.353761885437609,4.63962526417062,4.78191508408332,5.065217370466006,10.134796558173955,15.904884554209373,18.77697226622968,24.495364913929528,30.179551644053834,33.00888166835357,38.642142916877695,44.24170715693918,47.0289162058707,52.71192647227415,58.36399920641136,61.17734465845911,66.84580749055536,74.11845616401581,77.67202328012982,84.7472568380418,90.23730154979533,92.96271348896757,98.44566222492074,103.79319227984612
15,15,12429886.0,17.69100555302571,0.05652589939009821,0.205363015383461,0.5679420836829028,0.9283522990866339,1.1077481612975948,1.4649294007763947,1.8199740688009294,1.9913000661948788,2.33241406664526,2.6714875890529295,2.8402630042432238,3.176298732991303,3.510324358814752,3.6765871659191345,4.005329735554481,4.330815104188064,4.492760043275004,4.815196102759957,5.13570345003983,5.295237445206706,5.612873309391055,12.427505862152492,18.789514001062653,21.956232681705835,27.951296512199324,33.60148174048478,36.413887785023185,42.01345202508467,47.64642811972728,50.48367134041964,56.13574407455685,61.754007985133995,64.61755235870085,71.8902010321613,78.98669122523992,82.5190017061873,88.00904641794082,93.49170648971989,96.21740709306623,101.56493714799161,106.88047922164611
16,16,12430409.0,17.678626801134477,0.056565479392088745,0.22687807619313888,0.5894571444925806,0.9498673598963118,1.1292632221072727,1.4864444615860726,1.8414891296106073,2.0128151270045564,2.3539291274549377,2.693002649862607,2.8617780650529014,3.1978137938009805,3.53183941962443,3.6981022267288126,4.026844796364159,4.352330164997742,4.514275104084682,4.836711163569635,5.157218510849508,5.316752506016384,5.634388370200734,12.04700406056197,18.409012199472134,21.575730880115312,27.5707947106088,33.22097993889425,36.033385983432666,41.63295022349414,47.265926318136756,50.10316953882912,55.75524227296632,61.373506183543476,64.23705055711032,71.50969923057077,78.6061894236494,82.13849990459677,87.6285446163503,93.11120468812936,95.8369052914757,101.18443534640109,106.4999774200556
17,17,12431071.0,17.981717272460244,0.055612041099742014,0.2551876698809716,0.6145183342047547,0.9716995736835545,1.1494881728349389,1.4980702391020386,1.8391842395524198,2.0089752996570605,2.3470331771503834,2.6830689058984625,2.850332231035135,3.1833573388262946,3.512099908461641,3.6751538120585225,3.9995302161821638,4.321966275667117,4.482460320465522,4.8020076181138664,5.1196434822982155,5.277748189641325,5.592538299209271,11.61001928139236,18.029540899911446,21.224887561055947,27.586895699966107,33.910847677710635,36.74867821110278,42.39886343938823,48.01525114437682,50.81083372398812,56.37690293955436,61.91120833683647,64.66669831017944,70.15294256175622,76.52703541782076,80.09258534901595,87.05902130577083,93.20868754722648,95.88775234908799,101.24229434813566,106.51841876160701
18,18,12431573.0,18.45350341988643,0.05419025196713321,0.19367304290108528,0.5487177109256199,0.8908565320280784,1.0611577087699504,1.4002312311776202,1.737276523745637,1.9050423751159933,2.239068000939443,2.570529619352353,2.734073377679172,3.0595587463127543,3.3829635221090983,3.543939744884648,3.8644470921645206,4.183037233859504,4.341616951515746,4.657352796943749,4.971205188588062,5.127429261403144,5.407591544518402,12.828195969051057,19.325212007803863,22.559131767153858,28.997939780176765,35.39823288797645,38.58400807907753,44.92695970752979,50.92202353802328,53.75135356232301,59.38461481084714,64.98417905090862,67.77138809984014,73.32078501189083,78.84004363709995,81.58728024963051,87.12411887052966,94.26593067593645,97.75437313959027,104.69994202212739,110.0610976760085
19,19,12432213.0,18.581266481124107,0.05381764483146809,0.35075019017321785,0.6994095778876026,1.0459833770350875,1.2184920665406336,1.5619608519889507,1.9033750977357509,2.07331559575916,2.4111050785632715,2.7439927529873493,2.909555100627687,3.2391935355629493,3.5668601744379105,3.729957749199854,4.054688747483785,4.377477296193708,4.538146790103994,4.858048617456107,5.176042072949502,5.303441345722758,5.557096235595198,10.262160760851284,16.919035347787393,20.232525224613784,26.82975991934716,33.387531351634635,36.65169239004078,43.15071185202276,49.6108558571423,52.82642219782554,58.60972518497757,64.35843413266726,67.21988041563716,72.91708542215085,78.58021132296814,81.40058910280635,87.01602575697186,92.66490024815629,96.29692849045398,103.46195300583477,110.51788984134012
20,20,12433069.0,18.622188218736895,0.053699382062621426,0.28768997982623085,0.6408522838826831,0.9919020641134367,1.166638693621446,1.514543359076104,1.8603669505647928,2.032502220542415,2.3746615450601913,2.711892921767435,2.8796173671640055,3.213560588366794,3.545506263597551,3.7107337483629803,4.039705446134297,4.366709327659018,4.5294770229854455,4.853556417185678,5.175702450549142,5.305168687953703,5.5629389520705255,11.645562968524185,18.385831800309465,21.740831545240567,28.42071334384755,35.060637502515405,38.3656904401618,44.946126611023296,51.48720031128553,54.74304977931955,60.60655739817751,66.43499121675124,69.33612092038608,75.11233652522321,80.85400040480253,83.71347082530013,89.40674182096276,95.13298507183175,98.80352396897553,106.045224083241,113.17737786255489
21,21,12433669.0,18.749244246860002,0.053335483117804776,0.25860261264662865,0.6107070770181076,0.9607053205152097,1.1349185661931653,1.4817811403598709,1.826568847436179,1.9981885304837608,2.337596762278752,2.6736839940577695,2.840906059604006,3.1738489979734297,3.504800375256744,3.6695329340329494,3.99751925827341,4.323543649879209,4.48582379261593,4.80893765458477,5.099235314847467,5.228313766450521,5.485311906082823,12.108375620398117,18.86889471149771,22.233974400180212,28.933924712056957,35.59379768633301,38.90878010238615,45.50898634290158,52.069711783658846,55.335342911156275,61.527343699446796,67.37328785379835,70.283133816622,76.07670314462024,81.8356169640402,84.70214300467327,90.41251849909295,96.08873642218727,98.98112767170251,106.31121113590775,113.46479255992037
22,22,12434349.0,19.44231020915128,0.05143421688279159,0.2565357307759896,0.6219795496810115,0.9852373663622542,1.1654846485468309,1.5220441595427812,1.8762031891778317,2.05248746376471,2.4034735298693075,2.7523600685292013,2.9260199580765716,3.2717807693825454,3.6154733386509332,3.7865530903981397,4.127176813410835,4.404088662999063,4.541922814483024,4.816353758334198,5.073057470395789,5.192802149577388,5.431216548140006,12.82354053109843,19.881875829239824,23.395194714462722,30.592388153335946,37.74653004073474,41.30753678987494,48.397583363044895,55.445219261289985,58.95321229040493,65.93770695857614,72.88042235116667,76.33619108397141,83.21670516198412,89.43709863330862,92.53332806174942,98.69799219238189,104.82578056972346,107.70091840866971,113.42691486980038,119.12018586546301
23,23,12434894.0,18.969887619435347,0.0527151251531645,0.27726777566823035,0.6471230945694982,1.0147660567263552,1.197762039481753,1.5621112032940585,1.9237149744971964,2.102262126831292,2.4576195984800657,2.8107177897150755,2.9864740473458675,3.3364087826118687,3.684250284026937,3.8573900013768094,4.202115139260641,4.544783416348505,4.715350729045082,5.024070731317135,5.300153140433389,5.437574421422144,5.711183357822974,12.437134083158009,19.61276938600161,23.18447523173708,30.295822709864414,37.364631972969626,40.88316445229232,47.88864288336444,54.852216766689466,58.318367542169014,65.21955340336919,71.7695122565686,74.87504382431095,81.05822870779278,87.20442705289962,90.26372576072579,96.00538964030513,101.7157651347248,104.55813105646536,110.28437430733435,117.6144577715396
24,24,12435565.0,19.0135663883882,0.052594025737891625,0.20634724073425575,0.5762025596355237,0.9438455217923806,1.1268415045477784,1.491190668360084,1.8527944395632219,2.0313415918973172,2.386699063546091,2.739797254781101,2.9155535124118925,3.265488247677894,3.6133297490929626,3.786469466442835,4.131194604326667,4.47386288141453,4.6444301941111075,4.9531501963831595,5.229232605499415,5.366653886488169,5.6402628228889995,13.784095350300506,20.959730653144106,24.531436498879575,31.64278397700691,38.71159324011212,42.23012571943482,49.23560415050694,56.19917803383196,59.66532880931151,66.5665146705117,73.11647352371111,76.22200509145345,82.40518997493527,88.55138832004212,91.6106870278683,97.35235090744762,103.0627264018673,105.90509232360786,111.63133557447684,118.9614190386821
25,25,12436359.0,19.03068544461902,0.05254671477336371,0.3647523848679372,0.7334998565064089,1.100041604549221,1.282489440698845,1.6457472573800875,2.0045416918987597,2.1825540505606145,2.536713080195665,2.888753612413335,3.0639834208871406,3.412869959547035,3.7596695664442774,3.932290660400379,4.275983229668767,4.6176302941125495,4.787686704428668,5.064598554016897,5.3398539864896115,5.4768636493520315,5.733567361413622,10.689901527035696,17.887094965908922,21.469531007572247,28.602243602447913,35.69229017561787,39.22139359454027,46.2479191029779,53.232413771149126,56.70897838826011,63.63089789654438,70.51141197455709,73.62627387813924,79.82803487432238,85.99269900495486,89.06118867447026,94.99562522124268,100.72162168237335,103.57252675629545,109.24874467938974,115.81167482604874
26,26,12437077.0,18.28268989259262,0.054696546617309195,0.3185313926689269,0.7059836053851948,1.0857190572534436,1.272038622805306,1.643005137151657,2.0117526087901285,2.1952983740775425,2.5607421929825644,2.924000009663807,3.104247291848384,3.4608068028443344,3.814965832479385,3.991250107066263,4.3422361731708605,4.691122711830754,4.864782601378125,5.210543412684099,5.554235981952486,5.725315733699692,6.065939456712388,11.952429480260756,19.000065378505845,22.508058407620787,29.49255307579201,36.43526846838254,39.891037201187274,46.77155127919998,52.99194475052448,56.088174178965275,62.25283830959774,68.38062668693932,71.25576452588557,76.98176098701624,82.67503198267889,85.50888398403264,92.07181413069164,99.3135142449571,102.88494012176574,109.22063236553696,114.69125969786958
27,27,12437861.0,18.218815516993224,0.054888310333197604,0.23975935920916466,0.6283756161454522,1.0146672649851751,1.2015465911922858,1.57362762695826,1.943482945859528,2.127580142728971,2.494121890771783,2.858471054584088,3.0398275436026494,3.3986219781213216,3.7539794497700956,3.930793366418227,4.282833898635897,4.6327686339018985,4.806950245769596,5.153749852666839,5.498474990550672,5.670063515891329,6.011710580335111,13.367469095241136,20.393994603678774,23.891480005635948,30.855053888960974,37.77697339724526,41.2223905256407,47.77234937884012,53.97411037502326,57.06106583006429,63.20726417517113,69.14170072194355,72.00822676257663,77.7186022569963,83.39482018009062,86.28721142960585,93.6172948938111,100.77087631782372,104.33160422032898,109.87822867278038,115.30807852203475
28,28,12438555.0,18.372490414727444,0.0544292024340041,0.3547120002290243,0.7410036490687472,1.1142025408277203,1.2999640110418322,1.6698193299431001,2.0374622920999568,2.2204582748553547,2.5848074386676605,2.946411209870798,3.124958362204894,3.4803158338536675,3.8334140250886772,4.009170282719469,4.3591050179854705,4.706946519400539,4.880086236750411,5.2248113746342435,5.567479651722107,5.738046964418683,6.046766966690736,11.305661311388059,18.374470574493273,21.893003053815967,28.898481484888084,35.86205536821311,39.328206143692654,46.22939200489284,52.77935085809226,55.884882425834604,62.068067309316426,68.21426565442327,71.27356436224945,77.01522824182877,82.72560373624844,85.567969657989,91.29421290885799,98.62429637306325,102.20645192026723,109.33860569958112,114.88523015203252
29,29,12439552.0,18.420318648195533,0.05428787737599538,0.2713028984569522,0.6575945472966751,1.0307934390556481,1.21655490926976,1.586410228171028,1.9540531903278848,2.1370491730832826,2.5013983368955883,2.8630021080987262,3.041549260432822,3.3969067320815953,3.750004923316605,3.925761180947397,4.275695916213398,4.623537417628467,4.7966771349783395,5.141402272862171,5.484070549950035,5.654637862646612,5.963357864918664,12.840132837704655,19.908942100809867,23.42747458013256,30.432953011204678,37.39652689452971,40.86267767000925,47.76386353120943,54.31382238440885,57.4193539521512,63.60253883563302,69.74873718073987,72.80803588856604,78.54969976814536,84.26007526256504,87.10244118430559,92.82868443517458,100.15876789937984,103.74092344658382,110.87307722589772,116.41970167834911
