,block,block_timestamp,b_price,price_volatility,combined_USDT,rolling_USDT,liquidity_volatility,rolling_USDT_Vola,ASSET,LB,LT,LTV,ADDRESS
0,12414000,2021-05-11,457.28,,420317.7189746842,,,,,,,,
1,12420000,2021-05-12,513.81,,568040.285169854,,,,,,,,
2,12426000,2021-05-13,509.33,,1272734.3407380604,,,,,,,,
3,12432000,2021-05-14,594.78,,1222867.8706551183,,,,,,,,
4,12438000,2021-05-15,517.89,,1305383.4158547418,,,,,,,,
5,12444000,2021-05-16,527.88,,1872729.268469677,,,,,,,,
6,12450000,2021-05-17,572.26,,1493042.7916122684,,,,,,,,
7,12456000,2021-05-18,628.75,,1855759.3615105036,,,,,,,,
8,12462000,2021-05-19,414.36,,858615.1425471103,,,,,,,,
9,12468000,2021-05-20,467.22,,1002592.8584127286,,,,,,,,
10,12480000,2021-05-21,373.29,,1083296.404852344,,,,,,,,
11,12486000,2021-05-22,334.87,,1077031.1923829773,,,,,,,,
12,12492000,2021-05-23,293.31,,1096591.9612085149,,,,,,,,
13,12498000,2021-05-24,387.06,,2598320.714980168,,,,,,,,
14,12504000,2021-05-25,370.66,,3072833.473126844,,,,,,,,
15,12510000,2021-05-26,414.57,,3475177.928452018,,,,,,,,
16,12516000,2021-05-27,371.9,,2430598.1157191973,,,,,,,,
17,12522000,2021-05-28,319.8,,2438725.6928089573,,,,,,,,
18,12528000,2021-05-29,298.02,,2288934.8603001577,,,,,,,,
19,12534000,2021-05-30,324.38,,1996449.7741943158,,,,,,,,
20,12540000,2021-05-31,382.44,,2432247.82964084,,,,,,,,
21,12546000,2021-06-01,373.13,,2237523.860041963,,,,,,,,
22,12552000,2021-06-02,384.24,,2609902.4938384523,,,,,,,,
23,12564000,2021-06-03,398.36,,3254096.4192337855,,,,,,,,
24,12570000,2021-06-04,373.11,,2856988.0287918407,,,,,,,,
25,12576000,2021-06-05,356.22,,2881125.7318222797,,,,,,,,
26,12582000,2021-06-06,365.48,,4298148.307653101,,,,,,,,
27,12588000,2021-06-07,334.54,,3598752.5232838243,,,,,,,,
28,12594000,2021-06-08,329.3,,5802100.603058225,,,,,,,,
29,12600000,2021-06-09,338.85,,6007898.397169684,2313627.5788834747,,,,,,,
30,12606000,2021-06-10,310.29,2.0706828155262267,4235287.159948656,2440793.2269159406,6.347764646100211,,,,,,
31,12612000,2021-06-11,285.33,2.0454145487178668,4957115.116088012,2587095.721279879,6.3164289113319425,,,,,,
32,12618000,2021-06-12,278.49,2.0457355707625275,7097525.444497116,2781255.4247385142,5.4595588838366,,,,,,
33,12624000,2021-06-13,316.27,2.023258344742645,5888125.853822556,2936764.0241774293,5.50270987678506,,,,,,
34,12630000,2021-06-14,318.19,1.993308269383569,5768306.271484902,3085528.1193651007,5.513160843714923,,,,,,
35,12636000,2021-06-15,311.78,1.9918578431936622,8167965.49215289,3295369.3268212075,5.503527205402268,,,,,,
36,12648000,2021-06-16,290.71,1.9783868351001985,2623691.928598286,3333057.631387408,5.8882440799161495,,,,,,
37,12654000,2021-06-17,293.21,1.9505908610893519,3545862.6541009326,3389394.4078070894,5.922481043623826,,,,,,
38,12660000,2021-06-18,265.11,1.7122452851776175,4097016.837143747,3497341.1309603103,5.623045591663818,,,,,,
39,12666000,2021-06-19,254.59,1.6639128686626528,3109833.560565539,3567582.487698737,5.709258945375387,,,,,,
40,12672000,2021-06-20,272.67,1.5844919277665972,4795098.3903812915,3691309.220549702,5.854464838876199,,,,,,
41,12678000,2021-06-21,212.64,1.6803908691608513,2617975.855983305,3742674.042669713,6.071298891279396,,,,,,
42,12684000,2021-06-22,206.12,1.646650560553712,1964174.8498159705,3771593.472289962,6.149735896266498,,,,,,
43,12690000,2021-06-23,207.65,1.326486939629288,2283614.878878389,3761103.277753236,4.8090303541382,,,,,,
44,12696000,2021-06-24,211.28,1.3279252419874585,1920736.0145581358,3722700.029134279,4.826190916590579,,,,,,
45,12702000,2021-06-25,186.86,1.2962114375725078,1581060.9614458412,3659562.79690074,4.854838956539964,,,,,,
46,12708000,2021-06-26,187.29,1.2754844311329812,1862464.2729381365,3640625.0021413714,4.77447728815036,,,,,,
47,12714000,2021-06-27,202.87,1.2559209442586117,2064635.3716855592,3628155.324770591,4.777248567850121,,,,,,
48,12720000,2021-06-28,227.37,1.3010466796633677,2108593.483227268,3622143.945534828,4.767509352405404,,,,,,
49,12726000,2021-06-29,238.22,1.2806367359134845,3373415.7880315264,3668042.812662735,4.997907629432136,,,,,,
50,12738000,2021-06-30,251.08,1.169259201862111,3374610.56113469,3699454.90371253,4.981695027156111,,,,,,
51,12744000,2021-07-01,230.17,1.1873541364487687,1766726.2954469216,3683761.651559362,5.207936973651133,,,,,,
52,12750000,2021-07-02,234.12,1.1839483150685857,2557765.8942339662,3682023.7649058793,5.32520322734676,,,,,,
53,12756000,2021-07-03,259.42,1.2275330142115837,4549310.377406399,3725197.563511633,5.698080297844929,,,,,,
54,12762000,2021-07-04,277.0,1.237897155031793,4726342.435631809,3787509.3770729657,5.668278072790244,,,,,,
55,12768000,2021-07-05,308.22,1.2792577436738806,4250980.186828117,3833171.1922398265,5.689377448886171,,,,,,
56,12774000,2021-07-06,316.49,1.2794166112838785,4419418.797499447,3837213.5419013714,5.553294745979422,,,,,,
57,12780000,2021-07-07,314.83,1.2550574943228836,4452914.2422891185,3865685.599201548,5.5148078079424625,,,,,,
58,12786000,2021-07-08,291.36,1.273364891366171,4377985.773664234,3818215.104888415,5.272578493354548,,,,,,
59,12792000,2021-07-09,303.0,1.2759886045673332,3882657.865176642,3747373.7538219797,5.293254358572188,0.41136544975542955,,,,,
60,12798000,2021-07-10,294.7,1.253987209144022,3958328.6798823513,3738141.804486437,5.196170652708975,0.3981893788191038,,,,,
61,12804000,2021-07-11,305.09,1.2330259727238593,3973186.328279979,3705344.1782261687,5.186094255693571,0.3795748457203263,,,,,
62,12810000,2021-07-12,296.73,1.2337723826852114,3133692.789342281,3573216.4230543408,5.107085975688757,0.3554248359148354,,,,,
63,12816000,2021-07-13,271.23,1.1966824140303838,3310448.1191251986,3487293.831897763,5.073191535262796,0.33810989765872995,,,,,
64,12822000,2021-07-14,279.29,1.200066720710607,4646911.967762431,3449914.02177368,5.1812047857293635,0.31350333232185745,,,,,
65,12834000,2021-07-15,272.3,1.2008108645840572,4811593.4974265825,3338034.955282803,5.06265790606159,0.26672365140116866,,,,,
66,12840000,2021-07-16,253.13,1.202184358373549,5006185.812675328,3417451.4180853716,4.58737400553756,0.273418851583752,,,,,
67,12846000,2021-07-17,253.14,1.2018025638243681,5995320.0230786465,3499099.9970512954,4.5235696481195715,0.27767352732795836,,,,,
68,12852000,2021-07-18,253.68,1.168405511620464,5828958.188237557,3556831.3754210887,4.5192468561113985,0.26628665059129647,,,,,
69,12858000,2021-07-19,238.51,1.175963685418901,4829465.506330954,3614152.440279936,4.48493092484639,0.2640149037853103,,,,,
70,12864000,2021-07-20,223.03,1.1712140448591326,4278777.123278769,3596941.7313765185,4.25799098451725,0.24369446061483038,,,,,
71,12870000,2021-07-21,259.45,1.0797544575040627,7114246.928616598,3746817.433797628,4.385417231073778,0.270053903818785,,,,,
72,12876000,2021-07-22,278.66,1.0890599347712513,6193949.640030799,3887809.926804789,4.32350309406105,0.29045497997492,,,,,
73,12882000,2021-07-23,290.0,1.0920188069015073,6752361.849598665,4036768.159162132,4.3151330763693325,0.30939581958772966,,,,,
74,12888000,2021-07-24,287.67,1.0937035626763956,9562539.843770312,4291494.953469205,4.374101923788099,0.3530200200853803,,,,,
75,12894000,2021-07-25,288.07,1.024957057668956,6746278.661355016,4463668.876799511,4.44842768687509,0.36085939435251724,,,,,
76,12900000,2021-07-26,302.43,1.0284908503739953,6508332.052806095,4618531.136128441,4.451809081541001,0.3677118466707655,,,,,
77,12906000,2021-07-27,299.94,1.012207926863454,7191512.617701541,4789427.044328975,4.451593156298478,0.3751796322363829,,,,,
78,12912000,2021-07-28,297.92,0.9627247560171907,7171648.129713828,4958195.532545193,4.454697419940418,0.38078551625611723,,,,,
79,12918000,2021-07-29,312.0,0.9625728024611268,6665942.2598366365,5067946.414938698,4.18384242500458,0.38217584957425405,,,,,
80,12924000,2021-07-30,320.49,0.9552288606996322,7917141.804366419,5219364.123046422,4.198698970908196,0.38591521092583975,,,,,
81,12936000,2021-07-31,331.1,0.9153183839290059,7945346.500190867,5425318.129871219,3.885657910638228,0.3908611325270239,,,,,
82,12942000,2021-08-01,316.38,0.9306235224419557,7568418.750576922,5592339.891749318,3.734892397563267,0.3918031569021859,,,,,
83,12948000,2021-08-02,320.4,0.8847335248403232,6588577.159542457,5660315.451153854,3.083768673705154,0.39178041082782006,,,,,
84,12954000,2021-08-03,308.74,0.8755862808938677,5658116.141556653,5691374.574684681,3.122247843205978,0.3925376773375946,,,,,
85,12960000,2021-08-04,339.02,0.860857348081711,7352080.145834756,5794744.5733182365,3.1998902371585705,0.39267920985383253,,,,,
86,12966000,2021-08-05,372.78,0.9020424374748686,8100808.617200229,5917457.567308262,3.2056700783370244,0.39116962801289834,,,,,
87,12972000,2021-08-06,369.6,0.9024799363450807,6856990.098449821,5997593.429180285,3.252421746170346,0.3905631913812347,,,,,
88,12978000,2021-08-07,385.07,0.8738137550376751,9372352.65996816,6164072.325390416,3.389405178853627,0.3834003977346818,,,,,
89,12984000,2021-08-08,360.72,0.8947892075849844,11116703.042567227,6405207.164636769,3.379074032358258,0.3740695122101408,,,,,
