,block,block_timestamp,b_price,price_volatility,combined_USDT,rolling_USDT,liquidity_volatility,rolling_USDT_Vola,TOKEN_ADDRESS,OLD_COLLATERAL,NEW_COLLATERAL
0,12396000,2021-05-08,48.597,,58085.12591533008,,,,,,
1,12420000,2021-05-12,41.622,,2320886.215410355,,,,,,
2,12426000,2021-05-13,43.287,,31679371.20118888,,,,,,
3,12432000,2021-05-14,46.567,,38343796.190798804,,,,,,
4,12438000,2021-05-15,41.492,,26687084.809121456,,,,,,
5,12444000,2021-05-16,40.67,,23177377.98211358,,,,,,
6,12450000,2021-05-17,37.177,,30679926.05928627,,,,,,
7,12456000,2021-05-18,42.566,,19428128.069579117,,,,,,
8,12462000,2021-05-19,26.227,,9944475.814837836,,,,,,
9,12468000,2021-05-20,30.606,,13688562.570125032,,,,,,
10,12480000,2021-05-21,25.546,,12849004.144585647,,,,,,
11,12486000,2021-05-22,23.296,,11169892.24303358,,,,,,
12,12492000,2021-05-23,19.844,,9465331.731203793,,,,,,
13,12498000,2021-05-24,26.412,,71427387.58672436,,,,,,
14,12504000,2021-05-25,27.503,,31085653.268595956,,,,,,
15,12510000,2021-05-26,34.018,,32304918.35478466,,,,,,
16,12516000,2021-05-27,31.732,,57399208.76187046,,,,,,
17,12522000,2021-05-28,27.878,,66848173.35204091,,,,,,
18,12528000,2021-05-29,25.365,,78967352.80009961,,,,,,
19,12534000,2021-05-30,26.818,,67949104.84801877,,,,,,
20,12540000,2021-05-31,32.098,,81036522.46984634,,,,,,
21,12546000,2021-06-01,30.719,,84840495.4895759,,,,,,
22,12552000,2021-06-02,30.67,,117008620.36420447,,,,,,
23,12564000,2021-06-03,32.198,,123993088.49857305,,,,,,
24,12570000,2021-06-04,28.826,,130046894.55833912,,,,,,
25,12576000,2021-06-05,27.129,,132702309.30178688,,,,,,
26,12582000,2021-06-06,27.532,,189111083.71633133,,,,,,
27,12588000,2021-06-07,24.584,,101750405.59707917,,,,,,
28,12594000,2021-06-08,24.076,,97839211.2832869,,,,,,
29,12600000,2021-06-09,25.585,,41419183.853037864,57840717.875379845,,,,,
30,12606000,2021-06-10,23.114,2.2361782457321593,92271844.35994619,60914509.84984755,118.20271700904536,,,,
31,12612000,2021-06-11,21.478,2.2094981705360897,82330055.541888,63581482.16073013,41.01582549718704,,,,
32,12618000,2021-06-12,21.67,2.2049592483439646,84808990.71510766,65352469.477860756,19.823638875266663,,,,
33,12624000,2021-06-13,23.312,2.2049591190637243,81223699.88414472,66781799.60097229,19.841635891090444,,,,
34,12630000,2021-06-14,24.973,2.198764871630237,65936917.56994698,68090127.35966647,19.81674731527625,,,,
35,12636000,2021-06-15,24.482,2.198757420361819,39747440.85203482,68642462.78866385,19.875631855001703,,,,
36,12648000,2021-06-16,23.044,2.191705799204079,58151427.7639509,69558179.51215267,19.88498686446512,,,,
37,12654000,2021-06-17,23.396,2.145710134439466,68044976.48501334,71178741.12600048,19.80286150371627,,,,
38,12660000,2021-06-18,21.233,1.8511924260460768,52146513.76273751,72585475.7242638,19.732931066126657,,,,
39,12666000,2021-06-19,20.246,1.78524044682044,63400816.87550731,74242550.86777654,19.730780388453702,,,,
