,block,block_timestamp,b_price,price_volatility,combined_USDT,rolling_USDT,liquidity_volatility,rolling_USDT_Vola,TOKEN_ADDRESS,OLD_COLLATERAL,NEW_COLLATERAL
0,12420000,2021-05-12,4934.45,,2253490.2544994974,,,,,,
1,12426000,2021-05-13,4761.75,,5610951.268149864,,,,,,
2,12432000,2021-05-14,5005.06,,6246539.215227512,,,,,,
3,12438000,2021-05-15,4603.61,,5331427.432252035,,,,,,
4,12444000,2021-05-16,4544.21,,6273850.056313289,,,,,,
5,12450000,2021-05-17,4246.57,,6492866.558602131,,,,,,
6,12456000,2021-05-18,4653.29,,10524639.28021004,,,,,,
7,12462000,2021-05-19,3462.08,,8367053.9539110325,,,,,,
8,12468000,2021-05-20,3937.61,,41893437.79336874,,,,,,
9,12480000,2021-05-21,3113.08,,8299500.938257242,,,,,,
10,12486000,2021-05-22,2765.73,,6976725.744920858,,,,,,
11,12492000,2021-05-23,2715.0,,8269855.704052549,,,,,,
12,12498000,2021-05-24,4182.31,,12945165.425176984,,,,,,
13,12504000,2021-05-25,3858.37,,18963235.25479721,,,,,,
14,12510000,2021-05-26,3967.77,,32633937.75725103,,,,,,
15,12516000,2021-05-27,3723.2,,29395274.975768592,,,,,,
16,12522000,2021-05-28,3247.08,,23332926.607247036,,,,,,
17,12528000,2021-05-29,3064.1,,22081926.352461703,,,,,,
18,12534000,2021-05-30,3308.9,,19013435.05722259,,,,,,
19,12540000,2021-05-31,3597.27,,15203554.226535963,,,,,,
20,12546000,2021-06-01,3593.63,,15680887.10963656,,,,,,
21,12552000,2021-06-02,3561.79,,24020883.478613015,,,,,,
22,12564000,2021-06-03,3659.44,,15438041.372471131,,,,,,
23,12570000,2021-06-04,3725.52,,17230296.75509399,,,,,,
24,12576000,2021-06-05,3555.76,,15559616.00079557,,,,,,
25,12582000,2021-06-06,3612.57,,16155651.097890828,,,,,,
26,12588000,2021-06-07,3306.92,,15418383.711278621,,,,,,
27,12594000,2021-06-08,3236.89,,16168855.146736005,,,,,,
28,12600000,2021-06-09,3330.18,,17981711.362280495,,,,,,
29,12606000,2021-06-10,3112.11,,11691086.550766941,15181840.2147263,,,,,
30,12612000,2021-06-11,2923.8,2.122045468373646,12995525.286540287,15539908.049127663,13.123122455031202,,,,
31,12618000,2021-06-12,2935.77,2.121010021730837,11880773.254108023,15748902.115326267,12.578267444476682,,,,
32,12624000,2021-06-13,3142.8,2.1264792424865893,12801054.02496015,15967385.942317355,12.579961209816354,,,,
33,12630000,2021-06-14,3197.58,2.1163487178241582,12831625.995208398,16217392.561082568,12.555484640554049,,,,
34,12636000,2021-06-15,3152.03,2.116398976025261,12949760.378617838,16439922.905159384,12.56387926108341,,,,
35,12648000,2021-06-16,2946.56,2.1163209542614596,20149196.125614427,16895133.890726462,12.60853689206849,,,,
36,12654000,2021-06-17,2910.89,2.0949060997599895,32462907.89028735,17626409.511062372,12.605581957173964,,,,
37,12660000,2021-06-18,2689.1,1.971155516358594,27904975.695368506,18277673.569110952,12.589833603788653,,,,
38,12666000,2021-06-19,2582.32,1.928669830058214,27606637.525589965,17801446.89351833,5.196649894717303,,,,
39,12672000,2021-06-20,2701.4,1.8367663565587797,23454241.44422687,18306604.910383984,4.5770140661287835,,,,
