,block,block_timestamp,b_price,price_volatility,combined_USDT,rolling_USDT,liquidity_volatility,rolling_USDT_Vola,TOKEN_ADDRESS,OLD_COLLATERAL,NEW_COLLATERAL
0,12420000,2021-05-12,14.881,,99707.74560132955,,,,,,
1,12426000,2021-05-13,14.774,,487910.9202814314,,,,,,
2,12432000,2021-05-14,18.591,,780443.975121169,,,,,,
3,12438000,2021-05-15,16.181,,821758.5496833759,,,,,,
4,12444000,2021-05-16,16.564,,1578071.9256560549,,,,,,
5,12450000,2021-05-17,16.187,,1881598.5771590024,,,,,,
6,12456000,2021-05-18,21.436,,1059927.0790834145,,,,,,
7,12462000,2021-05-19,13.132,,327997.9766368719,,,,,,
8,12468000,2021-05-20,15.128,,655033.7282799943,,,,,,
9,12480000,2021-05-21,12.754,,944798.4895107901,,,,,,
10,12486000,2021-05-22,11.069,,866441.030526461,,,,,,
11,12492000,2021-05-23,9.013,,736967.0262474989,,,,,,
12,12498000,2021-05-24,11.973,,1060829.48298637,,,,,,
13,12504000,2021-05-25,12.229,,950009.1966946034,,,,,,
14,12510000,2021-05-26,13.423,,1198032.2220424605,,,,,,
15,12516000,2021-05-27,12.116,,938460.2146535803,,,,,,
16,12522000,2021-05-28,10.596,,1078163.1680916068,,,,,,
17,12528000,2021-05-29,10.037,,1132732.3990482548,,,,,,
18,12534000,2021-05-30,10.837,,1150710.2342980008,,,,,,
19,12540000,2021-05-31,12.474,,968295.931312813,,,,,,
20,12546000,2021-06-01,12.051,,1288530.7581052503,,,,,,
21,12552000,2021-06-02,12.528,,1127009.816900827,,,,,,
22,12564000,2021-06-03,13.239,,1386228.328574054,,,,,,
23,12570000,2021-06-04,11.843,,1363774.8104267712,,,,,,
24,12576000,2021-06-05,11.568,,1306915.5614043665,,,,,,
25,12582000,2021-06-06,11.537,,1207079.5364245647,,,,,,
26,12588000,2021-06-07,10.275,,1268762.6382739486,,,,,,
27,12594000,2021-06-08,10.071,,1012336.9405177479,,,,,,
28,12600000,2021-06-09,10.543,,1200689.7640654324,,,,,,
29,12606000,2021-06-10,9.405,,944127.7977441732,1027444.8608450739,,,,,
30,12612000,2021-06-11,8.56,2.403915485930402,571831.1256197813,1043182.3068456891,12.494186682417354,,,,
31,12618000,2021-06-12,7.842,2.414221962145856,357077.53621101717,1038821.1940433419,5.909835608562304,,,,
32,12624000,2021-06-13,8.632,2.302880154518741,320001.5891993559,1023473.1145126148,5.693731188475799,,,,
33,12630000,2021-06-14,9.254,2.289644443232057,447511.33868783136,1010998.20747943,5.792503615318018,,,,
34,12636000,2021-06-15,9.109,2.2877414717570623,442471.73388218565,973144.8677536343,5.160500486873078,,,,
35,12648000,2021-06-16,8.494,2.293682963083455,822875.6794708155,937854.1044973615,5.698237040556416,,,,
36,12654000,2021-06-17,8.468,2.0626068551431715,827396.0693459398,930103.0708394456,5.522434386760488,,,,
37,12660000,2021-06-18,7.834,1.7575916670728655,743432.5611046659,943950.8903217054,5.083935743106762,,,,
38,12666000,2021-06-19,7.47,1.690109598902288,680805.1098764805,944809.9363749216,4.26736451780566,,,,
39,12672000,2021-06-20,8.416,1.6873769288215719,862598.4395059784,942069.9347080946,4.149496332615598,,,,
40,12678000,2021-06-21,6.644,1.7513897230734006,700107.194548566,936525.4735088313,4.184699608866813,,,,
41,12684000,2021-06-22,6.804,1.6734834502495268,662996.359883661,934059.7846300368,4.159490322419051,,,,
42,12690000,2021-06-23,7.048,1.3522282728030943,709139.7916003732,922336.7949171703,3.9739451922713536,,,,
43,12696000,2021-06-24,7.062,1.3489933162223953,761901.5394943747,916066.5396771625,3.9615684060643477,,,,
44,12702000,2021-06-25,6.294,1.3323438341600586,756605.2214020522,901352.3063224823,3.8951753168899654,,,,
45,12708000,2021-06-26,6.826,1.3464915739224577,1064485.8758732288,905553.1616964707,3.996965476581621,,,,
46,12714000,2021-06-27,7.141,1.3160999550772892,1120029.3319893652,906948.7004930625,3.9820689643053737,,,,
47,12720000,2021-06-28,7.6,1.3264674850404063,1216368.5500095868,909736.5721917736,3.985123193971255,,,,
48,12726000,2021-06-29,7.939,1.3106223181342864,1062485.331627456,906795.7421027555,4.010593281631511,,,,
49,12738000,2021-06-30,8.158,1.2275088442871231,1262296.2859707894,916595.753924688,3.998849708024128,,,,
50,12744000,2021-07-01,7.425,1.2471143253848647,855733.0061702314,902169.1621935207,4.0284753549058605,,,,
51,12750000,2021-07-02,7.423,1.23785290747585,856313.5915638111,893145.9546822868,4.006985363254504,,,,
52,12756000,2021-07-03,7.62,1.2258349327919076,858437.2775475527,875552.9196480701,3.9566197631866036,,,,
53,12762000,2021-07-04,7.934,1.2055839189014994,700436.0368678959,853441.6271961076,3.996363066298267,,,,
54,12768000,2021-07-05,8.078,1.2077085479531675,775330.6294581083,835722.1294645657,4.004342700809652,,,,
55,12774000,2021-07-06,8.981,1.2574363332622724,818524.4763295527,822770.2941280653,3.9977675520487517,,,,
56,12780000,2021-07-07,8.778,1.2195133523477413,902467.4792333635,810560.4554933792,4.004605249444901,,,,
57,12786000,2021-07-08,7.893,1.251808239481956,1638600.5067473631,831435.9077010329,4.568560997044739,,,,
58,12792000,2021-07-09,8.409,1.2595925068873586,2063906.1044052467,860209.78571236,4.592425942761289,,,,
59,12798000,2021-07-10,7.99,1.2289517117665427,1931081.3548012972,893108.2376142644,4.537173476631772,0.28395486859973845,,,
60,12804000,2021-07-11,8.15,1.2019876163580685,2187104.3547563814,946950.6785854843,4.333282193719173,0.33631745937355145,,,
61,12810000,2021-07-12,7.635,1.190698189157986,1819551.1925586383,995699.8004637383,4.184821650057515,0.3714806132879416,,,
62,12816000,2021-07-13,7.135,1.1680915653795152,1631302.7175729955,1039409.838076193,4.184677639825195,0.3911822811865952,,,
63,12822000,2021-07-14,7.123,1.145928118723094,1393691.507403154,1070949.1770333704,4.124207040014984,0.39826454444210124,,,
64,12834000,2021-07-15,6.724,1.1547997839127726,655966.7340274341,1078065.677038212,4.465767386534334,0.38019842536253956,,,
