,block,block_timestamp,b_price,price_volatility,combined_USDT,rolling_USDT,liquidity_volatility,rolling_USDT_Vola,TOKEN_ADDRESS,OLD_COLLATERAL,NEW_COLLATERAL
0,12378000,2021-05-06,40.222,,53411.234228249145,,,,,,
1,12414000,2021-05-11,38.515,,8891327.732353255,,,,,,
2,12420000,2021-05-12,36.87,,97973321.32466756,,,,,,
3,12426000,2021-05-13,37.345,,108587567.1862905,,,,,,
4,12432000,2021-05-14,40.4,,121503129.7528447,,,,,,
5,12438000,2021-05-15,36.607,,127904668.9754995,,,,,,
6,12444000,2021-05-16,36.598,,106250215.92216071,,,,,,
7,12450000,2021-05-17,33.232,,288980185.85827124,,,,,,
8,12456000,2021-05-18,35.028,,177205296.17722818,,,,,,
9,12462000,2021-05-19,23.169,,125021424.46235108,,,,,,
10,12468000,2021-05-20,26.333,,179970229.96691325,,,,,,
11,12480000,2021-05-21,21.945,,185777787.33526456,,,,,,
12,12486000,2021-05-22,20.338,,98330593.56114674,,,,,,
13,12492000,2021-05-23,16.709,,36747688.63352681,,,,,,
14,12498000,2021-05-24,24.684,,63107306.82247235,,,,,,
15,12504000,2021-05-25,25.106,,72052726.06129554,,,,,,
16,12510000,2021-05-26,29.42,,91229214.3544503,,,,,,
17,12516000,2021-05-27,28.549,,63233613.7508466,,,,,,
18,12522000,2021-05-28,25.875,,50900736.73322957,,,,,,
19,12528000,2021-05-29,23.169,,79525421.82977933,,,,,,
20,12534000,2021-05-30,25.716,,63695518.1914158,,,,,,
21,12540000,2021-05-31,28.239,,84304392.03084081,,,,,,
22,12546000,2021-06-01,27.426,,95498006.98756187,,,,,,
23,12552000,2021-06-02,27.626,,138784414.4640887,,,,,,
24,12564000,2021-06-03,28.687,,193522956.77656615,,,,,,
25,12570000,2021-06-04,26.422,,135839200.44738394,,,,,,
26,12576000,2021-06-05,25.641,,135760303.58738405,,,,,,
27,12582000,2021-06-06,25.861,,131201750.38736457,,,,,,
28,12588000,2021-06-07,24.269,,124140848.66136363,,,,,,
29,12594000,2021-06-08,23.424,,128447457.88398609,110481357.23642586,,,,,
30,12600000,2021-06-09,25.096,2.180347436872809,118064435.2692754,114415058.0375941,479.2508615487963,,,,
31,12606000,2021-06-10,23.582,2.1835014866085913,130868870.93176651,118480976.1442412,29.61233342245319,,,,
32,12612000,2021-06-11,21.848,2.1896496083323442,134560955.09047377,119700563.93643473,6.937049460444359,,,,
33,12618000,2021-06-12,21.296,2.1892131475984424,132925396.57142682,120511824.91593929,6.942159688127283,,,,
34,12624000,2021-06-13,23.255,2.1931081094178317,143950059.60627207,121260055.91105352,6.941186792828082,,,,
