,block,block_timestamp,b_price,price_volatility,combined_USDT,rolling_USDT,liquidity_volatility,rolling_USDT_Vola,TOKEN_ADDRESS,OLD_COLLATERAL,NEW_COLLATERAL
0,12426000,2021-05-13,1.6112,,30580.657878424623,,,,,,
1,12432000,2021-05-14,1.7027,,27746.12805683172,,,,,,
2,12438000,2021-05-15,1.5585,,41387.11376526233,,,,,,
3,12444000,2021-05-16,1.5692,,174936.5861794828,,,,,,
4,12450000,2021-05-17,1.4667,,166921.9288317214,,,,,,
5,12456000,2021-05-18,1.5998,,392739.4585352702,,,,,,
6,12462000,2021-05-19,0.9923,,108605.86586312832,,,,,,
7,12474000,2021-05-20,1.1564,,122387.31965071193,,,,,,
8,12480000,2021-05-21,1.0341,,69667.57392039022,,,,,,
9,12486000,2021-05-22,0.9585,,32495.44726765235,,,,,,
10,12492000,2021-05-23,0.7951,,22493.166906096358,,,,,,
11,12498000,2021-05-24,0.9864,,21059.679464275465,,,,,,
12,12504000,2021-05-25,0.9767,,24256.734637503927,,,,,,
13,12510000,2021-05-26,1.1494,,37503.181255497264,,,,,,
14,12516000,2021-05-27,1.103,,41483.592830733425,,,,,,
15,12522000,2021-05-28,0.9645,,26772.696047130532,,,,,,
16,12528000,2021-05-29,0.9005,,30032.314948677402,,,,,,
17,12534000,2021-05-30,0.9363,,46904.109898095194,,,,,,
18,12540000,2021-05-31,1.0201,,49827.30481138825,,,,,,
19,12546000,2021-06-01,1.0262,,48598.338198692276,,,,,,
20,12552000,2021-06-02,1.1463,,245468.84000116138,,,,,,
21,12564000,2021-06-03,1.1887,,181037.60104027519,,,,,,
22,12570000,2021-06-04,1.0668,,246535.37943062335,,,,,,
23,12576000,2021-06-05,1.04,,259786.08829551772,,,,,,
24,12582000,2021-06-06,1.0612,,263906.3205283777,,,,,,
25,12588000,2021-06-07,0.953,,178983.13157657796,,,,,,
26,12594000,2021-06-08,0.9547,,133075.5699852175,,,,,,
27,12600000,2021-06-09,0.9663,,102051.57394256456,,,,,,
28,12606000,2021-06-10,0.9343,,99494.85474494396,,,,,,
29,12612000,2021-06-11,0.8635,,102836.73844271043,110985.84323116453,,,,,
30,12618000,2021-06-12,0.8523,1.8627027433577361,153120.68844562295,115070.51091673781,15.956420963892066,,,,
31,12624000,2021-06-13,0.8951,1.860636614064876,241362.13809496467,122191.04458467556,15.94235822057198,,,,
32,12630000,2021-06-14,0.9105,1.850381817334467,179100.44677226385,126781.48901824228,16.008492704446795,,,,
33,12636000,2021-06-15,0.8936,1.849769192422486,221190.72488128959,128323.29364163584,13.324317981472428,,,,
34,12648000,2021-06-16,0.8677,1.8435529002174567,163505.78642841414,128209.42222819226,13.368623327286452,,,,
35,12654000,2021-06-17,0.8751,1.8196811419828802,215056.8542799368,122286.66875301448,12.893697726739832,,,,
36,12660000,2021-06-18,0.8169,1.462398990676525,126809.82310597762,122893.46732777613,12.745722096986166,,,,
37,12666000,2021-06-19,0.7885,1.3752102608542605,206711.34537440242,125704.26818523247,12.825952768583205,,,,
38,12672000,2021-06-20,0.7898,1.34454159873337,259764.1472157071,132040.8206284097,12.708617126696922,,,,
39,12678000,2021-06-21,0.6018,1.4932631823836697,102766.32908943403,134383.1833558024,12.744545528858854,,,,
40,12684000,2021-06-22,0.5799,1.4175385047354057,32076.381769648753,134702.62385125417,12.915554353431034,,,,
41,12690000,2021-06-23,0.6432,1.2608839649749712,127038.70490069214,138235.25803246806,15.227292915875248,,,,
42,12696000,2021-06-24,0.6623,1.2663918487155623,180643.9335635842,143448.16466333743,15.230593691937322,,,,
43,12702000,2021-06-25,0.6011,1.1575877720288807,186229.78105813742,148405.7179900921,15.22262038411493,,,,
44,12708000,2021-06-26,0.6007,1.1568328858952177,246269.3530483613,155231.90999734635,15.217417239133551,,,,
45,12714000,2021-06-27,0.6381,1.13193089524322,363987.21902692324,166472.3940966728,15.116191128672614,,,,
46,12720000,2021-06-28,0.7013,1.1628090987206605,441707.63742521807,180194.9048458908,15.10977161519286,,,,
