BLOCK_NUMBER_,BLOCK_TIMESTAMP_,ASSET,LB,LT,LTV,ADDRESS,SYMBOL
11538358,2020-12-27 21:46:55.000,0xd533a949740bb3306d119cc777fa900ba034cd52,115.0,55.0,40.0,0xd533a949740bb3306d119cc777fa900ba034cd52,CRV
13160803,2021-09-04 18:16:45.000,0xd533a949740bb3306d119cc777fa900ba034cd52,112.5,55.0,40.0,0xd533a949740bb3306d119cc777fa900ba034cd52,CRV
13219713,2021-09-13 21:05:08.000,0xd533a949740bb3306d119cc777fa900ba034cd52,112.5,55.0,40.0,0xd533a949740bb3306d119cc777fa900ba034cd52,CRV
13290779,2021-09-24 21:05:24.000,0xd533a949740bb3306d119cc777fa900ba034cd52,110.0,55.0,40.0,0xd533a949740bb3306d119cc777fa900ba034cd52,CRV
13381378,2021-10-09 00:23:27.000,0xd533a949740bb3306d119cc777fa900ba034cd52,110.0,55.0,35.0,0xd533a949740bb3306d119cc777fa900ba034cd52,CRV
13474128,2021-10-23 13:47:07.000,0xd533a949740bb3306d119cc777fa900ba034cd52,110.0,60.0,45.0,0xd533a949740bb3306d119cc777fa900ba034cd52,CRV
13877253,2021-12-25 23:14:51.000,0xd533a949740bb3306d119cc777fa900ba034cd52,108.5,60.0,45.0,0xd533a949740bb3306d119cc777fa900ba034cd52,CRV
14246054,2022-02-20 23:51:45.000,0xd533a949740bb3306d119cc777fa900ba034cd52,108.5,65.0,55.0,0xd533a949740bb3306d119cc777fa900ba034cd52,CRV
15338584,2022-08-14 08:10:54.000,0xd533a949740bb3306d119cc777fa900ba034cd52,108.5,64.0,55.0,0xd533a949740bb3306d119cc777fa900ba034cd52,CRV
15429050,2022-08-28 17:08:02.000,0xd533a949740bb3306d119cc777fa900ba034cd52,108.0,61.0,55.0,0xd533a949740bb3306d119cc777fa900ba034cd52,CRV
16262291,2022-12-25 14:15:23.000,0xd533a949740bb3306d119cc777fa900ba034cd52,108.0,58.0,52.0,0xd533a949740bb3306d119cc777fa900ba034cd52,CRV
