BLOCK_NUMBER_,BLOCK_TIMESTAMP_,SYMBOL,TX_HASH,TOKEN_ADDRESS,OLD_COLLATERAL,NEW_COLLATERAL
7710798,2019-05-07 01:34:20,DAI,0xc96fc7e562f53d1e87f1097038998142d360a3c8e4c28381798332cd5629c011,0xf5dce57282a584d2746faf1593d3121fcac444dc,0.0,75.0
9133210,2019-12-20 00:47:46,DAI,0x786fee7d66cdc6505d3aa014896203c0d7f0307f713a152bf2631339b6ce416b,0x5d3a536e4d6dbd6114cc1ead35777bab948e3643,0.0,75.0
10096844,2020-05-19 14:17:08,DAI,0xc92c24d468cb9682b8829fc0e38b44720e1042bc5eb9da393e9c6e5cd0938085,0xf5dce57282a584d2746faf1593d3121fcac444dc,75.0,65.0
10149088,2020-05-27 17:06:28,DAI,0xd6b0f370ac61a926f9bbe19ebb15a34b303c3f1407d17ad57a1e04e3f2a94000,0xf5dce57282a584d2746faf1593d3121fcac444dc,65.0,55.0
10211430,2020-06-06 09:49:19,DAI,0x2c15915dec2650ffcb796d2bb2075034c931bada321bb0dab413247a95640626,0xf5dce57282a584d2746faf1593d3121fcac444dc,55.0,45.0
10259279,2020-06-13 19:35:22,DAI,0xf01baf41a7a52f5bc7e7f5da89bd3c2692f45d3fa3a4173cb2f6dbdca0cf2963,0xf5dce57282a584d2746faf1593d3121fcac444dc,45.0,35.0
10451297,2020-07-13 12:51:31,DAI,0xde213085e1c2fb1f981d8543e4d0bca4634a31cf41258ab9ed62df3b9022823c,0xf5dce57282a584d2746faf1593d3121fcac444dc,35.0,0.0
13699346,2021-11-28 00:56:55,DAI,0xd2ea4e5afeb6a6cb0b462d74199caadc33013e6d03f2928a8870a066fe062f49,0x5d3a536e4d6dbd6114cc1ead35777bab948e3643,75.0,80.0
14879331,2022-05-31 14:58:05,DAI,0x0f0c6fba386a7f654e249d6d1531696708805ad335ef4d234d1aa7d5378466b9,0x5d3a536e4d6dbd6114cc1ead35777bab948e3643,80.0,82.5
15077600,2022-07-04 18:11:51,DAI,0x4d403c6067ed2991c6243775ec38ec085b6da5f4a1f2c8493c7518203284c1ab,0x5d3a536e4d6dbd6114cc1ead35777bab948e3643,82.5,83.5
